gid,code_ligne,variante,succession,stop_id,descr_fr,descr_nl,alpha_fr,alpha_nl,coord_x,coord_y,mode,numero_lig,terminus,geom
1,012b,1,1,9600B,BRUSSELS AIRPORT,BRUSSELS AIRPORT,Brussels Airport,Brussels Airport,157950.000000,176429.000000,B,12,BRUSSELS CITY,010100000000000000F04703410000000068890541
2,012b,1,2,3017,BOURGET,BOURGET,Bourget,Bourget,154334.000000,174200.000000,B,12,BRUSSELS CITY,010100000000000000F0D6024100000000C0430541
3,012b,1,3,5048,DA VINCI,DA VINCI,Da Vinci,Da Vinci,152934.000000,173976.000000,B,12,BRUSSELS CITY,01010000000000000030AB024100000000C03C0541
4,012b,1,4,2695,GENEVE,GENEVE,Genève,Genève,152428.000000,172606.000000,B,12,BRUSSELS CITY,010100000000000000609B024100000000F0110541
5,012b,1,5,2250,MEISER,MEISER,Meiser,Meiser,152045.000000,171508.000000,B,12,BRUSSELS CITY,010100000000000000688F024100000000A0EF0441
6,012b,1,6,1270B,SCHUMAN,SCHUMAN,Schuman,Schuman,151061.100000,170304.700000,B,12,BRUSSELS CITY,0101000000CDCCCCCCA87002419A99999905CA0441
7,012b,1,7,1162C,LUXEMBOURG,LUXEMBURG,Luxembourg,Luxemburg,150326.000000,169891.000000,B,12,BRUSSELS CITY,010100000000000000B05902410000000018BD0441
8,012b,1,8,6432,TRONE,TROON,Trône,Troon,149829.000000,170014.000000,B,12,BRUSSELS CITY,010100000000000000284A024100000000F0C00441
9,012b,1,9,1780,TRONE,TROON,Trône,Troon,149724.600000,170159.900000,B,12,BRUSSELS CITY,0101000000CDCCCCCCE4460241333333337FC50441
10,012b,2,1,1780,TRONE,TROON,Trône,Troon,149724.600000,170159.900000,B,12,BRUSSELS AIRPORT,0101000000CDCCCCCCE4460241333333337FC50441
11,012b,2,2,6433,TRONE,TROON,Trône,Troon,149885.000000,169988.000000,B,12,BRUSSELS AIRPORT,010100000000000000E84B02410000000020C00441
12,012b,2,3,1131B,LUXEMBOURG,LUXEMBURG,Luxembourg,Luxemburg,150347.000000,169926.000000,B,12,BRUSSELS AIRPORT,010100000000000000585A02410000000030BE0441
