service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
238687005,1,1,1,1,1,0,0,20210920,20211014
238689505,0,0,0,0,0,1,0,20210925,20211002
238691605,0,0,0,0,0,0,1,20210926,20211010
238712503,0,0,0,0,0,1,0,20211009,20211009
238683002,1,1,1,1,1,0,0,20211015,20211015
238298504,0,0,0,0,0,1,0,20211016,20211016
238300603,0,0,0,0,0,0,1,20211017,20211017
238562002,1,1,1,1,1,0,0,20210920,20211015
238162502,0,0,0,0,0,1,0,20210925,20211016
238565603,0,0,0,0,0,0,1,20210926,20211017
238975003,1,1,1,1,1,0,0,20211008,20211008
238972503,0,0,0,0,0,1,0,20211009,20211009
238971604,0,0,0,0,0,0,1,20211010,20211010
238561002,1,1,1,1,1,0,0,20210920,20211015
238164502,0,0,0,0,0,1,0,20210925,20211016
238564602,0,0,0,0,0,0,1,20210926,20211017
238970503,0,0,0,0,0,1,0,20211009,20211009
238969603,0,0,0,0,0,0,1,20211010,20211010
238560001,1,1,1,1,1,0,0,20210920,20211015
238167502,0,0,0,0,0,1,0,20210925,20211016
238563602,0,0,0,0,0,0,1,20210926,20211017
238968503,0,0,0,0,0,1,0,20211009,20211009
238967603,0,0,0,0,0,0,1,20211010,20211010
236695000,1,1,1,1,1,0,0,20210920,20211015
236330500,0,0,0,0,0,1,0,20210925,20211016
236298600,0,0,0,0,0,0,1,20210926,20211017
236963001,1,1,1,1,1,0,0,20210920,20211015
238651503,0,0,0,0,0,1,0,20210925,20211002
238631602,0,0,0,0,0,0,1,20210926,20211003
236955501,0,0,0,0,0,1,0,20211009,20211016
236940601,0,0,0,0,0,0,1,20211010,20211017
237259001,1,1,1,1,1,0,0,20210920,20211015
236917501,0,0,0,0,0,1,0,20210925,20211016
236755601,0,0,0,0,0,0,1,20210926,20211017
237158001,1,1,1,1,1,0,0,20210920,20211015
237159501,0,0,0,0,0,1,0,20210925,20211016
237160601,0,0,0,0,0,0,1,20210926,20211017
238544002,1,1,1,1,1,0,0,20210920,20211015
238542503,0,0,0,0,0,1,0,20210925,20211009
238543602,0,0,0,0,0,0,1,20210926,20211010
237468501,0,0,0,0,0,1,0,20211016,20211016
237469601,0,0,0,0,0,0,1,20211017,20211017
237420000,1,1,1,1,1,0,0,20210920,20211015
237422500,0,0,0,0,0,1,0,20210925,20211016
237424600,0,0,0,0,0,0,1,20210926,20211017
236965001,1,1,1,1,1,0,0,20210920,20211015
237231071,1,1,1,1,1,0,0,20210922,20211013
238629503,0,0,0,0,0,1,0,20210925,20211002
238627602,0,0,0,0,0,0,1,20210926,20211003
238661504,0,0,0,0,0,1,0,20211009,20211016
236934601,0,0,0,0,0,0,1,20211010,20211017
237514001,1,1,1,1,1,0,0,20210920,20211015
237515501,0,0,0,0,0,1,0,20210925,20211016
237516601,0,0,0,0,0,0,1,20210926,20211017
237322001,1,1,1,1,1,0,0,20210920,20211015
237381031,1,1,1,1,1,0,0,20210922,20211013
237291501,0,0,0,0,0,1,0,20210925,20211016
237279601,0,0,0,0,0,0,1,20210926,20211017
238202001,1,1,1,1,1,0,0,20210920,20211001
238203501,0,0,0,0,0,1,0,20210925,20211016
238205601,0,0,0,0,0,0,1,20210926,20211017
238922002,1,1,1,1,1,0,0,20211004,20211015
237616001,1,1,1,1,1,0,0,20210920,20211001
237608501,0,0,0,0,0,1,0,20210925,20211016
237598601,0,0,0,0,0,0,1,20210926,20211017
238935002,1,1,1,1,1,0,0,20211004,20211015
237324000,1,1,1,1,1,0,0,20210920,20211015
238264040,1,1,1,1,1,0,0,20210922,20211013
237392500,0,0,0,0,0,1,0,20210925,20211016
237395600,0,0,0,0,0,0,1,20210926,20211017
237529001,1,1,1,1,1,0,0,20210920,20211001
237526501,0,0,0,0,0,1,0,20210925,20211016
237493601,0,0,0,0,0,0,1,20210926,20211017
238958002,1,1,1,1,1,0,0,20211004,20211015
237250001,1,1,1,1,1,0,0,20210920,20211015
237251501,0,0,0,0,0,1,0,20210925,20211016
237252601,0,0,0,0,0,0,1,20210926,20211017
237126000,1,1,1,1,1,0,0,20210920,20211001
238766001,1,1,1,1,1,0,0,20210923,20210928
238768502,0,0,0,0,0,1,0,20210925,20211016
237067600,0,0,0,0,0,0,1,20210926,20211017
238964002,1,1,1,1,1,0,0,20211004,20211015
237239000,1,1,1,1,1,0,0,20210920,20211015
237235500,0,0,0,0,0,1,0,20210925,20211016
237233600,0,0,0,0,0,0,1,20210926,20211017
237311001,1,1,1,1,1,0,0,20210920,20211015
237310501,0,0,0,0,0,1,0,20210925,20211016
237309601,0,0,0,0,0,0,1,20210926,20211017
236811001,1,1,1,1,1,0,0,20210920,20211015
238580002,1,1,1,1,1,0,0,20210923,20210928
236823501,0,0,0,0,0,1,0,20210925,20211016
236824601,0,0,0,0,0,0,1,20210926,20211017
236299000,1,1,1,1,1,0,0,20210920,20211015
236300500,0,0,0,0,0,1,0,20210925,20211009
236301600,0,0,0,0,0,0,1,20210926,20211010
238347502,0,0,0,0,0,1,0,20211016,20211016
238345602,0,0,0,0,0,0,1,20211017,20211017
237635001,1,1,1,1,1,0,0,20210920,20210924
237033500,0,0,0,0,0,1,0,20210925,20211016
237035600,0,0,0,0,0,0,1,20210926,20211017
237008000,1,1,1,1,1,0,0,20210927,20211015
237319001,1,1,1,1,1,0,0,20210920,20211015
237318501,0,0,0,0,0,1,0,20210925,20211009
237312601,0,0,0,0,0,0,1,20210926,20211010
238926502,0,0,0,0,0,1,0,20211016,20211016
238913602,0,0,0,0,0,0,1,20211017,20211017
237056001,1,1,1,1,1,0,0,20210920,20211015
237037501,0,0,0,0,0,1,0,20210925,20211016
236994601,0,0,0,0,0,0,1,20210926,20211017
237402001,1,1,1,1,1,0,0,20210920,20211015
237429031,1,1,1,1,1,0,0,20210922,20211013
237393501,0,0,0,0,0,1,0,20210925,20211016
237386601,0,0,0,0,0,0,1,20210926,20211017
237117001,1,1,1,1,1,0,0,20210920,20210930
237137031,1,1,1,1,1,0,0,20210922,20210929
237156051,1,1,1,1,1,0,0,20210924,20211001
237110501,0,0,0,0,0,1,0,20210925,20211002
237103601,0,0,0,0,0,0,1,20210926,20211003
238834003,1,1,1,1,1,0,0,20211004,20211014
238920032,1,1,1,1,1,0,0,20211006,20211013
238924052,1,1,1,1,1,0,0,20211008,20211015
238933503,0,0,0,0,0,1,0,20211009,20211016
238864602,0,0,0,0,0,0,1,20211010,20211017
236711001,1,1,1,1,1,0,0,20210920,20211015
236743501,0,0,0,0,0,1,0,20210925,20211016
236744601,0,0,0,0,0,0,1,20210926,20211017
238839502,0,0,0,0,0,1,0,20211009,20211009
238836602,0,0,0,0,0,0,1,20211010,20211010
236757001,1,1,1,1,1,0,0,20210920,20211015
236786030,1,1,1,1,1,0,0,20210922,20211013
236753501,0,0,0,0,0,1,0,20210925,20211016
236702601,0,0,0,0,0,0,1,20210926,20211017
237130001,1,1,1,1,1,0,0,20210920,20211001
237167030,1,1,1,1,1,0,0,20210922,20210929
237183501,0,0,0,0,0,1,0,20210925,20211002
237186601,0,0,0,0,0,0,1,20210926,20211003
238910003,1,1,1,1,1,0,0,20211004,20211015
238929031,1,1,1,1,1,0,0,20211006,20211013
238941503,0,0,0,0,0,1,0,20211009,20211016
238931602,0,0,0,0,0,0,1,20211010,20211017
237100001,1,1,1,1,1,0,0,20210920,20211015
237113030,1,1,1,1,1,0,0,20210922,20211013
237128501,0,0,0,0,0,1,0,20210925,20211016
237129601,0,0,0,0,0,0,1,20210926,20211017
238586002,1,1,1,1,1,0,0,20210920,20211001
238588072,1,1,1,1,1,0,0,20210922,20210929
238531501,0,0,0,0,0,1,0,20210925,20211002
238510602,0,0,0,0,0,0,1,20210926,20211003
238866004,1,1,1,1,1,0,0,20211004,20211015
238868073,1,1,1,1,1,0,0,20211006,20211013
237044500,0,0,0,0,0,1,0,20211009,20211016
236593600,0,0,0,0,0,0,1,20211010,20211017
238733003,1,1,1,1,1,0,0,20211011,20211011
237550001,1,1,1,1,1,0,0,20210920,20211015
237568501,0,0,0,0,0,1,0,20210925,20211016
237567601,0,0,0,0,0,0,1,20210926,20211017
237042001,1,1,1,1,1,0,0,20210920,20211015
237091031,1,1,1,1,1,0,0,20210922,20211013
237038501,0,0,0,0,0,1,0,20210925,20211016
237019601,0,0,0,0,0,0,1,20210926,20211017
237075001,1,1,1,1,1,0,0,20210920,20211015
237076031,1,1,1,1,1,0,0,20210922,20211013
237077501,0,0,0,0,0,1,0,20210925,20211016
237078601,0,0,0,0,0,0,1,20210926,20211017
238581002,1,1,1,1,1,0,0,20210920,20211015
238199501,0,0,0,0,0,1,0,20210925,20211016
238547602,0,0,0,0,0,0,1,20210926,20211017
237098001,1,1,1,1,1,0,0,20210920,20211015
237097501,0,0,0,0,0,1,0,20210925,20211016
237094601,0,0,0,0,0,0,1,20210926,20211017
236763001,1,1,1,1,1,0,0,20210920,20211015
237587001,1,1,1,1,1,0,0,20210920,20211014
238074051,1,1,1,1,1,0,0,20210924,20211015
237619501,0,0,0,0,0,1,0,20210925,20211016
237620601,0,0,0,0,0,0,1,20210926,20211017
237541001,1,1,1,1,1,0,0,20210920,20211001
237540501,0,0,0,0,0,1,0,20210925,20211002
237539601,0,0,0,0,0,0,1,20210926,20211003
238871002,1,1,1,1,1,0,0,20211004,20211015
238873503,0,0,0,0,0,1,0,20211009,20211016
238876603,0,0,0,0,0,0,1,20211010,20211017
237575001,1,1,1,1,1,0,0,20210920,20211015
237578031,1,1,1,1,1,0,0,20210922,20211013
237562501,0,0,0,0,0,1,0,20210925,20211016
237542601,0,0,0,0,0,0,1,20210926,20211017
237592001,1,1,1,1,1,0,0,20210920,20211015
237591501,0,0,0,0,0,1,0,20210925,20211016
237585601,0,0,0,0,0,0,1,20210926,20211017
237584001,1,1,1,1,1,0,0,20210920,20211015
237574501,0,0,0,0,0,1,0,20210925,20211016
237549601,0,0,0,0,0,0,1,20210926,20211017
237524001,1,1,1,1,1,0,0,20210920,20211015
237517501,0,0,0,0,0,1,0,20210925,20211016
237510601,0,0,0,0,0,0,1,20210926,20211017
237482001,1,1,1,1,1,0,0,20210920,20211001
237505031,1,1,1,1,1,0,0,20210922,20210929
237452501,0,0,0,0,0,1,0,20210925,20211002
237443601,0,0,0,0,0,0,1,20210926,20211003
238880002,1,1,1,1,1,0,0,20211004,20211015
238884032,1,1,1,1,1,0,0,20211006,20211013
238897503,0,0,0,0,0,1,0,20211009,20211016
238902602,0,0,0,0,0,0,1,20211010,20211017
237437001,1,1,1,1,1,0,0,20210920,20211015
237502031,1,1,1,1,1,0,0,20210922,20211013
237430501,0,0,0,0,0,1,0,20210925,20211016
236665601,0,0,0,0,0,0,1,20210926,20211017
237486001,1,1,1,1,1,0,0,20210920,20211015
236683000,1,1,1,1,1,0,0,20210920,20211015
238623061,1,1,1,1,1,0,0,20210923,20210923
236967500,0,0,0,0,0,1,0,20210925,20211016
236996600,0,0,0,0,0,0,1,20210926,20211017
238621001,1,1,1,1,1,0,0,20210928,20210928
236961060,1,1,1,1,1,0,0,20210930,20211014
237413000,1,1,1,1,1,0,0,20210920,20211015
237415500,0,0,0,0,0,1,0,20210925,20211016
237417600,0,0,0,0,0,0,1,20210926,20211017
236916001,1,1,1,1,1,0,0,20210920,20211015
236924501,0,0,0,0,0,1,0,20210925,20211016
236942601,0,0,0,0,0,0,1,20210926,20211017
237570001,1,1,1,1,1,0,0,20210920,20211015
237580031,1,1,1,1,1,0,0,20210922,20211013
237586501,0,0,0,0,0,1,0,20210925,20211016
237583601,0,0,0,0,0,0,1,20210926,20211017
237399000,1,1,1,1,1,0,0,20210920,20211015
237401500,0,0,0,0,0,1,0,20210925,20211009
238954501,0,0,0,0,0,1,0,20211016,20211016
236680001,1,1,1,1,1,0,0,20210920,20211015
238506503,0,0,0,0,0,1,0,20210925,20211016
238508602,0,0,0,0,0,0,1,20210926,20211017
237304001,1,1,1,1,1,0,0,20210920,20211015
237288501,0,0,0,0,0,1,0,20210925,20211016
237278601,0,0,0,0,0,0,1,20210926,20211017
238176002,1,1,1,1,1,0,0,20210920,20211001
238178032,1,1,1,1,1,0,0,20210922,20210929
238207502,0,0,0,0,0,1,0,20210925,20211016
238209602,0,0,0,0,0,0,1,20210926,20211017
238937003,1,1,1,1,1,0,0,20211004,20211015
238950033,1,1,1,1,1,0,0,20211006,20211013
238359002,1,1,1,1,1,0,0,20210920,20211001
236430500,0,0,0,0,0,1,0,20210925,20211002
236272600,0,0,0,0,0,0,1,20210926,20211003
238831003,1,1,1,1,1,0,0,20211004,20211015
238772502,0,0,0,0,0,1,0,20211009,20211016
238731602,0,0,0,0,0,0,1,20211010,20211017
237132000,1,1,1,1,1,0,0,20210920,20211015
236573500,0,0,0,0,0,1,0,20210925,20211016
236325600,0,0,0,0,0,0,1,20210926,20211017
238735001,1,1,1,1,1,0,0,20211011,20211011
236957001,1,1,1,1,1,0,0,20210920,20211015
236941501,0,0,0,0,0,1,0,20210925,20211016
236919601,0,0,0,0,0,0,1,20210926,20211017
237605001,1,1,1,1,1,0,0,20210920,20211015
237600501,0,0,0,0,0,1,0,20210925,20211016
237593601,0,0,0,0,0,0,1,20210926,20211017
238677002,1,1,1,1,1,0,0,20210920,20211001
236726501,0,0,0,0,0,1,0,20210925,20211016
236681601,0,0,0,0,0,0,1,20210926,20211017
238886003,1,1,1,1,1,0,0,20211004,20211015
237564001,1,1,1,1,1,0,0,20210920,20211015
237569501,0,0,0,0,0,1,0,20210925,20211016
237579601,0,0,0,0,0,0,1,20210926,20211017
238673002,1,1,1,1,1,0,0,20210920,20211001
236803501,0,0,0,0,0,1,0,20210925,20211016
236802601,0,0,0,0,0,0,1,20210926,20211017
238878003,1,1,1,1,1,0,0,20211004,20211015
236810000,1,1,1,1,1,0,0,20210920,20211015
236567500,0,0,0,0,0,1,0,20210925,20211016
236556600,0,0,0,0,0,0,1,20210926,20211017
