trip_id,0470F,0473F,1014F,1674F,1675F,1676F,1677F,1678F,1679F,1680F,1681F,1682F,1683F,1684F,1685F,1686F,1687F,6805F,6864F,6865F
113172089236940601,06:17:00,,,,06:21:22,,06:23:00,,06:24:13,,06:25:58,,06:27:00,,06:28:12,,06:30:00,,06:18:51,06:20:00
113172090236940601,05:48:00,,,,05:52:22,,05:54:00,,05:55:13,,05:56:58,,05:58:00,,05:59:12,,06:01:00,,05:49:51,05:51:00
113172091236940601,06:43:00,,,,06:47:22,,06:49:00,,06:50:13,,06:51:58,,06:53:00,,06:54:12,,06:56:00,,06:44:51,06:46:00
113172092236940601,07:27:00,,,,07:31:22,,07:33:00,,07:34:13,,07:35:58,,07:37:00,,07:38:12,,07:40:00,,07:28:51,07:30:00
113172093236940601,07:46:00,,,,07:50:22,,07:52:00,,07:53:13,,07:54:58,,07:56:00,,07:57:12,,07:59:00,,07:47:51,07:49:00
113172094236940601,08:06:00,,,,08:10:22,,08:12:00,,08:13:13,,08:14:58,,08:16:00,,08:17:12,,08:19:00,,08:07:51,08:09:00
113172095236940601,08:23:00,,,,08:27:22,,08:29:00,,08:30:13,,08:31:58,,08:33:00,,08:34:12,,08:36:00,,08:24:51,08:26:00
113172096236940601,08:40:00,,,,08:44:22,,08:46:00,,08:47:13,,08:48:58,,08:50:00,,08:51:12,,08:53:00,,08:41:51,08:43:00
113172097236940601,09:25:00,,,,09:29:22,,09:31:00,,09:32:13,,09:33:58,,09:35:00,,09:36:12,,09:38:00,,09:26:51,09:28:00
113172098236940601,10:10:00,,,,10:14:22,,10:16:00,,10:17:13,,10:18:58,,10:20:00,,10:21:12,,10:23:00,,10:11:51,10:13:00
113172099236940601,10:25:00,,,,10:29:22,,10:31:00,,10:32:13,,10:33:58,,10:35:00,,10:36:12,,10:38:00,,10:26:51,10:28:00
113172100236940601,10:40:00,,,,10:44:22,,10:46:00,,10:47:13,,10:48:58,,10:50:00,,10:51:12,,10:53:00,,10:41:51,10:43:00
113172101236940601,10:55:00,,,,10:59:22,,11:01:00,,11:02:31,,11:04:43,,11:06:00,,11:07:12,,11:09:00,,10:56:51,10:58:00
113172102236940601,11:10:00,,,,11:14:22,,11:16:00,,11:17:31,,11:19:43,,11:21:00,,11:22:12,,11:24:00,,11:11:51,11:13:00
113172103236940601,11:25:00,,,,11:29:22,,11:31:00,,11:32:31,,11:34:43,,11:36:00,,11:37:12,,11:39:00,,11:26:51,11:28:00
113172104236940601,11:40:00,,,,11:44:22,,11:46:00,,11:47:31,,11:49:43,,11:51:00,,11:52:12,,11:54:00,,11:41:51,11:43:00
113172105236940601,11:55:00,,,,11:59:22,,12:01:00,,12:02:31,,12:04:43,,12:06:00,,12:07:12,,12:09:00,,11:56:51,11:58:00
113172106236940601,12:10:00,,,,12:14:22,,12:16:00,,12:17:31,,12:19:43,,12:21:00,,12:22:12,,12:24:00,,12:11:51,12:13:00
113172107236940601,12:25:00,,,,12:29:22,,12:31:00,,12:32:31,,12:34:43,,12:36:00,,12:37:12,,12:39:00,,12:26:51,12:28:00
113172108236940601,12:40:00,,,,12:44:22,,12:46:00,,12:47:31,,12:49:43,,12:51:00,,12:52:12,,12:54:00,,12:41:51,12:43:00
113172109236940601,12:55:00,,,,12:59:22,,13:01:00,,13:02:31,,13:04:43,,13:06:00,,13:07:12,,13:09:00,,12:56:51,12:58:00
113172110236940601,13:10:00,,,,13:14:22,,13:16:00,,13:17:31,,13:19:43,,13:21:00,,13:22:12,,13:24:00,,13:11:51,13:13:00
113172111236940601,13:25:00,,,,13:29:22,,13:31:00,,13:32:31,,13:34:43,,13:36:00,,13:37:12,,13:39:00,,13:26:51,13:28:00
113172112236940601,13:40:00,,,,13:44:22,,13:46:00,,13:47:31,,13:49:43,,13:51:00,,13:52:12,,13:54:00,,13:41:51,13:43:00
113172113236940601,13:55:00,,,,13:59:22,,14:01:00,,14:02:31,,14:04:43,,14:06:00,,14:07:12,,14:09:00,,13:56:51,13:58:00
113172114236940601,14:10:00,,,,14:14:22,,14:16:00,,14:17:31,,14:19:43,,14:21:00,,14:22:12,,14:24:00,,14:11:51,14:13:00
113172115236940601,14:25:00,,,,14:29:22,,14:31:00,,14:32:31,,14:34:43,,14:36:00,,14:37:12,,14:39:00,,14:26:51,14:28:00
113172116236940601,14:40:00,,,,14:44:22,,14:46:00,,14:47:31,,14:49:43,,14:51:00,,14:52:12,,14:54:00,,14:41:51,14:43:00
113172117236940601,14:55:00,,,,14:59:22,,15:01:00,,15:02:31,,15:04:43,,15:06:00,,15:07:12,,15:09:00,,14:56:51,14:58:00
113172118236940601,15:10:00,,,,15:14:22,,15:16:00,,15:17:31,,15:19:43,,15:21:00,,15:22:12,,15:24:00,,15:11:51,15:13:00
113172119236940601,15:25:00,,,,15:29:22,,15:31:00,,15:32:31,,15:34:43,,15:36:00,,15:37:12,,15:39:00,,15:26:51,15:28:00
