trip_id,0470F,0471,0472,0473F,1014F,1064,1094F,1111,1199F,1236F,1306F,1307F,2636F,2637F,2805F,2869,4955F,4958F,5001F,5003,5010,5081F,5082,5086F,5102F,5103,5105F,5108,5109,5165,5166,5168F,5170,5172F,5174F,5700G,5779,6800F,6803F,6804F,6805F,6864F,6865F,6866F,6867F,6869G
113171463236934601,,20:17:00,,,,20:11:54,20:10:28,20:13:00,,,20:09:00,,20:32:00,,20:26:00,,,20:30:00,,,,20:27:00,20:28:35,20:34:00,20:06:22,20:05:00,20:07:47,20:14:07,20:15:52,,,,,,,,,,,,,20:18:50,20:20:00,20:22:00,20:23:20,20:25:04
113171464236934601,,,04:53:00,,,,,,04:58:53,04:59:48,,05:01:00,,,,,,,,,,,,,,,,,,04:54:28,04:56:18,05:02:02,05:05:00,04:58:00,05:03:38,,,,,,,,,,,
113171465236934601,,05:25:00,,,,05:19:54,05:18:28,05:21:00,,,05:17:00,,05:40:00,,05:34:00,,,05:38:00,,,,05:35:00,05:36:35,05:42:00,05:14:22,05:13:00,05:15:47,05:22:07,05:23:52,,,,,,,,,,,,,05:26:50,05:28:00,05:30:00,05:31:20,05:33:04
113171466236934601,,,05:25:00,,05:22:00,,,,05:30:53,05:31:48,,05:33:00,,05:12:00,,05:16:00,05:13:00,,,05:14:08,05:15:00,,,,,,,,,05:26:28,05:28:18,05:34:02,05:37:00,05:30:00,05:35:38,,05:10:00,05:17:11,05:18:37,05:20:00,05:23:13,,,,,
113171467236934601,,,20:09:00,,20:06:00,,,,20:14:53,20:15:48,,20:17:00,,19:54:00,,19:59:00,19:55:00,,19:52:00,19:56:42,19:58:00,,,,,,,,,20:10:28,20:12:18,20:18:02,20:21:00,20:14:00,20:19:38,,,20:00:29,20:02:16,20:04:00,20:07:13,,,,,
113171468236934601,,21:34:00,,,,21:28:54,21:27:28,21:30:00,,,21:26:00,,21:49:00,,21:43:00,,,21:47:00,,,,21:44:00,21:45:35,21:51:00,21:23:22,21:22:00,21:24:47,21:31:07,21:32:52,,,,,,,,,,,,,21:35:50,21:37:00,21:39:00,21:40:20,21:42:04
113171469236934601,,21:49:00,,,,21:43:54,21:42:28,21:45:00,,,21:41:00,,22:04:00,,21:58:00,,,22:02:00,,,,21:59:00,22:00:35,22:06:00,21:38:22,21:37:00,21:39:47,21:46:07,21:47:52,,,,,,,,,,,,,21:50:50,21:52:00,21:54:00,21:55:20,21:57:04
113171470236934601,,22:33:00,,,,22:27:54,22:26:28,22:29:00,,,22:25:00,,22:48:00,,22:42:00,,,22:46:00,,,,22:43:00,22:44:35,22:50:00,22:22:22,22:21:00,22:23:47,22:30:07,22:31:52,,,,,,,,,,,,,22:34:50,22:36:00,22:38:00,22:39:20,22:41:04
113171471236934601,,21:19:00,,,,21:13:54,21:12:28,21:15:00,,,21:11:00,,21:34:00,,21:28:00,,,21:32:00,,,,21:29:00,21:30:35,21:36:00,21:08:22,21:07:00,21:09:47,21:16:07,21:17:52,,,,,,,,,,,,,21:20:50,21:22:00,21:24:00,21:25:20,21:27:04
113171472236934601,,22:03:00,,,,21:57:54,21:56:28,21:59:00,,,21:55:00,,22:18:00,,22:12:00,,,22:16:00,,,,22:13:00,22:14:35,22:20:00,21:52:22,21:51:00,21:53:47,22:00:07,22:01:52,,,,,,,,,,,,,22:04:50,22:06:00,22:08:00,22:09:20,22:11:04
113171473236934601,,22:18:00,,,,22:12:54,22:11:28,22:14:00,,,22:10:00,,22:33:00,,22:27:00,,,22:31:00,,,,22:28:00,22:29:35,22:35:00,22:07:22,22:06:00,22:08:47,22:15:07,22:16:52,,,,,,,,,,,,,22:19:50,22:21:00,22:23:00,22:24:20,22:26:04
113171474236934601,,23:03:00,,,,22:57:54,22:56:28,22:59:00,,,22:55:00,,23:18:00,,23:12:00,,,23:16:00,,,,23:13:00,23:14:35,23:20:00,22:52:22,22:51:00,22:53:47,23:00:07,23:01:52,,,,,,,,,,,,,23:04:50,23:06:00,23:08:00,23:09:20,23:11:04
113171475236934601,,23:48:00,,,,23:42:54,23:41:28,23:44:00,,,23:40:00,,24:03:00,,23:57:00,,,24:01:00,,,,23:58:00,23:59:35,,23:37:22,23:36:00,23:38:47,23:45:07,23:46:52,,,,,,,24:06:00,,,,,,23:49:50,23:51:00,23:53:00,23:54:20,23:56:04
113171476236934601,,23:18:00,,,,23:12:54,23:11:28,23:14:00,,,23:10:00,,23:33:00,,23:27:00,,,23:31:00,,,,23:28:00,23:29:35,23:35:00,23:07:22,23:06:00,23:08:47,23:15:07,23:16:52,,,,,,,,,,,,,23:19:50,23:21:00,23:23:00,23:24:20,23:26:04
113171477236934601,,22:48:00,,,,22:42:54,22:41:28,22:44:00,,,22:40:00,,23:03:00,,22:57:00,,,23:01:00,,,,22:58:00,22:59:35,23:05:00,22:37:22,22:36:00,22:38:47,22:45:07,22:46:52,,,,,,,,,,,,,22:49:50,22:51:00,22:53:00,22:54:20,22:56:04
113171478236934601,,23:33:00,,,,23:27:54,23:26:28,23:29:00,,,23:25:00,,23:48:00,,23:42:00,,,23:46:00,,,,23:43:00,23:44:35,23:50:00,23:22:22,23:21:00,23:23:47,23:30:07,23:31:52,,,,,,,,,,,,,23:34:50,23:36:00,23:38:00,23:39:20,23:41:04
113171479236934601,,,21:55:00,,21:52:00,,,,22:00:53,22:01:48,,22:03:00,,21:41:00,,21:46:00,21:42:00,,21:39:00,21:43:42,21:45:00,,,,,,,,,21:56:28,21:58:18,22:04:02,22:07:00,22:00:00,22:05:38,,,21:47:11,21:48:37,21:50:00,21:53:13,,,,,
113171480236934601,,,21:40:00,,21:37:00,,,,21:45:53,21:46:48,,21:48:00,,21:26:00,,21:31:00,21:27:00,,21:24:00,21:28:42,21:30:00,,,,,,,,,21:41:28,21:43:18,21:49:02,21:52:00,21:45:00,21:50:38,,,21:32:11,21:33:37,21:35:00,21:38:13,,,,,
113171481236934601,,,22:10:00,,22:07:00,,,,22:15:53,22:16:48,,22:18:00,,21:56:00,,22:01:00,21:57:00,,21:54:00,21:58:42,22:00:00,,,,,,,,,22:11:28,22:13:18,22:19:02,22:22:00,22:15:00,22:20:38,,,22:02:11,22:03:37,22:05:00,22:08:13,,,,,
113171482236934601,,,22:25:00,,22:22:00,,,,22:30:53,22:31:48,,22:33:00,,22:11:00,,22:16:00,22:12:00,,22:09:00,22:13:42,22:15:00,,,,,,,,,22:26:28,22:28:18,22:34:02,22:37:00,22:30:00,22:35:38,,,22:17:11,22:18:37,22:20:00,22:23:13,,,,,
113171483236934601,,,20:54:00,,20:51:00,,,,20:59:53,21:00:48,,21:02:00,,20:40:00,,20:45:00,20:41:00,,20:38:00,20:42:42,20:44:00,,,,,,,,,20:55:28,20:57:18,21:03:02,21:06:00,20:59:00,21:04:38,,,20:46:11,20:47:37,20:49:00,20:52:13,,,,,
113171484236934601,,,21:09:00,,21:06:00,,,,21:14:53,21:15:48,,21:17:00,,20:55:00,,21:00:00,20:56:00,,20:53:00,20:57:42,20:59:00,,,,,,,,,21:10:28,21:12:18,21:18:02,21:21:00,21:14:00,21:19:38,,,21:01:11,21:02:37,21:04:00,21:07:13,,,,,
113171485236934601,,,21:24:00,,21:21:00,,,,21:29:53,21:30:48,,21:32:00,,21:10:00,,21:15:00,21:11:00,,21:08:00,21:12:42,21:14:00,,,,,,,,,21:25:28,21:27:18,21:33:02,21:36:00,21:29:00,21:34:38,,,21:16:11,21:17:37,21:19:00,21:22:13,,,,,
113171486236934601,,,23:10:00,,23:07:00,,,,23:15:53,23:16:48,,23:18:00,,22:56:00,,23:01:00,22:57:00,,22:54:00,22:58:42,23:00:00,,,,,,,,,23:11:28,23:13:18,23:19:02,23:22:00,23:15:00,23:20:38,,,23:02:11,23:03:37,23:05:00,23:08:13,,,,,
113171487236934601,,,23:55:00,,23:52:00,,,,24:00:53,24:01:48,,24:03:00,,23:41:00,,23:46:00,23:42:00,,23:39:00,23:43:42,23:45:00,,,,,,,,,23:56:28,23:58:18,24:04:02,24:07:00,24:00:00,24:05:38,,,23:47:11,23:48:37,23:50:00,23:53:13,,,,,
113171488236934601,,,22:55:00,,22:52:00,,,,23:00:53,23:01:48,,23:03:00,,22:41:00,,22:46:00,22:42:00,,22:39:00,22:43:42,22:45:00,,,,,,,,,22:56:28,22:58:18,23:04:02,23:07:00,23:00:00,23:05:38,,,22:47:11,22:48:37,22:50:00,22:53:13,,,,,
113171489236934601,,,22:40:00,,22:37:00,,,,22:45:53,22:46:48,,22:48:00,,22:26:00,,22:31:00,22:27:00,,22:24:00,22:28:42,22:30:00,,,,,,,,,22:41:28,22:43:18,22:49:02,22:52:00,22:45:00,22:50:38,,,22:32:11,22:33:37,22:35:00,22:38:13,,,,,
113171490236934601,,,23:25:00,,23:22:00,,,,23:30:53,23:31:48,,23:33:00,,23:11:00,,23:16:00,23:12:00,,23:09:00,23:13:42,23:15:00,,,,,,,,,23:26:28,23:28:18,23:34:02,23:37:00,23:30:00,23:35:38,,,23:17:11,23:18:37,23:20:00,23:23:13,,,,,
113171491236934601,,,24:10:00,,24:07:00,,,,24:15:53,24:16:48,,24:18:00,,23:56:00,,24:01:00,23:57:00,,23:54:00,23:58:42,24:00:00,,,,,,,,,24:11:28,24:13:18,24:19:02,24:22:00,24:15:00,24:20:38,,,24:02:11,24:03:37,24:05:00,24:08:13,,,,,
113171492236934601,,,24:25:00,,24:22:00,,,,24:30:53,24:31:48,,24:33:00,,24:11:00,,24:16:00,24:12:00,,24:09:00,24:13:42,24:15:00,,,,,,,,,24:26:28,24:28:18,24:34:02,24:37:00,24:30:00,24:35:38,,,24:17:11,24:18:37,24:20:00,24:23:13,,,,,
113171493236934601,,,23:40:00,,23:37:00,,,,23:45:53,23:46:48,,23:48:00,,23:26:00,,23:31:00,23:27:00,,23:24:00,23:28:42,23:30:00,,,,,,,,,23:41:28,23:43:18,23:49:02,23:52:00,23:45:00,23:50:38,,,23:32:11,23:33:37,23:35:00,23:38:13,,,,,
113171494236934601,,24:48:00,,,,24:42:54,24:41:28,24:44:00,,,24:40:00,,25:03:00,,24:57:00,,,25:01:00,,,,24:58:00,24:59:35,,24:37:22,24:36:00,24:38:47,24:45:07,24:46:52,,,,,,,25:06:00,,,,,,24:49:50,24:51:00,24:53:00,24:54:20,24:56:04
113171495236934601,,24:33:00,,,,24:27:54,24:26:28,24:29:00,,,24:25:00,,24:48:00,,24:42:00,,,24:46:00,,,,24:43:00,24:44:35,,24:22:22,24:21:00,24:23:47,24:30:07,24:31:52,,,,,,,24:51:00,,,,,,24:34:50,24:36:00,24:38:00,24:39:20,24:41:04
113171496236934601,,24:18:00,,,,24:12:54,24:11:28,24:14:00,,,24:10:00,,24:33:00,,24:27:00,,,24:31:00,,,,24:28:00,24:29:35,24:35:00,24:07:22,24:06:00,24:08:47,24:15:07,24:16:52,,,,,,,,,,,,,24:19:50,24:21:00,24:23:00,24:24:20,24:26:04
113171497236934601,,24:03:00,,,,23:57:54,23:56:28,23:59:00,,,23:55:00,,24:18:00,,24:12:00,,,24:16:00,,,,24:13:00,24:14:35,,23:52:22,23:51:00,23:53:47,24:00:07,24:01:52,,,,,,,24:21:00,,,,,,24:04:50,24:06:00,24:08:00,24:09:20,24:11:04
113171498236934601,,21:04:00,,,,20:58:54,20:57:28,21:00:00,,,20:56:00,,21:19:00,,21:13:00,,,21:17:00,,,,21:14:00,21:15:35,21:21:00,20:53:22,20:52:00,20:54:47,21:01:07,21:02:52,,,,,,,,,,,,,21:05:50,21:07:00,21:09:00,21:10:20,21:12:04
113171499236934601,,,20:39:00,,20:36:00,,,,20:44:53,20:45:48,,20:47:00,,20:25:00,,20:30:00,20:26:00,,20:23:00,20:27:42,20:29:00,,,,,,,,,20:40:28,20:42:18,20:48:02,20:51:00,20:44:00,20:49:38,,,20:31:11,20:32:37,20:34:00,20:37:13,,,,,
