trip_id,3101,3102,3103,3104,3105,3107,3126,3171,3172,3173,3174,3175B,3176,3177,5045,5046,5299,5361,5362,9311
113275577237259001,,,,,,08:52:00,,08:54:03,08:55:30,08:56:18,08:56:57,08:58:00,09:00:00,08:53:00,09:03:32,,,,09:02:00,09:06:00
113275578237259001,,,,,,08:21:00,,08:23:03,08:24:30,08:25:18,08:25:57,08:27:00,08:29:00,08:22:00,08:32:32,,,,08:31:00,08:35:00
113275579237259001,,,,,,08:14:00,,08:16:03,08:17:30,08:18:18,08:18:57,08:20:00,08:22:00,08:15:00,08:25:32,,,,08:24:00,08:28:00
113275580237259001,,,,,,16:10:00,,16:12:03,16:13:30,16:14:18,16:14:57,16:16:00,16:18:00,16:11:00,,,16:19:00,,,
113275581237259001,,,,,,15:23:00,,15:25:03,15:26:30,15:27:18,15:27:57,15:29:00,15:31:00,15:24:00,15:33:32,,,,15:32:00,15:36:00
113275582237259001,,,,,,08:08:00,,08:10:03,08:11:30,08:12:18,08:12:57,08:14:00,08:16:00,08:09:00,08:19:32,,,,08:18:00,08:22:00
113275583237259001,17:11:00,17:12:10,17:12:39,17:13:19,17:14:51,17:16:00,17:09:00,,,,,,,,,17:06:17,,17:08:00,,17:04:00
113275584237259001,17:41:00,17:42:10,17:42:39,17:43:19,17:44:51,17:46:00,17:39:00,,,,,,,,,17:36:17,,17:38:00,,17:34:00
113275585237259001,,,,,,15:41:00,,15:43:03,15:44:30,15:45:18,15:45:57,15:47:00,15:49:00,15:42:00,15:51:32,,,,15:50:00,15:54:00
113275586237259001,,,,,,15:29:00,,15:31:03,15:32:30,15:33:18,15:33:57,15:35:00,15:37:00,15:30:00,15:39:32,,,,15:38:00,15:42:00
113275587237259001,,,,,,15:47:00,,15:49:03,15:50:30,15:51:18,15:51:57,15:53:00,15:55:00,15:48:00,15:57:32,,,,15:56:00,16:00:00
113275588237259001,,,,,,,,,,,,,,,06:51:32,,,,06:50:00,06:54:00
113275589237259001,,,,,,,,,,,,,,,14:51:32,,,,14:50:00,14:54:00
113275590237259001,,,,,,,,,,,,,,,14:57:32,,,,14:56:00,15:00:00
113275591237259001,,,,,,,,,,,,,,,15:03:32,,,,15:02:00,15:06:00
113275592237259001,,,,,,,,,,,,,,,15:09:32,,,,15:08:00,15:12:00
113275593237259001,,,,,,,,,,,,,,,15:15:32,,,,15:14:00,15:18:00
113275594237259001,,,,,,,,,,,,,,,15:21:32,,,,15:20:00,15:24:00
113275596237259001,,,,,,15:35:00,,15:37:03,15:38:30,15:39:18,15:39:57,15:41:00,15:43:00,15:36:00,15:45:32,,,,15:44:00,15:48:00
113275597237259001,,,,,,15:53:00,,15:55:03,15:56:30,15:57:18,15:57:57,15:59:00,16:01:00,15:54:00,16:03:32,,,,16:02:00,16:06:00
113275598237259001,,,,,,16:24:00,,16:26:03,16:27:30,16:28:18,16:28:57,16:30:00,16:32:00,16:25:00,16:34:32,,,,16:33:00,16:37:00
113275599237259001,,,,,,,,,,,,,,,,17:08:17,,17:10:00,,17:06:00
113275600237259001,,,,,,17:31:00,,17:33:03,17:34:30,17:35:18,17:35:57,17:37:00,17:39:00,17:32:00,17:41:32,,,,17:40:00,17:44:00
113275601237259001,,,,,,16:56:00,,16:58:03,16:59:30,17:00:18,17:00:57,17:02:00,17:04:00,16:57:00,17:06:32,,,,17:05:00,17:09:00
113275602237259001,,,,,,17:12:00,,17:14:03,17:15:30,17:16:18,17:16:57,17:18:00,17:20:00,17:13:00,17:22:32,,,,17:21:00,17:25:00
113275603237259001,,,,,,16:08:00,,16:10:03,16:11:30,16:12:18,16:12:57,16:14:00,16:16:00,16:09:00,16:18:32,,,,16:17:00,16:21:00
113275604237259001,,,,,,,,,,,,,,,,18:11:17,,18:13:00,,18:09:00
113275605237259001,,,,,,16:00:00,,16:02:03,16:03:30,16:04:18,16:04:57,16:06:00,16:08:00,16:01:00,16:10:32,,,,16:09:00,16:13:00
113275607237259001,,,,,,16:40:00,,16:42:03,16:43:30,16:44:18,16:44:57,16:46:00,16:48:00,16:41:00,16:50:32,,,,16:49:00,16:53:00
113275608237259001,,,,,,,,,,,,,,,,17:41:17,,17:43:00,,17:39:00
113275609237259001,,,,,,17:41:00,,17:43:03,17:44:30,17:45:18,17:45:57,17:47:00,17:49:00,17:42:00,17:51:32,,,,17:50:00,17:54:00
113275610237259001,,,,,,17:04:00,,17:06:03,17:07:30,17:08:18,17:08:57,17:10:00,17:12:00,17:05:00,17:14:32,,,,17:13:00,17:17:00
113275611237259001,,,,,,17:21:00,,17:23:03,17:24:30,17:25:18,17:25:57,17:27:00,17:29:00,17:22:00,17:31:32,,,,17:30:00,17:34:00
113275612237259001,17:01:00,17:02:10,17:02:39,17:03:19,17:04:51,17:06:00,16:59:00,,,,,,,,,16:56:17,,16:58:00,,16:54:00
113275613237259001,,,,,,,,,,,,,,,,17:51:17,,17:53:00,,17:49:00
113275614237259001,,,,,,16:48:00,,16:50:03,16:51:30,16:52:18,16:52:57,16:54:00,16:56:00,16:49:00,16:58:32,,,,16:57:00,17:01:00
113275615237259001,,,,,,17:51:00,,17:53:03,17:54:30,17:55:18,17:55:57,17:57:00,17:59:00,17:52:00,18:01:32,,,,18:00:00,18:04:00
113275616237259001,,,,,,16:16:00,,16:18:03,16:19:30,16:20:18,16:20:57,16:22:00,16:24:00,16:17:00,16:26:32,,,,16:25:00,16:29:00
113275618237259001,,,,,,16:32:00,,16:34:03,16:35:30,16:36:18,16:36:57,16:38:00,16:40:00,16:33:00,16:42:32,,,,16:41:00,16:45:00
113275620237259001,,,,,,07:30:00,,07:32:03,07:33:30,07:34:18,07:34:57,07:36:00,07:38:00,07:31:00,07:41:32,,,,07:40:00,07:44:00
113275621237259001,,,,,,07:24:00,,07:26:03,07:27:30,07:28:18,07:28:57,07:30:00,07:32:00,07:25:00,07:35:32,,,,07:34:00,07:38:00
113275622237259001,,,,,,07:11:00,,07:13:03,07:14:30,07:15:18,07:15:57,07:17:00,07:19:00,07:12:00,07:21:32,,,,07:20:00,07:24:00
113275623237259001,,,,,,07:17:00,,07:19:03,07:20:30,07:21:18,07:21:57,07:23:00,07:25:00,07:18:00,07:27:32,,,,07:26:00,07:30:00
113275624237259001,,,,,,07:05:00,,07:07:03,07:08:30,07:09:18,07:09:57,07:11:00,07:13:00,07:06:00,07:15:32,,,,07:14:00,07:18:00
113275625237259001,,,,,,06:59:00,,07:01:03,07:02:30,07:03:18,07:03:57,07:05:00,07:07:00,07:00:00,07:09:32,,,,07:08:00,07:12:00
113275626237259001,,,,,,06:53:00,,06:54:50,06:56:00,06:56:39,06:57:09,06:58:00,07:00:00,06:54:00,07:02:32,,,,07:01:00,07:05:00
113275627237259001,,,,,,06:46:00,,06:47:50,06:49:00,06:49:39,06:50:09,06:51:00,06:53:00,06:47:00,06:55:32,,,,06:54:00,06:58:00
113275628237259001,17:31:00,17:32:10,17:32:39,17:33:19,17:34:51,17:36:00,17:29:00,,,,,,,,,17:26:17,,17:28:00,,17:24:00
113275629237259001,17:21:00,17:22:10,17:22:39,17:23:19,17:24:51,17:26:00,17:19:00,,,,,,,,,17:16:17,,17:18:00,,17:14:00
113275630237259001,,,,,,07:48:00,,07:50:03,07:51:30,07:52:18,07:52:57,07:54:00,07:56:00,07:49:00,07:59:32,,,,07:58:00,08:02:00
113275631237259001,,,,,,07:42:00,,07:44:03,07:45:30,07:46:18,07:46:57,07:48:00,07:50:00,07:43:00,07:53:32,,,,07:52:00,07:56:00
113275632237259001,,,,,,07:36:00,,07:38:03,07:39:30,07:40:18,07:40:57,07:42:00,07:44:00,07:37:00,07:47:32,,,,07:46:00,07:50:00
113275634237259001,06:36:00,06:37:10,06:37:39,06:38:19,06:39:51,06:41:00,06:35:00,,,,,,,,,,,,,
113275635237259001,06:43:00,06:44:10,06:44:39,06:45:19,06:46:51,06:48:00,06:42:00,,,,,,,,,,,,,
113275636237259001,06:49:00,06:50:10,06:50:39,06:51:19,06:52:51,06:54:00,06:48:00,,,,,,,,,,,,,
113275637237259001,06:55:00,06:56:10,06:56:39,06:57:19,06:58:51,07:00:00,06:54:00,,,,,,,,,,,,,
113275638237259001,07:01:00,07:02:10,07:02:39,07:03:19,07:04:51,07:06:00,07:00:00,,,,,,,,,,,,,
113275639237259001,,,,,,08:46:00,,08:48:03,08:49:30,08:50:18,08:50:57,08:52:00,08:54:00,08:47:00,08:57:32,,,,08:56:00,09:00:00
113275640237259001,,,,,,,,,,,,,,,,18:01:17,,18:03:00,,17:59:00
113275641237259001,,,,,,08:27:00,,08:29:03,08:30:30,08:31:18,08:31:57,08:33:00,08:35:00,08:28:00,08:38:32,,,,08:37:00,08:41:00
113275642237259001,,,,,,07:55:00,,07:57:03,07:58:30,07:59:18,07:59:57,08:01:00,08:03:00,07:56:00,08:06:32,,,,08:05:00,08:09:00
113275643237259001,,,,,,08:40:00,,08:42:03,08:43:30,08:44:18,08:44:57,08:46:00,08:48:00,08:41:00,08:51:32,,,,08:50:00,08:54:00
113275644237259001,,,,,,08:34:00,,08:36:03,08:37:30,08:38:18,08:38:57,08:40:00,08:42:00,08:35:00,08:45:32,,,,08:44:00,08:48:00
113275645237259001,,,,,,15:17:00,,15:19:03,15:20:30,15:21:18,15:21:57,15:23:00,15:25:00,15:18:00,15:27:32,,,,15:26:00,15:30:00
113275646237259001,,,,,,08:02:00,,08:04:03,08:05:30,08:06:18,08:06:57,08:08:00,08:10:00,08:03:00,08:13:32,,,,08:12:00,08:16:00
113275647237259001,07:07:00,07:08:10,07:08:39,07:09:19,07:10:51,07:12:00,07:06:00,,,,,,,,,07:03:17,,07:05:00,,07:01:00
113275648237259001,07:14:00,07:15:10,07:15:39,07:16:19,07:17:51,07:19:00,07:13:00,,,,,,,,,07:10:17,,07:12:00,,07:08:00
113275649237259001,07:20:00,07:21:10,07:21:39,07:22:19,07:23:51,07:25:00,07:19:00,,,,,,,,,07:16:17,,07:18:00,,07:14:00
113275650237259001,07:26:00,07:27:10,07:27:39,07:28:19,07:29:51,07:31:00,07:25:00,,,,,,,,,07:22:17,,07:24:00,,07:20:00
113275651237259001,07:32:00,07:33:10,07:33:39,07:34:19,07:35:51,07:37:00,07:31:00,,,,,,,,,07:28:17,,07:30:00,,07:26:00
113275652237259001,07:38:00,07:39:10,07:39:39,07:40:19,07:41:51,07:43:00,07:37:00,,,,,,,,,07:34:17,,07:36:00,,07:32:00
113275653237259001,07:44:00,07:45:23,07:45:59,07:46:47,07:48:37,07:50:00,07:43:00,,,,,,,,,07:40:17,,07:42:00,,07:38:00
113275654237259001,07:51:00,07:52:23,07:52:59,07:53:47,07:55:37,07:57:00,07:50:00,,,,,,,,,07:47:17,,07:49:00,,07:45:00
113275655237259001,07:57:00,07:58:23,07:58:59,07:59:47,08:01:37,08:03:00,07:56:00,,,,,,,,,07:53:17,,07:55:00,,07:51:00
113275656237259001,08:03:00,08:04:23,08:04:59,08:05:47,08:07:37,08:09:00,08:02:00,,,,,,,,,07:59:17,,08:01:00,,07:57:00
113275657237259001,08:09:00,08:10:23,08:10:59,08:11:47,08:13:37,08:15:00,08:08:00,,,,,,,,,08:05:17,,08:07:00,,08:03:00
113275658237259001,08:15:00,08:16:23,08:16:59,08:17:47,08:19:37,08:21:00,08:14:00,,,,,,,,,08:11:17,,08:13:00,,08:09:00
113275659237259001,08:22:00,08:23:23,08:23:59,08:24:47,08:26:37,08:28:00,08:21:00,,,,,,,,,08:18:17,,08:20:00,,08:16:00
113275660237259001,08:30:00,08:31:10,08:31:39,08:32:19,08:33:51,08:35:00,08:29:00,,,,,,,,,08:26:17,,08:28:00,,08:24:00
113275661237259001,08:36:00,08:37:10,08:37:39,08:38:19,08:39:51,08:41:00,08:35:00,,,,,,,,,08:32:17,,08:34:00,,08:30:00
113275662237259001,08:42:00,08:43:10,08:43:39,08:44:19,08:45:51,08:47:00,08:41:00,,,,,,,,,08:38:17,,08:40:00,,08:36:00
113275663237259001,,,,,,,,,,,,,,,,08:45:17,,08:47:00,,08:43:00
113275664237259001,,,,,,,,,,,,,,,,08:51:17,,08:53:00,,08:49:00
113275665237259001,,,,,,,,,,,,,,,,08:57:17,,08:59:00,,08:55:00
113275666237259001,,,,,,,,,,,,,,,,09:03:17,,09:05:00,,09:01:00
113275667237259001,,,,,,,,,,,,,,,,09:08:17,,09:10:00,,09:06:00
113275669237259001,15:06:00,15:07:10,15:07:39,15:08:19,15:09:51,15:11:00,15:04:00,,,,,,,,,15:01:17,,15:03:00,,14:59:00
113275670237259001,15:12:00,15:13:10,15:13:39,15:14:19,15:15:51,15:17:00,15:10:00,,,,,,,,,15:07:17,,15:09:00,,15:05:00
113275671237259001,15:18:00,15:19:10,15:19:39,15:20:19,15:21:51,15:23:00,15:16:00,,,,,,,,,15:13:17,,15:15:00,,15:11:00
113275672237259001,15:24:00,15:25:10,15:25:39,15:26:19,15:27:51,15:29:00,15:22:00,,,,,,,,,15:19:17,,15:21:00,,15:17:00
113275673237259001,15:30:00,15:31:10,15:31:39,15:32:19,15:33:51,15:35:00,15:28:00,,,,,,,,,15:25:17,,15:27:00,,15:23:00
113275674237259001,15:36:00,15:37:10,15:37:39,15:38:19,15:39:51,15:41:00,15:34:00,,,,,,,,,15:31:17,,15:33:00,,15:29:00
113275675237259001,15:42:00,15:43:10,15:43:39,15:44:19,15:45:51,15:47:00,15:40:00,,,,,,,,,15:37:17,,15:39:00,,15:35:00
113275676237259001,15:48:00,15:49:10,15:49:39,15:50:19,15:51:51,15:53:00,15:46:00,,,,,,,,,15:43:17,,15:45:00,,15:41:00
113275677237259001,15:54:00,15:55:10,15:55:39,15:56:19,15:57:51,15:59:00,15:52:00,,,,,,,,,15:49:17,,15:51:00,,15:47:00
113275678237259001,16:00:00,16:01:10,16:01:39,16:02:19,16:03:51,16:05:00,15:58:00,,,,,,,,,15:55:17,,15:57:00,,15:53:00
113275679237259001,16:06:00,16:07:10,16:07:39,16:08:19,16:09:51,16:11:00,16:04:00,,,,,,,,,16:01:17,,16:03:00,,15:59:00
113275680237259001,16:12:00,16:13:10,16:13:39,16:14:19,16:15:51,16:17:00,16:10:00,,,,,,,,,16:07:17,,16:09:00,,16:05:00
113275681237259001,16:18:00,16:19:10,16:19:39,16:20:19,16:21:51,16:23:00,16:16:00,,,,,,,,,16:13:17,,16:15:00,,16:11:00
