trip_id,1131B,1162C,1270B,1418B,1780,2247,2250,2695,3017,3018,4556,5044,5048,6432,6433,9600B
113094829236755601,,24:57:00,24:52:00,,25:00:00,,24:47:00,24:42:58,24:36:53,,,,24:39:00,24:59:00,,24:30:00
113094830236755601,23:53:00,,,23:57:00,23:50:00,24:02:00,,,,24:12:03,24:05:32,24:10:00,,,23:51:00,24:20:00
113094831236755601,05:00:00,,,05:05:00,04:57:00,05:10:00,,,,05:20:03,05:13:32,05:18:00,,,04:58:00,05:28:00
113094832236755601,,06:07:00,06:02:00,,06:10:00,,05:57:00,05:52:58,05:46:53,,,,05:49:00,06:09:00,,05:40:00
113094833236755601,,24:37:00,24:32:00,,24:40:00,,24:27:00,24:22:58,24:16:53,,,,24:19:00,24:39:00,,24:10:00
113094834236755601,,24:17:00,24:12:00,,24:20:00,,24:07:00,24:02:58,23:56:53,,,,23:59:00,24:19:00,,23:50:00
113094835236755601,,23:57:00,23:52:00,,24:00:00,,23:47:00,23:42:58,23:36:53,,,,23:39:00,23:59:00,,23:30:00
113094836236755601,,23:37:00,23:32:00,,23:40:00,,23:27:00,23:22:58,23:16:53,,,,23:19:00,23:39:00,,23:10:00
113094837236755601,,23:17:00,23:12:00,,23:20:00,,23:07:00,23:02:58,22:56:53,,,,22:59:00,23:19:00,,22:50:00
113094838236755601,,22:57:00,22:52:00,,23:00:00,,22:47:00,22:42:58,22:36:53,,,,22:39:00,22:59:00,,22:30:00
113094839236755601,,22:37:00,22:32:00,,22:40:00,,22:27:00,22:22:58,22:16:53,,,,22:19:00,22:39:00,,22:10:00
113094840236755601,,22:22:00,22:17:00,,22:25:00,,22:12:00,22:07:58,22:01:53,,,,22:04:00,22:24:00,,21:55:00
113094841236755601,,22:07:00,22:02:00,,22:10:00,,21:57:00,21:52:58,21:46:53,,,,21:49:00,22:09:00,,21:40:00
113094842236755601,,21:52:00,21:47:00,,21:55:00,,21:42:00,21:37:58,21:31:53,,,,21:34:00,21:54:00,,21:25:00
113094843236755601,,21:37:00,21:32:00,,21:40:00,,21:27:00,21:22:58,21:16:53,,,,21:19:00,21:39:00,,21:10:00
113094844236755601,,21:22:00,21:17:00,,21:25:00,,21:12:00,21:07:58,21:01:53,,,,21:04:00,21:24:00,,20:55:00
113094845236755601,,21:08:00,21:03:00,,21:11:00,,20:57:00,20:52:58,20:46:53,,,,20:49:00,21:10:00,,20:40:00
113094846236755601,,20:54:00,20:49:00,,20:57:00,,20:43:00,20:38:58,20:32:53,,,,20:35:00,20:56:00,,20:26:00
113094847236755601,,20:39:00,20:34:00,,20:42:00,,20:28:00,20:23:58,20:17:53,,,,20:20:00,20:41:00,,20:11:00
113094848236755601,,20:24:00,20:19:00,,20:27:00,,20:13:00,20:08:58,20:02:53,,,,20:05:00,20:26:00,,19:56:00
113094849236755601,,20:09:00,20:04:00,,20:12:00,,19:58:00,19:53:58,19:47:53,,,,19:50:00,20:11:00,,19:41:00
113094850236755601,,19:54:00,19:49:00,,19:57:00,,19:43:00,19:38:58,19:32:53,,,,19:35:00,19:56:00,,19:26:00
113094851236755601,,19:39:00,19:34:00,,19:42:00,,19:28:00,19:23:58,19:17:53,,,,19:20:00,19:41:00,,19:11:00
113094852236755601,,19:24:00,19:19:00,,19:27:00,,19:13:00,19:08:58,19:02:53,,,,19:05:00,19:26:00,,18:56:00
113094853236755601,,19:09:00,19:04:00,,19:12:00,,18:58:00,18:53:58,18:47:53,,,,18:50:00,19:11:00,,18:41:00
113094854236755601,,18:54:00,18:49:00,,18:57:00,,18:43:00,18:38:58,18:32:53,,,,18:35:00,18:56:00,,18:26:00
113094855236755601,,18:39:00,18:34:00,,18:42:00,,18:28:00,18:23:58,18:17:53,,,,18:20:00,18:41:00,,18:11:00
113094856236755601,,18:23:00,18:18:00,,18:26:00,,18:12:00,18:07:58,18:01:53,,,,18:04:00,18:25:00,,17:55:00
113094857236755601,,18:08:00,18:03:00,,18:11:00,,17:57:00,17:52:58,17:46:53,,,,17:49:00,18:10:00,,17:40:00
113094858236755601,,17:53:00,17:48:00,,17:56:00,,17:42:00,17:37:58,17:31:53,,,,17:34:00,17:55:00,,17:25:00
113094859236755601,,17:38:00,17:33:00,,17:41:00,,17:27:00,17:22:58,17:16:53,,,,17:19:00,17:40:00,,17:10:00
113094860236755601,,17:23:00,17:18:00,,17:26:00,,17:12:00,17:07:58,17:01:53,,,,17:04:00,17:25:00,,16:55:00
113094861236755601,,17:08:00,17:03:00,,17:11:00,,16:57:00,16:52:58,16:46:53,,,,16:49:00,17:10:00,,16:40:00
113094862236755601,,16:53:00,16:48:00,,16:56:00,,16:42:00,16:37:58,16:31:53,,,,16:34:00,16:55:00,,16:25:00
113094863236755601,,16:38:00,16:33:00,,16:41:00,,16:27:00,16:22:58,16:16:53,,,,16:19:00,16:40:00,,16:10:00
113094864236755601,,16:23:00,16:18:00,,16:26:00,,16:12:00,16:07:58,16:01:53,,,,16:04:00,16:25:00,,15:55:00
113094865236755601,,16:08:00,16:03:00,,16:11:00,,15:57:00,15:52:58,15:46:53,,,,15:49:00,16:10:00,,15:40:00
113094866236755601,,15:53:00,15:48:00,,15:56:00,,15:42:00,15:37:58,15:31:53,,,,15:34:00,15:55:00,,15:25:00
113094867236755601,,15:38:00,15:33:00,,15:41:00,,15:27:00,15:22:58,15:16:53,,,,15:19:00,15:40:00,,15:10:00
113094868236755601,,15:23:00,15:18:00,,15:26:00,,15:12:00,15:07:58,15:01:53,,,,15:04:00,15:25:00,,14:55:00
113094869236755601,,15:08:00,15:03:00,,15:11:00,,14:57:00,14:52:58,14:46:53,,,,14:49:00,15:10:00,,14:40:00
113094870236755601,,14:53:00,14:48:00,,14:56:00,,14:42:00,14:37:58,14:31:53,,,,14:34:00,14:55:00,,14:25:00
113094871236755601,,14:38:00,14:33:00,,14:41:00,,14:27:00,14:22:58,14:16:53,,,,14:19:00,14:40:00,,14:10:00
113094872236755601,,14:23:00,14:18:00,,14:26:00,,14:12:00,14:07:58,14:01:53,,,,14:04:00,14:25:00,,13:55:00
113094873236755601,,14:08:00,14:03:00,,14:11:00,,13:57:00,13:52:58,13:46:53,,,,13:49:00,14:10:00,,13:40:00
113094874236755601,,13:53:00,13:48:00,,13:56:00,,13:42:00,13:37:58,13:31:53,,,,13:34:00,13:55:00,,13:25:00
113094875236755601,,13:38:00,13:33:00,,13:41:00,,13:27:00,13:22:58,13:16:53,,,,13:19:00,13:40:00,,13:10:00
113094876236755601,,13:24:00,13:19:00,,13:27:00,,13:13:00,13:08:58,13:02:38,,,,13:05:00,13:26:00,,12:55:00
113094877236755601,,13:09:00,13:04:00,,13:12:00,,12:58:00,12:53:58,12:47:38,,,,12:50:00,13:11:00,,12:40:00
113094878236755601,,12:55:00,12:50:00,,12:58:00,,12:44:00,12:39:58,12:33:24,,,,12:36:00,12:57:00,,12:25:00
113094879236755601,,12:40:00,12:35:00,,12:43:00,,12:29:00,12:24:58,12:18:24,,,,12:21:00,12:42:00,,12:10:00
113094880236755601,,09:08:00,09:02:00,,09:11:00,,08:57:00,08:52:58,08:46:53,,,,08:49:00,09:10:00,,08:40:00
113094881236755601,,12:25:00,12:20:00,,12:28:00,,12:14:00,12:09:58,12:03:24,,,,12:06:00,12:27:00,,11:55:00
113094882236755601,,11:56:00,11:50:00,,11:59:00,,11:44:00,11:39:58,11:33:24,,,,11:36:00,11:58:00,,11:25:00
113094883236755601,,11:41:00,11:35:00,,11:44:00,,11:29:00,11:24:58,11:18:24,,,,11:21:00,11:43:00,,11:10:00
113094884236755601,,11:20:00,11:14:00,,11:23:00,,11:08:00,11:03:58,10:57:38,,,,11:00:00,11:22:00,,10:50:00
113094885236755601,,10:59:00,10:53:00,,11:02:00,,10:48:00,10:43:58,10:37:38,,,,10:40:00,11:01:00,,10:30:00
113094886236755601,,10:39:00,10:33:00,,10:42:00,,10:28:00,10:23:58,10:17:38,,,,10:20:00,10:41:00,,10:10:00
113094887236755601,,10:19:00,10:13:00,,10:22:00,,10:08:00,10:03:58,09:57:38,,,,10:00:00,10:21:00,,09:50:00
113094888236755601,,09:59:00,09:53:00,,10:02:00,,09:48:00,09:43:58,09:37:38,,,,09:40:00,10:01:00,,09:30:00
113094889236755601,,09:35:00,09:29:00,,09:38:00,,09:24:00,09:19:58,09:13:38,,,,09:16:00,09:37:00,,09:06:00
113094890236755601,,06:37:00,06:32:00,,06:40:00,,06:27:00,06:22:58,06:16:53,,,,06:19:00,06:39:00,,06:10:00
