trip_id,1132,1133,1160,1162C,1262B,1270B,1402B,1403,1416,1419,1463,1464,1476,1497B,1516,1563,1780,1893,2083,2695,2924,3199,3201,3203,3204,3214,3216,3251,3279,3280,3306,3361,3404,3420,3424,3425,3450,3458,3466,3468,3707,3904,3905,3911,3956,3957,3961,4500,4505,4555,4556,4558,6432,6433,6448,6451,6454
113152177236755601,24:14:00,24:14:54,,,24:13:00,,24:17:59,24:20:00,24:15:43,24:19:24,,,,,24:22:11,,24:10:00,24:38:00,24:17:00,,,,,,,,,24:21:17,,,24:34:58,,24:33:04,24:36:00,24:34:00,,24:32:26,,,,,,,,24:25:47,24:27:00,24:28:01,,,24:30:32,24:31:34,24:29:12,,24:11:00,24:24:00,24:23:00,
113152178236755601,24:34:00,24:34:54,,,24:33:00,,24:37:59,24:40:00,24:35:43,24:39:24,,,,,24:42:11,,24:30:00,24:58:00,24:37:00,,,,,,,,,24:41:17,,,24:54:58,,24:53:04,24:56:00,24:54:00,,24:52:26,,,,,,,,24:45:47,24:47:00,24:48:01,,,24:50:32,24:51:34,24:49:12,,24:31:00,24:44:00,24:43:00,
113152179236755601,24:54:00,24:54:54,,,24:53:00,,24:57:59,25:00:00,24:55:43,24:59:24,,,,,25:02:11,,24:50:00,25:18:00,24:57:00,,,,,,,,,25:01:17,,,25:14:58,,25:13:04,25:16:00,25:14:00,,25:12:26,,,,,,,,25:05:47,25:07:00,25:08:01,,,25:10:32,25:11:34,25:09:12,,24:51:00,25:04:00,25:03:00,
113152180236755601,25:14:00,25:14:54,,,25:13:00,,25:17:59,25:20:00,25:15:43,25:19:24,,,,,25:22:11,,25:10:00,25:38:00,25:17:00,,,,,,,,,25:21:17,,,25:34:58,,25:33:04,25:36:00,25:34:00,,25:32:26,,,,,,,,25:25:47,25:27:00,25:28:01,,,25:30:32,25:31:34,25:29:12,,25:11:00,25:24:00,25:23:00,
113152184236755601,,,04:48:00,04:49:00,,04:45:00,,,,,04:43:01,04:44:02,04:46:02,04:47:30,,04:39:50,04:52:00,,,04:30:26,04:25:38,,,,,04:23:00,04:40:45,,,,,04:27:08,,,,04:28:00,,04:28:51,04:29:39,04:31:24,04:42:00,04:35:00,04:36:17,04:37:26,,,,04:32:49,04:34:02,,,,04:51:00,,,,04:39:00
113152185236755601,,,05:18:00,05:19:00,,05:15:00,,,,,05:13:01,05:14:02,05:16:02,05:17:30,,05:09:50,05:22:00,,,05:00:26,04:55:38,,,,,04:53:00,05:10:45,,,,,04:57:08,,,,04:58:00,,04:58:51,04:59:39,05:01:24,05:12:00,05:05:00,05:06:17,05:07:26,,,,05:02:49,05:04:02,,,,05:21:00,,,,05:09:00
113152186236755601,,,05:48:00,05:49:00,,05:45:00,,,,,05:43:01,05:44:02,05:46:02,05:47:30,,05:39:50,05:52:00,,,05:30:26,05:25:38,,,,,05:23:00,05:40:45,,,,,05:27:08,,,,05:28:00,,05:28:51,05:29:39,05:31:24,05:42:00,05:35:00,05:36:17,05:37:26,,,,05:32:49,05:34:02,,,,05:51:00,,,,05:39:00
113164187236917501,,,04:48:00,04:49:00,,04:45:00,,,,,04:43:01,04:44:02,04:46:02,04:47:30,,04:39:50,04:52:00,,,04:30:26,04:25:38,,,,,04:23:00,04:40:45,,,,,04:27:08,,,,04:28:00,,04:28:51,04:29:39,04:31:24,04:42:00,04:35:00,04:36:17,04:37:26,,,,04:32:49,04:34:02,,,,04:51:00,,,,04:39:00
113164188236917501,,,05:18:00,05:19:00,,05:15:00,,,,,05:13:01,05:14:02,05:16:02,05:17:30,,05:09:50,05:22:00,,,05:00:26,04:55:38,,,,,04:53:00,05:10:45,,,,,04:57:08,,,,04:58:00,,04:58:51,04:59:39,05:01:24,05:12:00,05:05:00,05:06:17,05:07:26,,,,05:02:49,05:04:02,,,,05:21:00,,,,05:09:00
113164189236917501,,,05:48:00,05:49:00,,05:45:00,,,,,05:43:01,05:44:02,05:46:02,05:47:30,,05:39:50,05:52:00,,,05:30:26,05:25:38,,,,,05:23:00,05:40:45,,,,,05:27:08,,,,05:28:00,,05:28:51,05:29:39,05:31:24,05:42:00,05:35:00,05:36:17,05:37:26,,,,05:32:49,05:34:02,,,,05:51:00,,,,05:39:00
