trip_id,1008,1009,1010,1065,1066,1067,1112,1114B,1115,1179,1180,1183,1303,1328,1334,1599,1606,1710,1711,1721,1722,1727,1732,1743,1744,1746,1747,1748,2422,2423,2519,2849,2850,4105,4111,4112,4116,4152,4158,4163,9103
113243369237158001,06:30:43,06:31:21,06:32:22,,,,06:46:00,06:48:03,06:48:58,,,,,,06:27:05,,06:28:50,,,,,,06:24:00,06:24:46,06:25:38,06:30:00,06:34:00,06:36:03,,06:41:11,06:43:00,06:28:08,,06:39:14,06:52:00,06:38:00,06:45:02,,,,
113243370237158001,05:53:43,05:54:21,05:55:22,,,,06:06:00,06:07:43,06:08:28,,,,,,05:50:05,,05:51:50,,,,,,05:47:00,05:47:46,05:48:38,05:53:00,05:57:00,05:58:33,,06:02:33,06:04:00,05:51:08,,06:00:59,06:11:00,06:00:00,06:05:21,,,,
113243373237158001,,,,24:54:55,24:55:34,24:56:07,,,,24:42:32,24:43:32,24:46:00,24:48:00,25:00:14,,24:57:57,,24:51:52,24:57:00,25:01:25,25:02:27,25:03:00,,,,,,,24:49:09,,,,24:59:02,,24:41:00,,,24:46:52,24:50:18,24:51:00,24:53:00
113243374237158001,23:33:43,23:34:21,23:35:22,,,,23:46:00,23:47:22,23:47:58,,,,,,23:30:05,,23:31:50,,,,,,23:27:00,23:27:46,23:28:38,23:33:00,23:37:00,23:38:33,,23:42:33,23:44:00,23:31:08,,23:40:59,23:50:00,23:40:00,23:45:21,,,,
113243375237158001,,,,06:19:55,06:20:34,06:21:07,,,,06:07:32,06:08:32,06:11:00,06:13:00,06:25:14,,06:22:57,,06:16:52,06:22:00,06:26:25,06:27:27,06:28:00,,,,,,,06:14:09,,,,06:24:02,,06:06:00,,,06:11:52,06:15:18,06:16:00,06:18:00
113243376237158001,,,,05:59:55,06:00:34,06:01:07,,,,05:47:32,05:48:32,05:51:00,05:53:00,06:05:14,,06:02:57,,05:56:52,06:02:00,06:06:25,06:07:27,06:08:00,,,,,,,05:54:09,,,,06:04:02,,05:46:00,,,05:51:52,05:55:18,05:56:00,05:58:00
113243377237158001,05:31:43,05:32:21,05:33:22,,,,05:44:00,05:45:43,05:46:28,,,,,,05:28:05,,05:29:50,,,,,,05:25:00,05:25:46,05:26:38,05:31:00,05:35:00,05:36:33,,05:40:33,05:42:00,05:29:08,,05:38:59,05:49:00,05:38:00,05:43:21,,,,
113243378237158001,,,,06:42:24,06:43:13,06:43:54,,,,06:27:32,06:28:32,06:31:00,06:34:00,06:48:14,,06:45:57,,06:38:52,06:45:00,06:49:25,06:50:27,06:51:00,,,,,,,06:35:32,,,,06:47:02,,06:26:00,,,06:32:17,06:37:04,06:38:00,06:40:00
113243379237158001,09:35:43,09:36:21,09:37:22,,,,09:52:00,09:54:24,09:55:27,,,,,,09:31:07,,09:33:26,,,,,,09:27:00,09:28:01,09:29:10,09:35:00,09:39:00,09:41:34,,09:47:11,09:49:00,09:32:31,,09:45:14,09:59:00,09:44:00,09:51:02,,,,
113243380237158001,07:12:54,07:13:41,07:14:57,,,,07:31:00,07:33:44,07:34:57,,,,,,07:08:07,,07:10:26,,,,,,07:04:00,07:05:01,07:06:10,07:12:00,07:17:00,07:19:34,,07:25:49,07:28:00,07:09:31,,07:23:28,07:39:00,07:22:00,07:30:02,,,,
113243381237158001,08:42:54,08:43:41,08:44:57,,,,09:02:00,09:04:24,09:05:27,,,,,,08:38:07,,08:40:26,,,,,,08:34:00,08:35:01,08:36:10,08:42:00,08:47:00,08:49:34,,08:55:49,08:58:00,08:39:31,,08:53:28,09:09:00,08:52:00,09:00:42,,,,
113243382237158001,08:22:54,08:23:41,08:24:57,,,,08:42:00,08:44:44,08:45:57,,,,,,08:18:07,,08:20:26,,,,,,08:14:00,08:15:01,08:16:10,08:22:00,08:27:00,08:29:34,,08:35:49,08:38:00,08:19:31,,08:33:28,08:50:00,08:32:00,08:40:42,,,,
113243383237158001,08:01:54,08:02:41,08:03:57,,,,08:21:00,08:23:44,08:24:57,,,,,,07:57:07,,07:59:26,,,,,,07:53:00,07:54:01,07:55:10,08:01:00,08:06:00,08:08:34,,08:14:49,08:17:00,07:58:31,,08:12:28,08:29:00,08:11:00,08:19:42,,,,
113243384237158001,06:53:43,06:54:21,06:55:22,,,,07:09:00,07:11:03,07:11:58,,,,,,06:49:36,,06:51:38,,,,,,06:46:00,06:46:53,06:47:54,06:53:00,06:57:00,06:59:03,,07:04:11,07:06:00,06:50:49,,07:02:14,07:15:00,07:01:00,07:08:02,,,,
113243385237158001,23:13:43,23:14:21,23:15:22,,,,23:26:00,23:27:22,23:27:58,,,,,,23:10:05,,23:11:50,,,,,,23:07:00,23:07:46,23:08:38,23:13:00,23:17:00,23:18:33,,23:22:33,23:24:00,23:11:08,,23:20:59,23:30:00,23:20:00,23:25:21,,,,
113243386237158001,21:10:43,21:11:21,21:12:22,,,,21:23:00,21:24:43,21:25:28,,,,,,21:07:05,,21:08:50,,,,,,21:04:00,21:04:46,21:05:38,21:10:00,21:14:00,21:15:33,,21:19:33,21:21:00,21:08:08,,21:17:59,21:28:00,21:17:00,21:22:21,,,,
113243387237158001,,,,09:44:24,09:45:13,09:45:54,,,,09:27:50,09:29:03,09:32:00,09:35:00,09:50:47,,09:48:06,,09:40:52,09:47:00,09:52:09,09:53:21,09:54:00,,,,,,,09:36:55,,,,09:49:22,,09:26:00,,,09:33:17,09:38:50,09:40:00,09:42:00
113243388237158001,,,,07:50:24,07:51:13,07:51:54,,,,07:32:50,07:34:03,07:37:00,07:41:00,07:56:47,,07:54:06,,07:46:52,07:53:00,07:58:09,07:59:21,08:00:00,,,,,,,07:42:55,,,,07:55:22,,07:31:00,,,07:38:43,07:44:50,07:46:00,07:48:00
113243389237158001,,,,09:21:24,09:22:13,09:22:54,,,,09:04:50,09:06:03,09:09:00,09:12:00,09:27:47,,09:25:06,,09:17:52,09:24:00,09:29:09,09:30:21,09:31:00,,,,,,,09:13:55,,,,09:26:22,,09:03:00,,,09:10:17,09:15:50,09:17:00,09:19:00
113243390237158001,,,,09:02:24,09:03:13,09:03:54,,,,08:44:08,08:45:33,08:49:00,08:53:00,09:08:47,,09:06:06,,08:58:52,09:05:00,09:10:09,09:11:21,09:12:00,,,,,,,08:54:55,,,,09:07:22,,08:42:00,,,08:50:43,08:56:50,08:58:00,09:00:00
113243391237158001,,,,23:52:55,23:53:34,23:54:07,,,,23:40:32,23:41:32,23:44:00,23:46:00,23:58:14,,23:55:57,,23:49:52,23:55:00,23:59:25,24:00:27,24:01:00,,,,,,,23:47:09,,,,23:57:02,,23:39:00,,,23:44:52,23:48:18,23:49:00,23:51:00
