trip_id,1453,1455,1472,4287,4288,4289,4290,4292,4293,4294,4295,4296,4297,4298,4299,4310,4311,4313,4314,4315,4318,4319,4340,4341,4342,4344,4345,4347,4348,4349,4351,4355,4357,4358,9059
113306126237420000,05:10:28,,05:17:43,,05:14:58,05:14:21,05:15:28,,,,,,05:05:00,05:06:11,05:07:10,05:08:00,05:09:29,05:11:00,,,,05:18:15,,,05:13:42,,,05:11:56,,05:13:00,,,,,05:19:00
113306127237420000,05:47:28,,05:54:43,,05:51:58,05:51:21,05:52:28,,,,,,05:42:00,05:43:11,05:44:10,05:45:00,05:46:29,05:48:00,,,,05:55:15,,,05:50:42,,,05:48:56,,05:50:00,,,,,05:56:00
113306128237420000,06:05:28,,06:12:43,,06:09:58,06:09:21,06:10:28,,,,,,06:00:00,06:01:11,06:02:10,06:03:00,06:04:29,06:06:00,,,,06:13:15,,,06:08:42,,,06:06:56,,06:08:00,,,,,06:14:00
113306129237420000,06:20:28,,06:27:43,,06:24:58,06:24:21,06:25:28,,,,,,06:15:00,06:16:11,06:17:10,06:18:00,06:19:29,06:21:00,,,,06:28:15,,,06:23:42,,,06:21:56,,06:23:00,,,,,06:29:00
113306130237420000,06:36:17,,06:44:30,,06:41:18,06:40:35,06:41:52,,,,,,06:30:00,06:31:11,06:32:10,06:33:00,06:34:59,06:37:00,,,,06:45:08,,,06:39:49,,,06:37:56,,06:39:00,,,,,06:46:00
113306131237420000,06:50:17,,06:58:30,,06:55:18,06:54:35,06:55:52,,,,,,06:44:00,06:45:11,06:46:10,06:47:00,06:48:59,06:51:00,,,,06:59:08,,,06:53:49,,,06:51:56,,06:53:00,,,,,07:00:00
113306132237420000,07:02:17,,07:11:17,,07:07:38,07:06:48,07:08:17,,,,,,06:56:00,06:57:11,06:58:10,06:59:00,07:00:59,07:03:00,,,,07:12:00,,,07:05:56,,,07:03:56,,07:05:00,,,,,07:13:00
113306133237420000,07:13:17,,07:22:17,,07:18:38,07:17:48,07:19:17,,,,,,07:07:00,07:08:11,07:09:10,07:10:00,07:11:59,07:14:00,,,,07:23:00,,,07:16:56,,,07:14:56,,07:16:00,,,,,07:24:00
113306134237420000,07:25:17,,07:34:17,,07:30:38,07:29:48,07:31:17,,,,,,07:18:00,07:19:35,07:20:53,07:22:00,07:23:59,07:26:00,,,,07:35:00,,,07:28:56,,,07:26:56,,07:28:00,,,,,07:36:00
113306135237420000,07:37:17,,07:46:17,,07:42:38,07:41:48,07:43:17,,,,,,07:30:00,07:31:35,07:32:53,07:34:00,07:35:59,07:38:00,,,,07:47:00,,,07:40:56,,,07:38:56,,07:40:00,,,,,07:48:00
