trip_id,1016,1024,1030,1051,1052,1083,1095,1096,1097,1102,1105,1118B,1119,1120,1142,1190,1193,1194,1197,1198,1209,1306,1307,1348,1349,1350,1351,1792,1793,1900,2072,2073,2081,2082,4066,4111,4213,4214,4598,4661B,5013B
113336593237514001,,,06:08:00,06:10:15,06:08:56,,,,,,,,,06:24:32,,06:28:08,06:31:05,06:32:00,06:21:47,06:23:02,06:29:14,,06:27:00,06:12:00,,06:12:41,,,06:17:00,06:06:00,06:20:34,,,06:19:00,06:26:09,,06:15:00,06:15:57,,06:30:20,
113336594237514001,,,05:52:00,05:54:15,05:52:56,,,,,,,,,06:08:32,,06:12:08,06:15:05,06:16:00,06:05:47,06:07:02,06:13:14,,06:11:00,05:56:00,,05:56:41,,,06:01:00,05:50:00,06:04:34,,,06:03:00,06:10:09,,05:59:00,05:59:57,,06:14:20,
113336595237514001,06:34:28,06:35:54,,,,06:37:00,06:12:50,06:19:37,06:21:00,06:11:05,06:13:34,06:16:28,06:17:58,,06:10:00,,,,,,,06:15:00,,,06:33:00,,06:32:03,06:27:21,,06:39:00,,06:22:42,06:24:00,,,06:26:00,,,06:11:45,,06:29:00
113336596237514001,,,05:36:00,05:38:15,05:36:56,,,,,,,,,05:52:32,,05:56:08,05:59:05,06:00:00,05:49:47,05:51:02,05:57:14,,05:55:00,05:40:00,,05:40:41,,,05:45:00,05:34:00,05:48:34,,,05:47:00,05:54:09,,05:43:00,05:43:57,,05:58:20,
113336602237514001,05:30:06,05:31:11,,,,05:32:00,05:08:50,05:15:37,05:17:00,05:07:05,05:09:34,05:12:28,05:13:58,,05:06:00,,,,,,,05:11:00,,,05:29:00,,05:28:03,05:23:21,,05:34:00,,05:18:42,05:20:00,,,05:22:00,,,05:07:45,,05:25:00
113336603237514001,05:50:06,05:51:11,,,,05:52:00,05:28:50,05:35:37,05:37:00,05:27:05,05:29:34,05:32:28,05:33:58,,05:26:00,,,,,,,05:31:00,,,05:49:00,,05:48:03,05:43:21,,05:54:00,,05:38:42,05:40:00,,,05:42:00,,,05:27:45,,05:45:00
113336604237514001,06:05:06,06:06:11,,,,06:07:00,05:43:50,05:50:37,05:52:00,05:42:05,05:44:34,05:47:28,05:48:58,,05:41:00,,,,,,,05:46:00,,,06:04:00,,06:03:03,05:58:21,,06:09:00,,05:53:42,05:55:00,,,05:57:00,,,05:42:45,,06:00:00
113336612237514001,,,09:34:00,09:37:22,09:35:24,,,,,,,,,09:58:55,,10:03:22,10:06:54,10:08:00,09:55:29,09:57:03,10:04:40,,10:02:00,09:40:00,,09:41:07,,,09:49:00,09:32:00,09:53:58,,,09:52:00,10:00:56,,09:45:00,09:46:53,,10:06:00,
113336613237514001,,,09:24:00,09:27:22,09:25:24,,,,,,,,,09:48:55,,09:53:22,09:56:54,09:58:00,09:45:29,09:47:03,09:54:40,,09:52:00,09:30:00,,09:31:07,,,09:39:00,09:22:00,09:43:58,,,09:42:00,09:50:56,,09:35:00,09:36:53,,09:56:00,
113336614237514001,,,08:28:00,08:31:22,08:29:24,,,,,,,,,08:55:59,,09:01:36,09:05:43,09:07:00,08:51:31,08:53:34,09:03:07,,09:00:00,08:34:00,,08:35:07,,,08:44:00,08:26:00,08:49:33,,,08:47:00,08:58:37,,08:39:00,08:41:21,,09:04:39,
