trip_id,0521,0529,0536,0539,0801,0806,0811,0816,0821,0826,0901,0906,2241G,2242F,2246F,2351F,2397F,2720F,2726F,2793F,2794F,3308F,3360F,3480,5200F,5205,5261,5264F,5265F,5266F,5267,5311,5312,5352,5407F,5413F,5414F,5415F,5416F,5451F,5459F,5460F,5461F,5462F,5468,5714,5762,6201F,6202,6204,6258,6260F,6419F
113478998238199501,,,,,,,,,,,,,04:52:00,,,,,,,04:56:00,,04:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:53:14,,
113480339238202001,23:07:00,,,23:09:00,,,,,,,,,,,,,,,23:03:00,,22:58:00,,,,,,,,,,,,,,,,,,,,,,,,,23:05:00,,,,,,23:01:03,23:00:00
113480343238202001,,,05:05:00,05:04:00,,,,,,,,,,,,,,05:09:00,,,05:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,05:08:00,05:10:57,05:12:00,,,,
113480345238202001,23:22:00,,,23:24:00,,,,,,,,,,,,,,,23:18:00,,23:13:00,,,,,,,,,,,,,,,,,,,,,,,,,23:20:00,,,,,,23:16:03,23:15:00
113480346238202001,,,21:43:00,21:42:00,,,,,,,,,,,,,,21:47:00,,,21:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,21:46:00,21:48:57,21:50:00,,,,
113480347238202001,23:52:00,,,23:54:00,,,,,,,,,,,,,,,23:48:00,,23:43:00,,,,,,,,,,,,,,,,,,,,,,,,,23:50:00,,,,,,23:46:03,23:45:00
113480348238202001,,,20:57:00,20:56:00,,,,,,,,,,,,,,21:01:00,,,21:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,21:00:00,21:02:57,21:04:00,,,,
113480349238202001,22:52:00,,,22:54:00,,,,,,,,,,,,,,,22:48:00,,22:43:00,,,,,,,,,,,,,,,,,,,,,,,,,22:50:00,,,,,,22:46:03,22:45:00
113480350238202001,24:22:00,24:24:00,,,,,,,,,,,,,,,,,24:18:00,,24:13:00,,,,,,,,,,,,,,,,,,,,,,,,,24:20:00,,,,,,24:16:03,24:15:00
113480351238202001,22:22:00,,,22:24:00,,,,,,,,,,,,,,,22:18:00,,22:13:00,,,,,,,,,,,,,,,,,,,,,,,,,22:20:00,,,,,,22:16:03,22:15:00
113480352238202001,20:53:00,,,20:55:00,,,,,,,,,,,,,,,20:49:00,,20:44:00,,,,,,,,,,,,,,,,,,,,,,,,,20:51:00,,,,,,20:47:03,20:46:00
113480353238202001,21:37:00,21:39:00,,,,,,,,,,,,,,,,,21:33:00,,21:28:00,,,,,,,,,,,,,,,,,,,,,,,,,21:35:00,,,,,,21:31:03,21:30:00
113480354238202001,24:07:00,,,24:09:00,,,,,,,,,,,,,,,24:03:00,,23:58:00,,,,,,,,,,,,,,,,,,,,,,,,,24:05:00,,,,,,24:01:03,24:00:00
113480355238202001,23:37:00,,,23:39:00,,,,,,,,,,,,,,,23:33:00,,23:28:00,,,,,,,,,,,,,,,,,,,,,,,,,23:35:00,,,,,,23:31:03,23:30:00
113480356238202001,,,,,,,,,,,,,,,,,05:07:00,,,,,,,,,,,,,,,,,,05:08:00,05:09:24,05:11:00,05:12:17,05:13:00,,,,,,,,,,,,,,
113480357238202001,,,,,20:11:00,,20:09:12,,20:07:37,,20:12:33,,,20:05:00,20:06:00,,20:23:00,,,19:59:00,,,20:01:00,,20:21:00,20:18:46,,,,20:17:09,,20:15:52,20:14:00,,20:25:00,20:26:24,20:28:00,20:29:17,20:30:00,,,,,,,,,,,20:03:12,,,
113480358238202001,,,,,,06:15:00,,06:16:38,,06:18:05,,06:14:03,06:20:00,,,,,,,06:24:00,,06:23:00,,06:06:00,,,06:08:45,06:07:00,06:10:11,,06:11:20,,,06:13:00,,,,,,05:59:00,05:59:41,06:01:00,06:02:11,06:03:00,06:03:52,,,,,,06:21:14,,
113480359238202001,,,,,,05:40:00,,05:41:38,,05:43:05,,05:39:03,05:45:00,,,,,,,05:49:00,,05:48:00,,05:31:00,,,05:33:45,05:32:00,05:35:11,,05:36:20,,,05:38:00,,,,,,05:24:00,05:24:41,05:26:00,05:27:11,05:28:00,05:28:52,,,,,,05:46:14,,
113480360238202001,,,,,06:10:00,,06:08:12,,06:06:37,,06:11:02,,,06:04:00,06:05:00,,06:21:00,,,05:59:00,,,06:01:00,,06:19:00,06:16:46,,,,06:15:09,,06:13:52,06:12:00,,06:22:00,06:23:24,06:25:00,06:26:17,06:27:00,,,,,,,,,,,06:02:39,,,
113480361238202001,,,,,05:35:00,,05:33:12,,05:31:37,,05:36:02,,,05:29:00,05:30:00,,05:46:00,,,05:24:00,,,05:26:00,,05:44:00,05:41:46,,,,05:40:09,,05:38:52,05:37:00,,05:47:00,05:48:24,05:50:00,05:51:17,05:52:00,,,,,,,,,,,05:27:39,,,
113480362238202001,,,,,,24:20:00,,24:21:38,,24:23:05,,24:19:03,24:25:00,,,,,,,24:30:00,,24:29:00,,24:11:00,,,24:13:45,24:12:00,24:15:11,,24:16:20,,,24:18:00,,,,,,24:03:00,24:03:41,24:05:00,24:06:11,24:07:00,24:08:09,,,,,,24:26:39,,
113480363238202001,,,,,23:43:00,,23:41:12,,23:39:37,,23:44:02,,,23:37:00,23:38:00,,23:54:00,,,23:32:00,,,23:34:00,,23:52:00,23:49:46,,,,23:48:09,,23:46:52,23:45:00,,23:55:00,23:56:24,23:58:00,23:59:17,24:00:00,,,,,,,,,,,23:35:39,,,
