trip_id,1113,1132,1133,1134,1135,1136,1138,1139,1140,1141,1150,1152,1153,1154,1156,1157,1158,1160,1162C,1262B,1476,1497B,1522,2283,2287,2289,2429,2430,2431,3899,3900,3902,3903,3909,3910,3919,3920,3958,3959,3962
113358497237598601,,,,,,,,,,,05:07:46,05:09:00,05:09:55,05:11:00,05:15:00,05:15:59,05:17:00,05:20:10,05:21:00,,05:18:02,05:19:37,,,05:13:00,,05:00:00,,05:04:00,,,,,05:05:38,05:06:16,05:07:05,,05:00:26,05:01:25,05:02:51
113358498237598601,,,,,,,,,,,05:37:46,05:39:00,05:39:55,05:41:00,05:45:00,05:45:59,05:47:00,05:50:10,05:51:00,,05:48:02,05:49:37,,,05:43:00,,05:30:00,,05:34:00,,,,,05:35:38,05:36:16,05:37:05,,05:30:26,05:31:25,05:32:51
113358499237598601,,,,,,,,,,,06:07:46,06:09:00,06:09:55,06:11:00,06:15:00,06:15:59,06:17:00,06:20:10,06:21:00,,06:18:02,06:19:37,,,06:13:00,,06:00:00,,06:04:00,,,,,06:05:38,06:06:16,06:07:05,,06:00:26,06:01:25,06:02:51
113358500237598601,,,,,,,,,,,06:36:46,06:38:00,06:38:55,06:40:00,06:45:00,06:45:59,06:47:00,06:50:57,06:52:00,,06:48:17,06:50:16,,,06:43:00,,06:29:00,,06:33:00,,,,,06:34:38,06:35:16,06:36:05,,06:29:26,06:30:25,06:31:51
113358501237598601,,,,,,,,,,,07:05:46,07:07:00,07:08:23,07:10:00,07:15:00,07:15:59,07:17:00,07:20:57,07:22:00,,07:18:17,07:20:16,,,07:13:00,,06:58:00,,07:02:00,,,,,07:03:38,07:04:16,07:05:05,,06:58:26,06:59:25,07:00:51
113358502237598601,,,,,,,,,,,07:35:46,07:37:00,07:38:23,07:40:00,07:45:00,07:45:59,07:47:00,07:50:57,07:52:00,,07:48:17,07:50:16,,,07:43:00,,07:28:00,,07:32:00,,,,,07:33:38,07:34:16,07:35:05,,07:28:26,07:29:25,07:30:51
113358503237598601,,,,,,,,,,,08:05:46,08:07:00,08:08:23,08:10:00,08:15:00,08:15:59,08:17:00,08:20:57,08:22:00,,08:18:17,08:20:16,,,08:13:00,,07:58:00,,08:02:00,,,,,08:03:38,08:04:16,08:05:05,,07:58:26,07:59:25,08:00:51
113358504237598601,,,,,,,,,,,08:35:46,08:37:00,08:38:23,08:40:00,08:45:00,08:45:59,08:47:00,08:50:57,08:52:00,,08:48:17,08:50:16,,,08:43:00,,08:28:00,,08:32:00,,,,,08:33:38,08:34:16,08:35:05,,08:28:26,08:29:25,08:30:51
113358505237598601,,,,,,,,,,,09:05:46,09:07:00,09:08:23,09:10:00,09:15:00,09:15:59,09:17:00,09:20:57,09:22:00,,09:18:17,09:20:16,,,09:13:00,,08:58:00,,09:02:00,,,,,09:03:38,09:04:16,09:05:05,,08:58:26,08:59:25,09:00:51
113358506237598601,,,,,,,,,,,09:25:46,09:27:00,09:28:23,09:30:00,09:35:00,09:35:59,09:37:00,09:40:57,09:42:00,,09:38:17,09:40:16,,,09:33:00,,09:18:00,,09:22:00,,,,,09:23:38,09:24:16,09:25:05,,09:18:26,09:19:25,09:20:51
