trip_id,1139,1140,1141,1152,1153,1154,1403,1404,1406,1408,1410,1412,1415,1421,1422,1423,1424,1449,1450,1451,1454,1456,1458,1459,1460,1462,1830,1831,1832,1833B,2289,2919,6021,6055,6056,6449,6450,6476,6477,9983
113286752237324000,,,,06:33:00,06:33:57,,,,,,,,,,,,,06:29:29,06:28:09,06:27:11,06:29:00,06:30:29,06:31:50,06:35:00,06:36:18,06:38:57,06:25:00,,06:25:16,06:26:00,,06:44:00,,06:40:22,06:41:34,,06:38:00,,06:31:00,
113286753237324000,,06:39:31,06:41:00,,,,06:33:43,06:34:49,06:36:57,06:42:04,06:43:41,06:45:00,06:48:00,06:44:29,06:46:09,06:47:02,06:38:00,,,,,,,,,,06:50:00,06:49:11,,,,06:31:00,06:32:17,,,06:36:00,,06:43:00,,
113286754237324000,,,,06:46:00,06:47:26,,,,,,,,,,,,,06:42:29,06:41:09,06:40:11,06:42:00,06:43:29,06:44:50,06:49:00,06:50:18,06:53:06,06:38:00,,06:38:16,06:39:00,,06:59:00,,06:54:46,06:56:09,,06:52:00,,06:44:00,
113286755237324000,,06:57:31,06:59:00,,,,06:51:43,06:52:49,06:54:57,07:00:04,07:01:41,07:03:00,07:06:00,07:02:29,07:04:09,07:05:02,06:56:00,,,,,,,,,,07:08:00,07:07:11,,,,06:49:00,06:50:17,,,06:54:00,,07:01:00,,
113286756237324000,,,,06:56:00,06:57:26,,,,,,,,,,,,,06:52:29,06:51:09,06:50:11,06:52:00,06:53:29,06:54:50,06:59:00,07:00:18,07:03:06,06:48:00,,06:48:16,06:49:00,,07:09:00,,07:04:46,07:06:09,,07:02:00,,06:54:00,
113286757237324000,,07:07:31,07:09:00,,,,07:01:43,07:02:49,07:04:57,07:10:04,07:11:41,07:13:00,07:16:00,07:12:29,07:14:09,07:15:02,07:06:00,,,,,,,,,,07:18:00,07:17:11,,,,06:59:00,07:00:17,,,07:04:00,,07:11:00,,
113286758237324000,,,,07:05:00,07:06:26,,,,,,,,,,,,,07:00:43,06:59:09,06:58:11,07:00:00,07:02:13,07:03:50,07:08:00,07:09:18,07:12:06,06:56:00,,06:56:16,06:57:00,,07:18:00,,07:13:46,07:15:09,,07:11:00,,07:03:00,
113286759237324000,,,,,,,,,,,,,,,,,,07:13:43,07:12:09,07:11:11,07:13:00,07:15:13,07:16:50,,,,07:08:00,,07:08:31,07:10:00,,,,,,,,,07:16:00,07:18:00
113286760237324000,,07:17:31,07:19:00,,,,07:11:15,07:12:35,07:14:57,07:20:04,07:21:41,07:23:00,07:26:00,07:22:29,07:24:09,07:25:02,07:16:00,,,,,,,,,,07:28:00,07:27:11,,,,07:08:00,07:09:33,,,07:14:00,,07:21:00,,
113286761237324000,,,,07:14:00,07:15:26,,,,,,,,,,,,,07:09:43,07:08:09,07:07:11,07:09:00,07:11:13,07:12:50,07:17:00,07:18:18,07:21:06,07:04:00,,07:04:31,07:06:00,,07:27:00,,07:22:46,07:24:09,,07:20:00,,07:12:00,
113286762237324000,,,,,,,,,,,,,,,,,,07:23:43,07:22:09,07:21:11,07:23:00,07:25:13,07:26:50,,,,07:18:00,,07:18:31,07:20:00,,,,,,,,,07:26:00,07:28:00
113286763237324000,,07:27:31,07:29:00,,,,07:21:15,07:22:35,07:24:57,07:30:04,07:32:02,07:34:00,07:37:00,07:33:14,07:35:09,07:36:02,07:26:00,,,,,,,,,,07:39:00,07:38:11,,,,07:18:00,07:19:33,,,07:24:00,,07:31:00,,
113286764237324000,,,,07:23:00,07:24:26,,,,,,,,,,,,,07:18:43,07:17:09,07:16:11,07:18:00,07:20:13,07:21:50,07:26:00,07:27:18,07:30:34,07:13:00,,07:13:31,07:15:00,,07:39:00,,07:32:57,07:34:56,,07:29:00,,07:21:00,
113286765237324000,,,,,,,,,,,07:26:44,07:28:00,07:31:00,07:27:30,07:29:09,07:30:02,,,,,,,,,,,07:33:00,07:32:11,,,,,,,,,,07:26:04,,
