trip_id,1015,1085,1125,1126,1127,1167,1168,1169,1801,2333,2334B,2402,2404,2462,2463,2465,2467,2616B,2732,2734,2735,2736,2738,2739,2787,2788,2840,2939B,2952B,5115,5152,5161,5719,5915
113132581236811001,,,07:27:35,07:29:04,07:31:00,,,,,07:21:53,,,,07:19:00,07:20:06,07:24:00,07:26:00,,,,07:15:00,07:16:27,,,07:35:00,,07:32:52,,,,,,,
113136469236823501,,,,,,21:14:00,21:15:34,21:17:00,21:18:00,,21:22:00,21:19:32,21:23:50,,,,,,,21:28:00,,,21:26:37,21:11:55,,21:11:00,,,,21:25:00,,,,
113136531236823501,,,14:51:54,14:53:41,14:56:00,,,,,14:45:18,,,,14:42:00,14:43:16,14:47:43,14:50:00,,,,14:38:00,14:39:27,,,15:00:00,,14:57:52,,,,,,,
113143847236824601,,,10:58:35,11:00:04,11:02:00,,,,,10:53:28,,,,10:51:00,10:51:57,10:55:17,10:57:00,,,,10:49:00,10:49:44,,,11:06:00,,11:03:52,,,,,,,
113143853236824601,,,,,,22:09:00,22:10:34,22:12:00,22:13:00,,22:17:00,22:14:32,22:18:50,,,,,,,22:23:00,,,22:21:37,22:06:55,,22:06:00,,,,22:20:00,,,,
113214988236803501,,,12:45:54,12:47:41,12:50:00,,,,,12:39:18,,,,12:36:00,12:37:16,12:41:43,12:44:00,,,,12:32:00,12:33:27,,,12:54:00,,12:51:52,,,,,,,
113328528237493601,,,05:17:16,05:18:28,05:20:00,,,,,05:13:04,,,,05:11:00,05:11:47,05:14:34,05:16:00,,,,05:09:00,05:09:44,,,,,,,,,,,,
113335146237493601,,,07:40:16,07:41:28,07:43:00,,,,,07:36:04,,,,07:34:00,07:34:47,07:37:34,07:39:00,,,,07:32:00,07:32:44,,,,,,,,,,,,
113337928237526501,,,05:17:16,05:18:28,05:20:00,,,,,05:13:04,,,,05:11:00,05:11:47,05:14:34,05:16:00,,,,05:09:00,05:09:44,,,,,,,,,,,,
113337931237526501,,,08:01:16,08:02:28,08:04:00,,,,,07:57:04,,,,07:55:00,07:55:47,07:58:34,08:00:00,,,,07:53:00,07:53:44,,,,,,,,,,,,
113338279237526501,,,08:50:35,08:52:04,08:54:00,,,,,08:46:04,,,,08:44:00,08:44:47,08:47:34,08:49:00,,,,08:42:00,08:42:44,,,,,,,,,,,,
113338739237529001,,,06:29:16,06:30:28,06:32:00,,,,,06:25:04,,,,06:23:00,06:23:47,06:26:34,06:28:00,,,,06:21:00,06:21:44,,,,,,,,,,,,
113338740237529001,,,06:23:16,06:24:28,06:26:00,,,,,06:19:04,,,,06:17:00,06:17:47,06:20:34,06:22:00,,,,06:15:00,06:15:44,,,,,,,,,,,,
113338741237529001,,,05:17:16,05:18:28,05:20:00,,,,,05:13:04,,,,05:11:00,05:11:47,05:14:34,05:16:00,,,,05:09:00,05:09:44,,,,,,,,,,,,
113338742237529001,,,06:08:16,06:09:28,06:11:00,,,,,06:04:04,,,,06:02:00,06:02:47,06:05:34,06:07:00,,,,06:00:00,06:00:44,,,,,,,,,,,,
113340381237529001,,,05:59:16,06:00:28,06:02:00,,,,,05:55:04,,,,05:53:00,05:53:47,05:56:34,05:58:00,,,,05:51:00,05:51:44,,,,,,,,,,,,
113340383237529001,,,06:48:16,06:49:28,06:51:00,,,,,06:43:28,,,,06:41:00,06:41:57,06:45:17,06:47:00,,,,06:39:00,06:39:44,,,,,,,,,,,,
113340385237529001,,,06:54:16,06:55:28,06:57:00,,,,,06:49:28,,,,06:47:00,06:47:57,06:51:17,06:53:00,,,,06:45:00,06:45:44,,,,,,,,,,,,
113344522237550001,06:20:00,,,,,06:07:00,06:08:34,06:10:00,06:11:00,,06:14:00,06:12:09,06:15:13,,,,,,06:24:00,06:18:31,,,06:17:22,06:04:55,,06:04:00,,,06:23:10,06:16:00,,,06:22:24,06:21:36
113344523237550001,06:42:00,,,,,06:27:00,06:28:34,06:30:00,06:31:00,,06:35:00,06:32:32,06:36:50,,,,,,06:47:00,06:40:31,,,06:39:22,06:24:55,,06:24:00,,,06:45:57,06:38:00,,,06:45:00,06:44:00
113344524237550001,07:02:00,,,,,06:47:00,06:48:34,06:50:00,06:51:00,,06:55:00,06:52:32,06:56:50,,,,,,07:07:00,07:00:31,,,06:59:22,06:44:55,,06:44:00,,,07:05:57,06:58:00,,,07:05:00,07:04:00
113344525237550001,07:22:00,,,,,07:07:00,07:08:34,07:10:00,07:11:00,,07:15:00,07:12:32,07:16:50,,,,,,07:28:00,07:20:31,,,07:19:22,07:04:55,,07:04:00,,,07:26:44,07:18:00,,,07:25:36,07:24:24
113344526237550001,07:39:00,,,,,07:23:00,07:24:34,07:26:00,07:27:00,,07:31:00,07:28:32,07:32:50,,,,,,07:45:00,07:37:09,,,07:35:42,07:20:55,,07:20:00,,,07:43:44,07:34:00,,,07:42:36,07:41:24
113344527237550001,07:52:00,,,,,07:35:00,07:37:06,07:39:00,07:40:00,,07:44:00,07:41:32,07:45:50,,,,,,07:58:00,07:50:09,,,07:48:42,07:32:55,,07:32:00,,,07:56:44,07:47:00,,,07:55:36,07:54:24
113344528237550001,08:04:00,,,,,07:47:00,07:49:06,07:51:00,07:52:00,,07:56:00,07:53:32,07:57:50,,,,,,08:10:00,08:02:09,,,08:00:42,07:44:55,,07:44:00,,,08:08:44,07:59:00,,,08:07:36,08:06:24
113344529237550001,08:17:00,,,,,07:59:00,08:01:06,08:03:00,08:04:00,,08:09:00,08:05:55,08:10:50,,,,,,08:23:00,08:15:09,,,08:13:42,07:56:55,,07:56:00,,,08:21:44,08:12:00,,,08:20:36,08:19:24
113344530237550001,08:29:00,,,,,08:11:00,08:13:06,08:15:00,08:16:00,,08:21:00,08:17:55,08:22:50,,,,,,08:35:00,08:27:09,,,08:25:42,08:08:55,,08:08:00,,,08:33:44,08:24:00,,,08:32:36,08:31:24
113344531237550001,08:41:00,,,,,08:23:00,08:25:06,08:27:00,08:28:00,,08:33:00,08:29:55,08:34:50,,,,,,08:47:00,08:39:09,,,08:37:42,08:20:14,,08:19:00,,,08:45:44,08:36:00,,,08:44:36,08:43:24
113344532237550001,08:53:00,,,,,08:35:00,08:37:06,08:39:00,08:40:00,,08:45:00,08:41:55,08:46:50,,,,,,08:59:00,08:51:09,,,08:49:42,08:32:14,,08:31:00,,,08:57:44,08:48:00,,,08:56:36,08:55:24
113344533237550001,09:05:00,,,,,08:47:00,08:49:06,08:51:00,08:52:00,,08:57:00,08:53:55,08:58:50,,,,,,09:11:00,09:03:09,,,09:01:42,08:44:14,,08:43:00,,,09:09:44,09:00:00,,,09:08:36,09:07:24
113344534237550001,09:17:00,,,,,08:59:00,09:01:06,09:03:00,09:04:00,,09:09:00,09:05:55,09:10:50,,,,,,09:22:00,09:15:09,,,09:13:42,08:56:55,,08:56:00,,,09:20:57,09:12:00,,,09:20:00,09:19:00
113344535237550001,09:29:00,,,,,09:11:00,09:13:06,09:15:00,09:16:00,,09:21:00,09:17:55,09:22:50,,,,,,09:34:00,09:27:09,,,09:25:42,09:08:55,,09:08:00,,,09:32:57,09:24:00,,,09:32:00,09:31:00
113344536237550001,09:40:00,,,,,09:22:00,09:24:06,09:26:00,09:27:00,,09:32:00,09:28:55,09:33:50,,,,,,09:45:00,09:38:09,,,09:36:42,09:19:55,,09:19:00,,,09:43:57,09:35:00,,,09:43:00,09:42:00
113344537237550001,09:54:00,,,,,09:36:00,09:38:06,09:40:00,09:41:00,,09:46:00,09:42:55,09:47:50,,,,,,09:59:00,09:52:09,,,09:50:42,09:33:55,,09:33:00,,,09:57:57,09:49:00,,,09:57:00,09:56:00
113344538237550001,10:09:00,,,,,09:51:00,09:53:06,09:55:00,09:56:00,,10:01:00,09:57:55,10:02:50,,,,,,10:14:00,10:07:09,,,10:05:42,09:48:55,,09:48:00,,,10:12:57,10:04:00,,,10:12:00,10:11:00
113344539237550001,10:24:00,,,,,10:06:00,10:08:06,10:10:00,10:11:00,,10:16:00,10:12:55,10:17:50,,,,,,10:29:00,10:22:09,,,10:20:42,10:03:55,,10:03:00,,,10:27:57,10:19:00,,,10:27:00,10:26:00
113344540237550001,10:39:00,,,,,10:21:00,10:23:06,10:25:00,10:26:00,,10:31:00,10:27:55,10:32:50,,,,,,10:44:00,10:37:09,,,10:35:42,10:18:55,,10:18:00,,,10:42:57,10:34:00,,,10:42:00,10:41:00
113344541237550001,10:54:00,,,,,10:36:00,10:38:06,10:40:00,10:41:00,,10:46:00,10:42:55,10:47:50,,,,,,10:59:00,10:52:09,,,10:50:42,10:33:55,,10:33:00,,,10:57:57,10:49:00,,,10:57:00,10:56:00
113344542237550001,11:09:00,,,,,10:51:00,10:53:06,10:55:00,10:56:00,,11:01:00,10:57:55,11:02:50,,,,,,11:14:00,11:07:09,,,11:05:42,10:48:55,,10:48:00,,,11:12:57,11:04:00,,,11:12:00,11:11:00
113344543237550001,11:24:00,,,,,11:06:00,11:08:06,11:10:00,11:11:00,,11:16:00,11:12:55,11:17:50,,,,,,11:29:00,11:22:09,,,11:20:42,11:03:14,,11:02:00,,,11:27:57,11:19:00,,,11:27:00,11:26:00
