trip_id,1063,1127,1128,1376B,1707,1781,2177,2212,2392,2578,3221,3320B,3505,3629,3630,3633C,6353,6354B
113275212237250001,23:35:00,23:36:30,23:37:59,23:37:00,,,23:43:00,23:32:00,,23:33:24,,,23:41:00,,,23:30:00,,23:39:00
113275214237250001,21:35:00,21:36:30,21:37:59,21:37:00,,,21:43:00,21:32:00,,21:33:24,,,21:41:00,,,21:30:00,,21:39:00
113275215237250001,21:15:00,21:16:30,21:17:59,21:17:00,,,21:23:00,21:12:00,,21:13:24,,,21:21:00,,,21:10:00,,21:19:00
113275216237250001,22:15:00,22:16:30,22:17:59,22:17:00,,,22:23:00,22:12:00,,22:13:24,,,22:21:00,,,22:10:00,,22:19:00
113275217237250001,20:57:00,20:58:30,20:59:59,20:59:00,,,21:05:00,20:53:00,,20:54:52,,,21:03:00,,,20:50:00,,21:01:00
113275218237250001,22:35:00,22:36:30,22:37:59,22:37:00,,,22:43:00,22:32:00,,22:33:24,,,22:41:00,,,22:30:00,,22:39:00
113275219237250001,22:55:00,22:56:30,22:57:59,22:57:00,,,23:03:00,22:52:00,,22:53:24,,,23:01:00,,,22:50:00,,22:59:00
113275220237250001,,,,,23:19:17,23:17:00,23:12:00,,23:18:00,,23:22:00,23:20:40,,23:12:56,23:15:00,,23:13:32,
113275221237250001,,,,,23:39:17,23:37:00,23:32:00,,23:38:00,,23:42:00,23:40:40,,23:32:56,23:35:00,,23:33:32,
113275222237250001,,,,,21:39:17,21:37:00,21:32:00,,21:38:00,,21:42:00,21:40:40,,21:32:56,21:35:00,,21:33:32,
113275223237250001,,,,,21:59:17,21:57:00,21:52:00,,21:58:00,,22:02:00,22:00:40,,21:52:56,21:55:00,,21:53:32,
113275224237250001,,,,,22:59:17,22:57:00,22:52:00,,22:58:00,,23:02:00,23:00:40,,22:52:56,22:55:00,,22:53:32,
113275225237250001,,,,,22:19:17,22:17:00,22:12:00,,22:18:00,,22:22:00,22:20:40,,22:12:56,22:15:00,,22:13:32,
113275226237250001,,,,,22:39:17,22:37:00,22:32:00,,22:38:00,,22:42:00,22:40:40,,22:32:56,22:35:00,,22:33:32,
113275227237250001,,,,,21:19:17,21:17:00,21:12:00,,21:18:00,,21:22:00,21:20:40,,21:12:56,21:15:00,,21:13:32,
113275228237250001,,,,,20:58:17,20:56:00,20:50:00,,20:57:00,,21:01:00,20:59:40,,20:51:15,20:54:00,,20:52:02,
