trip_id,1250,1251,1628,1630,1632,1633,1636,1648,1649,1650,1651,1652,1653,1736,1739,1921,1938,1942,1943,1944,1953,1954,1968,1969,2099,2103,2104,2112,2153,2156,2157,2161,2167,2168,2355,2934,2957,4804B,4853,4856B,4857B,5810,5811,5858,5859,6931B,6956B
113287568237309601,,06:43:00,,,,,,06:36:00,06:37:37,06:39:03,06:40:00,06:47:00,,06:47:56,,,,,06:41:19,,06:57:04,06:58:00,06:42:14,06:42:46,,,,,06:48:59,06:51:00,06:52:16,06:53:24,06:54:53,06:56:00,,,06:33:00,,06:45:00,06:44:00,,06:34:11,06:35:06,,,06:46:14,
113287569237309601,,07:13:00,,,,,,07:06:00,07:07:37,07:09:03,07:10:00,07:17:00,,07:17:56,,,,,07:11:19,,07:27:04,07:28:00,07:12:14,07:12:46,,,,,07:18:59,07:21:00,07:22:16,07:23:24,07:24:53,07:26:00,,,07:03:00,,07:15:00,07:14:00,,07:04:11,07:05:06,,,07:16:14,
113287570237309601,06:07:12,,05:51:00,05:59:58,06:11:39,06:13:21,06:15:00,,,,,,06:02:00,,06:01:06,06:08:00,05:53:00,06:09:02,,05:51:56,,,,,05:54:12,05:56:48,05:58:00,05:55:36,,,,,,,06:10:00,06:18:00,,06:04:40,,,06:06:00,,,06:15:53,06:16:52,,06:03:06
113287571237309601,06:37:12,,06:21:00,06:29:58,06:41:39,06:43:21,06:45:00,,,,,,06:32:00,,06:31:06,06:38:00,06:23:00,06:39:02,,06:21:56,,,,,06:24:12,06:26:48,06:28:00,06:25:36,,,,,,,06:40:00,06:48:00,,06:34:40,,,06:36:00,,,06:45:53,06:46:52,,06:33:06
113287572237309601,07:36:12,,07:20:00,07:28:58,07:41:39,07:43:21,07:45:00,,,,,,07:31:00,,07:30:06,07:37:00,07:22:00,07:38:33,,07:20:56,,,,,07:23:12,07:25:48,07:27:00,07:24:36,,,,,,,07:40:00,07:48:00,,07:33:40,,,07:35:00,,,07:45:53,07:46:52,,07:32:06
113287586237309601,10:17:12,,10:01:00,10:09:58,10:22:39,10:24:21,10:26:00,,,,,,10:12:00,,10:11:06,10:18:00,10:03:00,10:19:33,,10:01:56,,,,,10:04:12,10:06:48,10:08:00,10:05:36,,,,,,,10:21:00,10:29:00,,10:14:40,,,10:16:00,,,10:26:53,10:27:52,,10:13:06
113287587237309601,09:37:12,,09:21:00,09:29:58,09:42:39,09:44:21,09:46:00,,,,,,09:32:00,,09:31:06,09:38:00,09:23:00,09:39:33,,09:21:56,,,,,09:24:12,09:26:48,09:28:00,09:25:36,,,,,,,09:41:00,09:49:00,,09:34:40,,,09:36:00,,,09:46:53,09:47:52,,09:33:06
113287588237309601,,08:32:00,,,,,,08:25:00,08:26:37,08:28:03,08:29:00,08:36:00,,08:36:56,,,,,08:30:19,,08:46:04,08:47:00,08:31:14,08:31:46,,,,,08:37:59,08:40:00,08:41:16,08:42:24,08:43:53,08:45:00,,,08:22:00,,08:34:00,08:33:00,,08:23:11,08:24:06,,,08:35:14,
113287589237309601,,09:35:00,,,,,,09:28:00,09:29:37,09:31:03,09:32:00,09:39:00,,09:39:56,,,,,09:33:19,,09:49:04,09:50:00,09:34:14,09:34:46,,,,,09:40:59,09:43:00,09:44:16,09:45:24,09:46:53,09:48:00,,,09:25:00,,09:37:00,09:36:00,,09:26:11,09:27:06,,,09:38:14,
113287590237309601,,06:13:00,,,,,,06:07:00,06:08:37,06:10:03,06:11:00,06:17:00,,06:17:56,,,,,06:11:53,,06:27:04,06:28:00,06:12:29,06:12:51,,,,,06:18:59,06:21:00,06:22:16,06:23:24,06:24:53,06:26:00,,,06:04:00,,06:15:00,06:14:00,,06:05:11,06:06:06,,,06:16:14,
113287591237309601,,10:14:00,,,,,,10:07:00,10:08:37,10:10:03,10:11:00,10:19:00,,10:20:10,,,,,10:12:19,,10:30:04,10:31:00,10:13:14,10:13:46,,,,,10:21:28,10:24:00,10:25:16,10:26:24,10:27:53,10:29:00,,,10:04:00,,10:16:20,10:15:00,,10:05:11,10:06:06,,,10:17:59,
113287592237309601,,08:54:00,,,,,,08:47:00,08:48:37,08:50:03,08:51:00,08:58:00,,08:58:56,,,,,08:52:19,,09:08:04,09:09:00,08:53:14,08:53:46,,,,,08:59:59,09:02:00,09:03:16,09:04:24,09:05:53,09:07:00,,,08:44:00,,08:56:00,08:55:00,,08:45:11,08:46:06,,,08:57:14,
113287593237309601,,09:54:00,,,,,,09:47:00,09:48:37,09:50:03,09:51:00,09:58:00,,09:58:56,,,,,09:52:19,,10:08:04,10:09:00,09:53:14,09:53:46,,,,,09:59:59,10:02:00,10:03:16,10:04:24,10:05:53,10:07:00,,,09:44:00,,09:56:00,09:55:00,,09:45:11,09:46:06,,,09:57:14,
113287594237309601,,08:09:00,,,,,,08:02:00,08:03:37,08:05:03,08:06:00,08:13:00,,08:13:56,,,,,08:07:19,,08:23:04,08:24:00,08:08:14,08:08:46,,,,,08:14:59,08:17:00,08:18:16,08:19:24,08:20:53,08:22:00,,,07:59:00,,08:11:00,08:10:00,,08:00:11,08:01:06,,,08:12:14,
113287595237309601,08:01:12,,07:45:00,07:53:58,08:06:39,08:08:21,08:10:00,,,,,,07:56:00,,07:55:06,08:02:00,07:47:00,08:03:33,,07:45:56,,,,,07:48:12,07:50:48,07:52:00,07:49:36,,,,,,,08:05:00,08:13:00,,07:58:40,,,08:00:00,,,08:10:53,08:11:52,,07:57:06
113287596237309601,07:07:12,,06:51:00,06:59:58,07:12:39,07:14:21,07:16:00,,,,,,07:02:00,,07:01:06,07:08:00,06:53:00,07:09:33,,06:51:56,,,,,06:54:12,06:56:48,06:58:00,06:55:36,,,,,,,07:11:00,07:19:00,,07:04:40,,,07:06:00,,,07:16:53,07:17:52,,07:03:06
113287597237309601,09:14:12,,08:58:00,09:06:58,09:19:39,09:21:21,09:23:00,,,,,,09:09:00,,09:08:06,09:15:00,09:00:00,09:16:33,,08:58:56,,,,,09:01:12,09:03:48,09:05:00,09:02:36,,,,,,,09:18:00,09:26:00,,09:11:40,,,09:13:00,,,09:23:53,09:24:52,,09:10:06
113287598237309601,08:51:12,,08:35:00,08:43:58,08:56:39,08:58:21,09:00:00,,,,,,08:46:00,,08:45:06,08:52:00,08:37:00,08:53:33,,08:35:56,,,,,08:38:12,08:40:48,08:42:00,08:39:36,,,,,,,08:55:00,09:03:00,,08:48:40,,,08:50:00,,,09:00:53,09:01:52,,08:47:06
113287636237309601,18:17:12,,18:01:00,18:09:58,18:21:39,18:23:21,18:25:00,,,,,,18:12:00,,18:11:06,18:18:00,18:03:00,18:19:02,,18:01:56,,,,,18:04:12,18:06:48,18:08:00,18:05:36,,,,,,,18:20:00,18:28:00,,18:14:40,,,18:16:00,,,18:25:53,18:26:52,,18:13:06
113287647237309601,12:57:12,,12:41:00,12:49:58,13:02:39,13:04:21,13:06:00,,,,,,12:52:00,,12:51:06,12:58:00,12:43:00,12:59:33,,12:41:56,,,,,12:44:12,12:46:48,12:48:00,12:45:36,,,,,,,13:01:00,13:09:00,,12:54:40,,,12:56:00,,,13:06:53,13:07:52,,12:53:06
113287648237309601,10:37:12,,10:21:00,10:29:58,10:42:39,10:44:21,10:46:00,,,,,,10:32:00,,10:31:06,10:38:00,10:23:00,10:39:33,,10:21:56,,,,,10:24:12,10:26:48,10:28:00,10:25:36,,,,,,,10:41:00,10:49:00,,10:34:40,,,10:36:00,,,10:46:53,10:47:52,,10:33:06
