trip_id,1632,1649,1650,1926B,1929,1931,1932,1933B,1935,1936,1937,1938,1939,1944,1951,1953,1954,1955,1957B,1958B,1959,1961B,1962,1963,1964,1965,1984B,1985B,2165,2166,2168,2355,2559,2657,2658,2934,2957,5058,5810,5811,5812,5813,5817,5856,5857,5858,5859
113300555237310501,,14:42:30,14:43:55,,,,,,,,,,,,14:45:00,,,,,,,,,,,,,,,,,,,14:38:00,,,14:34:00,,14:35:34,14:36:48,14:41:00,14:41:55,,,,,
113300556237310501,,17:42:30,17:43:55,,,,,,,,,,,,17:45:00,,,,,,,,,,,,,,,,,,,17:38:00,,,17:34:00,,17:35:34,17:36:48,17:41:00,17:41:55,,,,,
113300557237310501,,13:44:30,13:45:55,,,,,,,,,,,,13:47:00,,,,,,,,,,,,,,,,,,,13:40:00,,,13:36:00,,13:37:34,13:38:48,13:43:00,13:43:55,,,,,
113300558237310501,,13:58:30,13:59:55,,,,,,,,,,,,14:01:00,,,,,,,,,,,,,,,,,,,13:54:00,,,13:50:00,,13:51:34,13:52:48,13:57:00,13:57:55,,,,,
113300559237310501,,15:12:30,15:13:55,,,,,,,,,,,,15:15:00,,,,,,,,,,,,,,,,,,,15:08:00,,,15:04:00,,15:05:34,15:06:48,15:11:00,15:11:55,,,,,
113300560237310501,,17:12:30,17:13:55,,,,,,,,,,,,17:15:00,,,,,,,,,,,,,,,,,,,17:08:00,,,17:04:00,,17:05:34,17:06:48,17:11:00,17:11:55,,,,,
113300561237310501,,15:57:30,15:58:55,,,,,,,,,,,,16:00:00,,,,,,,,,,,,,,,,,,,15:53:00,,,15:49:00,,15:50:34,15:51:48,15:56:00,15:56:55,,,,,
113300562237310501,,18:27:30,18:28:55,,,,,,,,,,,,18:30:00,,,,,,,,,,,,,,,,,,,18:23:00,,,18:19:00,,18:20:34,18:21:48,18:26:00,18:26:55,,,,,
113300563237310501,,14:12:30,14:13:55,,,,,,,,,,,,14:15:00,,,,,,,,,,,,,,,,,,,14:08:00,,,14:04:00,,14:05:34,14:06:48,14:11:00,14:11:55,,,,,
113300564237310501,,15:42:30,15:43:55,,,,,,,,,,,,15:45:00,,,,,,,,,,,,,,,,,,,15:38:00,,,15:34:00,,15:35:34,15:36:48,15:41:00,15:41:55,,,,,
113300565237310501,,16:12:30,16:13:55,,,,,,,,,,,,16:15:00,,,,,,,,,,,,,,,,,,,16:08:00,,,16:04:00,,16:05:34,16:06:48,16:11:00,16:11:55,,,,,
113300566237310501,,16:42:30,16:43:55,,,,,,,,,,,,16:45:00,,,,,,,,,,,,,,,,,,,16:38:00,,,16:34:00,,16:35:34,16:36:48,16:41:00,16:41:55,,,,,
113300567237310501,,16:57:30,16:58:55,,,,,,,,,,,,17:00:00,,,,,,,,,,,,,,,,,,,16:53:00,,,16:49:00,,16:50:34,16:51:48,16:56:00,16:56:55,,,,,
113300568237310501,,14:57:30,14:58:55,,,,,,,,,,,,15:00:00,,,,,,,,,,,,,,,,,,,14:53:00,,,14:49:00,,14:50:34,14:51:48,14:56:00,14:56:55,,,,,
113300569237310501,,18:43:30,18:44:55,,,,,,,,,,,,18:46:00,,,,,,,,,,,,,,,,,,,18:39:00,,,18:35:00,,18:36:34,18:37:48,18:42:00,18:42:55,,,,,
113300570237310501,,19:02:30,19:03:55,,,,,,,,,,,,19:05:00,,,,,,,,,,,,,,,,,,,18:58:00,,,18:54:00,,18:55:34,18:56:48,19:01:00,19:01:55,,,,,
113300571237310501,,19:21:30,19:22:55,,,,,,,,,,,,19:24:00,,,,,,,,,,,,,,,,,,,19:17:00,,,19:13:00,,19:14:34,19:15:48,19:20:00,19:20:55,,,,,
113300572237310501,,19:39:30,19:40:55,,,,,,,,,,,,19:42:00,,,,,,,,,,,,,,,,,,,19:35:00,,,19:31:00,,19:32:34,19:33:48,19:38:00,19:38:55,,,,,
113300573237310501,,19:58:30,19:59:55,,,,,,,,,,,,20:01:00,,,,,,,,,,,,,,,,,,,19:54:00,,,19:50:00,,19:51:34,19:52:48,19:57:00,19:57:55,,,,,
113300574237310501,,17:57:30,17:58:55,,,,,,,,,,,,18:00:00,,,,,,,,,,,,,,,,,,,17:53:00,,,17:49:00,,17:50:34,17:51:48,17:56:00,17:56:55,,,,,
113300575237310501,,18:12:30,18:13:55,,,,,,,,,,,,18:15:00,,,,,,,,,,,,,,,,,,,18:08:00,,,18:04:00,,18:05:34,18:06:48,18:11:00,18:11:55,,,,,
113300576237310501,,17:27:30,17:28:55,,,,,,,,,,,,17:30:00,,,,,,,,,,,,,,,,,,,17:23:00,,,17:19:00,,17:20:34,17:21:48,17:26:00,17:26:55,,,,,
113300577237310501,,15:27:30,15:28:55,,,,,,,,,,,,15:30:00,,,,,,,,,,,,,,,,,,,15:23:00,,,15:19:00,,15:20:34,15:21:48,15:26:00,15:26:55,,,,,
113300578237310501,,14:26:30,14:27:55,,,,,,,,,,,,14:29:00,,,,,,,,,,,,,,,,,,,14:22:00,,,14:18:00,,14:19:34,14:20:48,14:25:00,14:25:55,,,,,
113300579237310501,,16:27:30,16:28:55,,,,,,,,,,,,16:30:00,,,,,,,,,,,,,,,,,,,16:23:00,,,16:19:00,,16:20:34,16:21:48,16:26:00,16:26:55,,,,,
113300586237310501,13:30:31,,,,,,,,,,,,,,13:28:00,,,,,,,,,,,,,,,,,,13:32:23,,13:37:00,13:41:00,,13:29:00,,,,,,13:33:24,13:35:00,13:38:14,13:39:31
113300587237310501,19:51:16,,,,,,,,,,,,,,19:49:00,,,,,,,,,,,,,,,,,,19:52:49,,19:57:00,20:01:00,,19:50:00,,,,,,19:53:40,19:55:00,19:58:14,19:59:31
113300588237310501,16:14:31,,,,,,,,,,,,,,16:12:00,,,,,,,,,,,,,,,,,,16:16:23,,16:21:00,16:25:00,,16:13:00,,,,,,16:17:24,16:19:00,16:22:14,16:23:31
113300589237310501,16:29:31,,,,,,,,,,,,,,16:27:00,,,,,,,,,,,,,,,,,,16:31:23,,16:36:00,16:40:00,,16:28:00,,,,,,16:32:24,16:34:00,16:37:14,16:38:31
113300590237310501,14:29:31,,,,,,,,,,,,,,14:27:00,,,,,,,,,,,,,,,,,,14:31:23,,14:36:00,14:40:00,,14:28:00,,,,,,14:32:24,14:34:00,14:37:14,14:38:31
113300591237310501,14:59:31,,,,,,,,,,,,,,14:57:00,,,,,,,,,,,,,,,,,,15:01:23,,15:06:00,15:10:00,,14:58:00,,,,,,15:02:24,15:04:00,15:07:14,15:08:31
113300592237310501,15:14:31,,,,,,,,,,,,,,15:12:00,,,,,,,,,,,,,,,,,,15:16:23,,15:21:00,15:25:00,,15:13:00,,,,,,15:17:24,15:19:00,15:22:14,15:23:31
113300593237310501,15:29:31,,,,,,,,,,,,,,15:27:00,,,,,,,,,,,,,,,,,,15:31:23,,15:36:00,15:40:00,,15:28:00,,,,,,15:32:24,15:34:00,15:37:14,15:38:31
113300594237310501,15:59:31,,,,,,,,,,,,,,15:57:00,,,,,,,,,,,,,,,,,,16:01:23,,16:06:00,16:10:00,,15:58:00,,,,,,16:02:24,16:04:00,16:07:14,16:08:31
113300595237310501,14:13:31,,,,,,,,,,,,,,14:11:00,,,,,,,,,,,,,,,,,,14:15:23,,14:20:00,14:24:00,,14:12:00,,,,,,14:16:24,14:18:00,14:21:14,14:22:31
113300596237310501,13:59:31,,,,,,,,,,,,,,13:57:00,,,,,,,,,,,,,,,,,,14:01:23,,14:06:00,14:10:00,,13:58:00,,,,,,14:02:24,14:04:00,14:07:14,14:08:31
113300597237310501,17:14:31,,,,,,,,,,,,,,17:12:00,,,,,,,,,,,,,,,,,,17:16:23,,17:21:00,17:25:00,,17:13:00,,,,,,17:17:24,17:19:00,17:22:14,17:23:31
113300598237310501,17:59:31,,,,,,,,,,,,,,17:57:00,,,,,,,,,,,,,,,,,,18:01:23,,18:06:00,18:10:00,,17:58:00,,,,,,18:02:24,18:04:00,18:07:14,18:08:31
113300599237310501,17:29:31,,,,,,,,,,,,,,17:27:00,,,,,,,,,,,,,,,,,,17:31:23,,17:36:00,17:40:00,,17:28:00,,,,,,17:32:24,17:34:00,17:37:14,17:38:31
113300600237310501,16:59:31,,,,,,,,,,,,,,16:57:00,,,,,,,,,,,,,,,,,,17:01:23,,17:06:00,17:10:00,,16:58:00,,,,,,17:02:24,17:04:00,17:07:14,17:08:31
113300601237310501,18:14:31,,,,,,,,,,,,,,18:12:00,,,,,,,,,,,,,,,,,,18:16:23,,18:21:00,18:25:00,,18:13:00,,,,,,18:17:24,18:19:00,18:22:14,18:23:31
113300602237310501,18:29:31,,,,,,,,,,,,,,18:27:00,,,,,,,,,,,,,,,,,,18:31:23,,18:36:00,18:40:00,,18:28:00,,,,,,18:32:24,18:34:00,18:37:14,18:38:31
113300603237310501,18:57:31,,,,,,,,,,,,,,18:55:00,,,,,,,,,,,,,,,,,,18:59:23,,19:04:00,19:08:00,,18:56:00,,,,,,19:00:24,19:02:00,19:05:14,19:06:31
113300604237310501,19:13:16,,,,,,,,,,,,,,19:11:00,,,,,,,,,,,,,,,,,,19:14:49,,19:19:00,19:23:00,,19:12:00,,,,,,19:15:40,19:17:00,19:20:14,19:21:31
113300731237310501,14:44:31,,,,,,,,,,,,,,14:42:00,,,,,,,,,,,,,,,,,,14:46:23,,14:51:00,14:55:00,,14:43:00,,,,,,14:47:24,14:49:00,14:52:14,14:53:31
113300732237310501,16:44:31,,,,,,,,,,,,,,16:42:00,,,,,,,,,,,,,,,,,,16:46:23,,16:51:00,16:55:00,,16:43:00,,,,,,16:47:24,16:49:00,16:52:14,16:53:31
113300734237310501,18:43:31,,,,,,,,,,,,,,18:41:00,,,,,,,,,,,,,,,,,,18:45:23,,18:50:00,18:54:00,,18:42:00,,,,,,18:46:24,18:48:00,18:51:14,18:52:31
113300735237310501,19:31:16,,,,,,,,,,,,,,19:29:00,,,,,,,,,,,,,,,,,,19:32:49,,19:37:00,19:41:00,,19:30:00,,,,,,19:33:40,19:35:00,19:38:14,19:39:31
113300736237310501,13:46:31,,,,,,,,,,,,,,13:44:00,,,,,,,,,,,,,,,,,,13:48:23,,13:53:00,13:57:00,,13:45:00,,,,,,13:49:24,13:51:00,13:54:14,13:55:31
113300737237310501,17:44:31,,,,,,,,,,,,,,17:42:00,,,,,,,,,,,,,,,,,,17:46:23,,17:51:00,17:55:00,,17:43:00,,,,,,17:47:24,17:49:00,17:52:14,17:53:31
113300738237310501,15:44:31,,,,,,,,,,,,,,15:42:00,,,,,,,,,,,,,,,,,,15:46:23,,15:51:00,15:55:00,,15:43:00,,,,,,15:47:24,15:49:00,15:52:14,15:53:31
113300741237310501,20:11:16,,,,,,,,,,,,,,20:09:00,,,,,,,,,,,,,,,,,,20:12:49,,20:17:00,20:21:00,,20:10:00,,,,,,20:13:40,20:15:00,20:18:14,20:19:31
113300765237310501,,12:40:30,12:41:55,,,,,,,,,,,,12:43:00,,,,,,,,,,,,,,,,,,,12:36:00,,,12:32:00,,12:33:34,12:34:48,12:39:00,12:39:55,,,,,
113300766237310501,,13:16:30,13:17:55,,,,,,,,,,,,13:19:00,,,,,,,,,,,,,,,,,,,13:12:00,,,13:08:00,,13:09:34,13:10:48,13:15:00,13:15:55,,,,,
113300767237310501,,13:00:30,13:01:55,,,,,,,,,,,,13:03:00,,,,,,,,,,,,,,,,,,,12:56:00,,,12:52:00,,12:53:34,12:54:48,12:59:00,12:59:55,,,,,
113300768237310501,,13:31:30,13:32:55,,,,,,,,,,,,13:34:00,,,,,,,,,,,,,,,,,,,13:27:00,,,13:23:00,,13:24:34,13:25:48,13:30:00,13:30:55,,,,,
113300773237310501,,11:00:30,11:01:55,,,,,,,,,,,,11:03:00,,,,,,,,,,,,,,,,,,,10:56:00,,,10:52:00,,10:53:34,10:54:48,10:59:00,10:59:55,,,,,
113300774237310501,,11:20:30,11:21:55,,,,,,,,,,,,11:23:00,,,,,,,,,,,,,,,,,,,11:16:00,,,11:12:00,,11:13:34,11:14:48,11:19:00,11:19:55,,,,,
113300775237310501,,10:40:30,10:41:55,,,,,,,,,,,,10:43:00,,,,,,,,,,,,,,,,,,,10:36:00,,,10:32:00,,10:33:34,10:34:48,10:39:00,10:39:55,,,,,
113300776237310501,,12:00:30,12:01:55,,,,,,,,,,,,12:03:00,,,,,,,,,,,,,,,,,,,11:56:00,,,11:52:00,,11:53:34,11:54:48,11:59:00,11:59:55,,,,,
113300777237310501,,12:21:30,12:22:55,,,,,,,,,,,,12:24:00,,,,,,,,,,,,,,,,,,,12:17:00,,,12:13:00,,12:14:34,12:15:48,12:20:00,12:20:55,,,,,
113300778237310501,,11:40:30,11:41:55,,,,,,,,,,,,11:43:00,,,,,,,,,,,,,,,,,,,11:36:00,,,11:32:00,,11:33:34,11:34:48,11:39:00,11:39:55,,,,,
113300779237310501,10:32:31,,,,,,,,,,,,,,10:30:00,,,,,,,,,,,,,,,,,,10:34:23,,10:39:00,10:43:00,,10:31:00,,,,,,10:35:24,10:37:00,10:40:14,10:41:31
113300780237310501,11:12:31,,,,,,,,,,,,,,11:10:00,,,,,,,,,,,,,,,,,,11:14:23,,11:19:00,11:23:00,,11:11:00,,,,,,11:15:24,11:17:00,11:20:14,11:21:31
113300781237310501,11:32:31,,,,,,,,,,,,,,11:30:00,,,,,,,,,,,,,,,,,,11:34:23,,11:39:00,11:43:00,,11:31:00,,,,,,11:35:24,11:37:00,11:40:14,11:41:31
113300782237310501,11:52:31,,,,,,,,,,,,,,11:50:00,,,,,,,,,,,,,,,,,,11:54:23,,11:59:00,12:03:00,,11:51:00,,,,,,11:55:24,11:57:00,12:00:14,12:01:31
113300783237310501,12:13:31,,,,,,,,,,,,,,12:11:00,,,,,,,,,,,,,,,,,,12:15:23,,12:20:00,12:24:00,,12:12:00,,,,,,12:16:24,12:18:00,12:21:14,12:22:31
113300784237310501,12:33:31,,,,,,,,,,,,,,12:31:00,,,,,,,,,,,,,,,,,,12:35:23,,12:40:00,12:44:00,,12:32:00,,,,,,12:36:24,12:38:00,12:41:14,12:42:31
113300785237310501,10:52:31,,,,,,,,,,,,,,10:50:00,,,,,,,,,,,,,,,,,,10:54:23,,10:59:00,11:03:00,,10:51:00,,,,,,10:55:24,10:57:00,11:00:14,11:01:31
113300786237310501,12:51:31,,,,,,,,,,,,,,12:49:00,,,,,,,,,,,,,,,,,,12:53:23,,12:58:00,13:02:00,,12:50:00,,,,,,12:54:24,12:56:00,12:59:14,13:00:31
