trip_id,0089,1042,5272F,5273F,5281G,5501,5502,5503,5504,5507,5508,5531,5555,5556,5559,5560,5561F,5562,5601,5602,5603,5604,5605,5655,5656,5657,5658,5659,9551,9552,9553,9556,9557,9575,9577,9578
112960456236299000,,05:00:00,,,05:08:00,05:01:38,05:03:00,05:04:41,05:06:11,05:10:00,05:11:00,,,,,,,,05:12:02,05:12:49,05:13:36,05:14:49,05:16:00,,,,,,05:16:51,05:19:55,05:18:54,05:21:00,,,,
112960457236299000,05:17:00,,,,05:24:00,05:18:02,05:19:00,05:20:41,05:22:11,05:26:00,05:27:00,,,,,,,,05:28:02,05:28:49,05:29:36,05:30:49,05:32:00,,,,,,05:32:51,05:35:55,05:34:54,05:37:00,,,,
112960458236299000,05:52:00,,,05:45:00,,,,,,,,05:51:00,05:42:00,05:43:08,05:46:43,05:48:37,05:50:00,,,,,,,05:37:00,05:38:07,05:39:21,05:40:11,05:40:58,,,,,05:31:00,05:32:23,05:33:36,05:35:59
112960461236299000,06:08:00,,,06:01:00,,,,,,,,06:07:00,05:58:00,05:59:08,06:02:43,06:04:37,06:06:00,,,,,,,05:53:00,05:54:07,05:55:21,05:56:11,05:56:58,,,,,05:47:00,05:48:23,05:49:36,05:51:59
112960463236299000,05:56:00,,,,06:03:00,05:57:02,05:58:00,05:59:41,06:01:11,06:05:00,06:06:00,,,,,,,,06:07:02,06:07:49,06:08:36,06:09:49,06:11:00,,,,,,06:11:51,06:14:55,06:13:54,06:16:00,,,,
112960464236299000,06:24:00,,,06:17:00,,,,,,,,06:23:00,06:14:00,06:15:08,06:18:43,06:20:37,06:22:00,,,,,,,06:09:00,06:10:07,06:11:21,06:12:11,06:12:58,,,,,06:03:00,06:04:23,06:05:36,06:07:59
112960467236299000,06:37:00,,,06:30:00,,,,,,,,,06:27:00,06:28:08,06:31:43,06:33:37,06:35:00,06:36:09,,,,,,06:22:00,06:23:07,06:24:21,06:25:11,06:25:58,,,,,06:16:00,06:17:23,06:18:36,06:20:59
112960468236299000,06:12:00,,,,06:19:00,06:13:02,06:14:00,06:15:41,06:17:11,06:21:00,06:22:00,,,,,,,,06:23:02,06:23:49,06:24:36,06:25:49,06:27:00,,,,,,06:27:51,06:30:55,06:29:54,06:32:00,,,,
112960471236299000,06:47:00,,,06:40:00,,,,,,,,,06:37:00,06:38:08,06:41:43,06:43:37,06:45:00,06:46:09,,,,,,06:32:00,06:33:07,06:34:21,06:35:11,06:35:58,,,,,06:26:00,06:27:23,06:28:36,06:30:59
112960472236299000,06:28:00,,,,06:35:00,06:29:02,06:30:00,06:31:41,06:33:11,06:37:00,06:38:00,,,,,,,,06:39:02,06:39:49,06:40:36,06:41:49,06:43:00,,,,,,06:43:51,06:46:55,06:45:54,06:48:00,,,,
112960475236299000,06:59:00,,,06:52:00,,,,,,,,,06:49:00,06:50:08,06:53:43,06:55:37,06:57:00,06:58:09,,,,,,06:44:00,06:45:07,06:46:21,06:47:11,06:47:58,,,,,06:38:00,06:39:23,06:40:36,06:42:59
112960476236299000,06:41:00,,,,06:48:00,06:42:02,06:43:00,06:44:41,06:46:11,06:50:00,06:51:00,,,,,,,,06:52:02,06:52:49,06:53:36,06:54:49,06:56:00,,,,,,06:56:51,06:59:55,06:58:54,07:01:00,,,,
112960479236299000,07:10:00,,,07:03:00,,,,,,,,,07:00:00,07:01:08,07:04:43,07:06:37,07:08:00,07:09:09,,,,,,06:55:00,06:56:07,06:57:21,06:58:11,06:58:58,,,,,06:49:00,06:50:23,06:51:36,06:53:59
112960480236299000,06:52:00,,,,06:59:00,06:53:02,06:54:00,06:55:41,06:57:11,07:01:00,07:02:00,,,,,,,,07:03:02,07:03:49,07:04:36,07:05:49,07:07:00,,,,,,07:07:51,07:10:55,07:09:54,07:12:00,,,,
112960482236299000,07:20:00,,,07:13:00,,,,,,,,,07:10:00,07:11:08,07:14:43,07:16:37,07:18:00,07:19:09,,,,,,07:05:00,07:06:07,07:07:21,07:08:11,07:08:58,,,,,06:59:00,07:00:23,07:01:36,07:03:59
112960485236299000,07:26:00,,,07:18:00,,,,,,,,,07:15:00,07:16:08,07:20:04,07:22:21,07:24:00,07:25:09,,,,,,07:10:00,07:11:07,07:12:21,07:13:11,07:13:58,,,,,07:03:00,07:04:37,07:06:02,07:08:49
112960487236299000,07:03:00,,,,07:10:00,07:04:02,07:05:00,07:06:41,07:08:11,07:13:00,07:14:00,,,,,,,,07:15:02,07:15:49,07:16:36,07:17:49,07:19:00,,,,,,07:19:51,07:22:55,07:21:54,07:24:00,,,,
112960488236299000,07:32:00,,,07:24:00,,,,,,,,,07:21:00,07:22:08,07:26:04,07:28:21,07:30:00,07:31:09,,,,,,07:16:00,07:17:07,07:18:21,07:19:11,07:19:58,,,,,07:09:00,07:10:37,07:12:02,07:14:49
112960491236299000,07:09:00,,,,07:16:00,07:10:02,07:11:00,07:12:41,07:14:11,07:19:00,07:20:00,,,,,,,,07:21:15,07:22:10,07:23:07,07:24:34,07:26:00,,,,,,07:26:51,07:29:55,07:28:54,07:31:00,,,,
112960492236299000,07:38:00,,,07:30:00,,,,,,,,,07:27:00,07:28:08,07:32:04,07:34:21,07:36:00,07:37:09,,,,,,07:22:00,07:23:07,07:24:21,07:25:11,07:25:58,,,,,07:15:00,07:16:37,07:18:02,07:20:49
112960495236299000,07:14:00,,,,07:21:00,07:15:02,07:16:00,07:17:41,07:19:11,07:24:00,07:25:00,,,,,,,,07:26:15,07:27:10,07:28:07,07:29:34,07:31:00,,,,,,07:31:51,07:34:55,07:33:54,07:36:00,,,,
112960496236299000,07:44:00,,,07:36:00,,,,,,,,,07:32:00,07:33:30,07:38:04,07:40:21,07:42:00,07:43:09,,,,,,07:27:00,07:28:07,07:29:21,07:30:11,07:30:58,,,,,07:20:00,07:21:37,07:23:02,07:25:49
112960499236299000,,07:21:00,,,07:29:00,07:22:38,07:24:00,07:25:41,07:27:11,07:32:00,07:33:00,,,,,,,,07:34:15,07:35:10,07:36:07,07:37:34,07:39:00,,,,,,07:39:51,07:42:55,07:41:54,07:44:00,,,,
112960500236299000,07:56:00,,,07:48:00,,,,,,,,,07:44:00,07:45:30,07:50:04,07:52:21,07:54:00,07:55:09,,,,,,07:39:00,07:40:07,07:41:21,07:42:11,07:42:58,,,,,07:32:00,07:33:37,07:35:02,07:37:49
112960501236299000,07:50:00,,,07:42:00,,,,,,,,,07:38:00,07:39:30,07:44:04,07:46:21,07:48:00,07:49:09,,,,,,07:33:00,07:34:07,07:35:21,07:36:11,07:36:58,,,,,07:26:00,07:27:37,07:29:02,07:31:49
112960504236299000,07:27:00,,,,07:34:00,07:28:02,07:29:00,07:30:41,07:32:11,07:37:00,07:38:00,,,,,,,,07:39:15,07:40:10,07:41:07,07:42:34,07:44:00,,,,,,07:44:51,07:47:55,07:46:54,07:49:00,,,,
112960508236299000,07:39:00,,,,07:47:00,07:40:02,07:41:00,07:43:02,07:44:50,07:50:00,07:51:00,,,,,,,,07:52:15,07:53:10,07:54:07,07:55:34,07:57:00,,,,,,07:57:51,08:00:55,07:59:54,08:02:00,,,,
112960509236299000,07:45:00,,,,07:53:00,07:46:02,07:47:00,07:49:02,07:50:50,07:56:00,07:57:00,,,,,,,,07:58:15,07:59:10,08:00:07,08:01:34,08:03:00,,,,,,08:03:51,08:06:55,08:05:54,08:08:00,,,,
112960510236299000,07:33:00,,,,07:41:00,07:34:02,07:35:00,07:37:02,07:38:50,07:44:00,07:45:00,,,,,,,,07:46:15,07:47:10,07:48:07,07:49:34,07:51:00,,,,,,07:51:51,07:54:55,07:53:54,07:56:00,,,,
112960511236299000,08:02:00,,,07:54:00,,,,,,,,,07:50:00,07:51:30,07:56:04,07:58:21,08:00:00,08:01:09,,,,,,07:45:00,07:46:07,07:47:21,07:48:11,07:48:58,,,,,07:38:00,07:39:37,07:41:02,07:43:49
112960512236299000,08:08:00,,,08:00:00,,,,,,,,,07:56:00,07:57:30,08:02:04,08:04:21,08:06:00,08:07:09,,,,,,07:51:00,07:52:07,07:53:21,07:54:11,07:54:58,,,,,07:44:00,07:45:37,07:47:02,07:49:49
112960520236299000,08:09:00,,,,08:17:00,08:10:02,08:11:00,08:13:02,08:14:50,08:20:00,08:21:00,,,,,,,,08:22:15,08:23:10,08:24:07,08:25:34,08:27:00,,,,,,08:27:51,08:30:55,08:29:54,08:32:00,,,,
112960521236299000,08:14:00,,,08:06:00,,,,,,,,,08:02:00,08:03:30,08:08:04,08:10:21,08:12:00,08:13:09,,,,,,07:57:00,07:58:07,07:59:21,08:00:11,08:00:58,,,,,07:50:00,07:51:37,07:53:02,07:55:49
112960522236299000,08:26:00,,,08:18:00,,,,,,,,,08:14:00,08:15:30,08:20:04,08:22:21,08:24:00,08:25:09,,,,,,08:09:00,08:10:07,08:11:21,08:12:11,08:12:58,,,,,08:02:00,08:03:37,08:05:02,08:07:49
112960523236299000,08:32:00,,,08:24:00,,,,,,,,,08:20:00,08:21:30,08:26:04,08:28:21,08:30:00,08:31:09,,,,,,08:15:00,08:16:07,08:17:21,08:18:11,08:18:58,,,,,08:08:00,08:09:37,08:11:02,08:13:49
112960524236299000,08:20:00,,,08:12:00,,,,,,,,,08:08:00,08:09:30,08:14:04,08:16:21,08:18:00,08:19:09,,,,,,08:03:00,08:04:07,08:05:21,08:06:11,08:06:58,,,,,07:56:00,07:57:37,07:59:02,08:01:49
112960525236299000,07:51:00,,,,07:59:00,07:52:02,07:53:00,07:55:02,07:56:50,08:02:00,08:03:00,,,,,,,,08:04:15,08:05:10,08:06:07,08:07:34,08:09:00,,,,,,08:09:51,08:12:55,08:11:54,08:14:00,,,,
112960526236299000,07:57:00,,,,08:05:00,07:58:02,07:59:00,08:01:02,08:02:50,08:08:00,08:09:00,,,,,,,,08:10:15,08:11:10,08:12:07,08:13:34,08:15:00,,,,,,08:15:51,08:18:55,08:17:54,08:20:00,,,,
112960527236299000,08:03:00,,,,08:11:00,08:04:02,08:05:00,08:07:02,08:08:50,08:14:00,08:15:00,,,,,,,,08:16:15,08:17:10,08:18:07,08:19:34,08:21:00,,,,,,08:21:51,08:24:55,08:23:54,08:26:00,,,,
112960533236299000,08:33:00,,,,08:41:00,08:34:02,08:35:00,08:37:02,08:38:50,08:44:00,08:45:00,,,,,,,,08:46:15,08:47:10,08:48:07,08:49:34,08:51:00,,,,,,08:51:51,08:54:55,08:53:54,08:56:00,,,,
112960534236299000,08:39:00,,,,08:47:00,08:40:02,08:41:00,08:43:02,08:44:50,08:50:00,08:51:00,,,,,,,,08:52:15,08:53:10,08:54:07,08:55:34,08:57:00,,,,,,08:57:51,09:00:55,08:59:54,09:02:00,,,,
112960535236299000,08:15:00,,,,08:23:00,08:16:02,08:17:00,08:19:02,08:20:50,08:26:00,08:27:00,,,,,,,,08:28:15,08:29:10,08:30:07,08:31:34,08:33:00,,,,,,08:33:51,08:36:55,08:35:54,08:38:00,,,,
112960541236299000,08:27:00,,,,08:35:00,08:28:02,08:29:00,08:31:02,08:32:50,08:38:00,08:39:00,,,,,,,,08:40:15,08:41:10,08:42:07,08:43:34,08:45:00,,,,,,08:45:51,08:48:55,08:47:54,08:50:00,,,,
112960542236299000,08:21:00,,,,08:29:00,08:22:02,08:23:00,08:25:02,08:26:50,08:32:00,08:33:00,,,,,,,,08:34:15,08:35:10,08:36:07,08:37:34,08:39:00,,,,,,08:39:51,08:42:55,08:41:54,08:44:00,,,,
112960543236299000,08:56:00,,,08:48:00,,,,,,,,,08:44:00,08:45:30,08:50:04,08:52:21,08:54:00,08:55:09,,,,,,08:39:00,08:40:07,08:41:21,08:42:11,08:42:58,,,,,08:32:00,08:33:37,08:35:02,08:37:49
112960544236299000,08:50:00,,,08:42:00,,,,,,,,,08:38:00,08:39:30,08:44:04,08:46:21,08:48:00,08:49:09,,,,,,08:33:00,08:34:07,08:35:21,08:36:11,08:36:58,,,,,08:26:00,08:27:37,08:29:02,08:31:49
112960545236299000,08:44:00,,,08:36:00,,,,,,,,,08:32:00,08:33:30,08:38:04,08:40:21,08:42:00,08:43:09,,,,,,08:27:00,08:28:07,08:29:21,08:30:11,08:30:58,,,,,08:20:00,08:21:37,08:23:02,08:25:49
112960546236299000,08:38:00,,,08:30:00,,,,,,,,,08:26:00,08:27:30,08:32:04,08:34:21,08:36:00,08:37:09,,,,,,08:21:00,08:22:07,08:23:21,08:24:11,08:24:58,,,,,08:14:00,08:15:37,08:17:02,08:19:49
112960547236299000,09:02:00,,,08:54:00,,,,,,,,,08:50:00,08:51:30,08:56:04,08:58:21,09:00:00,09:01:09,,,,,,08:45:00,08:46:07,08:47:21,08:48:11,08:48:58,,,,,08:38:00,08:39:37,08:41:02,08:43:49
112960553236299000,08:51:00,,,,08:59:00,08:52:02,08:53:00,08:55:02,08:56:50,09:02:00,09:03:00,,,,,,,,09:04:15,09:05:10,09:06:07,09:07:34,09:09:00,,,,,,09:09:51,09:12:55,09:11:54,09:14:00,,,,
112960554236299000,08:45:00,,,,08:53:00,08:46:02,08:47:00,08:49:02,08:50:50,08:56:00,08:57:00,,,,,,,,08:58:15,08:59:10,09:00:07,09:01:34,09:03:00,,,,,,09:03:51,09:06:55,09:05:54,09:08:00,,,,
