trip_id,0089,1042,5272F,5273F,5281G,5501,5502,5503,5504,5507,5508,5509,5510,5512,5515,5516,5517,5518,5519,5520F,5521,5522,5523,5524,5525,5528F,5529,5530,5531,5532,5533,5551,5553,5554,5555,5556,5559,5560,5561F,5562,6474F,6475F
112960459236299000,06:00:00,,,05:53:00,,,,,,,,,,,,,,,,,05:38:44,05:40:06,05:41:00,05:41:35,05:42:18,05:38:00,,05:43:17,05:59:00,,05:43:04,05:46:00,05:47:14,05:48:31,05:50:00,05:51:08,05:54:43,05:56:37,05:58:00,,,05:44:00
112960460236299000,05:47:00,,,,05:54:00,05:48:02,05:49:00,05:50:41,05:52:11,05:56:00,05:57:00,05:58:50,06:00:15,06:02:07,06:05:16,06:06:13,06:07:00,06:07:54,06:09:16,06:10:00,,,,,,,06:03:57,,,06:04:15,,,,,,,,,,,06:03:00,
112960462236299000,06:16:00,,,06:09:00,,,,,,,,,,,,,,,,,05:54:44,05:56:06,05:57:00,05:57:35,05:58:18,05:54:00,,05:59:17,06:15:00,,05:59:04,06:02:00,06:03:14,06:04:31,06:06:00,06:07:08,06:10:43,06:12:37,06:14:00,,,06:00:00
112960465236299000,06:04:00,,,,06:11:00,06:05:02,06:06:00,06:07:41,06:09:11,06:13:00,06:14:00,06:15:50,06:17:15,06:19:07,06:22:16,06:23:13,06:24:00,06:24:54,06:26:16,06:27:00,,,,,,,06:20:57,,,06:21:15,,,,,,,,,,,06:20:00,
112960466236299000,06:32:00,,,06:25:00,,,,,,,,,,,,,,,,,06:10:44,06:12:06,06:13:00,06:13:35,06:14:18,06:10:00,,06:15:17,,,06:15:04,06:18:00,06:19:14,06:20:31,06:22:00,06:23:08,06:26:43,06:28:37,06:30:00,06:31:09,,06:16:00
112960469236299000,06:41:00,,,06:34:00,,,,,,,,,,,,,,,,,06:19:44,06:21:06,06:22:00,06:22:35,06:23:18,06:19:00,,06:24:17,,,06:24:04,06:27:00,06:28:14,06:29:31,06:31:00,06:32:08,06:35:43,06:37:37,06:39:00,06:40:09,,06:25:00
112960470236299000,06:20:00,,,,06:27:00,06:21:02,06:22:00,06:23:41,06:25:11,06:29:00,06:30:00,06:31:50,06:33:15,06:35:07,06:38:16,06:39:13,06:40:00,06:40:54,06:42:16,06:43:00,,,,,,,06:36:57,,,06:37:15,,,,,,,,,,,06:36:00,
112960473236299000,06:53:00,,,06:46:00,,,,,,,,,,,,,,,,,06:30:44,06:32:06,06:33:00,06:33:35,06:34:18,06:30:00,,06:35:17,,,06:35:04,06:38:00,06:39:33,06:41:09,06:43:00,06:44:08,06:47:43,06:49:37,06:51:00,06:52:09,,06:36:00
112960474236299000,06:36:00,,,,06:43:00,06:37:02,06:38:00,06:39:41,06:41:11,06:45:00,06:46:00,06:47:50,06:49:15,06:51:07,06:54:16,06:55:13,06:56:00,06:56:54,06:58:16,06:59:00,,,,,,,06:52:57,,,06:53:15,,,,,,,,,,,06:52:00,
112960477236299000,07:05:00,,,06:58:00,,,,,,,,,,,,,,,,,06:41:44,06:43:06,06:44:00,06:44:46,06:45:44,06:41:00,,06:47:03,,,06:46:45,06:50:00,06:51:33,06:53:09,06:55:00,06:56:08,06:59:43,07:01:37,07:03:00,07:04:09,,06:48:00
112960478236299000,06:45:00,,,,06:52:00,06:46:02,06:47:00,06:48:41,06:50:11,06:54:00,06:55:00,06:56:50,06:58:15,07:00:07,07:03:16,07:04:13,07:05:00,07:05:54,07:07:16,07:08:00,,,,,,,07:01:57,,,07:02:15,,,,,,,,,,,07:01:00,
112960481236299000,07:14:00,,,07:07:00,,,,,,,,,,,,,,,,,06:50:44,06:52:06,06:53:00,06:53:46,06:54:44,06:50:00,,06:56:03,,,06:55:45,06:59:00,07:00:33,07:02:09,07:04:00,07:05:08,07:08:43,07:10:37,07:12:00,07:13:09,,06:57:00
112960483236299000,07:23:00,,,07:15:00,,,,,,,,,,,,,,,,,06:58:44,07:00:06,07:01:00,07:01:46,07:02:44,06:58:00,,07:04:03,,,07:03:45,07:07:00,07:08:33,07:10:09,07:12:00,07:13:08,07:17:04,07:19:21,07:21:00,07:22:09,,07:05:00
112960484236299000,07:00:00,,,,07:07:00,07:01:02,07:02:00,07:03:41,07:05:11,07:10:00,07:11:00,07:12:50,07:14:15,07:16:07,07:19:16,07:20:13,07:21:00,07:21:54,07:23:16,07:24:00,,,,,,,07:17:57,,,07:18:15,,,,,,,,,,,07:17:00,
112960486236299000,07:29:00,,,07:21:00,,,,,,,,,,,,,,,,,07:04:44,07:06:06,07:07:00,07:07:46,07:08:44,07:04:00,,07:10:03,,,07:09:45,07:13:00,07:14:33,07:16:09,07:18:00,07:19:08,07:23:04,07:25:21,07:27:00,07:28:09,,07:11:00
112960489236299000,07:06:00,,,,07:13:00,07:07:02,07:08:00,07:09:41,07:11:11,07:16:00,07:17:00,07:19:08,07:20:48,07:22:58,07:26:16,07:27:13,07:28:00,07:28:54,07:30:16,07:31:00,,,,,,,07:24:57,,,07:25:15,,,,,,,,,,,07:24:00,
112960490236299000,07:35:00,,,07:27:00,,,,,,,,,,,,,,,,,07:10:44,07:12:06,07:13:00,07:13:46,07:14:44,07:10:00,,07:16:03,,,07:15:45,07:19:00,07:20:33,07:22:09,07:24:00,07:25:08,07:29:04,07:31:21,07:33:00,07:34:09,,07:17:00
112960493236299000,07:41:00,,,07:33:00,,,,,,,,,,,,,,,,,07:14:44,07:16:06,07:17:00,07:17:58,07:19:10,07:14:00,,07:20:49,,,07:20:26,07:24:00,07:25:33,07:27:09,07:29:00,07:30:30,07:35:04,07:37:21,07:39:00,07:40:09,,07:22:00
112960494236299000,07:11:00,,,,07:18:00,07:12:02,07:13:00,07:14:41,07:16:11,07:21:00,07:22:00,07:24:08,07:25:48,07:27:58,07:31:16,07:32:13,07:33:00,07:33:54,07:35:16,07:36:00,,,,,,,07:29:57,,,07:30:15,,,,,,,,,,,07:29:00,
112960497236299000,07:47:00,,,07:39:00,,,,,,,,,,,,,,,,,07:19:44,07:21:06,07:22:00,07:22:58,07:24:10,07:19:00,,07:25:49,,,07:25:26,07:29:00,07:30:51,07:32:47,07:35:00,07:36:30,07:41:04,07:43:21,07:45:00,07:46:09,,07:27:00
112960498236299000,07:18:00,,,,07:25:00,07:19:02,07:20:00,07:21:41,07:23:11,07:28:00,07:29:00,07:31:08,07:32:48,07:34:58,07:38:16,07:39:13,07:40:00,07:40:54,07:42:16,07:43:00,,,,,,,07:36:57,,,07:37:15,,,,,,,,,,,07:36:00,
112960502236299000,07:30:00,,,,07:38:00,07:31:02,07:32:00,07:34:02,07:35:50,07:41:00,07:42:00,07:44:08,07:45:48,07:47:58,07:51:16,07:52:13,07:53:00,07:53:54,07:55:16,07:56:00,,,,,,,07:49:57,,,07:50:15,,,,,,,,,,,07:49:00,
