trip_id,1320,1321,1384,1385,1525,1531,1533,1534,1535,1538B,1540,1550,1551,1553,1554,2900,2903,2909,2910,2924,2982B,2992,3306,3361,3402,3403,3404,3420,3424,3425,3458,3459,3460,3461,3462,3463,9292
113284375237312601,,19:01:37,,,,,,,,,,,19:03:00,,,,,,,18:48:00,,,,18:49:54,,,,,,18:51:00,18:52:03,18:54:00,18:55:27,18:57:00,18:58:24,19:01:00,
113284376237312601,20:39:26,,,,,20:38:00,20:40:00,20:42:34,20:44:00,20:43:20,,,,,,,,,,,,,20:49:27,,20:44:35,20:46:00,20:47:02,20:51:00,20:48:00,,,,,,,,
113285724237312601,,05:25:37,,,,,,,,,,,05:27:00,,,,,,,05:14:00,,,,05:15:54,,,,,,05:17:00,05:18:03,05:20:00,05:20:58,05:22:00,05:23:03,05:25:00,
113285725237312601,,05:57:37,,,,,,,,,,,05:59:00,,,,,,,05:46:00,,,,05:47:54,,,,,,05:49:00,05:50:03,05:52:00,05:52:58,05:54:00,05:55:03,05:57:00,
113285901237318501,,05:57:37,,,,,,,,,,,05:59:00,,,,,,,05:46:00,,,,05:47:54,,,,,,05:49:00,05:50:03,05:52:00,05:52:58,05:54:00,05:55:03,05:57:00,
113285902237318501,,05:25:37,,,,,,,,,,,05:27:00,,,,,,,05:14:00,,,,05:15:54,,,,,,05:17:00,05:18:03,05:20:00,05:20:58,05:22:00,05:23:03,05:25:00,
113285906237318501,19:39:26,,,,,19:38:00,19:40:00,19:43:12,19:45:00,19:44:10,,,,,,,,,,,,,19:50:27,,19:45:35,19:47:00,19:48:02,19:52:00,19:49:00,,,,,,,,
113286004237318501,,09:03:37,,,,,,,,,,,09:05:00,,,,,,,08:51:00,,,,08:52:54,,,,,,08:54:00,08:55:03,08:57:00,08:57:58,08:59:00,09:00:24,09:03:00,
113286007237318501,21:39:26,,,,,21:38:00,21:40:00,21:42:34,21:44:00,21:43:20,,,,,,,,,,,,,21:49:27,,21:44:35,21:46:00,21:47:02,21:51:00,21:48:00,,,,,,,,
113286013237318501,,09:09:39,,09:14:00,,,,,,,,09:12:33,,09:11:00,09:11:51,,,,,08:56:00,,,,08:57:54,,,,,,08:59:00,09:00:03,09:02:00,09:03:27,09:05:00,09:06:24,09:09:00,
113286430237319001,,05:25:37,,,,,,,,,,,05:27:00,,,,,,,05:14:00,,,,05:15:54,,,,,,05:17:00,05:18:03,05:20:00,05:20:58,05:22:00,05:23:03,05:25:00,
113286659237319001,,06:00:37,,,,,,,,,,,06:02:00,,,,,,,05:49:00,,,,05:50:54,,,,,,05:52:00,05:53:03,05:55:00,05:55:58,05:57:00,05:58:03,06:00:00,
113286660237319001,,05:45:37,,,,,,,,,,,05:47:00,,,,,,,05:34:00,,,,05:35:54,,,,,,05:37:00,05:38:03,05:40:00,05:40:58,05:42:00,05:43:03,05:45:00,
113286681237319001,,06:43:59,,06:50:00,,,,,,,,06:48:04,,06:46:00,06:47:08,,,,,06:32:00,,,,06:33:54,,,,,,06:35:00,06:36:03,06:38:00,06:38:58,06:40:00,06:41:03,06:43:00,
113287079237319001,09:36:26,,09:31:00,,09:33:39,09:35:00,09:37:00,09:40:12,09:42:00,09:41:10,09:32:26,,,,,,,,,,,,09:47:27,,09:42:35,09:44:00,09:45:02,09:49:00,09:46:00,,,,,,,,
113290676237319001,21:04:26,,,,,21:03:00,21:05:00,21:07:34,21:09:00,21:08:20,,,,,,,,,,,,,21:14:27,,21:09:35,21:11:00,21:12:02,21:16:00,21:13:00,,,,,,,,
113298883237386601,,08:04:39,,08:09:00,,,,,,,,08:07:33,,08:06:00,08:06:51,,07:51:01,07:50:00,07:52:00,07:53:31,,,,07:55:05,,,,,,07:56:00,07:57:03,07:59:00,07:59:58,08:01:00,08:02:03,08:04:00,07:49:00
