trip_id,1043,1383,1385,1525,1531,1540,1550,1551,1553,1554,2015,2017,2022,2025,2027,2028,2029,2069,2071,2078,2084,2085,2087,9851,9853,9876
113284211237312601,24:09:57,24:05:00,,24:07:06,,24:06:09,,24:08:00,,,24:17:00,,24:09:14,,,,,,24:14:47,24:15:48,24:11:00,24:11:27,24:16:23,,,24:13:34
113284212237312601,23:49:57,23:45:00,,23:47:06,,23:46:09,,23:48:00,,,23:57:00,,23:49:14,,,,,,23:54:47,23:55:48,23:51:00,23:51:27,23:56:23,,,23:53:34
113284213237312601,23:29:57,23:25:00,,23:27:06,,23:26:09,,23:28:00,,,23:37:00,,23:29:14,,,,,,23:34:47,23:35:48,23:31:00,23:31:27,23:36:23,,,23:33:34
113284214237312601,23:09:57,23:05:00,,23:07:06,,23:06:09,,23:08:00,,,23:17:00,,23:09:14,,,,,,23:14:47,23:15:48,23:11:00,23:11:27,23:16:23,,,23:13:34
113284215237312601,22:49:57,22:45:00,,22:47:06,,22:46:09,,22:48:00,,,22:57:00,,22:49:14,,,,,,22:54:47,22:55:48,22:51:00,22:51:27,22:56:23,,,22:53:34
113284216237312601,22:29:57,22:25:00,,22:27:06,,22:26:09,,22:28:00,,,22:37:00,,22:29:14,,,,,,22:34:47,22:35:48,22:31:00,22:31:27,22:36:23,,,22:33:34
113284217237312601,22:09:57,22:05:00,,22:07:06,,22:06:09,,22:08:00,,,22:17:00,,22:09:14,,,,,,22:14:47,22:15:48,22:11:00,22:11:27,22:16:23,,,22:13:34
113284218237312601,21:49:57,21:45:00,,21:47:06,,21:46:09,,21:48:00,,,21:57:00,,21:49:14,,,,,,21:54:47,21:55:48,21:51:00,21:51:27,21:56:23,,,21:53:34
113284219237312601,21:29:57,21:25:00,,21:27:06,,21:26:09,,21:28:00,,,21:37:00,,21:29:14,,,,,,21:34:47,21:35:48,21:31:00,21:31:27,21:36:23,,,21:33:34
113284220237312601,21:09:57,21:05:00,,21:07:06,,21:06:09,,21:08:00,,,21:17:00,,21:09:14,,,,,,21:14:47,21:15:48,21:11:00,21:11:27,21:16:23,,,21:13:34
113284221237312601,20:49:57,20:45:00,,20:47:06,,20:46:09,,20:48:00,,,20:57:00,,20:49:14,,,,,,20:54:47,20:55:48,20:51:00,20:51:27,20:56:23,,,20:53:34
113284222237312601,20:29:57,20:25:00,,20:27:06,,20:26:09,,20:28:00,,,20:37:00,,20:29:14,,,,,,20:34:47,20:35:48,20:31:00,20:31:27,20:36:23,,,20:33:34
113284223237312601,20:09:57,20:05:00,,20:07:06,,20:06:09,,20:08:00,,,20:17:00,,20:09:14,,,,,,20:14:47,20:15:48,20:11:00,20:11:27,20:16:23,,,20:13:34
113284224237312601,19:49:57,19:45:00,,19:47:06,,19:46:09,,19:48:00,,,19:58:00,,19:49:14,,,,,,19:55:24,19:56:36,19:51:00,19:51:31,19:57:17,,,19:53:59
113284225237312601,19:29:57,19:25:00,,19:27:06,,19:26:09,,19:28:00,,,19:38:00,,19:29:14,,,,,,19:35:24,19:36:36,19:31:00,19:31:31,19:37:17,,,19:33:59
113284226237312601,19:09:57,19:05:00,,19:07:06,,19:06:09,,19:08:00,,,19:18:00,,19:09:14,,,,,,19:15:24,19:16:36,19:11:00,19:11:31,19:17:17,,,19:13:59
113284227237312601,18:49:57,18:45:00,,18:47:06,,18:46:09,,18:48:00,,,18:58:00,,18:49:14,,,,,,18:55:24,18:56:36,18:51:00,18:51:31,18:57:17,,,18:53:59
113284228237312601,18:29:57,18:25:00,,18:27:06,,18:26:09,,18:28:00,,,18:38:00,,18:29:14,,,,,,18:35:24,18:36:36,18:31:00,18:31:31,18:37:17,,,18:33:59
113284229237312601,18:09:57,18:05:00,,18:07:06,,18:06:09,,18:08:00,,,18:18:00,,18:09:14,,,,,,18:15:24,18:16:36,18:11:00,18:11:31,18:17:17,,,18:13:59
113284230237312601,17:49:57,17:45:00,,17:47:06,,17:46:09,,17:48:00,,,17:58:00,,17:49:14,,,,,,17:55:24,17:56:36,17:51:00,17:51:31,17:57:17,,,17:53:59
113284231237312601,17:29:57,17:25:00,,17:27:06,,17:26:09,,17:28:00,,,17:38:00,,17:29:14,,,,,,17:35:24,17:36:36,17:31:00,17:31:31,17:37:17,,,17:33:59
113284232237312601,17:09:57,17:05:00,,17:07:06,,17:06:09,,17:08:00,,,17:18:00,,17:09:14,,,,,,17:15:24,17:16:36,17:11:00,17:11:31,17:17:17,,,17:13:59
113284233237312601,16:49:57,16:45:00,,16:47:06,,16:46:09,,16:48:00,,,16:58:00,,16:49:14,,,,,,16:55:24,16:56:36,16:51:00,16:51:31,16:57:17,,,16:53:59
113284234237312601,16:29:57,16:25:00,,16:27:06,,16:26:09,,16:28:00,,,16:38:00,,16:29:14,,,,,,16:35:24,16:36:36,16:31:00,16:31:31,16:37:17,,,16:33:59
113284235237312601,16:09:57,16:05:00,,16:07:06,,16:06:09,,16:08:00,,,16:18:00,,16:09:14,,,,,,16:15:24,16:16:36,16:11:00,16:11:31,16:17:17,,,16:13:59
113284236237312601,15:49:57,15:45:00,,15:47:06,,15:46:09,,15:48:00,,,15:58:00,,15:49:14,,,,,,15:55:24,15:56:36,15:51:00,15:51:31,15:57:17,,,15:53:59
113284237237312601,15:29:57,15:25:00,,15:27:06,,15:26:09,,15:28:00,,,15:38:00,,15:29:14,,,,,,15:35:24,15:36:36,15:31:00,15:31:31,15:37:17,,,15:33:59
113284238237312601,15:09:57,15:05:00,,15:07:06,,15:06:09,,15:08:00,,,15:18:00,,15:09:14,,,,,,15:15:24,15:16:36,15:11:00,15:11:31,15:17:17,,,15:13:59
113284239237312601,14:49:57,14:45:00,,14:47:06,,14:46:09,,14:48:00,,,14:58:00,,14:49:14,,,,,,14:55:24,14:56:36,14:51:00,14:51:31,14:57:17,,,14:53:59
113284240237312601,14:29:57,14:25:00,,14:27:06,,14:26:09,,14:28:00,,,14:38:00,,14:29:14,,,,,,14:35:24,14:36:36,14:31:00,14:31:31,14:37:17,,,14:33:59
113284241237312601,14:09:57,14:05:00,,14:07:06,,14:06:09,,14:08:00,,,14:18:00,,14:09:14,,,,,,14:15:24,14:16:36,14:11:00,14:11:31,14:17:17,,,14:13:59
113284242237312601,13:49:57,13:45:00,,13:47:06,,13:46:09,,13:48:00,,,13:58:00,,13:49:14,,,,,,13:55:24,13:56:36,13:51:00,13:51:31,13:57:17,,,13:53:59
113284243237312601,13:29:57,13:25:00,,13:27:06,,13:26:09,,13:28:00,,,13:38:00,,13:29:14,,,,,,13:35:24,13:36:36,13:31:00,13:31:31,13:37:17,,,13:33:59
113284244237312601,13:09:57,13:05:00,,13:07:06,,13:06:09,,13:08:00,,,13:18:00,,13:09:14,,,,,,13:15:24,13:16:36,13:11:00,13:11:31,13:17:17,,,13:13:59
113284245237312601,12:49:57,12:45:00,,12:47:06,,12:46:09,,12:48:00,,,12:58:00,,12:49:14,,,,,,12:55:24,12:56:36,12:51:00,12:51:31,12:57:17,,,12:53:59
113284246237312601,12:29:57,12:25:00,,12:27:06,,12:26:09,,12:28:00,,,12:38:00,,12:29:14,,,,,,12:35:24,12:36:36,12:31:00,12:31:31,12:37:17,,,12:33:59
113284247237312601,12:09:57,12:05:00,,12:07:06,,12:06:09,,12:08:00,,,12:18:00,,12:09:14,,,,,,12:15:24,12:16:36,12:11:00,12:11:31,12:17:17,,,12:13:59
113284248237312601,11:49:57,11:45:00,,11:47:06,,11:46:09,,11:48:00,,,11:57:00,,11:49:14,,,,,,11:54:47,11:55:48,11:51:00,11:51:27,11:56:23,,,11:53:34
113284249237312601,11:29:57,11:25:00,,11:27:06,,11:26:09,,11:28:00,,,11:37:00,,11:29:14,,,,,,11:34:47,11:35:48,11:31:00,11:31:27,11:36:23,,,11:33:34
113284250237312601,11:09:57,11:05:00,,11:07:06,,11:06:09,,11:08:00,,,11:17:00,,11:09:14,,,,,,11:14:47,11:15:48,11:11:00,11:11:27,11:16:23,,,11:13:34
113284251237312601,10:49:57,10:45:00,,10:47:06,,10:46:09,,10:48:00,,,10:57:00,,10:49:14,,,,,,10:54:47,10:55:48,10:51:00,10:51:27,10:56:23,,,10:53:34
113284252237312601,10:29:57,10:25:00,,10:27:06,,10:26:09,,10:28:00,,,10:37:00,,10:29:14,,,,,,10:34:47,10:35:48,10:31:00,10:31:27,10:36:23,,,10:33:34
