trip_id,1145,1242,1348,1350,1351,1356,1894,2305,2370,2558,3225,3230,3231,3232,3233,3234,3238,3252,3253,3257,3259B,3260,3261,3263B,3281,3282,4074B,4127,4213,4214,4217,4252,4253,4258,4266,4267,4271,4594,4595,6648,6702,6706,6754,6755
113078042236681601,,,,,,,,,,,,,,,,,24:47:00,24:47:30,24:51:00,,,,,,24:48:11,24:49:00,,,,,,,,,,,,,,,,,,
113078161236681601,,,,,,,,,,,,,,,,,24:32:00,24:32:30,24:36:00,,,,,,24:33:11,24:34:00,,,,,,,,,,,,,,,,,,
113078189236681601,,,,,,,,,,,,,,,,,24:17:00,24:17:30,24:21:00,,,,,,24:18:11,24:19:00,,,,,,,,,,,,,,,,,,
113095219236726501,,,,,,,,,,,,,,,,,24:32:00,24:32:30,24:36:00,,,,,,24:33:11,24:34:00,,,,,,,,,,,,,,,,,,
113095229236726501,,,,,,,,,,,,,,,,,24:17:00,24:17:30,24:21:00,,,,,,24:18:11,24:19:00,,,,,,,,,,,,,,,,,,
113095233236726501,,,,,,,,,,,,,,,,,24:47:00,24:47:30,24:51:00,,,,,,24:48:11,24:49:00,,,,,,,,,,,,,,,,,,
113226856237110501,,,,,,,09:15:00,,,,,,,,,,,,,09:06:00,09:09:00,09:11:17,09:12:53,09:06:43,,,,,,,,,,,,,,,,09:07:54,,,,
113357828237593601,,05:24:53,,,05:33:01,05:34:00,,05:34:59,,05:41:00,,,,,,05:15:00,05:16:41,05:17:16,05:21:00,05:21:56,,,,,05:18:03,05:19:00,,05:40:00,,,,05:36:26,05:30:00,05:38:12,05:39:26,,,,05:23:00,,,,05:26:16,05:27:36
113357829237593601,,05:54:53,,,06:03:01,06:04:00,,06:04:59,,06:11:00,,,,,,05:45:00,05:46:41,05:47:16,05:51:00,05:51:56,,,,,05:48:03,05:49:00,,06:10:00,,,,06:06:26,06:00:00,06:08:12,06:09:26,,,,05:53:00,,,,05:56:16,05:57:36
113357830237593601,,06:19:53,,,06:28:01,06:29:00,,06:29:59,,06:36:00,,,,,,06:10:00,06:11:41,06:12:16,06:16:00,06:16:56,,,,,06:13:03,06:14:00,,06:35:00,,,,06:31:26,06:25:00,06:33:12,06:34:26,,,,06:18:00,,,,06:21:16,06:22:36
113357831237593601,,06:39:53,,,06:48:01,06:49:00,,06:49:59,,06:56:00,,,,,,06:30:00,06:31:41,06:32:16,06:36:00,06:36:56,,,,,06:33:03,06:34:00,,06:55:00,,,,06:51:26,06:45:00,06:53:12,06:54:26,,,,06:38:00,,,,06:41:16,06:42:36
113357832237593601,,07:19:53,,,07:28:01,07:29:00,,07:29:59,,07:36:00,,,,,,07:10:00,07:11:41,07:12:16,07:16:00,07:16:56,,,,,07:13:03,07:14:00,,07:35:00,,,,07:31:26,07:25:00,07:33:12,07:34:26,,,,07:18:00,,,,07:21:16,07:22:36
113357833237593601,,07:39:53,,,07:48:01,07:49:00,,07:49:59,,07:56:00,,,,,,07:30:00,07:31:41,07:32:16,07:36:00,07:36:56,,,,,07:33:03,07:34:00,,07:55:00,,,,07:51:26,07:45:00,07:53:12,07:54:26,,,,07:38:00,,,,07:41:16,07:42:36
113357834237593601,,07:59:53,,,08:08:01,08:09:00,,08:09:59,,08:16:00,,,,,,07:50:00,07:51:41,07:52:16,07:56:00,07:56:56,,,,,07:53:03,07:54:00,,08:15:00,,,,08:11:26,08:05:00,08:13:12,08:14:26,,,,07:58:00,,,,08:01:16,08:02:36
113357835237593601,,08:19:53,,,08:28:01,08:29:00,,08:29:59,,08:36:00,,,,,,08:10:00,08:11:41,08:12:16,08:16:00,08:16:56,,,,,08:13:03,08:14:00,,08:35:00,,,,08:31:26,08:25:00,08:33:12,08:34:26,,,,08:18:00,,,,08:21:16,08:22:36
113357836237593601,,08:39:53,,,08:48:01,08:49:00,,08:49:59,,08:56:00,,,,,,08:30:00,08:31:41,08:32:16,08:36:00,08:36:56,,,,,08:33:03,08:34:00,,08:55:00,,,,08:51:26,08:45:00,08:53:12,08:54:26,,,,08:38:00,,,,08:41:16,08:42:36
113357837237593601,,08:59:53,,,09:08:01,09:09:00,,09:09:59,,09:16:00,,,,,,08:50:00,08:51:41,08:52:16,08:56:00,08:56:56,,,,,08:53:03,08:54:00,,09:15:00,,,,09:11:26,09:05:00,09:13:12,09:14:26,,,,08:58:00,,,,09:01:16,09:02:36
113357838237593601,,09:14:53,,,09:23:01,09:24:00,,09:24:59,,09:31:00,,,,,,09:05:00,09:06:41,09:07:16,09:11:00,09:11:56,,,,,09:08:03,09:09:00,,09:30:00,,,,09:26:26,09:20:00,09:28:12,09:29:26,,,,09:13:00,,,,09:16:16,09:17:36
113357839237593601,,09:28:53,,,09:37:01,09:38:00,,09:38:59,,09:45:00,,,,,,09:19:00,09:20:41,09:21:16,09:25:00,09:25:56,,,,,09:22:03,09:23:00,,09:44:00,,,,09:40:26,09:34:00,09:42:12,09:43:26,,,,09:27:00,,,,09:30:16,09:31:36
113357840237593601,,09:43:53,,,09:52:01,09:53:00,,09:53:59,,10:00:00,,,,,,09:34:00,09:35:41,09:36:16,09:40:00,09:40:56,,,,,09:37:03,09:38:00,,09:59:00,,,,09:55:26,09:49:00,09:57:12,09:58:26,,,,09:42:00,,,,09:45:16,09:46:36
113357841237593601,,09:58:53,,,10:07:01,10:08:00,,10:09:09,,10:16:00,,,,,,09:49:00,09:50:41,09:51:16,09:55:00,09:55:56,,,,,09:52:03,09:53:00,,10:15:00,,,,10:10:51,10:04:00,10:12:54,10:14:20,,,,09:57:00,,,,10:00:16,10:01:36
113357842237593601,,10:13:53,,,10:22:01,10:23:00,,10:24:09,,10:31:00,,,,,,10:04:00,10:05:41,10:06:16,10:10:00,10:10:56,,,,,10:07:03,10:08:00,,10:30:00,,,,10:25:51,10:19:00,10:27:54,10:29:20,,,,10:12:00,,,,10:15:16,10:16:36
113357843237593601,,10:25:53,,,10:34:46,10:36:00,,10:37:09,,10:44:00,,,,,,10:16:00,10:17:41,10:18:16,10:22:00,10:22:56,,,,,10:19:03,10:20:00,,10:43:00,,,,10:38:51,10:31:00,10:40:54,10:42:20,,,,10:24:00,,,,10:27:16,10:28:36
113357844237593601,,10:37:53,,,10:46:46,10:48:00,,10:49:09,,10:56:00,,,,,,10:28:00,10:29:41,10:30:16,10:34:00,10:34:56,,,,,10:31:03,10:32:00,,10:55:00,,,,10:50:51,10:43:00,10:52:54,10:54:20,,,,10:36:00,,,,10:39:16,10:40:36
113357845237593601,,10:49:53,,,10:58:46,11:00:00,,11:01:09,,11:08:00,,,,,,10:40:00,10:41:41,10:42:16,10:46:00,10:46:56,,,,,10:43:03,10:44:00,,11:07:00,,,,11:02:51,10:55:00,11:04:54,11:06:20,,,,10:48:00,,,,10:51:16,10:52:36
113357846237593601,,11:25:53,,,11:34:46,11:36:00,,11:37:09,,11:44:00,,,,,,11:16:00,11:17:41,11:18:16,11:22:00,11:22:56,,,,,11:19:03,11:20:00,,11:43:00,,,,11:38:51,11:31:00,11:40:54,11:42:20,,,,11:24:00,,,,11:27:16,11:28:36
113357847237593601,,11:37:53,,,11:46:46,11:48:00,,11:49:09,,11:56:00,,,,,,11:28:00,11:29:41,11:30:16,11:34:00,11:34:56,,,,,11:31:03,11:32:00,,11:55:00,,,,11:50:51,11:43:00,11:52:54,11:54:20,,,,11:36:00,,,,11:39:16,11:40:36
113357848237593601,,11:49:53,,,11:58:46,12:00:00,,12:01:19,,12:09:00,,,,,,11:40:00,11:41:41,11:42:16,11:46:00,11:46:56,,,,,11:43:03,11:44:00,,12:08:00,,,,12:03:15,11:55:00,12:05:35,12:07:14,,,,11:48:00,,,,11:51:16,11:52:36
113357849237593601,,12:01:53,,,12:10:46,12:12:00,,12:13:19,,12:21:00,,,,,,11:52:00,11:53:41,11:54:16,11:58:00,11:58:56,,,,,11:55:03,11:56:00,,12:20:00,,,,12:15:15,12:07:00,12:17:35,12:19:14,,,,12:00:00,,,,12:03:16,12:04:36
113357850237593601,,12:13:53,,,12:22:46,12:24:00,,12:25:19,,12:33:00,,,,,,12:04:00,12:05:41,12:06:16,12:10:00,12:10:56,,,,,12:07:03,12:08:00,,12:32:00,,,,12:27:15,12:19:00,12:29:35,12:31:14,,,,12:12:00,,,,12:15:16,12:16:36
