trip_id,1662,1664,1665,1666,2528,2541,3800,3802,3804B,3805,3808,3810,3812,3814,3815,3850,3851,3852,3853,3856,3858,3859,3860
113070578236680001,,24:37:00,,24:42:00,,,24:38:25,24:39:19,24:39:55,24:41:00,,,,,,,,,,,,,
113070579236680001,24:29:00,,24:23:00,,24:25:53,24:26:58,,,,,,,,,24:19:20,24:19:00,24:19:52,24:25:04,,24:22:00,24:24:00,24:21:07,24:20:26
113070580236680001,,24:04:00,,24:09:00,,,24:05:25,24:06:19,24:06:55,24:08:00,24:10:00,24:12:24,24:10:43,24:13:17,,24:14:00,,,24:11:39,,,,
113070581236680001,23:55:00,,23:49:00,,23:51:53,23:52:58,,,,,,,,,23:45:20,23:45:00,23:45:52,23:51:04,,23:48:00,23:50:00,23:47:07,23:46:26
113070582236680001,,23:30:00,,23:35:00,,,23:31:25,23:32:19,23:32:55,23:34:00,23:36:00,23:38:24,23:36:43,23:39:17,,23:40:00,,,23:37:39,,,,
113070583236680001,,23:38:00,,23:43:00,,,23:39:25,23:40:19,23:40:55,23:42:00,,,,,,,,,,,,,
113070584236680001,23:30:00,,23:24:00,,23:26:53,23:27:58,,,,,,,,,23:20:20,23:20:00,23:20:52,23:26:04,,23:23:00,23:25:00,23:22:07,23:21:26
113070585236680001,,23:04:00,,23:09:00,,,23:05:25,23:06:19,23:06:55,23:08:00,23:10:00,23:12:24,23:10:43,23:13:17,,23:14:00,,,23:11:39,,,,
113070586236680001,23:10:00,,23:04:00,,23:06:53,23:07:58,,,,,,,,,23:00:20,23:00:00,23:00:52,23:06:04,,23:03:00,23:05:00,23:02:07,23:01:26
113070587236680001,,22:44:00,,22:49:00,,,22:45:25,22:46:19,22:46:55,22:48:00,22:50:00,22:52:24,22:50:43,22:53:17,,22:54:00,,,22:51:39,,,,
113070588236680001,22:50:00,,22:44:00,,22:46:53,22:47:58,,,,,,,,,22:39:27,22:39:00,22:40:10,22:46:04,,22:43:00,22:45:00,22:41:49,22:40:54
113070589236680001,,22:24:00,,22:29:00,,,22:25:25,22:26:19,22:26:55,22:28:00,22:30:00,22:32:24,22:30:43,22:33:17,,22:34:00,,,22:31:39,,,,
113070590236680001,22:30:00,,22:24:00,,22:26:53,22:27:58,,,,,,,,,22:19:27,22:19:00,22:20:10,22:26:04,,22:23:00,22:25:00,22:21:49,22:20:54
113070591236680001,,22:04:00,,22:09:00,,,22:05:25,22:06:19,22:06:55,22:08:00,22:10:00,22:12:24,22:10:43,22:13:17,,22:14:00,,,22:11:39,,,,
113070592236680001,22:10:00,,22:04:00,,22:06:53,22:07:58,,,,,,,,,21:59:27,21:59:00,22:00:10,22:06:04,,22:03:00,22:05:00,22:01:49,22:00:54
113070593236680001,,21:44:00,,21:49:00,,,21:45:25,21:46:19,21:46:55,21:48:00,21:50:00,21:52:24,21:50:43,21:53:17,,21:54:00,,,21:51:39,,,,
113070594236680001,21:50:00,,21:44:00,,21:46:53,21:47:58,,,,,,,,,21:39:27,21:39:00,21:40:10,21:46:04,,21:43:00,21:45:00,21:41:49,21:40:54
113070595236680001,,21:24:00,,21:29:00,,,21:25:25,21:26:19,21:26:55,21:28:00,21:30:00,21:32:24,21:30:43,21:33:17,,21:34:00,,,21:31:39,,,,
113070596236680001,21:30:00,,21:24:00,,21:26:53,21:27:58,,,,,,,,,21:19:27,21:19:00,21:20:10,21:26:04,,21:23:00,21:25:00,21:21:49,21:20:54
113070597236680001,,21:04:00,,21:09:00,,,21:05:25,21:06:19,21:06:55,21:08:00,21:10:00,21:12:24,21:10:43,21:13:17,,21:14:00,,,21:11:39,,,,
113070598236680001,21:10:00,,21:04:00,,21:06:53,21:07:58,,,,,,,,,20:59:27,20:59:00,21:00:10,21:06:04,,21:03:00,21:05:00,21:01:49,21:00:54
113070599236680001,05:35:00,,05:29:00,,05:31:53,05:32:58,,,,,,,,,,,,05:31:04,,,05:30:00,,
113070600236680001,,05:43:00,,05:48:00,,,05:44:25,05:45:19,05:45:55,05:47:00,05:49:00,05:52:00,05:49:54,05:53:06,,05:54:00,,,05:51:03,,,,
113070601236680001,06:10:00,,06:04:00,,06:06:53,06:07:58,,,,,,,,,05:59:27,05:59:00,06:00:10,06:06:04,,06:03:00,06:05:00,06:01:49,06:00:54
113075440236680001,,06:02:00,,06:07:00,,,06:03:25,06:04:19,06:04:55,06:06:00,06:08:00,06:11:00,06:08:54,06:12:06,,06:13:00,,,06:10:03,,,,
113075441236680001,06:30:00,,06:24:00,,06:26:53,06:27:58,,,,,,,,,06:19:27,06:19:00,06:20:10,06:26:04,,06:23:00,06:25:00,06:21:49,06:20:54
113075442236680001,,06:21:00,,06:26:00,,,06:22:25,06:23:19,06:23:55,06:25:00,06:27:00,06:30:00,06:27:54,06:31:06,,06:32:00,,,06:29:03,,,,
113075443236680001,06:50:00,,06:44:00,,06:46:53,06:47:58,,,,,,,,,06:39:27,06:39:00,06:40:10,06:46:04,,06:43:00,06:45:00,06:41:49,06:40:54
113075466236680001,07:10:00,,07:02:00,,07:05:39,07:07:09,,,,,,,,,06:57:27,06:57:00,06:58:10,07:04:29,,07:01:00,07:03:00,06:59:49,06:58:54
113075467236680001,07:23:00,,07:14:00,,07:18:01,07:19:45,,,,,,,,,07:09:27,07:09:00,07:10:10,07:16:42,,07:13:00,07:15:00,07:11:49,07:10:54
113075468236680001,07:35:00,,07:26:00,,07:30:01,07:31:45,,,,,,,,,07:20:34,07:20:00,07:21:27,07:28:42,,07:25:00,07:27:00,07:23:31,07:22:23
113075469236680001,07:48:00,,07:38:00,,07:42:24,07:44:21,,,,,,,,,07:32:34,07:32:00,07:33:27,07:40:55,,07:37:00,07:39:00,07:35:31,07:34:23
113075470236680001,08:00:00,,07:50:00,,07:54:24,07:56:21,,,,,,,,,07:44:34,07:44:00,07:45:27,07:52:55,,07:49:00,07:51:00,07:47:31,07:46:23
113075471236680001,08:12:00,,08:02:00,,08:06:24,08:08:21,,,,,,,,,07:55:41,07:55:00,07:56:45,08:04:55,,08:01:00,08:03:00,07:59:14,07:57:51
113075472236680001,08:24:00,,08:14:00,,08:18:24,08:20:21,,,,,,,,,08:06:47,08:06:00,08:08:02,08:16:55,,08:13:00,08:15:00,08:10:56,08:09:20
113075473236680001,08:36:00,,08:26:00,,08:30:24,08:32:21,,,,,,,,,08:18:47,08:18:00,08:20:02,08:28:55,,08:25:00,08:27:00,08:22:56,08:21:20
113075474236680001,08:48:00,,08:38:00,,08:42:24,08:44:21,,,,,,,,,08:30:47,08:30:00,08:32:02,08:40:55,,08:37:00,08:39:00,08:34:56,08:33:20
113075475236680001,09:00:00,,08:50:00,,08:54:24,08:56:21,,,,,,,,,08:42:47,08:42:00,08:44:02,08:52:55,,08:49:00,08:51:00,08:46:56,08:45:20
113075476236680001,09:12:00,,09:02:00,,09:06:24,09:08:21,,,,,,,,,08:54:47,08:54:00,08:56:02,09:04:55,,09:01:00,09:03:00,08:58:56,08:57:20
113075477236680001,09:24:00,,09:14:00,,09:18:24,09:20:21,,,,,,,,,09:06:47,09:06:00,09:08:02,09:16:55,,09:13:00,09:15:00,09:10:56,09:09:20
113075478236680001,09:36:00,,09:26:00,,09:30:24,09:32:21,,,,,,,,,09:19:41,09:19:00,09:20:45,09:28:55,,09:25:00,09:27:00,09:23:14,09:21:51
113075479236680001,09:48:00,,09:38:00,,09:42:24,09:44:21,,,,,,,,,09:31:41,09:31:00,09:32:45,09:40:55,,09:37:00,09:39:00,09:35:14,09:33:51
113075480236680001,10:00:00,,09:50:00,,09:54:24,09:56:21,,,,,,,,,09:43:41,09:43:00,09:44:45,09:52:55,,09:49:00,09:51:00,09:47:14,09:45:51
113075481236680001,10:14:00,,10:03:00,,10:07:47,10:09:56,,,,,,,,,09:55:41,09:55:00,09:56:45,10:06:07,,10:01:00,10:04:00,09:59:14,09:57:51
113075482236680001,10:26:00,,10:15:00,,10:19:47,10:21:56,,,,,,,,,10:08:34,10:08:00,10:09:27,10:18:07,,10:13:00,10:16:00,10:11:31,10:10:23
113075483236680001,10:38:00,,10:27:00,,10:31:47,10:33:56,,,,,,,,,10:20:34,10:20:00,10:21:27,10:30:07,,10:25:00,10:28:00,10:23:31,10:22:23
113075484236680001,10:50:00,,10:39:00,,10:43:47,10:45:56,,,,,,,,,10:32:34,10:32:00,10:33:27,10:42:07,,10:37:00,10:40:00,10:35:31,10:34:23
113075485236680001,11:02:00,,10:51:00,,10:55:47,10:57:56,,,,,,,,,10:44:34,10:44:00,10:45:27,10:54:07,,10:49:00,10:52:00,10:47:31,10:46:23
113075486236680001,11:14:00,,11:03:00,,11:07:47,11:09:56,,,,,,,,,10:56:34,10:56:00,10:57:27,11:06:07,,11:01:00,11:04:00,10:59:31,10:58:23
113075487236680001,11:27:00,,11:15:00,,11:20:09,11:22:32,,,,,,,,,11:08:34,11:08:00,11:09:27,11:18:20,,11:13:00,11:16:00,11:11:31,11:10:23
113075488236680001,11:39:00,,11:27:00,,11:32:09,11:34:32,,,,,,,,,11:20:34,11:20:00,11:21:27,11:30:20,,11:25:00,11:28:00,11:23:31,11:22:23
113075489236680001,11:50:00,,11:39:00,,11:43:47,11:45:56,,,,,,,,,11:32:34,11:32:00,11:33:27,11:42:07,,11:37:00,11:40:00,11:35:31,11:34:23
113075490236680001,12:02:00,,11:51:00,,11:55:47,11:57:56,,,,,,,,,11:44:34,11:44:00,11:45:27,11:54:07,,11:49:00,11:52:00,11:47:31,11:46:23
113075491236680001,12:14:00,,12:03:00,,12:07:47,12:09:56,,,,,,,,,11:56:34,11:56:00,11:57:27,12:06:07,,12:01:00,12:04:00,11:59:31,11:58:23
113075492236680001,12:26:00,,12:15:00,,12:19:47,12:21:56,,,,,,,,,12:08:34,12:08:00,12:09:27,12:18:07,,12:13:00,12:16:00,12:11:31,12:10:23
113075493236680001,12:38:00,,12:27:00,,12:31:47,12:33:56,,,,,,,,,12:20:34,12:20:00,12:21:27,12:30:07,,12:25:00,12:28:00,12:23:31,12:22:23
113075494236680001,12:50:00,,12:39:00,,12:43:47,12:45:56,,,,,,,,,12:32:34,12:32:00,12:33:27,12:42:07,,12:37:00,12:40:00,12:35:31,12:34:23
113075495236680001,13:02:00,,12:51:00,,12:55:47,12:57:56,,,,,,,,,12:44:34,12:44:00,12:45:27,12:54:07,,12:49:00,12:52:00,12:47:31,12:46:23
113075496236680001,13:14:00,,13:03:00,,13:07:47,13:09:56,,,,,,,,,12:56:34,12:56:00,12:57:27,13:06:07,,13:01:00,13:04:00,12:59:31,12:58:23
113075497236680001,13:26:00,,13:15:00,,13:19:47,13:21:56,,,,,,,,,13:08:34,13:08:00,13:09:27,13:18:07,,13:13:00,13:16:00,13:11:31,13:10:23
113075498236680001,13:38:00,,13:27:00,,13:31:47,13:33:56,,,,,,,,,13:20:34,13:20:00,13:21:27,13:30:07,,13:25:00,13:28:00,13:23:31,13:22:23
113075499236680001,13:49:00,,13:39:00,,13:43:24,13:45:21,,,,,,,,,13:32:34,13:32:00,13:33:27,13:41:55,,13:37:00,13:40:00,13:35:31,13:34:23
113075500236680001,14:01:00,,13:51:00,,13:55:24,13:57:21,,,,,,,,,13:44:34,13:44:00,13:45:27,13:53:55,,13:49:00,13:52:00,13:47:31,13:46:23
113075501236680001,14:12:00,,14:03:00,,14:07:01,14:08:45,,,,,,,,,13:56:34,13:56:00,13:57:27,14:05:42,,14:01:00,14:04:00,13:59:31,13:58:23
113075502236680001,14:24:00,,14:15:00,,14:19:01,14:20:45,,,,,,,,,14:07:41,14:07:00,14:08:45,14:17:42,,14:13:00,14:16:00,14:11:14,14:09:51
113075503236680001,14:36:00,,14:27:00,,14:31:01,14:32:45,,,,,,,,,14:19:41,14:19:00,14:20:45,14:29:42,,14:25:00,14:28:00,14:23:14,14:21:51
113075504236680001,14:48:00,,14:39:00,,14:43:01,14:44:45,,,,,,,,,14:31:41,14:31:00,14:32:45,14:41:42,,14:37:00,14:40:00,14:35:14,14:33:51
113075505236680001,15:00:00,,14:51:00,,14:55:01,14:56:45,,,,,,,,,14:43:41,14:43:00,14:44:45,14:53:42,,14:49:00,14:52:00,14:47:14,14:45:51
113075506236680001,15:12:00,,15:03:00,,15:07:01,15:08:45,,,,,,,,,14:55:41,14:55:00,14:56:45,15:05:42,,15:01:00,15:04:00,14:59:14,14:57:51
113075507236680001,15:24:00,,15:15:00,,15:19:01,15:20:45,,,,,,,,,15:06:47,15:06:00,15:08:02,15:17:42,,15:13:00,15:16:00,15:10:56,15:09:20
