trip_id,1121,1143,1967,1974,1987,2096,2299,2312,2314,2315,2316,2317,2329,2330,2352,2358,2359,2360,2361,2362B,2363,2367,2377,2478,2829B,2841,3001B,3002,3064,6368C,6370,6459,6461,9605,9606,9607,9608,9626,9627,9631,9632,9634,9635,9707,9783,9784B,9786,9787
113078592236711001,05:55:08,05:54:13,05:35:43,,05:38:23,,05:34:00,05:36:59,05:39:29,05:41:00,05:42:05,05:43:00,,05:44:26,,,,,,,,,,05:46:00,05:45:00,,,,05:43:48,,,,,,,05:49:00,05:47:53,05:50:34,05:51:27,05:50:08,,,,,05:53:12,05:56:00,,
113078593236711001,21:21:08,21:20:13,21:01:43,,21:04:23,,21:00:00,21:02:59,21:05:29,21:07:00,21:08:05,21:09:00,,21:10:26,,,,,,,,,,21:12:00,21:11:00,,,,21:09:48,,,,,,,21:15:00,21:13:53,21:16:34,21:17:27,21:16:08,,,,,21:19:12,21:22:00,,
113078594236711001,21:41:08,21:40:13,21:21:43,,21:24:23,,21:20:00,21:22:59,21:25:29,21:27:00,21:28:05,21:29:00,,21:30:26,,,,,,,,,,21:32:00,21:31:00,,,,21:29:48,,,,,,,21:35:00,21:33:53,21:36:34,21:37:27,21:36:08,,,,,21:39:12,21:42:00,,
113078595236711001,22:01:08,22:00:13,21:41:43,,21:44:23,,21:40:00,21:42:59,21:45:29,21:47:00,21:48:05,21:49:00,,21:50:26,,,,,,,,,,21:52:00,21:51:00,,,,21:49:48,,,,,,,21:55:00,21:53:53,21:56:34,21:57:27,21:56:08,,,,,21:59:12,22:02:00,,
113078596236711001,22:21:08,22:20:13,22:01:43,,22:04:23,,22:00:00,22:02:59,22:05:29,22:07:00,22:08:05,22:09:00,,22:10:26,,,,,,,,,,22:12:00,22:11:00,,,,22:09:48,,,,,,,22:15:00,22:13:53,22:16:34,22:17:27,22:16:08,,,,,22:19:12,22:22:00,,
113078597236711001,22:41:08,22:40:13,22:21:43,,22:24:23,,22:20:00,22:22:59,22:25:29,22:27:00,22:28:05,22:29:00,,22:30:26,,,,,,,,,,22:32:00,22:31:00,,,,22:29:48,,,,,,,22:35:00,22:33:53,22:36:34,22:37:27,22:36:08,,,,,22:39:12,22:42:00,,
113078598236711001,23:01:08,23:00:13,22:41:43,,22:44:23,,22:40:00,22:42:59,22:45:29,22:47:00,22:48:05,22:49:00,,22:50:26,,,,,,,,,,22:52:00,22:51:00,,,,22:49:48,,,,,,,22:55:00,22:53:53,22:56:34,22:57:27,22:56:08,,,,,22:59:12,23:02:00,,
113078599236711001,23:21:08,23:20:13,23:01:43,,23:04:23,,23:00:00,23:02:59,23:05:29,23:07:00,23:08:05,23:09:00,,23:10:26,,,,,,,,,,23:12:00,23:11:00,,,,23:09:48,,,,,,,23:15:00,23:13:53,23:16:34,23:17:27,23:16:08,,,,,23:19:12,23:22:00,,
113078600236711001,23:41:08,23:40:13,23:21:43,,23:24:23,,23:20:00,23:22:59,23:25:29,23:27:00,23:28:05,23:29:00,,23:30:26,,,,,,,,,,23:32:00,23:31:00,,,,23:29:48,,,,,,,23:35:00,23:33:53,23:36:34,23:37:27,23:36:08,,,,,23:39:12,23:42:00,,
113078601236711001,24:01:08,24:00:13,23:41:43,,23:44:23,,23:40:00,23:42:59,23:45:29,23:47:00,23:48:05,23:49:00,,23:50:26,,,,,,,,,,23:52:00,23:51:00,,,,23:49:48,,,,,,,23:55:00,23:53:53,23:56:34,23:57:27,23:56:08,,,,,23:59:12,24:02:00,,
113078602236711001,24:21:08,24:20:13,24:01:43,,24:04:23,,24:00:00,24:02:59,24:05:29,24:07:00,24:08:05,24:09:00,,24:10:26,,,,,,,,,,24:12:00,24:11:00,,,,24:09:48,,,,,,,24:15:00,24:13:53,24:16:34,24:17:27,24:16:08,,,,,24:19:12,24:22:00,,
113078603236711001,24:41:08,24:40:13,24:21:43,,24:24:23,,24:20:00,24:22:59,24:25:29,24:27:00,24:28:05,24:29:00,,24:30:26,,,,,,,,,,24:32:00,24:31:00,,,,24:29:48,,,,,,,24:35:00,24:33:53,24:36:34,24:37:27,24:36:08,,,,,24:39:12,24:42:00,,
113078604236711001,25:01:08,25:00:13,24:41:43,,24:44:23,,24:40:00,24:42:59,24:45:29,24:47:00,24:48:05,24:49:00,,24:50:26,,,,,,,,,,24:52:00,24:51:00,,,,24:49:48,,,,,,,24:55:00,24:53:53,24:56:34,24:57:27,24:56:08,,,,,24:59:12,25:02:00,,
113078605236711001,,,,05:26:30,,,05:28:00,,,,,,05:17:40,,05:17:00,05:19:00,05:19:55,05:21:00,05:22:18,05:23:59,05:25:00,,,,,05:09:43,,05:18:13,,,,,,05:11:07,05:11:40,,,,,,05:12:53,05:14:08,05:16:00,05:10:25,,05:06:00,05:07:15,05:08:00
113078606236711001,,,,21:13:30,,,21:15:00,,,,,,21:04:40,,21:04:00,21:06:00,21:06:55,21:08:00,21:09:18,21:10:59,21:12:00,,,,,20:56:43,,21:05:13,,,,,,20:58:07,20:58:40,,,,,,20:59:53,21:01:08,21:03:00,20:57:25,,20:53:00,20:54:15,20:55:00
113078607236711001,,,,21:33:30,,,21:35:00,,,,,,21:24:40,,21:24:00,21:26:00,21:26:55,21:28:00,21:29:18,21:30:59,21:32:00,,,,,21:16:43,,21:25:13,,,,,,21:18:07,21:18:40,,,,,,21:19:53,21:21:08,21:23:00,21:17:25,,21:13:00,21:14:15,21:15:00
113078608236711001,,,,21:53:30,,,21:55:00,,,,,,21:44:40,,21:44:00,21:46:00,21:46:55,21:48:00,21:49:18,21:50:59,21:52:00,,,,,21:36:43,,21:45:13,,,,,,21:38:07,21:38:40,,,,,,21:39:53,21:41:08,21:43:00,21:37:25,,21:33:00,21:34:15,21:35:00
113078609236711001,,,,22:13:30,,,22:15:00,,,,,,22:04:40,,22:04:00,22:06:00,22:06:55,22:08:00,22:09:18,22:10:59,22:12:00,,,,,21:56:43,,22:05:13,,,,,,21:58:07,21:58:40,,,,,,21:59:53,22:01:08,22:03:00,21:57:25,,21:53:00,21:54:15,21:55:00
113078610236711001,,,,22:33:30,,,22:35:00,,,,,,22:24:40,,22:24:00,22:26:00,22:26:55,22:28:00,22:29:18,22:30:59,22:32:00,,,,,22:16:43,,22:25:13,,,,,,22:18:07,22:18:40,,,,,,22:19:53,22:21:08,22:23:00,22:17:25,,22:13:00,22:14:15,22:15:00
113078611236711001,,,,22:53:30,,,22:55:00,,,,,,22:44:40,,22:44:00,22:46:00,22:46:55,22:48:00,22:49:18,22:50:59,22:52:00,,,,,22:36:43,,22:45:13,,,,,,22:38:07,22:38:40,,,,,,22:39:53,22:41:08,22:43:00,22:37:25,,22:33:00,22:34:15,22:35:00
113078612236711001,,,,23:13:30,,,23:15:00,,,,,,23:04:40,,23:04:00,23:06:00,23:06:55,23:08:00,23:09:18,23:10:59,23:12:00,,,,,22:56:43,,23:05:13,,,,,,22:58:07,22:58:40,,,,,,22:59:53,23:01:08,23:03:00,22:57:25,,22:53:00,22:54:15,22:55:00
113078613236711001,,,,23:33:30,,,23:35:00,,,,,,23:24:40,,23:24:00,23:26:00,23:26:55,23:28:00,23:29:18,23:30:59,23:32:00,,,,,23:16:43,,23:25:13,,,,,,23:18:07,23:18:40,,,,,,23:19:53,23:21:08,23:23:00,23:17:25,,23:13:00,23:14:15,23:15:00
113078614236711001,,,,23:53:30,,,23:55:00,,,,,,23:44:40,,23:44:00,23:46:00,23:46:55,23:48:00,23:49:18,23:50:59,23:52:00,,,,,23:36:43,,23:45:13,,,,,,23:38:07,23:38:40,,,,,,23:39:53,23:41:08,23:43:00,23:37:25,,23:33:00,23:34:15,23:35:00
113078615236711001,,,,24:13:30,,,24:15:00,,,,,,24:04:40,,24:04:00,24:06:00,24:06:55,24:08:00,24:09:18,24:10:59,24:12:00,,,,,23:56:43,,24:05:13,,,,,,23:58:07,23:58:40,,,,,,23:59:53,24:01:08,24:03:00,23:57:25,,23:53:00,23:54:15,23:55:00
113078616236711001,,,,24:33:30,,,24:35:00,,,,,,24:24:40,,24:24:00,24:26:00,24:26:55,24:28:00,24:29:18,24:30:59,24:32:00,,,,,24:16:43,,24:25:13,,,,,,24:18:07,24:18:40,,,,,,24:19:53,24:21:08,24:23:00,24:17:25,,24:13:00,24:14:15,24:15:00
113078617236711001,,,,,,,,,,,,,,,,,,,,,,,,,,24:32:43,,,,,,,,24:34:07,24:34:40,,,,,,24:35:53,24:37:08,24:39:00,24:33:25,,24:29:00,24:30:15,24:31:00
113078618236711001,,,,,,,,,,,,,,,,,,,,,,,,,,24:52:43,,,,,,,,24:54:07,24:54:40,,,,,,24:55:53,24:57:08,24:59:00,24:53:25,,24:49:00,24:50:15,24:51:00
113078619236711001,,,,,,,,,,,,,,,,,,,,,,,,,,25:12:43,,,,,,,,25:14:07,25:14:40,,,,,,25:15:53,25:17:08,25:19:00,25:13:25,,25:09:00,25:10:15,25:11:00
113078620236711001,06:15:08,06:14:13,05:55:43,,05:58:23,,05:54:00,05:56:59,05:59:29,06:01:00,06:02:05,06:03:00,,06:04:26,,,,,,,,,,06:06:00,06:05:00,,,,06:03:48,,,,,,,06:09:00,06:07:53,06:10:34,06:11:27,06:10:08,,,,,06:13:12,06:16:00,,
113078621236711001,06:35:08,06:34:13,06:15:43,,06:18:23,,06:14:00,06:16:59,06:19:29,06:21:00,06:22:05,06:23:00,,06:24:26,,,,,,,,,,06:26:00,06:25:00,,,,06:23:48,,,,,,,06:29:00,06:27:53,06:30:34,06:31:27,06:30:08,,,,,06:33:12,06:36:00,,
113078622236711001,06:54:03,06:53:03,06:33:43,,06:36:23,,06:32:00,06:34:59,06:37:29,06:39:00,06:40:05,06:41:00,,06:42:26,,,,,,,,,,06:44:00,06:43:00,,,,06:41:48,,,,,,,06:47:18,06:46:04,06:49:01,06:49:59,06:48:33,,,,,06:51:55,06:55:00,,
113078623236711001,07:09:57,07:08:52,06:47:58,,06:51:00,,06:46:00,06:49:24,06:52:16,06:54:00,06:55:05,06:56:00,,06:57:26,,,,,,,,,,06:59:00,06:58:00,,,,06:56:48,,,,,,,07:02:36,07:01:15,07:04:29,07:05:32,07:03:58,,,,,07:07:38,07:11:00,,
113078624236711001,07:33:57,07:32:52,07:11:58,,07:15:00,,07:10:00,07:13:24,07:16:16,07:18:00,07:19:05,07:20:00,,07:21:26,,,,,,,,,,07:23:00,07:22:00,,,,07:20:48,,,,,,,07:26:36,07:25:15,07:28:29,07:29:32,07:27:58,,,,,07:31:38,07:35:00,,
113078625236711001,07:46:52,07:45:41,07:23:58,,07:27:00,,07:22:00,07:25:24,07:28:16,07:30:00,07:31:05,07:32:00,,07:33:26,,,,,,,,,,07:35:00,07:34:00,,,,07:32:48,,,,,,,07:38:54,07:37:27,07:40:56,07:42:05,07:40:22,,,,,07:44:22,07:48:00,,
113078626236711001,07:58:52,07:57:41,07:35:58,,07:39:00,,07:34:00,07:37:24,07:40:16,07:42:00,07:43:05,07:44:00,,07:45:26,,,,,,,,,,07:47:00,07:46:00,,,,07:44:48,,,,,,,07:50:54,07:49:27,07:52:56,07:54:05,07:52:22,,,,,07:56:22,08:00:00,,
113078627236711001,08:10:52,08:09:41,07:47:58,,07:51:00,,07:46:00,07:49:24,07:52:16,07:54:00,07:55:05,07:56:00,,07:57:26,,,,,,,,,,07:59:00,07:58:00,,,,07:56:48,,,,,,,08:02:54,08:01:27,08:04:56,08:06:05,08:04:22,,,,,08:08:22,08:12:00,,
113078628236711001,08:22:52,08:21:41,07:59:58,,08:03:00,,07:58:00,08:01:24,08:04:16,08:06:00,08:07:05,08:08:00,,08:09:26,,,,,,,,,,08:11:00,08:10:00,,,,08:08:48,,,,,,,08:14:54,08:13:27,08:16:56,08:18:05,08:16:22,,,,,08:20:22,08:24:00,,
113078629236711001,08:34:52,08:33:41,08:11:58,,08:15:00,,08:10:00,08:13:24,08:16:16,08:18:00,08:19:05,08:20:00,,08:21:26,,,,,,,,,,08:23:00,08:22:00,,,,08:20:48,,,,,,,08:26:54,08:25:27,08:28:56,08:30:05,08:28:22,,,,,08:32:22,08:36:00,,
113078630236711001,08:47:52,08:46:41,08:24:13,,08:27:38,,08:22:00,08:25:50,08:29:03,08:31:00,08:32:05,08:33:00,,08:34:26,,,,,,,,,,08:36:00,08:35:00,,,,08:33:48,,,,,,,08:39:54,08:38:27,08:41:56,08:43:05,08:41:22,,,,,08:45:22,08:49:00,,
113078631236711001,08:59:52,08:58:41,08:36:13,,08:39:38,,08:34:00,08:37:50,08:41:03,08:43:00,08:44:05,08:45:00,,08:46:26,,,,,,,,,,08:48:00,08:47:00,,,,08:45:48,,,,,,,08:51:54,08:50:27,08:53:56,08:55:05,08:53:22,,,,,08:57:22,09:01:00,,
113078632236711001,09:10:52,09:09:41,08:47:58,,08:51:00,,08:46:00,08:49:24,08:52:16,08:54:00,08:55:05,08:56:00,,08:57:26,,,,,,,,,,08:59:00,08:58:00,,,,08:56:48,,,,,,,09:02:54,09:01:27,09:04:56,09:06:05,09:04:22,,,,,09:08:22,09:12:00,,
113078633236711001,09:22:52,09:21:41,08:59:58,,09:03:00,,08:58:00,09:01:24,09:04:16,09:06:00,09:07:05,09:08:00,,09:09:26,,,,,,,,,,09:11:00,09:10:00,,,,09:08:48,,,,,,,09:14:54,09:13:27,09:16:56,09:18:05,09:16:22,,,,,09:20:22,09:24:00,,
113078634236711001,09:33:52,09:32:41,09:11:43,,09:14:23,,09:10:00,09:12:59,09:15:29,09:17:00,09:18:05,09:19:00,,09:20:26,,,,,,,,,,09:22:00,09:21:00,,,,09:19:48,,,,,,,09:25:54,09:24:27,09:27:56,09:29:05,09:27:22,,,,,09:31:22,09:35:00,,
113078635236711001,09:46:52,09:45:41,09:24:43,,09:27:23,,09:23:00,09:25:59,09:28:29,09:30:00,09:31:05,09:32:00,,09:33:26,,,,,,,,,,09:35:00,09:34:00,,,,09:32:48,,,,,,,09:38:54,09:37:27,09:40:56,09:42:05,09:40:22,,,,,09:44:22,09:48:00,,
113078636236711001,10:02:52,10:01:41,09:40:43,,09:43:23,,09:39:00,09:41:59,09:44:29,09:46:00,09:47:05,09:48:00,,09:49:26,,,,,,,,,,09:51:00,09:50:00,,,,09:48:48,,,,,,,09:54:54,09:53:27,09:56:56,09:58:05,09:56:22,,,,,10:00:22,10:04:00,,
113078637236711001,10:17:52,10:16:41,09:55:43,,09:58:23,,09:54:00,09:56:59,09:59:29,10:01:00,10:02:05,10:03:00,,10:04:26,,,,,,,,,,10:06:00,10:05:00,,,,10:03:48,,,,,,,10:09:54,10:08:27,10:11:56,10:13:05,10:11:22,,,,,10:15:22,10:19:00,,
113078638236711001,10:32:52,10:31:41,10:10:43,,10:13:23,,10:09:00,10:11:59,10:14:29,10:16:00,10:17:05,10:18:00,,10:19:26,,,,,,,,,,10:21:00,10:20:00,,,,10:18:48,,,,,,,10:24:54,10:23:27,10:26:56,10:28:05,10:26:22,,,,,10:30:22,10:34:00,,
113078639236711001,10:48:52,10:47:41,10:26:43,,10:29:23,,10:25:00,10:27:59,10:30:29,10:32:00,10:33:05,10:34:00,,10:35:26,,,,,,,,,,10:37:00,10:36:00,,,,10:34:48,,,,,,,10:40:54,10:39:27,10:42:56,10:44:05,10:42:22,,,,,10:46:22,10:50:00,,
113078640236711001,11:04:52,11:03:41,10:42:43,,10:45:23,,10:41:00,10:43:59,10:46:29,10:48:00,10:49:05,10:50:00,,10:51:26,,,,,,,,,,10:53:00,10:52:00,,,,10:50:48,,,,,,,10:56:54,10:55:27,10:58:56,11:00:05,10:58:22,,,,,11:02:22,11:06:00,,
113078641236711001,11:19:57,11:18:52,10:58:43,,11:01:23,,10:57:00,10:59:59,11:02:29,11:04:00,11:05:05,11:06:00,,11:07:26,,,,,,,,,,11:09:00,11:08:00,,,,11:06:48,,,,,,,11:12:36,11:11:15,11:14:29,11:15:32,11:13:58,,,,,11:17:38,11:21:00,,
113078642236711001,11:35:57,11:34:52,11:13:58,,11:17:00,,11:12:00,11:15:24,11:18:16,11:20:00,11:21:05,11:22:00,,11:23:26,,,,,,,,,,11:25:00,11:24:00,,,,11:22:48,,,,,,,11:28:36,11:27:15,11:30:29,11:31:32,11:29:58,,,,,11:33:38,11:37:00,,
113078643236711001,11:50:57,11:49:52,11:28:58,,11:32:00,,11:27:00,11:30:24,11:33:16,11:35:00,11:36:05,11:37:00,,11:38:26,,,,,,,,,,11:40:00,11:39:00,,,,11:37:48,,,,,,,11:43:36,11:42:15,11:45:29,11:46:32,11:44:58,,,,,11:48:38,11:52:00,,
113078644236711001,12:06:57,12:05:52,11:44:58,,11:48:00,,11:43:00,11:46:24,11:49:16,11:51:00,11:52:05,11:53:00,,11:54:26,,,,,,,,,,11:56:00,11:55:00,,,,11:53:48,,,,,,,11:59:36,11:58:15,12:01:29,12:02:32,12:00:58,,,,,12:04:38,12:08:00,,
113078645236711001,12:22:52,12:21:41,11:59:58,,12:03:00,,11:58:00,12:01:24,12:04:16,12:06:00,12:07:05,12:08:00,,12:09:26,,,,,,,,,,12:11:00,12:10:00,,,,12:08:48,,,,,,,12:14:54,12:13:27,12:16:56,12:18:05,12:16:22,,,,,12:20:22,12:24:00,,
113078646236711001,12:38:52,12:37:41,12:15:58,,12:19:00,,12:14:00,12:17:24,12:20:16,12:22:00,12:23:05,12:24:00,,12:25:26,,,,,,,,,,12:27:00,12:26:00,,,,12:24:48,,,,,,,12:30:54,12:29:27,12:32:56,12:34:05,12:32:22,,,,,12:36:22,12:40:00,,
113078647236711001,12:52:52,12:51:41,12:29:58,,12:33:00,,12:28:00,12:31:24,12:34:16,12:36:00,12:37:05,12:38:00,,12:39:26,,,,,,,,,,12:41:00,12:40:00,,,,12:38:48,,,,,,,12:44:54,12:43:27,12:46:56,12:48:05,12:46:22,,,,,12:50:22,12:54:00,,
113078648236711001,13:06:52,13:05:41,12:43:58,,12:47:00,,12:42:00,12:45:24,12:48:16,12:50:00,12:51:05,12:52:00,,12:53:26,,,,,,,,,,12:55:00,12:54:00,,,,12:52:48,,,,,,,12:58:54,12:57:27,13:00:56,13:02:05,13:00:22,,,,,13:04:22,13:08:00,,
113078649236711001,13:21:52,13:20:41,12:58:58,,13:02:00,,12:57:00,13:00:24,13:03:16,13:05:00,13:06:05,13:07:00,,13:08:26,,,,,,,,,,13:10:00,13:09:00,,,,13:07:48,,,,,,,13:13:54,13:12:27,13:15:56,13:17:05,13:15:22,,,,,13:19:22,13:23:00,,
113078650236711001,13:36:52,13:35:41,13:13:58,,13:17:00,,13:12:00,13:15:24,13:18:16,13:20:00,13:21:05,13:22:00,,13:23:26,,,,,,,,,,13:25:00,13:24:00,,,,13:22:48,,,,,,,13:28:54,13:27:27,13:30:56,13:32:05,13:30:22,,,,,13:34:22,13:38:00,,
113078651236711001,13:51:52,13:50:41,13:28:58,,13:32:00,,13:27:00,13:30:24,13:33:16,13:35:00,13:36:05,13:37:00,,13:38:26,,,,,,,,,,13:40:00,13:39:00,,,,13:37:48,,,,,,,13:43:54,13:42:27,13:45:56,13:47:05,13:45:22,,,,,13:49:22,13:53:00,,
113078652236711001,14:06:52,14:05:41,13:43:58,,13:47:00,,13:42:00,13:45:24,13:48:16,13:50:00,13:51:05,13:52:00,,13:53:26,,,,,,,,,,13:55:00,13:54:00,,,,13:52:48,,,,,,,13:58:54,13:57:27,14:00:56,14:02:05,14:00:22,,,,,14:04:22,14:08:00,,
113078653236711001,14:21:52,14:20:41,13:58:58,,14:02:00,,13:57:00,14:00:24,14:03:16,14:05:00,14:06:05,14:07:00,,14:08:26,,,,,,,,,,14:10:00,14:09:00,,,,14:07:48,,,,,,,14:13:54,14:12:27,14:15:56,14:17:05,14:15:22,,,,,14:19:22,14:23:00,,
113078654236711001,14:36:52,14:35:41,14:13:58,,14:17:00,,14:12:00,14:15:24,14:18:16,14:20:00,14:21:05,14:22:00,,14:23:26,,,,,,,,,,14:25:00,14:24:00,,,,14:22:48,,,,,,,14:28:54,14:27:27,14:30:56,14:32:05,14:30:22,,,,,14:34:22,14:38:00,,
113078655236711001,14:51:52,14:50:41,14:28:58,,14:32:00,,14:27:00,14:30:24,14:33:16,14:35:00,14:36:05,14:37:00,,14:38:26,,,,,,,,,,14:40:00,14:39:00,,,,14:37:48,,,,,,,14:43:54,14:42:27,14:45:56,14:47:05,14:45:22,,,,,14:49:22,14:53:00,,
113078656236711001,15:06:52,15:05:41,14:43:58,,14:47:00,,14:42:00,14:45:24,14:48:16,14:50:00,14:51:05,14:52:00,,14:53:26,,,,,,,,,,14:55:00,14:54:00,,,,14:52:48,,,,,,,14:58:54,14:57:27,15:00:56,15:02:05,15:00:22,,,,,15:04:22,15:08:00,,
113078657236711001,15:23:42,15:22:20,14:58:58,,15:02:00,,14:57:00,15:00:24,15:03:16,15:05:00,15:06:05,15:07:00,,15:08:26,,,,,,,,,,15:10:00,15:09:00,,,,15:07:48,,,,,,,15:14:30,15:12:49,15:16:51,15:18:10,15:16:12,,,,,15:20:48,15:25:00,,
113078658236711001,15:39:42,15:38:20,15:14:13,,15:17:38,,15:12:00,15:15:50,15:19:03,15:21:00,15:22:05,15:23:00,,15:24:26,,,,,,,,,,15:26:00,15:25:00,,,,15:23:48,,,,,,,15:30:30,15:28:49,15:32:51,15:34:10,15:32:12,,,,,15:36:48,15:41:00,,
113078659236711001,,,15:29:13,,15:32:38,,15:27:00,15:30:50,15:34:03,15:36:00,15:37:05,15:38:00,,15:39:21,,,,,,,,,,,,,15:40:00,,15:38:45,,,,,,,,,,,,,,,,,,,
113078660236711001,,,15:42:13,,15:45:38,,15:40:00,15:43:50,15:47:03,15:49:00,15:50:05,15:51:00,,15:52:21,,,,,,,,,,,,,15:53:00,,15:51:45,,,,,,,,,,,,,,,,,,,
