trip_id,1015,1085,2500,2524,2531,2539,2544,2546,2548,2553,2555,2608,2609,2611,2659,2661,2662B,2663,2664,2665,2669,2670,2671,2672,5152,5159,5161,5719,5720,5721,5757,5915,9651,9652,9654,9655,9656,9657,9658,9659,9660,9677,9678,9679,9680,9682,9683,9685
113222078237100001,,11:10:00,11:20:00,11:12:18,,,,,,,,,,,11:00:16,11:01:16,11:02:11,11:03:45,,11:05:55,11:04:19,11:17:17,11:18:36,11:16:24,11:07:30,11:14:00,11:07:53,,,,11:15:01,,,,,,,,10:48:00,10:49:30,,10:50:52,10:51:40,10:53:20,10:53:59,10:55:46,10:57:00,10:55:00
113222079237100001,,12:59:00,13:09:00,13:01:18,,,,,,,,,,,12:47:46,12:48:56,12:49:59,12:51:47,,12:54:18,12:52:27,13:06:17,13:07:36,13:05:24,12:56:07,13:03:00,12:56:34,,,,13:04:01,,,,,,,,12:35:00,12:36:30,,12:37:52,12:38:40,12:40:20,12:40:59,12:42:46,12:44:00,12:42:00
113222080237100001,,08:54:00,09:05:00,08:56:53,,,,,,,,,,,08:42:01,08:43:16,08:44:23,08:46:18,,08:48:59,08:47:01,09:02:17,09:03:36,09:01:24,08:50:56,08:59:00,08:51:24,,,,09:00:01,,,,,,,,08:28:00,08:29:40,,08:31:11,08:32:04,08:33:56,08:34:39,08:36:37,08:38:00,08:35:46
113222081237100001,,11:41:00,11:51:00,11:43:18,,,,,,,,,,,11:29:46,11:30:56,11:31:59,11:33:47,,11:36:18,11:34:27,11:48:17,11:49:36,11:47:24,11:38:07,11:45:00,11:38:34,,,,11:46:01,,,,,,,,11:17:00,11:18:30,,11:19:52,11:20:40,11:22:20,11:22:59,11:24:46,11:26:00,11:24:00
113222083237100001,,10:25:00,10:35:00,10:27:18,,,,,,,,,,,10:15:16,10:16:16,10:17:11,10:18:45,,10:20:55,10:19:19,10:32:17,10:33:36,10:31:24,10:22:30,10:29:00,10:22:53,,,,10:30:01,,,,,,,,10:03:00,10:04:30,,10:05:52,10:06:40,10:08:20,10:08:59,10:10:46,10:12:00,10:10:00
113222084237100001,,08:45:00,08:56:00,08:47:53,,,,,,,,,,,08:33:01,08:34:16,08:35:23,08:37:18,,08:39:59,08:38:01,08:53:17,08:54:36,08:52:24,08:41:56,08:50:00,08:42:24,,,,08:51:01,,,,,,,,08:19:00,08:20:40,,08:22:11,08:23:04,08:24:56,08:25:39,08:27:37,08:29:00,08:26:46
113222085237100001,,13:45:00,13:55:00,13:47:18,,,,,,,,,,,13:33:46,13:34:56,13:35:59,13:37:47,,13:40:18,13:38:27,13:52:17,13:53:36,13:51:24,13:42:07,13:49:00,13:42:34,,,,13:50:01,,,,,,,,13:21:00,13:22:30,,13:23:52,13:24:40,13:26:20,13:26:59,13:28:46,13:30:00,13:28:00
113222086237100001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:35:00,05:35:41,05:37:10,05:37:45,05:39:01,05:39:49,05:41:00,,05:36:30,,,,,,,
113222087237100001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:21:00,15:21:47,15:23:32,15:24:13,15:25:41,15:26:37,15:28:00,,15:22:45,,,,,,,
113222089237100001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:09:00,06:09:41,06:11:10,06:11:45,06:13:01,06:13:49,06:15:00,,06:10:30,,,,,,,
