trip_id,1015,1085,2225,2226,2252,2414,2415,2416,2417,2452,2453,2523,2550,2551,2555,2556,2598,2599,2600,2601,2602,2605,2606,2607,2612,2614,2616B,2617,2618,2619,2620,2621,2622,2623,2624,2625,2631,2632,2732,2939B,2952B,3046,3074,3681,3682,3856,5152,5161,5719,5915
113163798236916001,,18:36:00,,,18:43:47,,,,18:25:00,18:26:15,18:27:38,,18:42:19,18:37:43,,18:38:55,,,,,,,,,,,18:30:00,18:45:00,18:45:54,18:46:44,18:47:39,18:49:01,18:49:48,18:51:11,18:52:04,18:54:00,,18:28:44,,18:31:07,,18:55:36,18:58:00,18:40:00,,,18:32:24,18:32:57,,
113163799236916001,,,19:06:15,19:07:41,,,,,,,,,,,,,18:56:00,18:58:44,18:59:59,19:00:47,19:02:24,19:02:48,19:04:09,19:05:00,,18:57:24,,,,,,,,,,,,,,,,,18:54:00,,,19:10:00,,,,
113163800236916001,15:37:00,,,,,15:45:04,15:46:06,15:47:37,15:49:00,,,15:33:28,,,15:35:01,,,,,,,,,,15:43:00,,,,,,,,,,,,15:43:52,,,,15:41:28,,,,15:32:00,,,,15:40:23,15:39:16
113163801236916001,05:56:00,,,,,06:01:44,06:02:35,06:03:51,06:05:00,,,05:53:10,,,05:54:25,,,,,,,,,,06:00:00,,,,,,,,,,,,06:00:43,,,,05:58:59,,,,05:52:00,,,,05:58:15,05:57:30
113163802236916001,,,09:46:15,09:47:41,,,,,,,,,,,,,09:36:00,09:38:44,09:39:59,09:40:47,09:42:24,09:42:48,09:44:09,09:45:00,,09:37:24,,,,,,,,,,,,,,,,,09:34:00,,,09:50:00,,,,
113163803236916001,,,,,15:08:38,,,,,,,,15:07:00,,,,,,,,,,,,,,,15:10:00,15:10:48,15:11:32,15:12:21,15:13:35,15:14:16,15:15:29,15:16:17,15:18:00,,,,,,15:19:36,15:22:00,,,,,,,
113163804236916001,,,19:52:15,19:53:41,,,,,,,,,,,,,19:42:00,19:44:44,19:45:59,19:46:47,19:48:24,19:48:48,19:50:09,19:51:00,,19:43:24,,,,,,,,,,,,,,,,,19:40:00,,,19:56:00,,,,
113163805236916001,,,,,06:54:06,,,,,,,,06:53:00,,,,,,,,,,,,,,,06:55:00,06:55:42,06:56:21,06:57:03,06:58:08,06:58:44,06:59:48,07:00:30,07:02:00,,,,,,07:03:12,07:05:00,,,,,,,
113163806236916001,,09:19:00,,,,,,,09:08:00,09:09:15,09:10:38,,,09:20:43,,09:21:55,,,,,,,,,,,09:13:00,,,,,,,,,,,09:11:44,,09:14:07,,,,09:23:00,,,09:15:24,09:15:57,,
113163807236916001,06:58:00,,,,,07:04:44,07:05:35,07:06:51,07:08:00,,,06:54:28,,,06:56:01,,,,,,,,,,07:03:00,,,,,,,,,,,,07:03:43,,,,07:01:43,,,,06:53:00,,,,07:00:49,06:59:53
113163808236916001,,20:07:00,,,20:14:02,,,,19:57:00,19:58:15,19:59:38,,20:12:51,20:08:43,,20:09:55,,,,,,,,,,,20:02:00,20:15:00,20:15:42,20:16:21,20:17:03,20:18:08,20:18:44,20:19:48,20:20:30,20:22:00,,20:00:44,,20:02:56,,20:23:12,20:25:00,20:11:00,,,20:04:00,20:04:28,,
113163809236916001,,20:10:00,,,,,,,20:00:00,20:01:15,20:02:38,,,20:11:43,,20:12:55,,,,,,,,,,,20:05:00,,,,,,,,,,,20:03:44,,20:05:56,,,,20:14:00,,,20:07:00,20:07:28,,
113163810236916001,,19:12:00,,,19:19:02,,,,19:02:00,19:03:15,19:04:38,,19:17:51,19:13:43,,19:14:55,,,,,,,,,,,19:07:00,19:20:00,19:20:48,19:21:32,19:22:21,19:23:35,19:24:16,19:25:29,19:26:17,19:28:00,,19:05:44,,19:07:56,,19:29:36,19:32:00,19:16:00,,,19:09:00,19:09:28,,
113163811236916001,,21:07:00,,,21:14:02,,,,20:57:00,20:58:15,20:59:38,,21:12:51,21:08:43,,21:09:55,,,,,,,,,,,21:02:00,21:15:00,21:15:36,21:16:09,21:16:46,21:17:41,21:18:12,21:19:07,21:19:43,21:21:00,,21:00:44,,21:02:56,,21:22:12,21:24:00,21:11:00,,,21:04:00,21:04:28,,
113163812236916001,,20:47:00,,,20:54:02,,,,20:37:00,20:38:15,20:39:38,,20:52:51,20:48:43,,20:49:55,,,,,,,,,,,20:42:00,20:55:00,20:55:42,20:56:21,20:57:03,20:58:08,20:58:44,20:59:48,21:00:30,21:02:00,,20:40:44,,20:42:56,,21:03:12,21:05:00,20:51:00,,,20:44:00,20:44:28,,
113163813236916001,,20:27:00,,,20:34:02,,,,20:17:00,20:18:15,20:19:38,,20:32:51,20:28:43,,20:29:55,,,,,,,,,,,20:22:00,20:35:00,20:35:42,20:36:21,20:37:03,20:38:08,20:38:44,20:39:48,20:40:30,20:42:00,,20:20:44,,20:22:56,,20:43:12,20:45:00,20:31:00,,,20:24:00,20:24:28,,
