trip_id,0501,0506,0511,0516,0526,0531,0601,0606,0611,0616,0621,0626,0702,0703,0704,0705,0706,0722,0723,0724,0725,0726,2200F,2318G,2337F,2338F,2537F,2543F,2636F,5219F,5221F,5700G,5701,5704F,5705,5706,5707,5714,5770F,5771,5772,5773,5776,5806,6177,6178,6179,6209,6253,6422F,6424F,6485G,6486G,9056F,9959F,9969F,9986F
113461089238162502,,20:59:36,,21:01:00,21:03:00,,,20:58:26,,20:57:18,,20:56:00,,,,,,20:48:00,20:49:08,20:50:32,20:51:32,20:53:00,21:09:12,,21:11:14,,21:08:00,,,20:43:17,,,,,,,,,21:12:00,21:15:00,21:16:29,21:17:44,21:22:00,21:19:00,21:06:00,,21:06:55,20:46:17,,,20:45:00,,,,,,20:43:00
113461090238162502,23:16:24,,23:15:00,,,23:13:00,23:17:35,,23:18:43,,23:20:00,,23:22:00,23:23:34,23:24:44,23:26:18,23:28:00,,,,,,,23:06:20,,23:05:00,,23:08:00,,,23:32:36,22:56:00,22:54:00,22:57:29,22:58:31,23:00:00,23:03:00,23:11:00,,,,,,,,23:08:54,,,23:29:20,23:31:00,,,,,23:33:00,,
113461091238162502,21:05:24,,21:04:00,,,21:02:00,21:06:35,,21:07:43,,21:09:00,,21:11:00,21:12:34,21:13:44,21:15:18,21:17:00,,,,,,,20:55:20,,20:54:00,,20:57:00,,,21:21:36,20:45:00,20:43:00,20:46:29,20:47:31,20:49:00,20:52:00,21:00:00,,,,,,,,20:57:54,,,21:18:20,21:20:00,,,,,21:22:00,,
113461092238162502,22:16:24,,22:15:00,,,22:13:00,22:17:35,,22:18:43,,22:20:00,,22:22:00,22:23:34,22:24:44,22:26:18,22:28:00,,,,,,,22:06:20,,22:05:00,,22:08:00,,,22:32:36,21:56:00,21:54:00,21:57:29,21:58:31,22:00:00,22:03:00,22:11:00,,,,,,,,22:08:54,,,22:29:20,22:31:00,,,,,22:33:00,,
113461093238162502,,20:49:36,,20:51:00,20:53:00,,,20:48:26,,20:47:18,,20:46:00,,,,,,20:38:00,20:39:08,20:40:32,20:41:32,20:43:00,20:59:12,,21:01:14,,20:58:00,,,20:33:17,,,,,,,,,21:02:00,21:05:00,21:06:29,21:07:44,21:12:00,21:09:00,20:56:00,,20:56:55,20:36:17,,,20:35:00,,,,,,20:33:00
113461094238162502,23:31:24,,23:30:00,,,23:28:00,23:32:35,,23:33:43,,23:35:00,,23:37:00,23:38:34,23:39:44,23:41:18,23:43:00,,,,,,,23:21:20,,23:20:00,,23:23:00,,,23:47:36,23:11:00,23:09:00,23:12:29,23:13:31,23:15:00,23:18:00,23:26:00,,,,,,,,23:23:54,,,23:44:20,23:46:00,,,,,23:48:00,,
113461095238162502,,22:34:36,,22:36:00,22:38:00,,,22:33:26,,22:32:18,,22:31:00,,,,,,22:24:00,22:25:08,22:26:32,22:27:32,22:29:00,22:44:12,,22:46:14,,22:43:00,,,22:19:17,,,,,,,,,22:47:00,22:50:00,22:51:29,22:52:44,22:57:00,22:54:00,22:41:00,,22:41:55,22:22:17,,,22:21:00,,,,,,22:19:00
113461096238162502,,23:19:36,,23:21:00,23:23:00,,,23:18:26,,23:17:18,,23:16:00,,,,,,23:09:00,23:10:08,23:11:32,23:12:32,23:14:00,23:29:12,,23:31:14,,23:28:00,,,23:04:17,,,,,,,,,23:32:00,23:35:00,23:36:29,23:37:44,23:42:00,23:39:00,23:26:00,,23:26:55,23:07:17,,,23:06:00,,,,,,23:04:00
113461097238162502,22:46:24,,22:45:00,,,22:43:00,22:47:35,,22:48:43,,22:50:00,,22:52:00,22:53:34,22:54:44,22:56:18,22:58:00,,,,,,,22:36:20,,22:35:00,,22:38:00,,,23:02:36,22:26:00,22:24:00,22:27:29,22:28:31,22:30:00,22:33:00,22:41:00,,,,,,,,22:38:54,,,22:59:20,23:01:00,,,,,23:03:00,,
113461098238162502,,23:04:36,,23:06:00,23:08:00,,,23:03:26,,23:02:18,,23:01:00,,,,,,22:54:00,22:55:08,22:56:32,22:57:32,22:59:00,23:14:12,,23:16:14,,23:13:00,,,22:49:17,,,,,,,,,23:17:00,23:20:00,23:21:29,23:22:44,23:27:00,23:24:00,23:11:00,,23:11:55,22:52:17,,,22:51:00,,,,,,22:49:00
