trip_id,1015,1072,1085,1734,1780,2411B,2456,2616B,2928,2929,2931,2932,2934,2935,2936,2937B,2939B,2948,2950,2951,2952B,2953B,2954B,2955,2957,2959,2960,2962,2963,2964B,2965,2967B,2971,2972,3506,3518B,5152,5161,5719,5915
113215269237075001,06:36:14,06:36:00,,,07:04:00,,06:43:29,,,,,,,,,,,07:03:00,,06:45:38,06:39:47,06:41:00,06:42:54,06:44:11,06:47:00,06:50:45,06:53:00,06:56:20,06:58:00,06:59:27,06:49:12,07:01:00,06:55:00,,,,,,06:38:55,06:38:02
113215270237075001,,07:27:00,07:26:22,06:58:00,06:57:00,07:19:20,,07:22:00,07:04:00,07:05:58,07:10:00,07:12:00,07:16:00,07:17:23,07:18:44,07:19:54,07:22:49,,07:14:27,,,,,,,,,,,,,,,07:08:00,07:02:03,07:00:00,07:23:45,07:24:09,,
113215271237075001,05:35:14,05:35:00,,,05:59:00,,05:42:04,,,,,,,,,,,05:58:00,,05:43:52,05:38:47,05:40:00,05:41:35,05:42:39,05:45:00,05:48:07,05:50:00,05:52:53,05:54:00,05:54:58,05:46:50,05:56:00,05:52:00,,,,,,05:37:55,05:37:02
113215272237075001,05:55:14,05:55:00,,,06:19:00,,06:02:04,,,,,,,,,,,06:18:00,,06:03:52,05:58:47,06:00:00,06:01:35,06:02:39,06:05:00,06:08:07,06:10:00,06:12:53,06:14:00,06:14:58,06:06:50,06:16:00,06:12:00,,,,,,05:57:55,05:57:02
113215273237075001,,06:51:00,06:50:22,06:26:00,06:25:00,06:43:47,,06:46:00,06:31:00,06:32:29,06:36:00,06:38:00,06:41:00,06:42:09,06:43:17,06:44:15,06:46:49,,06:39:50,,,,,,,,,,,,,,,06:34:00,06:29:32,06:28:00,06:47:45,06:48:09,,
113215274237075001,06:15:14,06:15:00,,,06:41:00,,06:22:04,,,,,,,,,,,06:40:00,,06:23:52,06:18:47,06:20:00,06:21:35,06:22:39,06:25:00,06:28:07,06:30:00,06:33:20,06:35:00,06:36:27,06:26:50,06:38:00,06:32:00,,,,,,06:17:55,06:17:02
113215275237075001,,06:29:00,06:28:30,06:06:00,06:05:00,06:22:47,,06:25:00,06:11:00,06:12:29,06:16:00,06:18:00,06:20:00,06:21:09,06:22:17,06:23:15,06:25:39,,06:19:13,,,,,,,,,,,,,,,06:14:00,06:09:32,06:08:00,06:26:24,06:26:43,,
113215276237075001,07:02:14,07:02:00,,,07:32:00,,07:09:54,,,,,,,,,,,07:31:00,,07:12:25,07:05:47,07:07:00,07:09:12,07:10:43,07:14:00,07:18:22,07:21:00,07:24:20,07:26:00,07:27:27,07:16:34,07:29:00,07:23:00,,,,,,07:04:55,07:04:02
113215277237075001,07:41:19,07:41:00,,,08:21:00,,07:51:19,,,,,,,,,,,08:20:00,,07:54:11,07:46:17,07:48:00,07:50:31,07:52:15,07:56:00,08:01:37,08:05:00,08:11:13,08:14:00,08:15:56,07:59:17,08:18:00,08:09:00,,,,,,07:45:05,07:43:50
113215278237075001,,09:06:00,09:05:15,08:32:00,08:31:00,08:56:54,,09:00:00,08:39:00,08:40:58,08:45:00,08:48:00,08:53:00,08:54:36,08:56:11,08:57:33,09:00:59,,08:51:03,,,,,,,,,,,,,,,08:43:00,08:36:34,08:34:00,09:02:06,09:02:35,,
