trip_id,1273,1474B,1827,1837,1838,1839,1967,1974,1987,1989,1991,1992,2051,2067,2068,2083,2092,2093,2094,2095,2096,2097,2098,2100,2101,2102,2105,2106,2299,2352,2365,2367,2377,2378,2379,2766,2823B,2827,2829B,2898,2920,3412,3414,3451,5740,6082,6190,6191,6303B,6364B,6368C,6370,6459,6461,9291,9296
113219705237094601,05:07:02,05:08:00,,,04:30:02,04:31:00,,04:42:35,04:38:01,,04:29:15,,,04:59:00,,,04:39:26,,04:41:21,,04:47:48,04:53:03,,04:56:00,,04:56:52,05:01:17,,,04:33:00,,,04:44:00,,04:28:00,04:36:00,04:34:29,,,,05:06:00,,04:57:51,,04:51:00,,,05:03:37,,04:54:29,04:47:10,,,04:50:00,05:03:00,
113219706237094601,,05:16:00,05:52:00,05:52:37,,,05:41:45,,,05:46:23,,05:53:12,05:25:00,,05:18:00,05:17:00,,05:44:47,,05:43:02,,,05:30:42,,05:28:00,,,05:23:05,05:40:00,,05:48:00,05:36:27,,05:54:00,,,,05:49:13,05:51:00,05:33:00,,05:26:58,,05:26:14,,05:19:54,05:21:25,,05:29:43,,,05:37:07,05:34:00,,,05:22:00
113219707237094601,05:38:02,05:39:00,,,05:01:02,05:02:00,,05:13:35,05:09:01,,05:00:15,,,05:30:00,,,05:10:26,,05:12:21,,05:18:48,05:24:03,,05:27:00,,05:27:52,05:32:17,,,05:04:00,,,05:15:00,,04:59:00,05:07:00,05:05:29,,,,05:37:00,,05:28:51,,05:22:00,,,05:34:37,,05:25:29,05:18:10,,,05:21:00,05:34:00,
113219708237094601,,21:04:00,21:41:00,21:41:37,,,21:30:45,,,21:35:23,,21:42:12,21:14:00,,21:06:00,21:05:00,,21:33:47,,21:32:02,,,21:19:42,,21:17:00,,,21:11:27,21:29:00,,21:37:00,21:25:27,,21:43:00,,,,21:38:13,21:40:00,21:22:00,,21:15:58,,21:15:14,,21:07:54,21:09:25,,21:18:43,,,21:26:07,21:23:00,,,21:10:00
113219709237094601,,24:21:00,,,,,24:46:45,,,24:51:23,,,24:30:00,,24:23:00,24:22:00,,24:49:47,,24:48:02,,,24:35:42,,24:33:00,,,24:28:05,24:45:00,,24:53:00,24:41:27,,,,,,24:54:13,24:56:00,24:38:00,,24:31:58,,24:31:14,,24:24:54,24:26:25,,24:34:43,,,24:42:07,24:39:00,,,24:27:00
113219710237094601,,24:05:00,24:41:00,24:41:37,,,24:30:45,,,24:35:23,,24:42:12,24:14:00,,24:07:00,24:06:00,,24:33:47,,24:32:02,,,24:19:42,,24:17:00,,,24:12:05,24:29:00,,24:37:00,24:25:27,,24:43:00,,,,24:38:13,24:40:00,24:22:00,,24:15:58,,24:15:14,,24:08:54,24:10:25,,24:18:43,,,24:26:07,24:23:00,,,24:11:00
113219711237094601,,23:45:00,24:21:00,24:21:37,,,24:10:45,,,24:15:23,,24:22:12,23:54:00,,23:47:00,23:46:00,,24:13:47,,24:12:02,,,23:59:42,,23:57:00,,,23:52:05,24:09:00,,24:17:00,24:05:27,,24:23:00,,,,24:18:13,24:20:00,24:02:00,,23:55:58,,23:55:14,,23:48:54,23:50:25,,23:58:43,,,24:06:07,24:03:00,,,23:51:00
113219712237094601,24:12:02,24:13:00,,,23:35:02,23:36:00,,23:47:35,23:43:01,,23:34:15,,,24:04:00,,,23:44:26,,23:46:21,,23:52:48,23:58:03,,24:01:00,,24:01:52,24:06:17,,,23:38:00,,,23:49:00,,23:33:00,23:41:00,23:39:29,,,,24:11:00,,24:02:51,,23:56:00,,,24:08:37,,23:59:29,23:52:10,,,23:55:00,24:08:00,
113219713237094601,23:52:02,23:53:00,,,23:15:02,23:16:00,,23:27:35,23:23:01,,23:14:15,,,23:44:00,,,23:24:26,,23:26:21,,23:32:48,23:38:03,,23:41:00,,23:41:52,23:46:17,,,23:18:00,,,23:29:00,,23:13:00,23:21:00,23:19:29,,,,23:51:00,,23:42:51,,23:36:00,,,23:48:37,,23:39:29,23:32:10,,,23:35:00,23:48:00,
113219714237094601,,23:25:00,24:01:00,24:01:37,,,23:50:45,,,23:55:23,,24:02:12,23:34:00,,23:27:00,23:26:00,,23:53:47,,23:52:02,,,23:39:42,,23:37:00,,,23:32:05,23:49:00,,23:57:00,23:45:27,,24:03:00,,,,23:58:13,24:00:00,23:42:00,,23:35:58,,23:35:14,,23:28:54,23:30:25,,23:38:43,,,23:46:07,23:43:00,,,23:31:00
113219715237094601,23:32:02,23:33:00,,,22:55:02,22:56:00,,23:07:35,23:03:01,,22:54:15,,,23:24:00,,,23:04:26,,23:06:21,,23:12:48,23:18:03,,23:21:00,,23:21:52,23:26:17,,,22:58:00,,,23:09:00,,22:53:00,23:01:00,22:59:29,,,,23:31:00,,23:22:51,,23:16:00,,,23:28:37,,23:19:29,23:12:10,,,23:15:00,23:28:00,
113219716237094601,,23:05:00,23:41:00,23:41:37,,,23:30:45,,,23:35:23,,23:42:12,23:14:00,,23:07:00,23:06:00,,23:33:47,,23:32:02,,,23:19:42,,23:17:00,,,23:12:05,23:29:00,,23:37:00,23:25:27,,23:43:00,,,,23:38:13,23:40:00,23:22:00,,23:15:58,,23:15:14,,23:08:54,23:10:25,,23:18:43,,,23:26:07,23:23:00,,,23:11:00
113219717237094601,23:12:02,23:13:00,,,22:35:02,22:36:00,,22:47:35,22:43:01,,22:34:15,,,23:04:00,,,22:44:26,,22:46:21,,22:52:48,22:58:03,,23:01:00,,23:01:52,23:06:17,,,22:38:00,,,22:49:00,,22:33:00,22:41:00,22:39:29,,,,23:11:00,,23:02:51,,22:56:00,,,23:08:37,,22:59:29,22:52:10,,,22:55:00,23:08:00,
113219718237094601,,22:44:00,23:21:00,23:21:37,,,23:10:45,,,23:15:23,,23:22:12,22:54:00,,22:46:00,22:45:00,,23:13:47,,23:12:02,,,22:59:42,,22:57:00,,,22:51:27,23:09:00,,23:17:00,23:05:27,,23:23:00,,,,23:18:13,23:20:00,23:02:00,,22:55:58,,22:55:14,,22:47:54,22:49:25,,22:58:43,,,23:06:07,23:03:00,,,22:50:00
113219719237094601,22:52:32,22:54:00,,,22:15:02,22:16:00,,22:27:35,22:23:01,,22:14:15,,,22:44:00,,,22:24:26,,22:26:21,,22:32:48,22:38:03,,22:41:00,,22:41:52,22:46:17,,,22:18:00,,,22:29:00,,22:13:00,22:21:00,22:19:29,,,,22:51:00,,22:42:51,,22:36:00,,,22:48:37,,22:39:29,22:32:10,,,22:35:00,22:48:00,
113219720237094601,,22:24:00,23:01:00,23:01:37,,,22:50:45,,,22:55:23,,23:02:12,22:34:00,,22:26:00,22:25:00,,22:53:47,,22:52:02,,,22:39:42,,22:37:00,,,22:31:27,22:49:00,,22:57:00,22:45:27,,23:03:00,,,,22:58:13,23:00:00,22:42:00,,22:35:58,,22:35:14,,22:27:54,22:29:25,,22:38:43,,,22:46:07,22:43:00,,,22:30:00
