trip_id,1016,1024,1051,1052,1082,1083,1089,1090,1349,1356,1827,1837,1838,1839,2305,2308,2315,2316,2317,2325,2326,2327,2352,2358,2359,2360,2370,2376,2868,2870,3001B,3003,3005,3007,3008,3014,3058,3059,3061,3063
113100294236763001,20:05:47,20:07:00,,,,20:08:00,19:52:19,,20:04:33,,19:48:00,19:48:31,,,,,,,,20:00:50,,,,19:49:00,19:49:55,19:51:00,20:03:00,19:57:00,,20:00:00,19:47:00,19:51:22,19:52:43,19:54:17,19:55:00,19:53:26,,,,
113100295236763001,06:08:47,06:10:00,,,,06:11:00,05:56:19,,06:07:33,,05:52:00,05:52:31,,,,,,,,06:03:50,,,,05:53:00,05:53:55,05:55:00,06:06:00,06:01:00,,06:03:00,05:51:00,05:55:22,05:56:43,05:58:17,05:59:00,05:57:26,,,,
113100296236763001,,,19:38:13,19:37:00,19:36:00,,,19:50:37,,19:39:45,,,19:54:30,19:55:00,19:41:00,19:46:00,19:52:00,19:53:05,19:54:00,,19:43:23,19:49:35,19:56:53,,,,,,19:44:00,,19:58:00,,,,,,19:48:00,19:48:40,19:50:13,19:51:38
113100297236763001,,,19:58:13,19:57:00,19:56:00,,,20:10:37,,19:59:45,,,20:14:30,20:15:00,20:01:00,20:06:00,20:12:00,20:13:05,20:14:00,,20:03:23,20:09:35,20:16:53,,,,,,20:04:00,,20:18:00,,,,,,20:08:00,20:08:40,20:10:13,20:11:38
113100298236763001,,,18:40:31,18:39:00,18:38:00,,,18:53:37,,18:42:27,,,18:57:30,18:58:00,18:44:00,18:49:00,18:55:00,18:56:05,18:57:00,,18:46:23,18:52:35,18:59:53,,,,,,18:47:00,,19:01:00,,,,,,18:51:00,18:51:40,18:53:13,18:54:38
113100299236763001,,,19:21:13,19:20:00,19:19:00,,,19:33:37,,19:22:45,,,19:37:30,19:38:00,19:24:00,19:29:00,19:35:00,19:36:05,19:37:00,,19:26:23,19:32:35,19:39:53,,,,,,19:27:00,,19:41:00,,,,,,19:31:00,19:31:40,19:33:13,19:34:38
113100300236763001,19:26:47,19:28:00,,,,19:29:00,19:12:19,,19:25:33,,19:08:00,19:08:31,,,,,,,,19:21:07,,,,19:09:00,19:09:55,19:11:00,19:24:00,19:17:00,,19:20:00,19:07:00,19:11:22,19:12:43,19:14:17,19:15:00,19:13:26,,,,
113100301236763001,19:46:47,19:48:00,,,,19:49:00,19:32:19,,19:45:33,,19:28:00,19:28:31,,,,,,,,19:41:07,,,,19:29:00,19:29:55,19:31:00,19:44:00,19:37:00,,19:40:00,19:27:00,19:31:22,19:32:43,19:34:17,19:35:00,19:33:26,,,,
113100302236763001,19:06:47,19:08:00,,,,19:10:00,18:50:39,,19:05:33,,18:46:00,18:46:31,,,,,,,,19:01:07,,,,18:47:00,18:47:55,18:49:00,19:04:00,18:57:00,,19:00:00,18:45:00,18:49:27,18:51:08,18:53:06,18:54:00,18:52:02,,,,
113100303236763001,18:47:29,18:49:00,,,,18:51:00,18:30:39,,18:45:56,,18:26:00,18:26:31,,,,,,,,18:41:07,,,,18:27:00,18:27:55,18:29:00,18:44:00,18:37:00,,18:40:00,18:25:00,18:29:27,18:31:08,18:33:06,18:34:00,18:32:02,,,,
113100304236763001,,,05:44:13,05:43:00,05:42:00,,,05:58:17,,05:45:45,,,06:02:30,06:03:00,05:47:00,05:52:00,06:00:00,06:01:05,06:02:00,,05:49:23,05:56:59,06:04:53,,,,,,05:50:00,,06:06:00,,,,,,05:55:00,05:55:50,05:57:46,05:59:33
113100305236763001,18:29:29,18:31:00,,,,18:33:00,18:12:39,,18:27:56,,18:08:00,18:08:31,,,,,,,,18:23:07,,,,18:09:00,18:09:55,18:11:00,18:26:00,18:19:00,,18:22:00,18:07:00,18:11:27,18:13:08,18:15:06,18:16:00,18:14:02,,,,
113100306236763001,,,15:18:31,15:17:00,15:16:00,,,15:33:37,,15:20:27,,,15:37:30,15:38:00,15:22:00,15:28:00,15:35:00,15:36:05,15:37:00,,15:24:23,15:32:35,15:39:53,,,,,,15:25:00,,15:41:00,,,,,,15:31:00,15:31:40,15:33:13,15:34:38
113100307236763001,,,14:04:13,14:03:00,14:02:00,,,14:18:37,,14:05:45,,,14:22:30,14:23:00,14:07:00,14:14:00,14:20:00,14:21:05,14:22:00,,14:09:23,14:17:35,14:24:53,,,,,,14:10:00,,14:26:00,,,,,,14:16:00,14:16:40,14:18:13,14:19:38
113100308236763001,,,15:57:31,15:56:00,15:55:00,,,16:13:37,,15:59:27,,,16:17:30,16:18:00,16:01:00,16:08:00,16:15:00,16:16:05,16:17:00,,16:04:10,16:12:35,16:19:53,,,,,,16:05:00,,16:21:00,,,,,,16:11:00,16:11:40,16:13:13,16:14:38
113100309236763001,,,14:24:13,14:23:00,14:22:00,,,14:38:37,,14:25:45,,,14:42:30,14:43:00,14:27:00,14:34:00,14:40:00,14:41:05,14:42:00,,14:29:23,14:37:35,14:44:53,,,,,,14:30:00,,14:46:00,,,,,,14:36:00,14:36:40,14:38:13,14:39:38
113100310236763001,,,15:31:31,15:30:00,15:29:00,,,15:47:37,,15:33:27,,,15:51:30,15:52:00,15:35:00,15:42:00,15:49:00,15:50:05,15:51:00,,15:37:23,15:46:35,15:53:53,,,,,,15:38:00,,15:55:00,,,,,,15:45:00,15:45:40,15:47:13,15:48:38
113100311236763001,14:35:29,14:37:00,,,,14:39:00,14:20:19,,14:33:56,,14:16:00,14:16:31,,,,,,,,14:29:50,,,,14:17:00,14:17:55,14:19:00,14:32:00,14:26:00,,14:29:00,14:14:00,14:19:22,14:20:43,14:22:17,14:23:00,14:21:26,,,,
