trip_id,1030,1083,1904,2088,2089,2207,2237,2238,2239,2269,2271,2587,2831,2898,5740,5741,5742B,5760,5761,5905,5906,5908,5910,5911B,5913,5958C,5959,5961,5965,5967,5968,6123,6459,6461,9025,9751,9753,9754B,9755,9756,9776,9777,9778,9779,9780
113356994237587001,11:40:00,,,11:43:22,,,11:45:25,11:47:01,11:48:13,11:36:43,11:42:14,11:37:44,11:35:00,11:50:00,,,,11:54:46,,,,,,,,11:57:00,11:58:46,12:00:12,11:57:52,12:01:29,12:02:00,,11:52:00,,,12:11:00,,,,,12:02:59,12:04:30,12:05:34,12:07:00,12:09:21
113356995237587001,10:25:00,,,10:28:22,,,10:30:25,10:32:01,10:33:13,10:21:43,10:27:14,10:22:44,10:20:00,10:35:00,,,,10:39:46,,,,,,,,10:42:00,10:43:46,10:45:12,10:42:52,10:46:29,10:47:00,,10:37:00,,,10:56:00,,,,,10:47:59,10:49:30,10:50:34,10:52:00,10:54:21
113356997237587001,,,,,,,,,,,,,,05:10:00,,,,05:12:39,,,,,,,,05:14:00,05:15:46,05:17:12,05:14:52,05:18:29,05:19:00,,05:11:00,,,05:26:00,,,,,05:19:47,05:21:00,05:21:51,05:23:00,05:24:46
113356998237587001,08:31:00,,,08:34:42,,,08:36:58,08:38:43,08:40:03,08:28:22,08:33:28,08:29:11,08:27:00,08:42:00,,,,08:46:12,,,,,,,,08:48:00,08:49:46,08:51:12,08:48:52,08:52:29,08:53:00,,08:44:00,,,09:03:00,,,,,08:54:11,08:56:00,08:57:17,08:59:00,09:01:21
113357000237587001,,22:28:00,22:29:52,,22:25:12,22:26:00,,,,,,,22:31:00,,22:20:00,22:21:06,22:22:12,,22:16:24,22:10:00,22:10:32,22:11:46,22:12:58,22:15:00,22:13:58,,,,,,,22:23:48,,22:19:00,22:27:00,22:05:00,22:06:00,22:07:24,22:08:16,22:09:15,,,,,
113357001237587001,22:05:00,,,22:07:42,,,22:09:20,22:10:37,22:11:35,22:03:02,22:06:48,22:03:38,22:02:00,22:13:00,,,,22:16:12,,,,,,,,22:18:00,22:19:46,22:21:12,22:18:52,22:22:29,22:23:00,,22:14:00,,,22:30:00,,,,,22:23:47,22:25:00,22:25:51,22:27:00,22:28:46
113357002237587001,,22:08:00,22:09:52,,22:05:12,22:06:00,,,,,,,22:11:00,,22:00:00,22:01:06,22:02:12,,21:56:24,21:50:00,21:50:32,21:51:46,21:52:58,21:55:00,21:53:58,,,,,,,22:03:48,,21:59:00,22:07:00,21:45:00,21:46:00,21:47:24,21:48:16,21:49:15,,,,,
113357003237587001,21:45:00,,,21:47:42,,,21:49:20,21:50:37,21:51:35,21:43:02,21:46:48,21:43:38,21:42:00,21:53:00,,,,21:56:12,,,,,,,,21:58:00,21:59:46,22:01:12,21:58:52,22:02:29,22:03:00,,21:54:00,,,22:10:00,,,,,22:03:47,22:05:00,22:05:51,22:07:00,22:08:46
113357004237587001,,21:48:00,21:49:52,,21:45:12,21:46:00,,,,,,,21:51:00,,21:40:00,21:41:06,21:42:12,,21:36:24,21:30:00,21:30:32,21:31:46,21:32:58,21:35:00,21:33:58,,,,,,,21:43:48,,21:39:00,21:47:00,21:25:00,21:26:00,21:27:24,21:28:16,21:29:15,,,,,
113357005237587001,10:55:00,,,10:58:22,,,11:00:25,11:02:01,11:03:13,10:51:43,10:57:14,10:52:44,10:50:00,11:05:00,,,,11:09:46,,,,,,,,11:12:00,11:13:46,11:15:12,11:12:52,11:16:29,11:17:00,,11:07:00,,,11:26:00,,,,,11:17:59,11:19:30,11:20:34,11:22:00,11:24:21
113357006237587001,,21:28:00,21:29:52,,21:25:12,21:26:00,,,,,,,21:31:00,,21:20:00,21:21:06,21:22:12,,21:16:24,21:10:00,21:10:32,21:11:46,21:12:58,21:15:00,21:13:58,,,,,,,21:23:48,,21:19:00,21:27:00,21:05:00,21:06:00,21:07:24,21:08:16,21:09:15,,,,,
113357008237587001,09:25:00,,,09:28:22,,,09:30:25,09:32:01,09:33:13,09:21:43,09:27:14,09:22:44,09:20:00,09:35:00,,,,09:39:12,,,,,,,,09:41:00,09:42:46,09:44:12,09:41:52,09:45:29,09:46:00,,09:37:00,,,09:56:00,,,,,09:47:11,09:49:00,09:50:17,09:52:00,09:54:21
113357009237587001,,21:08:00,21:09:52,,21:05:12,21:06:00,,,,,,,21:11:00,,21:00:00,21:01:06,21:02:12,,20:56:24,20:50:00,20:50:32,20:51:46,20:52:58,20:55:00,20:53:58,,,,,,,21:03:48,,20:59:00,21:07:00,20:45:00,20:46:00,20:47:24,20:48:16,20:49:15,,,,,
113357010237587001,13:54:00,,,13:57:22,,,13:59:25,14:01:01,14:02:13,13:50:43,13:56:14,13:51:44,13:49:00,14:04:00,,,,14:08:46,,,,,,,,14:11:00,14:12:46,14:14:12,14:11:52,14:15:29,14:16:00,,14:06:00,,,14:25:00,,,,,14:16:59,14:18:30,14:19:34,14:21:00,14:23:21
