trip_id,1136,1156,1900,1901,1904,1988,2283,2287,2289,3313,6017,6018,6019,6020,6021,6022B,6023,6024,6053,6054B,6055,6056,6058,6059,6060,6061,6062,6190,6191,6435,6436,9023B,9291,9296,9996
113354243237585601,,09:08:00,09:29:00,,,09:25:34,,09:06:00,09:05:00,09:22:01,,,,,,,,,09:09:19,09:10:05,09:11:00,09:12:17,09:15:35,09:16:51,09:17:55,09:19:36,09:21:11,09:14:00,,,09:23:00,,,09:14:34,
113354244237585601,,23:27:00,23:47:00,,,23:43:34,,23:25:00,23:24:00,23:40:08,,,,,,,,,23:28:19,23:29:05,23:30:00,23:31:17,23:34:24,23:35:32,23:36:29,23:37:59,23:39:23,23:33:00,,,23:41:00,,,23:33:31,
113354245237585601,09:55:00,,09:36:00,09:38:44,09:37:44,,09:57:00,,09:58:00,,09:42:46,09:44:08,09:45:16,09:46:05,09:49:28,09:51:56,09:51:00,09:53:04,,,,,,,,,,,09:48:00,09:40:00,,09:41:23,09:47:25,,
113354246237585601,,22:26:00,22:48:00,,,22:44:00,,22:24:00,22:23:00,22:40:01,,,,,,,,,22:27:19,22:28:05,22:29:00,22:30:17,22:33:35,22:34:51,22:35:55,22:37:36,22:39:11,22:32:00,,,22:41:00,,,22:32:34,
113354247237585601,22:54:00,,22:34:00,22:37:25,22:36:11,,22:56:00,,22:57:00,,22:42:07,22:43:39,22:44:56,22:45:50,22:49:28,22:51:42,22:51:00,22:52:33,,,,,,,,,,,22:48:00,22:39:00,,22:40:33,22:47:21,,
113354248237585601,,08:48:00,09:09:00,,,09:05:34,,08:46:00,08:45:00,09:02:01,,,,,,,,,08:49:19,08:50:05,08:51:00,08:52:17,08:55:35,08:56:51,08:57:55,08:59:36,09:01:11,08:54:00,,,09:03:00,,,08:54:34,
113354249237585601,,19:26:00,19:48:00,,,19:44:00,,19:24:00,19:23:00,19:40:01,,,,,,,,,19:27:19,19:28:05,19:29:00,19:30:17,19:33:35,19:34:51,19:35:55,19:37:36,19:39:11,19:32:00,,,19:41:00,,,19:32:34,
113354250237585601,,18:45:00,19:08:00,,,19:04:00,,18:43:00,18:42:00,18:59:55,,,,,,,,,18:46:19,18:47:05,18:48:00,18:49:17,18:52:45,18:54:10,18:55:21,18:57:13,18:58:59,18:51:00,,,19:01:00,,,18:51:38,
113354251237585601,23:53:00,,23:35:00,23:37:44,23:36:44,,,,,,23:41:46,23:43:08,23:44:16,23:45:05,23:48:28,23:50:42,23:50:00,23:51:33,,,,,,,,,,,23:47:00,23:39:00,,23:40:23,23:46:25,,23:55:00
113354252237585601,,20:26:00,20:48:00,,,20:44:00,,20:24:00,20:23:00,20:40:01,,,,,,,,,20:27:19,20:28:05,20:29:00,20:30:17,20:33:35,20:34:51,20:35:55,20:37:36,20:39:11,20:32:00,,,20:41:00,,,20:32:34,
113354253237585601,,19:06:00,19:28:00,,,19:24:00,,19:04:00,19:03:00,19:20:01,,,,,,,,,19:07:19,19:08:05,19:09:00,19:10:17,19:13:35,19:14:51,19:15:55,19:17:36,19:19:11,19:12:00,,,19:21:00,,,19:12:34,
113354254237585601,,23:07:00,23:27:00,,,23:23:34,,23:05:00,23:04:00,23:20:08,,,,,,,,,23:08:19,23:09:05,23:10:00,23:11:17,23:14:24,23:15:32,23:16:29,23:17:59,23:19:23,23:13:00,,,23:21:00,,,23:13:31,
113354255237585601,23:14:00,,22:54:00,22:57:25,22:56:11,,23:16:00,,23:17:00,,23:02:07,23:03:39,23:04:56,23:05:50,23:09:28,23:11:42,23:11:00,23:12:33,,,,,,,,,,,23:08:00,22:59:00,,23:00:33,23:07:21,,
113354256237585601,22:34:00,,22:14:00,22:17:25,22:16:11,,22:36:00,,22:37:00,,22:22:07,22:23:39,22:24:56,22:25:50,22:29:28,22:31:42,22:31:00,22:32:33,,,,,,,,,,,22:28:00,22:19:00,,22:20:33,22:27:21,,
113354257237585601,24:13:00,,23:55:00,23:57:44,23:56:44,,,,,,24:01:46,24:03:08,24:04:16,24:05:05,24:08:28,24:10:42,24:10:00,24:11:33,,,,,,,,,,,24:07:00,23:59:00,,24:00:23,24:06:25,,24:15:00
113354258237585601,,09:28:00,09:49:00,,,09:45:34,,09:26:00,09:25:00,09:42:01,,,,,,,,,09:29:19,09:30:05,09:31:00,09:32:17,09:35:35,09:36:51,09:37:55,09:39:36,09:41:11,09:34:00,,,09:43:00,,,09:34:34,
113354259237585601,,19:46:00,20:08:00,,,20:04:00,,19:44:00,19:43:00,20:00:01,,,,,,,,,19:47:19,19:48:05,19:49:00,19:50:17,19:53:35,19:54:51,19:55:55,19:57:36,19:59:11,19:52:00,,,20:01:00,,,19:52:34,
113354260237585601,,22:46:00,23:07:00,,,23:03:34,,22:44:00,22:43:00,23:00:01,,,,,,,,,22:47:19,22:48:05,22:49:00,22:50:17,22:53:35,22:54:51,22:55:55,22:57:36,22:59:11,22:52:00,,,23:01:00,,,22:52:34,
113354261237585601,23:33:00,,23:15:00,23:17:44,23:16:44,,,,,,23:21:46,23:23:08,23:24:16,23:25:05,23:28:28,23:30:42,23:30:00,23:31:33,,,,,,,,,,,23:27:00,23:19:00,,23:20:23,23:26:25,,23:35:00
113354262237585601,,20:06:00,20:28:00,,,20:24:00,,20:04:00,20:03:00,20:20:01,,,,,,,,,20:07:19,20:08:05,20:09:00,20:10:17,20:13:35,20:14:51,20:15:55,20:17:36,20:19:11,20:12:00,,,20:21:00,,,20:12:34,
113354263237585601,,22:06:00,22:28:00,,,22:24:00,,22:04:00,22:03:00,22:20:01,,,,,,,,,22:07:19,22:08:05,22:09:00,22:10:17,22:13:35,22:14:51,22:15:55,22:17:36,22:19:11,22:12:00,,,22:21:00,,,22:12:34,
113354264237585601,,18:05:00,18:28:00,,,18:24:00,,18:03:00,18:02:00,18:19:55,,,,,,,,,18:06:19,18:07:05,18:08:00,18:09:17,18:12:45,18:14:10,18:15:21,18:17:13,18:18:59,18:11:00,,,18:21:00,,,18:11:38,
113354265237585601,,17:27:00,17:50:00,,,17:46:00,,17:25:00,17:24:00,17:41:55,,,,,,,,,17:28:19,17:29:05,17:30:00,17:31:17,17:34:45,17:36:10,17:37:21,17:39:13,17:40:59,17:33:00,,,17:43:00,,,17:33:38,
113354266237585601,,16:27:00,16:50:00,,,16:46:00,,16:25:00,16:24:00,16:41:55,,,,,,,,,16:28:19,16:29:05,16:30:00,16:31:17,16:34:45,16:36:10,16:37:21,16:39:13,16:40:59,16:33:00,,,16:43:00,,,16:33:38,
113354267237585601,,15:28:00,15:51:00,,,15:47:00,,15:26:00,15:25:00,15:42:55,,,,,,,,,15:29:19,15:30:05,15:31:00,15:32:17,15:35:45,15:37:10,15:38:21,15:40:13,15:41:59,15:34:00,,,15:44:00,,,15:34:38,
