trip_id,1273,1402B,1403,1419,1508,1509,1510,1569B,1570,1571,2247,2250,2920,3062,3072,3216,3217,3218,3219,3240,3251,3266,3274,3285,3353,3354,3358,3359,3401,3702,3704,3705,3707,3761,3762,3763,3765,3766,5308,6442,6445
113344596237549601,24:47:00,24:47:59,24:49:49,24:49:17,24:43:00,24:44:08,24:44:55,,,,24:53:00,,,,24:40:00,,,,,,24:51:00,24:51:35,,,24:40:45,24:42:00,,,,,,,,,,,,,,,24:38:00
113344597237549601,24:31:00,24:31:59,24:33:49,24:33:17,24:27:00,24:28:08,24:28:55,,,,24:37:00,,,,24:24:00,,,,,,24:35:00,24:35:35,24:44:00,,24:24:45,24:26:00,,,,,,,,24:38:30,24:39:21,24:40:25,24:42:46,24:41:29,,,24:22:00
113344598237549601,24:16:00,24:16:59,24:18:49,24:18:17,24:12:00,24:13:08,24:13:55,,,,24:22:00,,,,24:09:00,,,,,,24:20:00,24:20:35,24:29:00,,24:09:45,24:11:00,,,,,,,,24:23:30,24:24:21,24:25:25,24:27:46,24:26:29,,,24:07:00
113344599237549601,,,,,,,,24:22:55,24:23:48,24:25:00,,24:16:00,24:21:00,24:29:00,,24:17:00,24:19:11,24:20:03,24:21:44,24:11:08,,,,,,,24:26:29,24:28:05,24:09:00,24:10:10,24:12:10,24:13:00,24:18:06,,,,,,24:14:44,24:30:00,
113344600237549601,24:01:00,24:01:59,24:03:49,24:03:17,23:57:00,23:58:08,23:58:55,,,,24:07:00,,,,23:54:00,,,,,,24:05:00,24:05:35,24:14:00,,23:54:45,23:56:00,,,,,,,,24:08:30,24:09:21,24:10:25,24:12:46,24:11:29,,,23:52:00
113344601237549601,,,,,,,,24:06:55,24:07:48,24:09:00,,24:00:00,24:05:00,24:13:00,,24:01:00,24:03:11,24:04:03,24:05:44,23:55:08,,,,,,,24:10:29,24:12:05,23:53:00,23:54:10,23:56:10,23:57:00,24:02:06,,,,,,23:58:44,24:14:00,
113344602237549601,23:46:00,23:46:59,23:48:49,23:48:17,23:42:00,23:43:08,23:43:55,,,,23:52:00,,,,23:39:00,,,,,,23:50:00,23:50:35,23:59:00,24:00:00,23:39:45,23:41:00,,,24:01:00,,,,,23:53:30,23:54:21,23:55:25,23:57:46,23:56:29,,,23:37:00
113344603237549601,,,,,,,,23:51:55,23:52:48,23:54:00,,23:45:00,23:50:00,23:58:00,,23:46:00,23:48:11,23:49:03,23:50:44,23:40:08,,,,,,,23:55:29,23:57:05,23:38:00,23:39:10,23:41:10,23:42:00,23:47:06,,,,,,23:43:44,23:59:00,
113344604237549601,23:30:00,23:30:59,23:32:49,23:32:17,23:26:00,23:27:08,23:27:55,,,,23:36:00,,,,23:23:00,,,,,,23:34:00,23:34:35,23:43:00,23:44:00,23:23:45,23:25:00,,,23:45:00,,,,,23:37:30,23:38:21,23:39:25,23:41:46,23:40:29,,,23:21:00
113344605237549601,,,,,,,,23:36:55,23:37:48,23:39:00,,23:30:00,23:35:00,23:43:00,,23:31:00,23:33:11,23:34:03,23:35:44,23:25:08,,,,,,,23:40:29,23:42:05,23:23:00,23:24:10,23:26:10,23:27:00,23:32:06,,,,,,23:28:44,23:44:00,
113344606237549601,23:15:00,23:15:59,23:17:49,23:17:17,23:11:00,23:12:08,23:12:55,,,,23:21:00,,,,23:08:00,,,,,,23:19:00,23:19:35,23:28:00,23:29:00,23:08:45,23:10:00,,,23:30:00,,,,,23:22:30,23:23:21,23:24:25,23:26:46,23:25:29,,,23:06:00
113344607237549601,,,,,,,,23:21:55,23:22:48,23:24:00,,23:15:00,23:20:00,23:28:00,,23:16:00,23:18:11,23:19:03,23:20:44,23:10:08,,,,,,,23:25:29,23:27:05,23:08:00,23:09:10,23:11:10,23:12:00,23:17:06,,,,,,23:13:44,23:29:00,
113344609237549601,23:00:00,23:00:59,23:02:49,23:02:17,22:56:00,22:57:08,22:57:55,,,,23:06:00,,,,22:53:00,,,,,,23:04:00,23:04:35,23:13:00,23:14:00,22:53:45,22:55:00,,,23:15:00,,,,,23:07:30,23:08:21,23:09:25,23:11:46,23:10:29,,,22:51:00
113344610237549601,,,,,,,,23:06:55,23:07:48,23:09:00,,23:00:00,23:05:00,23:13:00,,23:01:00,23:03:11,23:04:03,23:05:44,22:54:40,,,,,,,23:10:29,23:12:05,22:52:00,22:53:27,22:55:57,22:57:00,23:02:06,,,,,,22:58:44,23:14:00,
113344611237549601,22:44:00,22:45:14,22:47:32,22:46:51,22:40:00,22:41:08,22:41:55,,,,22:51:00,,,,22:37:00,,,,,,22:49:00,22:49:35,22:58:00,22:59:00,22:37:45,22:39:00,,,23:00:00,,,,,22:52:30,22:53:21,22:54:25,22:56:46,22:55:29,,,22:35:00
113344612237549601,,,,,,,,22:53:55,22:54:48,22:56:00,,22:47:00,22:52:00,23:00:00,,22:48:00,22:50:11,22:51:03,22:52:44,22:41:40,,,,,,,22:57:29,22:59:05,22:39:00,22:40:27,22:42:57,22:44:00,22:49:06,,,,,,22:45:44,23:01:00,
113344613237549601,,,,,,,,22:39:55,22:40:48,22:42:00,,22:33:00,22:38:00,22:46:00,,22:34:00,22:36:11,22:37:03,22:38:44,22:27:40,,,,,,,22:43:29,22:45:05,22:25:00,22:26:27,22:28:57,22:30:00,22:35:06,,,,,,22:31:44,22:47:00,
