trip_id,1131B,1132,1160,1162C,1273,1497B,1654,1729,1776,2900,2903,2909,2910,2912,2915,2916,2917,2918,2920,2922B,2924,2926,2927,2970B,2974,2975,2976,2977,2980,2982B,2990,2992,2995,2996,2997,3126,3176,4952,5298,5299,6082,6190,6191,6432,6433,6464,6465
113334317237510601,24:15:00,24:15:33,,,24:20:00,,24:11:00,24:13:36,,24:34:19,,,,,,,,,,,,,24:16:45,24:18:40,24:23:33,24:25:00,24:26:00,24:26:31,24:30:00,24:33:15,24:27:22,24:35:00,24:31:35,,24:28:50,,24:36:00,,,24:37:00,24:21:35,24:22:51,,,24:13:00,24:18:00,
113334318237510601,23:55:00,23:55:33,,,24:00:00,,23:51:00,23:53:36,,24:14:19,,,,,,,,,,,,,23:56:45,23:58:40,24:03:33,24:05:00,24:06:00,24:06:31,24:10:00,24:13:15,24:07:22,24:15:00,24:11:35,,24:08:50,,24:16:00,,,24:17:00,24:01:35,24:02:51,,,23:53:00,23:58:00,
113334319237510601,23:35:00,23:35:33,,,23:40:00,,23:31:00,23:33:36,,23:54:19,,,,,,,,,,,,,23:36:45,23:38:40,23:43:33,23:45:00,23:46:00,23:46:31,23:50:00,23:53:15,23:47:22,23:55:00,23:51:35,,23:48:50,,23:56:00,,,23:57:00,23:41:35,23:42:51,,,23:33:00,23:38:00,
113334320237510601,,,23:52:47,23:54:00,,23:52:00,,,23:55:11,,23:32:58,23:32:00,23:33:55,23:37:00,23:41:19,23:42:00,23:43:00,23:44:50,23:48:00,23:50:23,23:35:26,23:40:02,,,,,,,,,,,,23:37:47,,23:31:00,,23:58:00,23:30:00,,,,23:45:42,23:56:00,,,23:51:00
113334321237510601,,,23:32:47,23:34:00,,23:32:00,,,23:35:11,,23:12:58,23:12:00,23:13:55,23:17:00,23:21:19,23:22:00,23:23:00,23:24:50,23:28:00,23:30:23,23:15:26,23:20:02,,,,,,,,,,,,23:17:47,,23:11:00,,23:38:00,23:10:00,,,,23:25:42,23:36:00,,,23:31:00
113334322237510601,23:15:00,23:15:33,,,23:20:00,,23:11:00,23:13:36,,23:34:19,,,,,,,,,,,,,23:16:45,23:18:40,23:23:33,23:25:00,23:26:00,23:26:31,23:30:00,23:33:15,23:27:22,23:35:00,23:31:35,,23:28:50,,23:36:00,,,23:37:00,23:21:35,23:22:51,,,23:13:00,23:18:00,
113334323237510601,,,23:12:47,23:14:00,,23:12:00,,,23:15:11,,22:52:58,22:52:00,22:53:55,22:57:00,23:01:19,23:02:00,23:03:00,23:04:50,23:08:00,23:10:23,22:55:26,23:00:02,,,,,,,,,,,,22:57:47,,22:51:00,,23:18:00,22:50:00,,,,23:05:42,23:16:00,,,23:11:00
113334324237510601,22:54:00,22:54:44,,,23:01:00,,22:50:00,22:52:36,,23:15:19,,,,,,,,,,,,,22:56:20,22:59:00,23:04:33,23:06:00,23:07:00,23:07:31,23:11:00,23:14:15,23:08:22,23:16:00,23:12:35,,23:09:50,,23:17:00,,,23:18:00,23:02:35,23:03:51,,,22:52:00,22:58:00,
113334325237510601,22:34:00,22:34:44,,,22:41:00,,22:30:00,22:32:36,,22:58:11,,,,,,,,,,,,,22:36:20,22:39:00,22:45:15,22:47:00,22:48:00,22:48:39,22:53:00,22:56:54,22:49:43,22:59:00,22:54:54,,22:51:33,,23:00:00,,,23:01:00,22:42:54,22:44:25,,,22:32:00,22:38:00,
113334326237510601,,,22:52:47,22:54:00,,22:52:00,,,22:55:11,,22:32:58,22:32:00,22:33:55,22:37:00,22:41:19,22:42:00,22:43:00,22:44:50,22:48:00,22:50:23,22:35:26,22:40:02,,,,,,,,,,,,22:37:47,,22:31:00,,22:58:00,22:30:00,,,,22:45:42,22:56:00,,,22:51:00
113334327237510601,22:13:00,22:13:44,,,22:20:00,,22:09:00,22:11:36,,22:37:11,,,,,,,,,,,,,22:15:20,22:18:00,22:24:15,22:26:00,22:27:00,22:27:39,22:32:00,22:35:54,22:28:43,22:38:00,22:33:54,,22:30:33,,22:39:00,,,22:40:00,22:21:54,22:23:25,,,22:11:00,22:17:00,
113334328237510601,,,22:32:47,22:34:00,,22:32:00,,,22:35:11,,22:12:58,22:12:00,22:13:55,22:17:00,22:21:19,22:22:00,22:23:00,22:24:50,22:28:00,22:30:23,22:15:26,22:20:02,,,,,,,,,,,,22:17:47,,22:11:00,,22:38:00,22:10:00,,,,22:25:42,22:36:00,,,22:31:00
113334329237510601,21:53:00,21:53:44,,,22:00:00,,21:49:00,21:51:36,,22:17:11,,,,,,,,,,,,,21:55:20,21:58:00,22:04:15,22:06:00,22:07:00,22:07:39,22:12:00,22:15:54,22:08:43,22:18:00,22:13:54,,22:10:33,,22:19:00,,,22:20:00,22:01:54,22:03:25,,,21:51:00,21:57:00,
113334330237510601,,,22:12:47,22:14:00,,22:12:00,,,22:15:11,,21:52:58,21:52:00,21:53:55,21:57:00,22:01:19,22:02:00,22:03:00,22:04:50,22:08:00,22:10:23,21:55:26,22:00:02,,,,,,,,,,,,21:57:47,,21:51:00,,22:18:00,21:50:00,,,,22:05:42,22:16:00,,,22:11:00
113334331237510601,,,05:29:47,05:31:00,,05:29:00,,,05:32:11,,05:08:58,05:08:00,05:09:55,05:13:00,05:18:10,05:19:00,05:20:00,05:21:50,05:25:00,05:27:23,05:11:26,05:16:38,,,,,,,,,,,,05:13:56,,05:07:00,,05:35:00,05:06:00,,,,05:22:42,05:33:00,,,05:28:00
113334332237510601,,,06:04:47,06:06:00,,06:04:00,,,06:07:11,,05:43:58,05:43:00,05:44:55,05:48:00,05:53:10,05:54:00,05:55:00,05:56:50,06:00:00,06:02:23,05:46:26,05:51:38,,,,,,,,,,,,05:48:56,,05:42:00,,06:10:00,05:41:00,,,,05:57:42,06:08:00,,,06:03:00
113334333237510601,06:26:00,06:26:33,,,06:31:00,,06:22:00,06:24:36,,06:45:19,,,,,,,,,,,,,06:27:45,06:29:40,06:34:33,06:36:00,06:37:00,06:37:31,06:41:00,06:44:15,06:38:22,06:46:00,06:42:35,,06:39:50,,06:47:00,,,06:48:00,06:32:35,06:33:51,,,06:24:00,06:29:00,
113334334237510601,,,06:34:47,06:36:00,,06:34:00,,,06:37:11,,06:13:58,06:13:00,06:14:55,06:18:00,06:23:10,06:24:00,06:25:00,06:26:50,06:30:00,06:32:23,06:16:26,06:21:38,,,,,,,,,,,,06:18:56,,06:12:00,,06:40:00,06:11:00,,,,06:27:42,06:38:00,,,06:33:00
