trip_id,1535,2100,2101,2102,2173,2174,2345,2346,2792,2795,2796,2839,3062,3072,3210B,3272,3273,3274,3284,3285,3286B,3288,3353,3354,3355,3402,3403,3408,3409,3410,3411,3417,3419,3448B,3449,3450,3459,3460,3470,3661,5735,6303B,6308,6359,6364B,6410,6411,6435,6438,6442,6445,9060
113069172236665601,05:06:00,,05:16:18,,05:12:28,,,,05:19:09,05:20:57,,,05:28:00,,05:04:58,,,,05:02:00,,,,,,,05:06:35,05:08:00,05:13:21,05:14:00,05:15:00,05:11:12,05:09:03,05:10:29,,,,,,,05:04:00,05:23:09,05:17:52,05:26:01,,,,05:22:00,,05:24:18,05:29:00,,
113069173236665601,,05:55:02,,05:56:00,,05:59:32,05:58:00,05:58:40,,,05:49:53,05:52:03,,05:42:00,,06:07:00,06:07:41,06:09:00,,06:10:00,06:11:20,06:12:00,05:42:45,05:44:00,05:45:00,,,,,,,,,06:02:14,06:00:48,06:03:05,06:05:00,06:06:01,06:01:28,,,,,05:48:01,05:53:31,05:49:00,,05:47:00,,,05:40:00,05:46:00
113069174236665601,,24:24:11,,24:25:00,,24:28:32,24:27:00,24:27:40,,,24:19:46,24:21:37,,24:12:00,,24:36:00,24:36:41,24:38:00,,24:39:00,24:40:20,24:41:00,24:12:45,24:14:00,24:15:00,,,,,,,,,24:31:14,24:29:48,24:32:05,24:34:00,24:35:01,24:30:28,,,,,24:18:01,24:22:53,24:19:00,,24:17:00,,,24:10:00,24:16:00
113069175236665601,,24:39:11,,24:40:00,,24:44:11,24:42:00,24:42:57,,,24:34:46,24:36:37,,24:27:00,,,,,,,,,24:27:45,24:29:00,24:30:00,,,,,,,,,24:48:00,24:45:58,,,,24:46:55,,,,,24:33:01,24:37:53,24:34:00,,24:32:00,,,24:25:00,24:31:00
113069176236665601,23:49:00,,23:59:18,,23:55:28,,,,24:02:09,24:03:57,,,24:11:00,,23:47:58,,,,23:45:00,,,,,,,23:49:35,23:51:00,23:56:21,23:57:00,23:58:00,23:54:12,23:52:03,23:53:29,,,,,,,23:47:00,24:06:09,24:00:52,24:09:01,,,,24:05:00,,24:07:18,24:12:00,,
113069177236665601,,24:09:11,,24:10:00,,24:13:32,24:12:00,24:12:40,,,24:04:46,24:06:37,,23:57:00,,24:21:00,24:21:41,24:23:00,,24:24:00,24:25:20,24:26:00,23:57:45,23:59:00,24:00:00,,,,,,,,,24:16:14,24:14:48,24:17:05,24:19:00,24:20:01,24:15:28,,,,,24:03:01,24:07:53,24:04:00,,24:02:00,,,23:55:00,24:01:00
113069178236665601,,23:54:11,,23:55:00,,23:58:32,23:57:00,23:57:40,,,23:49:46,23:51:37,,23:42:00,,24:06:00,24:06:41,24:08:00,,24:09:00,24:10:20,24:11:00,23:42:45,23:44:00,23:45:00,,,,,,,,,24:01:14,23:59:48,24:02:05,24:04:00,24:05:01,24:00:28,,,,,23:48:01,23:52:53,23:49:00,,23:47:00,,,23:40:00,23:46:00
113069179236665601,,23:39:11,,23:40:00,,23:43:32,23:42:00,23:42:40,,,23:34:46,23:36:37,,23:27:00,,23:51:00,23:51:41,23:53:00,,23:54:00,23:55:20,23:56:00,23:27:45,23:29:00,23:30:00,,,,,,,,,23:46:14,23:44:48,23:47:05,23:49:00,23:50:01,23:45:28,,,,,23:33:01,23:37:53,23:34:00,,23:32:00,,,23:25:00,23:31:00
113069180236665601,,23:24:11,,23:25:00,,23:28:32,23:27:00,23:27:40,,,23:19:46,23:21:37,,23:12:00,,23:36:00,23:36:41,23:38:00,,23:39:00,23:40:20,23:41:00,23:12:45,23:14:00,23:15:00,,,,,,,,,23:31:14,23:29:48,23:32:05,23:34:00,23:35:01,23:30:28,,,,,23:18:01,23:22:53,23:19:00,,23:17:00,,,23:10:00,23:16:00
113069181236665601,,23:09:11,,23:10:00,,23:13:32,23:12:00,23:12:40,,,23:04:46,23:06:37,,22:57:00,,23:21:00,23:21:41,23:23:00,,23:24:00,23:25:20,23:26:00,22:57:45,22:59:00,23:00:00,,,,,,,,,23:16:14,23:14:48,23:17:05,23:19:00,23:20:01,23:15:28,,,,,23:03:01,23:07:53,23:04:00,,23:02:00,,,22:55:00,23:01:00
113069182236665601,,22:54:11,,22:55:00,,22:58:46,22:57:00,22:57:46,,,22:49:46,22:51:37,,22:42:00,,23:07:00,23:07:41,23:09:00,,23:10:00,23:11:20,23:12:00,22:42:45,22:44:00,22:45:00,,,,,,,,,23:01:50,23:00:12,23:02:48,23:05:00,23:06:01,23:00:58,,,,,22:48:01,22:52:53,22:49:00,,22:47:00,,,22:40:00,22:46:00
113069183236665601,,22:39:11,,22:40:00,,22:43:46,22:42:00,22:42:46,,,22:34:46,22:36:37,,22:27:00,,22:52:00,22:52:41,22:54:00,,22:55:00,22:56:20,22:57:00,22:27:45,22:29:00,22:30:00,,,,,,,,,22:46:50,22:45:12,22:47:48,22:50:00,22:51:01,22:45:58,,,,,22:33:01,22:37:53,22:34:00,,22:32:00,,,22:25:00,22:31:00
113069184236665601,,22:24:11,,22:25:00,,22:28:46,22:27:00,22:27:46,,,22:19:46,22:21:37,,22:12:00,,22:37:00,22:37:41,22:39:00,,22:40:00,22:41:20,22:42:00,22:12:45,22:14:00,22:15:00,,,,,,,,,22:31:50,22:30:12,22:32:48,22:35:00,22:36:01,22:30:58,,,,,22:18:01,22:22:53,22:19:00,,22:17:00,,,22:10:00,22:16:00
113069185236665601,,22:09:11,,22:10:00,,22:13:46,22:12:00,22:12:46,,,22:04:46,22:06:37,,21:57:00,,22:22:00,22:22:41,22:24:00,,22:25:00,22:26:20,22:27:00,21:57:45,21:59:00,22:00:00,,,,,,,,,22:16:50,22:15:12,22:17:48,22:20:00,22:21:01,22:15:58,,,,,22:03:01,22:07:53,22:04:00,,22:02:00,,,21:55:00,22:01:00
113069186236665601,,21:54:11,,21:55:00,,21:58:46,21:57:00,21:57:46,,,21:49:46,21:51:37,,21:42:00,,22:07:00,22:07:41,22:09:00,,22:10:00,22:11:20,22:12:00,21:42:45,21:44:00,21:45:00,,,,,,,,,22:01:50,22:00:12,22:02:48,22:05:00,22:06:01,22:00:58,,,,,21:48:01,21:52:53,21:49:00,,21:47:00,,,21:40:00,21:46:00
113069187236665601,,21:39:11,,21:40:00,,21:43:46,21:42:00,21:42:46,,,21:34:46,21:36:37,,21:27:00,,21:52:00,21:52:41,21:54:00,,21:55:00,21:56:20,21:57:00,21:27:45,21:29:00,21:30:00,,,,,,,,,21:46:50,21:45:12,21:47:48,21:50:00,21:51:01,21:45:58,,,,,21:33:01,21:37:53,21:34:00,,21:32:00,,,21:25:00,21:31:00
113069188236665601,,21:24:11,,21:25:00,,21:28:46,21:27:00,21:27:46,,,21:19:46,21:21:37,,21:12:00,,21:37:00,21:37:41,21:39:00,,21:40:00,21:41:20,21:42:00,21:12:45,21:14:00,21:15:00,,,,,,,,,21:31:50,21:30:12,21:32:48,21:35:00,21:36:01,21:30:58,,,,,21:18:01,21:22:53,21:19:00,,21:17:00,,,21:10:00,21:16:00
113069189236665601,,21:09:11,,21:10:00,,21:13:46,21:12:00,21:12:46,,,21:04:46,21:06:37,,20:57:00,,21:22:00,21:22:41,21:24:00,,21:25:00,21:26:20,21:27:00,20:57:45,20:59:00,21:00:00,,,,,,,,,21:16:50,21:15:12,21:17:48,21:20:00,21:21:01,21:15:58,,,,,21:03:01,21:07:53,21:04:00,,21:02:00,,,20:55:00,21:01:00
113069190236665601,,20:55:02,,20:56:00,,20:59:32,20:58:00,20:58:40,,,20:49:53,20:52:03,,20:42:00,,21:07:00,21:07:41,21:09:00,,21:10:00,21:11:20,21:12:00,20:42:45,20:44:00,20:45:00,,,,,,,,,21:02:14,21:00:48,21:03:05,21:05:00,21:06:01,21:01:28,,,,,20:48:01,20:53:31,20:49:00,,20:47:00,,,20:40:00,20:46:00
