trip_id,1597B,1598B,1754,2046,3513,3514,3515,3520,3522,3524,3526,3529,3530,3546,3547,3549,3550,3551,3552,3553,3556,3557,3558,4407,5407,6468,6469
113305808237413000,17:13:46,,,,17:07:00,17:10:00,17:12:02,17:16:00,,,,,,,,,,,,,,,,,,,
113305809237413000,07:38:15,,,07:47:00,07:32:00,07:35:00,07:36:46,,07:50:00,,07:47:56,07:49:09,,07:40:00,,07:44:30,07:43:00,07:41:37,,,,,,,,,07:45:27
113305810237413000,16:40:54,,,16:51:00,16:34:00,16:37:00,16:39:07,,16:55:00,,16:52:15,16:53:52,,16:43:00,,16:48:09,16:46:26,16:44:51,,,,,,,,,16:49:13
113305811237413000,,07:18:42,,,,,,,,,,,,,,,,,,,07:17:00,07:19:58,07:22:00,,07:26:00,,
113305812237413000,,09:23:42,09:14:00,,,,,,09:10:00,09:13:08,,,09:12:09,,09:20:42,,,,09:18:20,09:19:06,09:22:00,09:24:58,09:27:00,09:16:42,09:31:00,09:15:44,
113305813237413000,13:41:54,,,13:50:00,13:35:00,13:38:00,13:40:07,,13:54:00,,13:51:15,13:52:52,,13:44:00,,13:47:52,13:46:34,13:45:23,,,,,,,,,13:48:40
113305814237413000,,13:21:02,13:13:00,,,,,,13:09:00,13:12:08,,,13:11:09,,13:18:02,,,,13:16:15,13:16:50,13:19:00,13:22:34,13:25:00,13:15:01,13:29:00,13:14:18,
113305815237413000,,11:21:42,11:14:00,,,,,,11:10:00,11:13:08,,,11:12:09,,11:19:02,,,,11:17:15,11:17:50,11:20:00,11:22:58,11:25:00,11:16:01,11:29:00,11:15:18,
113305816237413000,,,21:58:00,,,,,,21:55:00,21:57:21,,,21:56:37,,,,,,,,,,,,,21:59:00,
113305817237413000,20:40:15,,,20:47:00,20:35:00,20:37:00,20:38:46,,20:50:00,,20:47:56,20:49:09,,20:42:00,,20:45:13,20:44:09,20:43:09,,,,,,,,,20:45:53
113305818237413000,,19:20:23,19:11:00,,,,,,19:07:00,19:10:08,,,19:09:09,,19:16:52,,,,19:14:48,19:15:28,19:18:00,19:22:10,19:25:00,19:13:22,19:28:00,19:12:31,
113305819237413000,18:42:54,,,18:52:00,18:36:00,18:39:00,18:41:07,,18:56:00,,18:53:15,18:54:52,,18:45:00,,18:49:30,18:48:00,18:46:37,,,,,,,,,18:50:27
113305820237413000,,15:49:02,,,,,,,,,,,,,,,,,,,15:47:00,15:50:34,15:53:00,,15:57:00,,
113305821237413000,,17:18:23,17:08:00,,,,,,17:03:00,17:06:55,,,17:05:42,,17:14:42,,,,17:12:20,17:13:06,17:16:00,17:20:10,17:23:00,17:10:42,17:27:00,17:09:44,
113305822237413000,08:43:54,,,08:52:00,08:36:00,08:40:00,08:42:07,,08:56:00,,08:53:15,08:54:52,,08:46:00,,08:49:52,08:48:34,08:47:23,,,,,,,,,08:50:40
113305823237413000,,08:22:42,08:11:00,,,,,,08:07:00,08:10:08,,,08:09:09,,08:19:22,,,,08:16:25,08:17:23,08:21:00,08:23:58,08:26:00,08:14:22,08:30:00,08:13:10,
113305824237413000,,21:19:21,21:13:00,,,,,,21:10:00,21:12:21,,,21:11:37,,21:17:11,,,,21:15:43,21:16:11,21:18:00,21:20:23,21:22:00,21:14:41,21:25:00,21:14:05,
113305825237413000,16:10:54,,,16:21:00,16:04:00,16:07:00,16:09:07,,16:25:00,,16:22:15,16:23:52,,16:13:00,,16:18:09,16:16:26,16:14:51,,,,,,,,,16:19:13
113305826237413000,,14:21:02,14:13:00,,,,,,14:09:00,14:12:08,,,14:11:09,,14:18:02,,,,14:16:15,14:16:50,14:19:00,14:22:34,14:25:00,14:15:01,14:29:00,14:14:18,
113305827237413000,,15:21:02,15:12:00,,,,,,15:08:00,15:11:08,,,15:10:09,,15:17:52,,,,15:15:48,15:16:28,15:19:00,15:22:34,15:25:00,15:14:22,15:29:00,15:13:31,
113305828237413000,,18:20:23,18:10:00,,,,,,18:05:00,18:08:55,,,18:07:42,,18:16:42,,,,18:14:20,18:15:06,18:18:00,18:22:10,18:25:00,18:12:42,18:29:00,18:11:44,
113305829237413000,21:41:36,,,21:47:00,21:37:00,21:39:00,21:40:25,,21:50:00,,21:47:56,21:49:09,,21:43:00,,21:45:35,21:44:43,21:43:56,,,,,,,,,21:46:07
113305830237413000,,20:21:42,20:14:00,,,,,,20:10:00,20:13:08,,,20:12:09,,20:19:02,,,,20:17:15,20:17:50,20:20:00,20:22:58,20:25:00,20:16:01,20:28:00,20:15:18,
113305831237413000,,10:21:42,10:14:00,,,,,,10:10:00,10:13:08,,,10:12:09,,10:19:02,,,,10:17:15,10:17:50,10:20:00,10:22:58,10:25:00,10:16:01,10:29:00,10:15:18,
113305832237413000,09:43:54,,,09:52:00,09:37:00,09:40:00,09:42:07,,09:56:00,,09:53:15,09:54:52,,09:46:00,,09:49:52,09:48:34,09:47:23,,,,,,,,,09:50:40
113305833237413000,12:41:54,,,12:50:00,12:35:00,12:38:00,12:40:07,,12:54:00,,12:51:15,12:52:52,,12:44:00,,12:47:52,12:46:34,12:45:23,,,,,,,,,12:48:40
113305834237413000,10:43:15,,,10:51:00,10:38:00,10:40:00,10:41:46,,10:55:00,,10:52:15,10:53:52,,10:45:00,,10:48:52,10:47:34,10:46:23,,,,,,,,,10:49:40
113305835237413000,17:40:54,,,17:51:00,17:34:00,17:37:00,17:39:07,,17:55:00,,17:52:15,17:53:52,,17:43:00,,17:48:09,17:46:26,17:44:51,,,,,,,,,17:49:13
113305836237413000,19:40:15,,,19:48:00,19:35:00,19:37:00,19:38:46,,19:51:00,,19:48:56,19:50:09,,19:42:00,,19:45:52,19:44:34,19:43:23,,,,,,,,,19:46:40
113305837237413000,14:41:54,,,14:50:00,14:35:00,14:38:00,14:40:07,,14:54:00,,14:51:15,14:52:52,,14:44:00,,14:47:52,14:46:34,14:45:23,,,,,,,,,14:48:40
113305838237413000,11:42:15,,,11:50:00,11:37:00,11:39:00,11:40:46,,11:54:00,,11:51:15,11:52:52,,11:44:00,,11:47:52,11:46:34,11:45:23,,,,,,,,,11:48:40
113305839237413000,,16:51:23,16:42:00,,,,,,16:37:00,16:40:55,,,16:39:42,,16:47:52,,,,16:45:48,16:46:28,16:49:00,16:53:10,16:56:00,16:44:22,17:00:00,16:43:31,
113305840237413000,,12:21:02,12:13:00,,,,,,12:09:00,12:12:08,,,12:11:09,,12:18:02,,,,12:16:15,12:16:50,12:19:00,12:22:34,12:25:00,12:15:01,12:29:00,12:14:18,
113305841237413000,,16:18:23,16:09:00,,,,,,16:04:00,16:07:55,,,16:06:42,,16:14:52,,,,16:12:48,16:13:28,16:16:00,16:20:10,16:23:00,16:11:22,16:27:00,16:10:31,
113305842237413000,15:41:54,,,15:52:00,15:35:00,15:38:00,15:40:07,,15:56:00,,15:53:15,15:54:52,,15:44:00,,15:49:09,15:47:26,15:45:51,,,,,,,,,15:50:13
113305865237415500,,20:20:21,20:13:00,,,,,,20:10:00,20:12:21,,,20:11:37,,20:18:02,,,,20:16:15,20:16:50,20:19:00,20:21:23,20:23:00,20:15:01,20:27:00,20:14:18,
113305866237415500,,15:20:42,15:12:00,,,,,,15:09:00,15:11:21,,,15:10:37,,15:17:52,,,,15:15:48,15:16:28,15:19:00,15:21:58,15:24:00,15:14:22,15:29:00,15:13:31,
113305867237415500,16:38:36,,,16:46:00,16:34:00,16:36:00,16:37:25,,16:51:00,,16:47:33,16:49:35,,16:40:00,,16:43:52,16:42:34,16:41:23,,,,,,,,,16:44:40
113305868237415500,21:41:36,,,21:47:00,21:37:00,21:39:00,21:40:25,,21:50:00,,21:47:56,21:49:09,,21:43:00,,21:45:35,21:44:43,21:43:56,,,,,,,,,21:46:07
113305869237415500,,,21:58:00,,,,,,21:55:00,21:57:21,,,21:56:37,,,,,,,,,,,,,21:59:00,
113305870237415500,,18:19:42,18:12:00,,,,,,18:09:00,18:11:21,,,18:10:37,,18:17:02,,,,18:15:15,18:15:50,18:18:00,18:20:58,18:23:00,18:14:01,18:29:00,18:13:18,
113305871237415500,,21:19:21,21:13:00,,,,,,21:10:00,21:12:21,,,21:11:37,,21:17:11,,,,21:15:43,21:16:11,21:18:00,21:20:23,21:22:00,21:14:41,21:25:00,21:14:05,
113305872237415500,,19:20:42,19:13:00,,,,,,19:10:00,19:12:21,,,19:11:37,,19:18:02,,,,19:16:15,19:16:50,19:19:00,19:21:58,19:24:00,19:15:01,19:29:00,19:14:18,
113305873237415500,15:39:36,,,15:47:00,15:35:00,15:37:00,15:38:25,,15:51:00,,15:48:15,15:49:52,,15:41:00,,15:44:52,15:43:34,15:42:23,,,,,,,,,15:45:40
113305874237415500,20:40:36,,,20:47:00,20:36:00,20:38:00,20:39:25,,20:50:00,,20:47:56,20:49:09,,20:42:00,,20:45:13,20:44:09,20:43:09,,,,,,,,,20:45:53
113305875237415500,14:38:36,,,14:46:00,14:34:00,14:36:00,14:37:25,,14:50:00,,14:47:15,14:48:52,,14:40:00,,14:43:52,14:42:34,14:41:23,,,,,,,,,14:44:40
113305876237415500,,16:19:42,16:11:00,,,,,,16:08:00,16:10:21,,,16:09:37,,16:16:52,,,,16:14:48,16:15:28,16:18:00,16:20:58,16:23:00,16:13:22,16:28:00,16:12:31,
113305877237415500,,17:18:42,17:11:00,,,,,,17:08:00,17:10:21,,,17:09:37,,17:16:02,,,,17:14:15,17:14:50,17:17:00,17:19:58,17:22:00,17:13:01,17:28:00,17:12:18,
113305878237415500,18:39:36,,,18:47:00,18:35:00,18:37:00,18:38:25,,18:50:00,,18:47:56,18:49:09,,18:41:00,,18:44:52,18:43:34,18:42:23,,,,,,,,,18:45:40
113305879237415500,19:40:36,,,19:47:00,19:36:00,19:38:00,19:39:25,,19:50:00,,19:47:56,19:49:09,,19:42:00,,19:45:13,19:44:09,19:43:09,,,,,,,,,19:45:53
113305880237415500,13:39:36,,,13:46:00,13:35:00,13:37:00,13:38:25,,13:50:00,,13:47:15,13:48:52,,13:41:00,,13:44:13,13:43:09,13:42:09,,,,,,,,,13:44:53
113305881237415500,17:38:36,,,17:46:00,17:34:00,17:36:00,17:37:25,,17:51:00,,17:47:33,17:49:35,,17:40:00,,17:43:52,17:42:34,17:41:23,,,,,,,,,17:44:40
113305882237415500,12:39:36,,,12:46:00,12:35:00,12:37:00,12:38:25,,12:50:00,,12:47:15,12:48:52,,12:41:00,,12:44:13,12:43:09,12:42:09,,,,,,,,,12:44:53
113305883237415500,,14:19:42,14:12:00,,,,,,14:09:00,14:11:21,,,14:10:37,,14:17:02,,,,14:15:15,14:15:50,14:18:00,14:20:58,14:23:00,14:14:01,14:28:00,14:13:18,
113305884237415500,09:39:36,,,09:46:00,09:35:00,09:37:00,09:38:25,,09:50:00,,09:47:15,09:48:52,,09:41:00,,09:44:13,09:43:09,09:42:09,,,,,,,,,09:44:53
113305885237415500,07:41:36,,,07:47:00,07:37:00,07:39:00,07:40:25,,07:50:00,,07:47:56,07:49:09,,07:43:00,,07:45:35,07:44:43,07:43:56,,,,,,,,,07:46:07
113305886237415500,10:39:36,,,10:46:00,10:35:00,10:37:00,10:38:25,,10:50:00,,10:47:15,10:48:52,,10:41:00,,10:44:13,10:43:09,10:42:09,,,,,,,,,10:44:53
113305887237415500,08:39:36,,,08:46:00,08:35:00,08:37:00,08:38:25,,08:50:00,,08:47:15,08:48:52,,08:41:00,,08:44:13,08:43:09,08:42:09,,,,,,,,,08:44:53
113305888237415500,,09:21:21,09:13:00,,,,,,09:10:00,09:12:21,,,09:11:37,,09:18:52,,,,09:16:48,09:17:28,09:20:00,09:22:23,09:24:00,09:15:22,09:29:00,09:14:31,
113305889237415500,,11:20:21,11:13:00,,,,,,11:10:00,11:12:21,,,11:11:37,,11:18:02,,,,11:16:15,11:16:50,11:19:00,11:21:23,11:23:00,11:15:01,11:28:00,11:14:18,
113305890237415500,11:39:36,,,11:46:00,11:35:00,11:37:00,11:38:25,,11:50:00,,11:47:15,11:48:52,,11:41:00,,11:44:13,11:43:09,11:42:09,,,,,,,,,11:44:53
113305891237415500,,07:23:21,,,,,,,,,,,,,,,,,,,07:22:00,07:24:23,07:26:00,,07:31:00,,
113305892237415500,,10:20:21,10:13:00,,,,,,10:10:00,10:12:21,,,10:11:37,,10:18:02,,,,10:16:15,10:16:50,10:19:00,10:21:23,10:23:00,10:15:01,10:28:00,10:14:18,
113305893237415500,,12:20:42,12:13:00,,,,,,12:10:00,12:12:21,,,12:11:37,,12:18:02,,,,12:16:15,12:16:50,12:19:00,12:21:58,12:24:00,12:15:01,12:29:00,12:14:18,
113305894237415500,,13:20:42,13:13:00,,,,,,13:10:00,13:12:21,,,13:11:37,,13:18:02,,,,13:16:15,13:16:50,13:19:00,13:21:58,13:24:00,13:15:01,13:29:00,13:14:18,
113305895237415500,,08:21:21,08:13:00,,,,,,08:10:00,08:12:21,,,08:11:37,,08:18:52,,,,08:16:48,08:17:28,08:20:00,08:22:23,08:24:00,08:15:22,08:29:00,08:14:31,
113305914237417600,,19:19:21,19:13:00,,,,,,19:10:00,19:12:21,,,19:11:37,,19:17:11,,,,19:15:43,19:16:11,19:18:00,19:20:23,19:22:00,19:14:41,19:26:00,19:14:05,
113305915237417600,,08:19:21,08:13:00,,,,,,08:10:00,08:12:21,,,08:11:37,,08:17:11,,,,08:15:43,08:16:11,08:18:00,08:20:23,08:22:00,08:14:41,08:26:00,08:14:05,
113305916237417600,14:40:36,,,14:47:00,14:36:00,14:38:00,14:39:25,,14:50:00,,14:47:56,14:49:09,,14:42:00,,14:45:13,14:44:09,14:43:09,,,,,,,,,14:45:53
113305917237417600,,11:19:21,11:13:00,,,,,,11:10:00,11:12:21,,,11:11:37,,11:17:11,,,,11:15:43,11:16:11,11:18:00,11:20:23,11:22:00,11:14:41,11:26:00,11:14:05,
113305918237417600,18:40:36,,,18:47:00,18:36:00,18:38:00,18:39:25,,18:50:00,,18:47:56,18:49:09,,18:42:00,,18:45:13,18:44:09,18:43:09,,,,,,,,,18:45:53
113305919237417600,16:40:36,,,16:47:00,16:36:00,16:38:00,16:39:25,,16:50:00,,16:47:56,16:49:09,,16:42:00,,16:45:13,16:44:09,16:43:09,,,,,,,,,16:45:53
113305920237417600,20:41:36,,,20:47:00,20:37:00,20:39:00,20:40:25,,20:50:00,,20:47:56,20:49:09,,20:43:00,,20:45:35,20:44:43,20:43:56,,,,,,,,,20:46:07
113305921237417600,,09:19:21,09:13:00,,,,,,09:10:00,09:12:21,,,09:11:37,,09:17:11,,,,09:15:43,09:16:11,09:18:00,09:20:23,09:22:00,09:14:41,09:26:00,09:14:05,
113305922237417600,,18:19:21,18:13:00,,,,,,18:10:00,18:12:21,,,18:11:37,,18:17:11,,,,18:15:43,18:16:11,18:18:00,18:20:23,18:22:00,18:14:41,18:26:00,18:14:05,
113305923237417600,,17:19:21,17:13:00,,,,,,17:10:00,17:12:21,,,17:11:37,,17:17:11,,,,17:15:43,17:16:11,17:18:00,17:20:23,17:22:00,17:14:41,17:26:00,17:14:05,
113305924237417600,17:40:36,,,17:47:00,17:36:00,17:38:00,17:39:25,,17:50:00,,17:47:56,17:49:09,,17:42:00,,17:45:13,17:44:09,17:43:09,,,,,,,,,17:45:53
113305925237417600,,12:19:21,12:13:00,,,,,,12:10:00,12:12:21,,,12:11:37,,12:17:11,,,,12:15:43,12:16:11,12:18:00,12:20:23,12:22:00,12:14:41,12:26:00,12:14:05,
113305926237417600,11:39:36,,,11:46:00,11:35:00,11:37:00,11:38:25,,11:50:00,,11:47:15,11:48:52,,11:41:00,,11:44:13,11:43:09,11:42:09,,,,,,,,,11:44:53
113305927237417600,,07:24:21,,,,,,,,,,,,,,,,,,,07:23:00,07:25:23,07:27:00,,07:31:00,,
113305928237417600,,15:19:21,15:13:00,,,,,,15:10:00,15:12:21,,,15:11:37,,15:17:11,,,,15:15:43,15:16:11,15:18:00,15:20:23,15:22:00,15:14:41,15:26:00,15:14:05,
113305929237417600,,21:19:21,21:13:00,,,,,,21:10:00,21:12:21,,,21:11:37,,21:17:11,,,,21:15:43,21:16:11,21:18:00,21:20:23,21:22:00,21:14:41,21:25:00,21:14:05,
113305930237417600,,16:19:21,16:13:00,,,,,,16:10:00,16:12:21,,,16:11:37,,16:17:11,,,,16:15:43,16:16:11,16:18:00,16:20:23,16:22:00,16:14:41,16:26:00,16:14:05,
113305931237417600,10:41:36,,,10:47:00,10:37:00,10:39:00,10:40:25,,10:50:00,,10:47:56,10:49:09,,10:43:00,,10:45:35,10:44:43,10:43:56,,,,,,,,,10:46:07
113305932237417600,,13:19:21,13:13:00,,,,,,13:10:00,13:12:21,,,13:11:37,,13:17:11,,,,13:15:43,13:16:11,13:18:00,13:20:23,13:22:00,13:14:41,13:26:00,13:14:05,
113305933237417600,19:40:36,,,19:47:00,19:36:00,19:38:00,19:39:25,,19:50:00,,19:47:56,19:49:09,,19:42:00,,19:45:13,19:44:09,19:43:09,,,,,,,,,19:45:53
113305934237417600,,20:19:21,20:13:00,,,,,,20:10:00,20:12:21,,,20:11:37,,20:17:11,,,,20:15:43,20:16:11,20:18:00,20:20:23,20:22:00,20:14:41,20:26:00,20:14:05,
113305935237417600,,10:19:21,10:13:00,,,,,,10:10:00,10:12:21,,,10:11:37,,10:17:11,,,,10:15:43,10:16:11,10:18:00,10:20:23,10:22:00,10:14:41,10:26:00,10:14:05,
113305936237417600,15:40:36,,,15:47:00,15:36:00,15:38:00,15:39:25,,15:50:00,,15:47:56,15:49:09,,15:42:00,,15:45:13,15:44:09,15:43:09,,,,,,,,,15:45:53
113305937237417600,08:41:36,,,08:47:00,08:37:00,08:39:00,08:40:25,,08:50:00,,08:47:56,08:49:09,,08:43:00,,08:45:35,08:44:43,08:43:56,,,,,,,,,08:46:07
113305938237417600,07:41:36,,,07:47:00,07:37:00,07:39:00,07:40:25,,07:50:00,,07:47:56,07:49:09,,07:43:00,,07:45:35,07:44:43,07:43:56,,,,,,,,,07:46:07
113305939237417600,21:41:36,,,21:47:00,21:37:00,21:39:00,21:40:25,,21:50:00,,21:47:56,21:49:09,,21:43:00,,21:45:35,21:44:43,21:43:56,,,,,,,,,21:46:07
113305940237417600,09:41:36,,,09:47:00,09:37:00,09:39:00,09:40:25,,09:50:00,,09:47:56,09:49:09,,09:43:00,,09:45:35,09:44:43,09:43:56,,,,,,,,,09:46:07
113305941237417600,,14:19:21,14:13:00,,,,,,14:10:00,14:12:21,,,14:11:37,,14:17:11,,,,14:15:43,14:16:11,14:18:00,14:20:23,14:22:00,14:14:41,14:26:00,14:14:05,
113305942237417600,,,21:58:00,,,,,,21:55:00,21:57:21,,,21:56:37,,,,,,,,,,,,,21:59:00,
113305943237417600,12:39:36,,,12:46:00,12:35:00,12:37:00,12:38:25,,12:50:00,,12:47:15,12:48:52,,12:41:00,,12:44:13,12:43:09,12:42:09,,,,,,,,,12:44:53
113305944237417600,13:40:36,,,13:47:00,13:36:00,13:38:00,13:39:25,,13:50:00,,13:47:56,13:49:09,,13:42:00,,13:45:13,13:44:09,13:43:09,,,,,,,,,13:45:53
