trip_id,1951,1984B,1985B,2382,2384,2610,2660,3810,3814,3815,3851,5058,5916,5917,5920C,5921B,5922,5923,5952,5953,5963,5964,9649B,9686B
113349479237570001,10:11:00,10:13:00,,10:33:00,,10:19:57,,,,10:26:46,10:27:32,,,,10:18:00,,10:19:23,,10:15:43,10:17:07,,10:24:52,,10:22:04
113349482237570001,13:43:00,,13:40:00,,13:20:00,,13:32:56,13:25:59,13:26:53,,,13:42:28,13:35:55,13:37:22,,13:35:00,,13:34:11,,,13:28:39,,13:31:12,
113349483237570001,12:48:00,12:50:00,,13:09:00,,12:56:49,,,,13:03:11,13:03:54,,,,12:55:00,,12:56:18,,12:52:43,12:54:07,,13:01:24,,12:58:48
113349484237570001,11:02:00,,10:59:00,,10:40:00,,10:52:04,10:45:36,10:46:26,,,11:01:28,10:54:55,10:56:22,,10:54:00,,10:53:14,,,10:48:05,,10:50:28,
113349485237570001,11:27:00,11:29:00,,11:48:00,,11:35:49,,,,11:42:11,11:42:54,,,,11:34:00,,11:35:18,,11:31:43,11:33:07,,11:40:24,,11:37:48
113349486237570001,12:22:00,,12:19:00,,12:00:00,,12:12:04,12:05:36,12:06:26,,,12:21:28,12:14:55,12:16:22,,12:14:00,,12:13:14,,,12:08:05,,12:10:28,
113349487237570001,14:09:00,14:11:00,,14:30:00,,14:17:49,,,,14:24:11,14:24:54,,,,14:16:00,,14:17:18,,14:13:43,14:15:07,,14:22:24,,14:19:48
113349490237570001,16:02:00,,15:59:00,,15:39:00,,15:51:56,15:44:59,15:45:53,,,16:01:28,15:54:55,15:56:22,,15:54:00,,15:53:11,,,15:47:39,,15:50:12,
113349491237570001,16:23:00,16:25:00,,16:47:00,,16:32:12,,,,16:39:56,16:40:48,,,,16:30:00,,16:31:34,,16:27:43,16:29:07,,16:37:47,,16:34:37
113349494237570001,13:25:00,,13:22:00,,13:02:00,,13:14:56,13:07:59,13:08:53,,,13:24:28,13:17:55,13:19:22,,13:17:00,,13:16:11,,,13:10:39,,13:13:12,
