trip_id,1018,1204,1260,1478,1479,1480,1482,1483,1484,1486B,1487,1489,1490,1492,1493,1495,1498,1541B,2319,2375,2382,2383,2648,5296B,5297B,6856B
113349480237570001,08:57:00,,08:52:37,08:39:47,08:41:28,08:44:00,08:51:00,08:54:01,08:55:37,08:58:00,,,,,,08:47:04,08:42:24,,08:50:00,,,08:38:00,,,08:45:00,08:48:10
113349481237570001,,09:01:39,,,,,,,,08:57:00,08:58:16,09:03:02,09:06:41,09:09:56,09:12:04,,,09:13:00,,09:04:00,09:15:00,,09:01:04,09:09:00,,
113349488237570001,15:01:00,,14:56:00,14:42:47,14:44:28,14:47:00,14:54:08,14:57:35,14:59:26,15:02:00,,,,,,14:50:04,14:45:24,,14:53:00,,,14:41:00,,,14:48:00,14:51:10
113349489237570001,,15:11:39,,,,,,,,15:07:00,15:08:16,15:13:02,15:16:41,15:20:10,15:22:50,,,15:24:00,,15:14:00,15:26:00,,15:11:04,15:19:00,,
113349492237570001,,17:40:39,,,,,,,,17:36:00,17:37:16,17:42:02,17:45:09,17:48:10,17:50:50,,,17:52:00,,17:43:00,17:54:00,,17:40:04,17:47:00,,
113349493237570001,,16:04:39,,,,,,,,16:00:00,16:01:16,16:06:02,16:09:41,16:13:10,16:15:50,,,16:17:00,,16:07:00,16:19:00,,16:04:04,16:12:00,,
113349496237570001,15:56:00,,15:51:00,15:37:47,15:39:28,15:42:00,15:49:08,15:52:35,15:54:26,15:57:00,,,,,,15:45:04,15:40:24,,15:48:00,,,15:36:00,,,15:43:00,15:46:10
113349497237570001,,16:52:39,,,,,,,,16:48:00,16:49:16,16:54:02,16:57:41,17:01:10,17:03:50,,,17:05:00,,16:55:00,17:07:00,,16:52:04,17:00:00,,
113349502237570001,16:47:00,,16:42:00,16:28:03,16:29:57,16:32:51,16:40:08,16:43:35,16:45:26,16:48:00,,,,,,16:36:04,16:31:02,,16:39:00,,,16:26:00,,,16:34:00,16:37:10
113349503237570001,17:36:00,,17:31:00,17:17:03,17:18:57,17:21:51,17:29:08,17:32:35,17:34:26,17:37:00,,,,,,17:25:04,17:20:02,,17:28:00,,,17:15:00,,,17:23:00,17:26:10
113349504237570001,18:20:00,,18:15:00,18:03:32,18:04:58,18:07:09,18:13:08,18:16:35,18:18:26,18:21:00,,,,,,18:09:39,18:05:46,,18:12:00,,,18:02:00,,,18:08:00,18:10:32
113349505237570001,,18:28:39,,,,,,,,18:24:00,18:25:16,18:30:02,18:33:09,18:35:56,18:38:04,,,18:39:00,,18:31:00,18:41:00,,18:28:04,18:35:00,,
113349506237570001,20:06:00,,20:02:15,19:51:32,19:52:58,19:55:09,20:00:51,20:03:26,20:04:49,20:07:00,,,,,,19:57:39,19:53:46,,20:00:00,,,19:50:00,,,19:56:00,19:58:32
113349507237570001,22:58:00,,22:54:15,22:45:17,22:46:28,22:48:17,22:52:51,22:55:26,22:56:49,22:59:00,,,,,,22:50:14,22:47:08,,22:52:00,,,22:44:00,,,22:49:00,22:50:54
113349508237570001,20:58:00,,20:54:15,20:44:17,20:45:28,20:47:17,20:52:51,20:55:26,20:56:49,20:59:00,,,,,,20:49:39,20:46:08,,20:52:00,,,20:43:00,,,20:48:00,20:50:32
113349509237570001,21:39:00,,21:35:15,21:26:17,21:27:28,21:29:17,21:33:51,21:36:26,21:37:49,21:40:00,,,,,,21:31:14,21:28:08,,21:33:00,,,21:25:00,,,21:30:00,21:31:54
113349510237570001,,21:48:59,,,,,,,,21:45:00,21:46:05,21:50:10,21:52:37,21:54:42,21:56:18,,,21:57:00,,21:51:00,21:59:00,,21:48:29,21:54:00,,
113349511237570001,,22:27:59,,,,,,,,22:24:00,22:25:05,22:29:10,22:31:37,22:33:42,22:35:18,,,22:36:00,,22:30:00,22:38:00,,22:27:29,22:33:00,,
113349512237570001,,21:08:59,,,,,,,,21:05:00,21:06:05,21:10:10,21:12:37,21:14:42,21:16:18,,,21:17:00,,21:11:00,21:19:00,,21:08:29,21:14:00,,
113349513237570001,,19:32:39,,,,,,,,19:28:00,19:29:16,19:34:02,19:37:09,19:39:56,19:42:04,,,19:43:00,,19:35:00,19:45:00,,19:32:04,19:39:00,,
113349514237570001,,20:25:39,,,,,,,,20:21:00,20:22:16,20:27:02,20:29:37,20:31:42,20:33:18,,,20:34:00,,20:28:00,20:36:00,,20:25:04,20:31:00,,
113349515237570001,22:18:00,,22:14:15,22:05:17,22:06:28,22:08:17,22:12:51,22:15:26,22:16:49,22:19:00,,,,,,22:10:14,22:07:08,,22:12:00,,,22:04:00,,,22:09:00,22:10:54
113349516237570001,08:20:00,,08:15:37,08:02:47,08:04:28,08:07:00,08:14:00,08:17:01,08:18:37,08:21:00,,,,,,08:10:04,08:05:24,,08:13:00,,,08:01:00,,,08:08:00,08:11:10
113349517237570001,18:55:00,,18:50:00,18:38:32,18:39:58,18:42:09,18:48:08,18:51:35,18:53:26,18:56:00,,,,,,18:44:39,18:40:46,,18:47:00,,,18:37:00,,,18:43:00,18:45:32
113349518237570001,,08:25:19,,,,,,,,08:20:00,08:21:27,08:26:53,08:30:41,08:34:10,08:36:50,,,08:38:00,,08:28:00,08:40:00,,08:24:39,08:33:00,,
113349520237570001,23:38:00,,23:34:15,23:25:17,23:26:28,23:28:17,23:32:51,23:35:26,23:36:49,23:39:00,,,,,,23:30:14,23:27:08,,23:32:00,,,23:24:00,,,23:29:00,23:30:54
113349521237570001,,15:25:39,,,,,,,,15:21:00,15:22:16,15:27:02,15:30:41,15:34:10,15:36:50,,,15:38:00,,15:28:00,15:40:00,,15:25:04,15:33:00,,
113349522237570001,,07:30:39,,,,,,,,07:26:00,07:27:16,07:32:02,07:35:41,07:38:56,07:41:04,,,07:42:00,,07:33:00,07:44:00,,07:30:04,07:38:00,,
113349526237570001,09:09:00,,09:04:37,08:51:47,08:53:28,08:56:00,09:03:00,09:06:01,09:07:37,09:10:00,,,,,,08:59:04,08:54:24,,09:02:00,,,08:50:00,,,08:57:00,09:00:10
113349527237570001,,23:08:19,,,,,,,,23:05:00,23:05:55,23:09:18,23:11:37,23:13:42,23:15:18,,,23:16:00,,23:10:00,23:18:00,,23:07:54,23:13:00,,
113349528237570001,,06:45:59,,,,,,,,06:42:00,06:43:05,06:47:10,06:50:09,06:52:56,06:55:04,,,06:56:00,,06:48:00,06:58:00,,06:45:29,06:52:00,,
113349529237570001,06:28:00,,06:24:15,06:15:17,06:16:28,06:18:17,06:22:51,06:25:26,06:26:49,06:29:00,,,,,,06:20:14,06:17:08,,06:22:00,,,06:14:00,,,06:19:00,06:20:54
113349530237570001,07:17:00,,07:12:37,07:01:32,07:02:58,07:05:09,07:11:00,07:14:01,07:15:37,07:18:00,,,,,,07:07:39,07:03:46,,07:10:00,,,07:00:00,,,07:06:00,07:08:32
113349531237570001,,09:14:39,,,,,,,,09:10:00,09:11:16,09:16:02,09:19:41,09:22:56,09:25:04,,,09:26:00,,09:17:00,09:28:00,,09:14:04,09:22:00,,
113349536237570001,15:17:00,,15:12:00,14:58:47,15:00:28,15:03:00,15:10:08,15:13:35,15:15:26,15:18:00,,,,,,15:06:04,15:01:24,,15:09:00,,,14:57:00,,,15:04:00,15:07:10
113349537237570001,19:37:00,,19:32:37,19:21:32,19:22:58,19:25:09,19:31:00,19:34:01,19:35:37,19:38:00,,,,,,19:27:39,19:23:46,,19:30:00,,,19:20:00,,,19:26:00,19:28:32
