trip_id,1585,1586,1587,1601,1602,1605,1614B,1615,1617,1620B,1627,1629,1631,1638B,1639,1640B,1656B,1657,1659,1660B,1668,1669,1673,2424,2425,2911,2913,9164
113302025237399000,,,,,,,,,,,,05:56:00,05:57:06,06:07:00,,,05:58:02,05:59:26,06:01:52,06:02:24,05:58:36,06:00:33,06:05:17,,06:04:00,,,
113302026237399000,,,,,,,,,,,,06:21:00,06:22:14,06:34:00,,,06:23:18,06:24:52,06:27:36,06:28:12,06:23:56,06:26:07,06:31:43,,06:30:00,,,
113302027237399000,,,,,,,,,,,,06:43:00,06:44:30,06:58:00,,,06:45:48,06:47:43,06:51:04,06:51:48,06:46:35,06:49:16,06:55:43,,06:54:00,,,
113302028237399000,,,,,,,,,,,,06:58:00,06:59:30,07:13:00,,,07:00:48,07:02:43,07:06:04,07:06:48,07:01:35,07:04:16,07:10:43,,07:09:00,,,
113302030237399000,,,,,,,,,,,,07:13:00,07:14:30,07:28:00,,,07:15:48,07:17:43,07:21:04,07:21:48,07:16:35,07:19:16,07:25:43,,07:24:00,,,
113302032237399000,,,,07:24:08,07:31:07,07:28:54,07:26:43,07:27:38,07:30:06,07:32:13,07:33:14,07:35:00,,07:23:00,,,,,,,,,,07:25:00,,,,07:34:13
113302033237399000,,,,,,,,,,,,07:28:00,07:29:30,07:43:00,,,07:30:48,07:32:43,07:36:04,07:36:48,07:31:35,07:34:16,07:40:43,,07:39:00,,,
113302037237399000,,,,07:38:42,07:46:07,07:43:54,07:41:43,07:42:38,07:45:06,07:47:13,07:48:14,07:50:00,,07:37:00,,,,,,,,,,07:40:00,,,,07:49:13
113302038237399000,,,,,,,,,,,,07:42:00,07:43:30,07:57:00,,,07:44:48,07:46:43,07:50:04,07:50:48,07:45:35,07:48:16,07:54:43,,07:53:00,,,
113302041237399000,,,,07:52:42,08:00:07,07:57:54,07:55:43,07:56:38,07:59:06,08:01:13,08:02:14,08:04:00,,07:51:00,,,,,,,,,,07:54:00,,,,08:03:13
113302042237399000,,,,,,,,,,,,07:55:00,07:56:30,08:11:00,,,07:57:48,07:59:43,08:03:04,08:03:48,07:58:35,08:01:16,08:08:08,,08:06:00,,,
113302045237399000,,,,08:05:42,08:13:07,08:10:54,08:08:43,08:09:38,08:12:06,08:14:13,08:15:14,08:17:00,,08:04:00,,,,,,,,,,08:07:00,,,,08:16:13
113302046237399000,,,,,,,,,,,,08:09:00,08:10:30,08:25:00,,,08:11:48,08:13:43,08:17:04,08:17:48,08:12:35,08:15:16,08:22:08,,08:20:00,,,
113302049237399000,,,,08:18:42,08:26:07,08:23:54,08:21:43,08:22:38,08:25:06,08:27:13,08:28:14,08:30:00,,08:17:00,,,,,,,,,,08:20:00,,,,08:29:13
113302050237399000,,,,,,,,,,,,08:24:00,08:25:30,08:38:00,,,08:26:48,08:28:43,08:32:04,08:32:48,08:27:35,08:30:16,08:36:17,,08:35:00,,,
113302052237399000,,,,08:31:42,08:39:07,08:36:54,08:34:43,08:35:38,08:38:06,08:40:13,08:41:14,08:43:00,,08:30:00,,,,,,,,,,08:33:00,,,,08:42:13
113302053237399000,,,,,,,,,,,,08:35:00,08:36:47,08:51:00,,,08:38:19,08:40:35,08:44:32,08:45:24,08:39:14,08:42:24,08:49:17,,08:48:00,,,
113302056237399000,,,,08:45:42,08:53:07,08:50:54,08:48:43,08:49:38,08:52:06,08:54:13,08:55:14,08:57:00,,08:44:00,,,,,,,,,,08:47:00,,,,08:56:13
113302057237399000,,,,,,,,,,,,08:48:00,08:49:47,09:04:00,,,08:51:19,08:53:35,08:57:32,08:58:24,08:52:14,08:55:24,09:02:17,,09:01:00,,,
113302058237399000,,,,08:59:42,09:07:07,09:04:54,09:02:43,09:03:38,09:06:06,09:08:13,09:09:14,09:11:00,,08:58:00,,,,,,,,,,09:01:00,,,,09:10:13
113302059237399000,,,,09:13:08,09:20:07,09:17:54,09:15:43,09:16:38,09:19:06,09:21:13,09:22:14,09:24:00,,09:12:00,,,,,,,,,,09:14:00,,,,09:23:13
113302060237399000,,,,,,,,,,,,09:03:00,09:04:30,09:17:00,,,09:05:48,09:07:43,09:11:04,09:11:48,09:06:35,09:09:16,09:15:17,,09:14:00,,,
