trip_id,1375,1377,1380,1381,1387,1601,1616,1625,1635,1638B,1659,1660B,1673,2424,2425,7501,9169,9561
113302029237399000,,,,07:09:31,07:10:44,,,,07:12:30,07:21:00,07:14:09,07:14:51,07:18:43,,07:17:00,07:07:00,,07:08:42
113302031237399000,07:22:30,07:23:16,07:24:05,,,07:18:08,07:20:59,07:21:27,,07:17:00,,,,07:19:00,,07:26:00,07:24:46,
113302034237399000,,,,07:24:31,07:25:44,,,,07:27:30,07:36:00,07:29:09,07:29:51,07:33:43,,07:32:00,07:22:00,,07:23:42
113302035237399000,07:36:30,07:37:16,07:38:05,,,07:31:42,07:34:59,07:35:27,,07:30:00,,,,07:33:00,,07:40:00,07:38:46,
113302036237399000,,,,07:37:01,07:38:28,,,,07:40:36,07:50:00,07:42:35,07:43:26,07:47:43,,07:46:00,07:34:00,,07:36:02
113302039237399000,07:50:30,07:51:16,07:52:05,,,07:45:42,07:48:59,07:49:27,,07:44:00,,,,07:47:00,,07:54:00,07:52:46,
113302040237399000,,,,07:50:01,07:51:28,,,,07:53:36,08:04:00,07:55:35,07:56:26,08:01:08,,07:59:00,07:47:00,,07:49:02
113302043237399000,08:04:30,08:05:16,08:06:05,,,07:59:42,08:02:59,08:03:27,,07:58:00,,,,08:01:00,,08:08:00,08:06:46,
113302044237399000,,,,08:04:46,08:06:06,,,,08:08:03,08:18:00,08:09:52,08:10:39,08:15:08,,08:13:00,08:02:00,,08:03:52
113302047237399000,08:17:30,08:18:16,08:19:05,,,08:12:42,08:15:59,08:16:27,,08:11:00,,,,08:14:00,,08:21:00,08:19:46,
113302048237399000,,,,08:18:46,08:20:06,,,,08:22:03,08:32:00,08:23:52,08:24:39,08:29:08,,08:27:00,08:16:00,,08:17:52
113302051237399000,08:30:30,08:31:16,08:32:05,,,08:25:42,08:28:59,08:29:27,,08:24:00,,,,08:27:00,,08:34:00,08:32:46,
113302054237399000,,,,08:33:31,08:34:44,,,,08:36:30,08:44:00,08:38:09,08:38:51,08:42:17,,08:41:00,08:31:00,,08:32:42
113302055237399000,08:43:30,08:44:16,08:45:05,,,08:38:42,08:41:59,08:42:27,,08:37:00,,,,08:40:00,,08:47:00,08:45:46,
113302098237399000,14:09:30,14:10:16,14:11:05,,,14:04:42,14:07:59,14:08:27,,14:03:00,,,,14:06:00,,14:13:00,14:11:46,
113302103237399000,14:24:30,14:25:16,14:26:05,,,14:19:42,14:22:59,14:23:27,,14:18:00,,,,14:21:00,,14:28:00,14:26:46,
113302104237399000,,,,14:25:31,14:26:44,,,,14:28:30,14:36:00,14:30:09,14:30:51,14:34:17,,14:33:00,14:23:00,,14:24:42
113302109237399000,14:39:30,14:40:16,14:41:05,,,14:34:42,14:37:59,14:38:27,,14:33:00,,,,14:36:00,,14:43:00,14:41:46,
113302110237399000,14:55:30,14:56:16,14:57:05,,,14:50:42,14:53:59,14:54:27,,14:49:00,,,,14:52:00,,14:59:00,14:57:46,
113302111237399000,15:11:30,15:12:16,15:13:05,,,15:06:15,15:09:59,15:10:27,,15:04:00,,,,15:08:00,,15:15:00,15:13:46,
113302112237399000,,,,14:40:31,14:41:44,,,,14:43:30,14:51:00,14:45:09,14:45:51,14:49:17,,14:48:00,14:38:00,,14:39:42
113302113237399000,,,,14:55:31,14:56:44,,,,14:58:30,15:06:00,15:00:09,15:00:51,15:04:17,,15:03:00,14:53:00,,14:54:42
113302118237399000,15:26:30,15:27:16,15:28:05,,,15:21:15,15:24:59,15:25:27,,15:19:00,,,,15:23:00,,15:30:00,15:28:46,
113302119237399000,15:42:00,15:42:52,15:43:49,,,15:36:15,15:40:16,15:40:48,,15:34:00,,,,15:38:00,,15:46:00,15:44:35,
113302120237399000,,,,15:10:31,15:11:44,,,,15:13:30,15:21:00,15:15:09,15:15:51,15:19:17,,15:18:00,15:08:00,,15:09:42
113302121237399000,,,,15:26:31,15:27:44,,,,15:29:30,15:37:00,15:31:09,15:31:51,15:35:17,,15:34:00,15:24:00,,15:25:42
113302122237399000,,,,15:41:31,15:42:44,,,,15:44:30,15:52:00,15:46:09,15:46:51,15:50:17,,15:49:00,15:39:00,,15:40:42
113302131237399000,15:57:00,15:57:52,15:58:49,,,15:51:15,15:55:16,15:55:48,,15:49:00,,,,15:53:00,,16:01:00,15:59:35,
113302132237399000,16:12:00,16:12:52,16:13:49,,,16:06:15,16:10:16,16:10:48,,16:04:00,,,,16:08:00,,16:16:00,16:14:35,
113302133237399000,16:24:00,16:24:52,16:25:49,,,16:18:15,16:22:16,16:22:48,,16:16:00,,,,16:20:00,,16:28:00,16:26:35,
113302134237399000,,,,15:56:31,15:57:44,,,,15:59:30,16:07:00,16:01:09,16:01:51,16:05:17,,16:04:00,15:54:00,,15:55:42
113302135237399000,,,,16:11:31,16:12:44,,,,16:14:30,16:22:00,16:16:09,16:16:51,16:20:17,,16:19:00,16:09:00,,16:10:42
113302136237399000,,,,16:24:31,16:25:44,,,,16:27:30,16:35:00,16:29:09,16:29:51,16:33:17,,16:32:00,16:22:00,,16:23:42
113302143237399000,16:36:30,16:37:29,16:38:32,,,16:30:15,16:34:33,16:35:09,,16:28:00,,,,16:32:00,,16:41:00,16:39:25,
113302144237399000,16:48:30,16:49:29,16:50:32,,,16:42:15,16:46:33,16:47:09,,16:40:00,,,,16:44:00,,16:53:00,16:51:25,
113302145237399000,17:00:30,17:01:29,17:02:32,,,16:54:15,16:58:33,16:59:09,,16:52:00,,,,16:56:00,,17:05:00,17:03:25,
113302146237399000,17:12:30,17:13:29,17:14:32,,,17:06:15,17:10:33,17:11:09,,17:04:00,,,,17:08:00,,17:17:00,17:15:25,
113302147237399000,,,,16:36:31,16:37:44,,,,16:39:30,16:47:00,16:41:09,16:41:51,16:45:17,,16:44:00,16:34:00,,16:35:42
113302148237399000,,,,16:48:31,16:49:44,,,,16:51:30,16:59:00,16:53:09,16:53:51,16:57:17,,16:56:00,16:46:00,,16:47:42
113302149237399000,,,,17:00:31,17:01:44,,,,17:03:30,17:11:00,17:05:09,17:05:51,17:09:17,,17:08:00,16:58:00,,16:59:42
113302150237399000,,,,17:12:31,17:13:44,,,,17:15:30,17:23:00,17:17:09,17:17:51,17:21:17,,17:20:00,17:10:00,,17:11:42
113302160237399000,17:24:30,17:25:29,17:26:32,,,17:18:15,17:22:33,17:23:09,,17:16:00,,,,17:20:00,,17:29:00,17:27:25,
113302161237399000,17:36:00,17:36:52,17:37:49,,,17:30:15,17:34:16,17:34:48,,17:28:00,,,,17:32:00,,17:40:00,17:38:35,
113302162237399000,,,,17:24:31,17:25:44,,,,17:27:30,17:35:00,17:29:09,17:29:51,17:33:17,,17:32:00,17:22:00,,17:23:42
113302163237399000,,,,17:48:31,17:49:44,,,,17:51:30,17:59:00,17:53:09,17:53:51,17:57:17,,17:56:00,17:46:00,,17:47:42
113302171237399000,18:10:30,18:11:16,18:12:05,,,18:05:42,18:08:59,18:09:27,,18:04:00,,,,18:07:00,,18:14:00,18:12:46,
113302189237399000,07:08:30,07:09:16,07:10:05,,,07:04:08,07:06:59,07:07:27,,07:03:00,,,,07:05:00,,07:12:00,07:10:46,
113302190237399000,,,,17:36:31,17:37:44,,,,17:39:30,17:47:00,17:41:09,17:41:51,17:45:17,,17:44:00,17:34:00,,17:35:42
