trip_id,1043,1320,1321,1339,1402B,1403,1404,1419,1462,1463,1464,1474B,1531,1533,1551,2022,2028,2037,2038,2039,2041,2042,2043,2083,3463,3902,3903,3904,3905,3911,3920,3956,3957,3958,3959,3962,6055,6448,6450,9853
113279665237278601,09:02:41,,08:58:50,09:06:00,,,,,,,,,,,09:00:41,09:02:00,,09:04:04,09:04:33,09:05:16,,,,,08:58:00,,,,,,,,,,,,,,,
113279666237278601,05:30:41,,05:26:50,05:34:00,,,,,,,,,,,05:28:41,05:30:00,,05:32:04,05:32:33,05:33:16,,,,,05:26:00,,,,,,,,,,,,,,,
113279667237278601,06:00:41,,05:56:50,06:04:00,,,,,,,,,,,05:58:41,06:00:00,,06:02:04,06:02:33,06:03:16,,,,,05:56:00,,,,,,,,,,,,,,,
113279668237278601,06:10:41,,06:06:50,06:14:00,05:53:59,05:56:00,05:57:11,05:55:24,,,,05:52:00,,,06:08:41,06:10:00,,06:12:04,06:12:33,06:13:16,,,,05:53:00,06:06:00,,,,,,,06:00:47,06:02:00,06:02:54,06:03:43,06:04:55,,05:59:00,,
113279669237278601,06:40:41,,06:36:50,06:44:00,06:23:59,06:26:00,06:27:11,06:25:24,,,,06:22:00,,,06:38:41,06:40:00,,06:42:04,06:42:33,06:43:16,,,,06:23:00,06:36:00,,,,,,,06:30:47,06:32:00,06:32:54,06:33:43,06:34:55,,06:29:00,,
113279670237278601,07:10:41,,07:06:50,07:14:00,06:53:59,06:56:00,06:57:11,06:55:24,,,,06:52:00,,,07:08:41,07:10:00,,07:12:04,07:12:33,07:13:16,,,,06:53:00,07:06:00,,,,,,,07:00:47,07:02:00,07:02:54,07:03:43,07:04:55,,06:59:00,,
113279671237278601,07:40:41,,07:36:50,07:44:00,07:23:59,07:26:00,07:27:11,07:25:24,,,,07:22:00,,,07:38:41,07:40:00,,07:42:04,07:42:33,07:43:16,,,,07:23:00,07:36:00,,,,,,,07:30:47,07:32:00,07:32:54,07:33:43,07:34:55,,07:29:00,,
113279672237278601,08:10:41,,08:06:50,08:14:00,07:53:59,07:56:00,07:57:11,07:55:24,,,,07:52:00,,,08:08:41,08:10:00,,08:12:04,08:12:33,08:13:16,,,,07:53:00,08:06:00,,,,,,,08:00:47,08:02:00,08:02:54,08:03:43,08:04:55,,07:59:00,,
113279673237278601,08:40:41,,08:36:50,08:44:00,08:23:59,08:26:00,08:27:11,08:25:24,,,,08:22:00,,,08:38:41,08:40:00,,08:42:04,08:42:33,08:43:16,,,,08:23:00,08:36:00,,,,,,,08:30:47,08:32:00,08:32:54,08:33:43,08:34:55,,08:29:00,,
113279674237278601,09:04:41,,09:00:50,09:08:00,08:47:59,08:50:00,08:51:11,08:49:24,,,,08:46:00,,,09:02:41,09:04:00,,09:06:04,09:06:33,09:07:16,,,,08:47:00,09:00:00,,,,,,,08:54:47,08:56:00,08:56:54,08:57:43,08:58:55,,08:53:00,,
113279675237278601,09:24:41,,09:20:50,09:28:00,09:07:59,09:10:00,09:11:11,09:09:24,,,,09:06:00,,,09:22:41,09:24:00,,09:26:04,09:26:33,09:27:16,,,,09:07:00,09:20:00,,,,,,,09:14:47,09:16:00,09:16:54,09:17:43,09:18:55,,09:13:00,,
113279676237278601,09:44:41,,09:40:50,09:48:00,09:27:59,09:30:00,09:31:11,09:29:24,,,,09:26:00,,,09:42:41,09:44:00,,09:46:04,09:46:33,09:47:16,,,,09:27:00,09:40:00,,,,,,,09:34:47,09:36:00,09:36:54,09:37:43,09:38:55,,09:33:00,,
113279677237278601,10:04:41,,10:00:50,10:08:00,09:47:59,09:50:00,09:51:11,09:49:24,,,,09:46:00,,,10:02:41,10:04:00,,10:06:04,10:06:33,10:07:16,,,,09:47:00,10:00:00,,,,,,,09:54:47,09:56:00,09:56:54,09:57:43,09:58:55,,09:53:00,,
113279678237278601,10:24:41,,10:20:50,10:28:00,10:07:59,10:10:00,10:11:11,10:09:24,,,,10:06:00,,,10:22:41,10:24:00,,10:26:04,10:26:33,10:27:16,,,,10:07:00,10:20:00,,,,,,,10:14:47,10:16:00,10:16:54,10:17:43,10:18:55,,10:13:00,,
113279679237278601,10:44:41,,10:40:50,10:48:00,10:27:59,10:30:00,10:31:11,10:29:24,,,,10:26:00,,,10:42:41,10:44:00,,10:46:04,10:46:33,10:47:16,,,,10:27:00,10:40:00,,,,,,,10:34:47,10:36:00,10:36:54,10:37:43,10:38:55,,10:33:00,,
113279680237278601,11:04:41,,11:00:50,11:08:00,10:47:59,10:50:00,10:51:11,10:49:24,,,,10:46:00,,,11:02:41,11:04:00,,11:06:04,11:06:33,11:07:16,,,,10:47:00,11:00:00,,,,,,,10:54:47,10:56:00,10:56:54,10:57:43,10:58:55,,10:53:00,,
113279681237278601,11:25:41,,11:21:50,11:29:00,11:08:19,11:11:00,11:12:11,11:10:12,,,,11:06:00,,,11:23:41,11:25:00,,11:27:04,11:27:33,11:28:16,,,,11:07:00,11:21:00,,,,,,,11:15:47,11:17:00,11:17:54,11:18:43,11:19:55,,11:14:00,,
113279682237278601,11:45:41,,11:41:50,11:49:00,11:28:19,11:31:00,11:32:11,11:30:12,,,,11:26:00,,,11:43:41,11:45:00,,11:47:04,11:47:33,11:48:16,,,,11:27:00,11:41:00,,,,,,,11:35:47,11:37:00,11:37:54,11:38:43,11:39:55,,11:34:00,,
113279683237278601,12:05:41,,12:01:50,12:09:00,11:48:19,11:51:00,11:52:11,11:50:12,,,,11:46:00,,,12:03:41,12:05:00,,12:07:04,12:07:33,12:08:16,,,,11:47:00,12:01:00,,,,,,,11:55:47,11:57:00,11:57:54,11:58:43,11:59:55,,11:54:00,,
