trip_id,2241G,2242F,2246F,2793F,3308F,3317,3321,3330F,3334F,3334G,3335F,3337F,3338F,3360F,5039,5040,5041F,5042,5274F,5275F,5277F,5278F,5279F,5308F,5354H,5874F,6204,6258
113461452238162502,,,,,,,,,,,,,,,,,,11:55:00,11:59:00,11:57:19,,,,12:01:00,,11:56:18,,
113461460238162502,,,,,,,,,,,,,,,,20:36:00,,,,,20:34:32,20:32:51,20:31:00,,20:29:00,,,
113461493238162502,,,,,,,,,,,,,,,,21:37:00,,,,,21:35:32,21:33:51,21:32:00,,21:30:00,,,
113461579238162502,,,,,,,,,,,,,,,,24:56:00,,,,,24:54:32,24:52:51,24:51:00,,24:49:00,,,
113461602238162502,,,,,,,,,,,,,,,,21:52:00,,,,,21:50:32,21:48:51,21:47:00,,21:45:00,,,
113478772238199501,15:28:00,,,,15:32:00,15:18:07,,15:15:52,,,15:15:00,,,,,,,15:20:00,15:24:00,15:22:19,,,,15:26:00,,15:21:18,,15:29:39
113478774238199501,,05:31:00,,,,,05:40:33,,05:43:00,,,05:42:19,,05:28:00,05:39:00,,,,,,05:37:18,05:35:43,05:34:00,,05:32:00,,05:29:39,
113478775238199501,,10:04:00,,,,,10:14:57,,10:18:00,,,10:17:09,,10:01:00,10:13:00,,,,,,10:11:18,10:09:43,10:08:00,,10:06:00,,10:02:39,
113478776238199501,,08:57:00,,,,,09:06:57,,09:10:00,,,09:09:09,,08:54:00,09:05:00,,,,,,09:03:18,09:01:43,09:00:00,,08:58:00,,08:55:39,
113478777238199501,,09:34:00,,,,,09:44:57,,09:48:00,,,09:47:09,,09:31:00,09:43:00,,,,,,09:41:18,09:39:43,09:38:00,,09:36:00,,09:32:39,
113478779238199501,,,,,,,09:25:57,,09:29:00,,,09:28:09,,,09:24:00,,,,,,,,,,,,,
113478780238199501,,08:17:00,,,,,08:26:57,,08:30:00,,,08:29:09,,08:14:00,08:25:00,,,,,,08:23:18,08:21:43,08:20:00,,08:18:00,,08:15:39,
113478781238199501,,09:17:00,,,,,09:27:57,,09:31:00,,,09:30:09,,09:14:00,09:26:00,,,,,,09:24:18,09:22:43,09:21:00,,09:19:00,,09:15:39,
113478783238199501,08:10:00,,,,08:13:00,08:01:07,,07:58:52,,,07:58:00,,,,,,,08:03:00,08:06:00,08:04:45,,,,08:08:00,,08:03:58,,08:11:14
113478784238199501,05:24:00,,,,05:27:00,,,,,,,,,,,,,05:17:00,05:20:00,05:18:45,,,,05:22:00,,05:17:58,,05:25:14
113478785238199501,06:39:00,,,,06:42:00,06:30:07,,06:27:52,,,06:27:00,,,,,,,06:32:00,06:35:00,06:33:45,,,,06:37:00,,06:32:58,,06:40:14
113478787238199501,,05:52:00,,,,,06:01:33,,06:04:00,,,06:03:19,,05:49:00,06:00:00,,,,,,05:58:18,05:56:43,05:55:00,,05:53:00,,05:50:39,
113478788238199501,,06:19:00,,,,,06:28:33,,06:31:00,,,06:30:19,,06:16:00,06:27:00,,,,,,06:25:18,06:23:43,06:22:00,,06:20:00,,06:17:39,
113478789238199501,06:12:00,,,,06:15:00,06:03:07,,06:00:52,,,06:00:00,,,,,,,06:05:00,06:08:00,06:06:45,,,,06:10:00,,06:05:58,,06:13:14
113478790238199501,,07:13:00,,,,,07:22:33,,07:25:00,,,07:24:19,,07:10:00,07:21:00,,,,,,07:19:18,07:17:43,07:16:00,,07:14:00,,07:11:39,
