trip_id,1124,1128,1165,1233,1453,1455,1703,1729,1776,1781,1906,1909,1981,1983,2268,2278,2392,3514,3558,3630,4303,4304,4305,4306,4307,4308,4309,4310,4311,4313,4314,4315,4318,4340,4344,4345,4348,4351,4355,4357,4358,4359,4360,4362,4363,4364,4365,4366,4367B,6354B,6432,6433
113554434238513603,,24:18:57,,24:25:00,24:42:28,,24:18:00,24:23:46,,,24:26:44,24:27:46,,,24:17:03,24:16:00,,,24:36:00,,24:29:10,24:30:24,24:31:51,24:33:00,24:34:57,24:37:41,24:38:35,24:40:00,24:41:29,24:43:00,24:44:42,24:45:42,24:47:00,,,,,,,,,,,,,,,,,24:19:56,,24:23:00
113554435238513603,,23:54:57,,24:01:00,24:18:28,,23:54:00,23:59:46,,,24:02:44,24:03:46,,,23:53:03,23:52:00,,,24:12:00,,24:05:10,24:06:24,24:07:51,24:09:00,24:10:57,24:13:41,24:14:35,24:16:00,24:17:29,24:19:00,24:20:42,24:21:42,24:23:00,,,,,,,,,,,,,,,,,23:55:56,,23:59:00
113554436238513603,,24:06:57,,24:13:00,24:30:28,,24:06:00,24:11:46,,,24:14:44,24:15:46,,,24:05:03,24:04:00,,,24:24:00,,24:17:10,24:18:24,24:19:51,24:21:00,24:22:57,24:25:41,24:26:35,24:28:00,24:29:29,24:31:00,24:32:42,24:33:42,24:35:00,,,,,,,,,,,,,,,,,24:07:56,,24:11:00
113554437238513603,,23:42:57,,23:49:00,24:06:28,,23:42:00,23:47:46,,,23:50:44,23:51:46,,,23:41:03,23:40:00,,,24:00:00,,23:53:10,23:54:24,23:55:51,23:57:00,23:58:57,24:01:41,24:02:35,24:04:00,24:05:29,24:07:00,24:08:42,24:09:42,24:11:00,,,,,,,,,,,,,,,,,23:43:56,,23:47:00
113554438238513603,24:18:00,,24:20:26,,,23:58:42,,,24:16:18,,,,24:12:51,24:14:13,,,,24:05:00,,24:22:00,,,,,,,,,,,,,,,,,23:56:35,23:55:00,23:58:00,23:59:32,24:01:00,24:02:31,24:03:33,24:05:53,24:08:00,24:09:03,24:10:25,24:11:10,24:15:00,,24:17:00,
113554439238513603,24:06:00,,24:08:26,,,23:46:42,,,24:04:18,,,,24:00:51,24:02:13,,,,23:53:00,,24:10:00,,,,,,,,,,,,,,,,,23:44:35,23:43:00,23:46:00,23:47:32,23:49:00,23:50:31,23:51:33,23:53:53,23:56:00,23:57:03,23:58:25,23:59:10,24:03:00,,24:05:00,
113554440238513603,,23:30:57,,23:37:00,23:54:28,,23:30:00,23:35:46,,,23:38:44,23:39:46,,,23:29:03,23:28:00,,,23:48:00,,23:41:10,23:42:24,23:43:51,23:45:00,23:46:57,23:49:41,23:50:35,23:52:00,23:53:29,23:55:00,23:56:42,23:57:42,23:59:00,,,,,,,,,,,,,,,,,23:31:56,,23:35:00
113554441238513603,,23:18:57,,23:25:00,23:42:28,,23:18:00,23:23:46,,,23:26:44,23:27:46,,,23:17:03,23:16:00,,,23:36:00,,23:29:10,23:30:24,23:31:51,23:33:00,23:34:57,23:37:41,23:38:35,23:40:00,23:41:29,23:43:00,23:44:42,23:45:42,23:47:00,,,,,,,,,,,,,,,,,23:19:56,,23:23:00
113554442238513603,23:54:00,,23:56:26,,,23:34:42,,,23:52:18,23:59:46,,,23:48:51,23:50:13,,24:03:00,24:01:00,23:41:00,,23:58:00,,,,,,,,,,,,,,,,,23:32:35,23:31:00,23:34:00,23:35:32,23:37:00,23:38:31,23:39:33,23:41:53,23:44:00,23:45:03,23:46:25,23:47:10,23:51:00,,23:53:00,
113554443238513603,,23:06:57,,23:13:00,23:30:28,,23:06:00,23:11:46,,,23:14:44,23:15:46,,,23:05:03,23:04:00,,,23:24:00,,23:17:10,23:18:24,23:19:51,23:21:00,23:22:57,23:25:41,23:26:35,23:28:00,23:29:29,23:31:00,23:32:42,23:33:42,23:35:00,,,,,,,,,,,,,,,,,23:07:56,,23:11:00
113554444238513603,23:42:00,,23:44:26,,,23:22:42,,,23:40:18,23:47:46,,,23:36:51,23:38:13,,23:51:00,23:49:00,23:29:00,,23:46:00,,,,,,,,,,,,,,,,,23:20:35,23:19:00,23:22:00,23:23:32,23:25:00,23:26:31,23:27:33,23:29:53,23:32:00,23:33:03,23:34:25,23:35:10,23:39:00,,23:41:00,
113554445238513603,,22:54:08,,23:01:00,23:18:28,,22:53:00,22:59:46,,,23:02:44,23:03:46,,,22:52:03,22:51:00,,,23:12:00,,23:05:10,23:06:24,23:07:51,23:09:00,23:10:57,23:13:41,23:14:35,23:16:00,23:17:29,23:19:00,23:20:42,23:21:42,23:23:00,,,,,,,,,,,,,,,,,22:55:20,,22:59:00
113554446238513603,23:30:00,,23:32:26,,,23:10:42,,,23:28:18,23:35:46,,,23:24:51,23:26:13,,23:39:00,23:37:00,23:17:00,,23:34:00,,,,,,,,,,,,,,,,,23:08:35,23:07:00,23:10:00,23:11:32,23:13:00,23:14:31,23:15:33,23:17:53,23:20:00,23:21:03,23:22:25,23:23:10,23:27:00,,23:29:00,
113554447238513603,,22:41:08,,22:48:00,23:06:28,,22:40:00,22:46:46,,,22:49:57,22:51:06,,,22:39:03,22:38:00,,,23:00:00,,22:52:42,22:54:04,22:55:42,22:57:00,22:58:57,23:01:41,23:02:35,23:04:00,23:05:29,23:07:00,23:08:42,23:09:42,23:11:00,,,,,,,,,,,,,,,,,22:42:20,,22:46:00
113554448238513603,23:18:00,,23:20:26,,,22:58:42,,,23:16:18,23:23:46,,,23:12:51,23:14:13,,23:27:00,23:25:00,23:05:00,,23:22:00,,,,,,,,,,,,,,,,,22:56:35,22:55:00,22:58:00,22:59:32,23:01:00,23:02:31,23:03:33,23:05:53,23:08:00,23:09:03,23:10:25,23:11:10,23:15:00,,23:17:00,
113554449238513603,23:08:00,,23:10:26,,,22:47:42,,,23:06:18,23:13:46,,,23:02:32,23:04:06,,23:17:00,23:15:00,22:54:00,,23:12:00,,,,,,,,,,,,,,,,,22:45:35,22:44:00,22:47:00,22:48:32,22:50:00,22:51:31,22:52:33,22:54:53,22:57:00,22:58:12,22:59:46,23:00:37,23:05:00,,23:07:00,
113554450238513603,,22:28:08,,22:35:00,22:54:28,,22:27:00,22:33:46,,,22:36:57,22:38:06,,,22:26:03,22:25:00,,,22:47:00,,22:39:42,22:41:04,22:42:42,22:44:00,22:45:57,22:49:07,22:50:14,22:52:00,22:53:29,22:55:00,22:56:42,22:57:42,22:59:00,,,,,,,,,,,,,,,,,22:29:20,,22:33:00
113554451238513603,22:57:00,,22:59:26,,,22:36:42,,,22:55:18,23:02:46,,,22:51:32,22:53:06,,23:06:00,23:04:00,22:43:00,,23:01:00,,,,,,,,,,,,,,,,,22:34:35,22:33:00,22:36:00,22:37:32,22:39:00,22:40:31,22:41:33,22:43:53,22:46:00,22:47:12,22:48:46,22:49:37,22:54:00,,22:56:00,
113554452238513603,,22:18:08,,22:25:00,22:44:28,,22:17:00,22:23:46,,,22:26:57,22:28:06,,,22:16:03,22:15:00,,,22:37:00,,22:29:42,22:31:04,22:32:42,22:34:00,22:35:57,22:39:07,22:40:14,22:42:00,22:43:29,22:45:00,22:46:42,22:47:42,22:49:00,,,,,,,,,,,,,,,,,22:19:20,,22:23:00
113554453238513603,22:46:00,,22:48:26,,,22:25:42,,,22:44:18,22:51:46,,,22:40:32,22:42:06,,22:55:00,22:53:00,22:32:00,,22:50:00,,,,,,,,,,,,,,,,,22:23:35,22:22:00,22:25:00,22:26:32,22:28:00,22:29:31,22:30:33,22:32:53,22:35:00,22:36:12,22:37:46,22:38:37,22:43:00,,22:45:00,
113554454238513603,,22:08:08,,22:15:00,22:34:28,,22:07:00,22:13:46,,,22:16:57,22:18:06,,,22:06:03,22:05:00,,,22:27:00,,22:19:42,22:21:04,22:22:42,22:24:00,22:25:57,22:29:07,22:30:14,22:32:00,22:33:29,22:35:00,22:36:42,22:37:42,22:39:00,,,,,,,,,,,,,,,,,22:09:20,,22:13:00
113554455238513603,22:35:00,,22:37:26,,,22:14:42,,,22:33:18,22:40:46,,,22:29:32,22:31:06,,22:44:00,22:42:00,22:21:00,,22:39:00,,,,,,,,,,,,,,,,,22:12:35,22:11:00,22:14:00,22:15:32,22:17:00,22:18:31,22:19:33,22:21:53,22:24:00,22:25:12,22:26:46,22:27:37,22:32:00,,22:34:00,
113554456238513603,,21:58:08,,22:05:00,22:24:28,,21:57:00,22:03:46,,,22:06:57,22:08:06,,,21:56:03,21:55:00,,,22:17:00,,22:09:42,22:11:04,22:12:42,22:14:00,22:15:57,22:19:07,22:20:14,22:22:00,22:23:29,22:25:00,22:26:42,22:27:42,22:29:00,,,,,,,,,,,,,,,,,21:59:20,,22:03:00
113554457238513603,22:25:00,,22:27:26,,,22:04:42,,,22:23:18,,,,22:19:32,22:21:06,,,,22:11:00,,22:29:00,,,,,,,,,,,,,,,,,22:02:35,22:01:00,22:04:00,22:05:32,22:07:00,22:08:31,22:09:33,22:11:53,22:14:00,22:15:12,22:16:46,22:17:37,22:22:00,,22:24:00,
113554458238513603,,21:48:08,,21:55:00,22:14:28,,21:47:00,21:53:46,,,21:56:57,21:58:06,,,21:46:03,21:45:00,,,22:07:00,,21:59:42,22:01:04,22:02:42,22:04:00,22:05:57,22:09:07,22:10:14,22:12:00,22:13:29,22:15:00,22:16:42,22:17:42,22:19:00,,,,,,,,,,,,,,,,,21:49:20,,21:53:00
113554459238513603,22:15:00,,22:17:26,,,21:54:42,,,22:13:18,22:20:46,,,22:09:32,22:11:06,,22:24:00,22:22:00,22:01:00,,22:19:00,,,,,,,,,,,,,,,,,21:52:35,21:51:00,21:54:00,21:55:32,21:57:00,21:58:31,21:59:33,22:01:53,22:04:00,22:05:12,22:06:46,22:07:37,22:12:00,,22:14:00,
113554460238513603,,21:38:08,,21:45:00,22:04:28,,21:37:00,21:43:46,,,21:46:57,21:48:06,,,21:36:03,21:35:00,,,21:57:00,,21:49:42,21:51:04,21:52:42,21:54:00,21:55:57,21:59:07,22:00:14,22:02:00,22:03:29,22:05:00,22:06:42,22:07:42,22:09:00,,,,,,,,,,,,,,,,,21:39:20,,21:43:00
