trip_id,1063,1128,1129,1376B,1535,2212,2248,2249,2301,2303,2578,2595,3062,3210B,3240,3272,3273,3274,3285,3298,3299,3309,3401,3402,3460,3704,3705,3761,3762,3763,3766,5308,5735,6203,6210,6214,6308,6355,6356,6357,6359,6410,6411,6416,6418,6435,6438,6442,6447
113358190237596501,25:59:04,26:02:11,26:03:14,26:01:05,,25:55:00,,26:17:41,25:52:15,25:54:00,25:57:00,25:53:00,,,,26:23:36,26:24:11,26:25:17,26:26:00,,,,26:27:00,,26:22:47,,,26:19:12,26:20:00,26:21:00,26:21:52,,,26:13:00,26:14:36,26:16:29,,26:04:38,26:06:00,26:07:45,26:09:48,26:10:35,,,26:11:37,26:09:00,,,25:51:00
113358191237596501,26:30:04,26:33:11,26:34:14,26:32:05,,26:26:00,,26:48:41,26:23:15,26:25:00,26:28:00,26:24:00,,,,26:54:36,26:55:11,26:56:17,26:57:00,,,,,,26:53:47,,,26:50:12,26:51:00,26:52:00,26:52:52,,,26:44:00,26:45:36,26:47:29,,26:35:38,26:37:00,26:38:45,26:40:48,26:41:35,,,26:42:37,26:40:00,,,26:22:00
113358192237596501,27:00:04,27:03:11,27:04:14,27:02:05,,26:56:00,,27:18:41,26:53:15,26:55:00,26:58:00,26:54:00,,,,27:24:36,27:25:11,27:26:17,27:27:00,,,,,,27:23:47,,,27:20:12,27:21:00,27:22:00,27:22:52,,,27:14:00,27:15:36,27:17:29,,27:05:38,27:07:00,27:08:45,27:10:48,27:11:35,,,27:12:37,27:10:00,,,26:52:00
113358198237596501,25:29:04,25:32:11,25:33:14,25:31:05,,25:25:00,,25:47:41,25:22:15,25:24:00,25:27:00,25:23:00,,,,25:53:36,25:54:11,25:55:17,25:56:00,,,,25:57:00,,25:52:47,,,25:49:12,25:50:00,25:51:00,25:51:52,,,25:43:00,25:44:36,25:46:29,,25:34:38,25:36:00,25:37:45,25:39:48,25:40:35,,,25:41:37,25:39:00,,,25:21:00
113358202237596501,24:59:04,25:02:11,25:03:14,25:01:05,,24:55:00,,25:17:41,24:52:15,24:54:00,24:57:00,24:53:00,,,,25:23:36,25:24:11,25:25:17,25:26:00,,,,25:27:00,,25:22:47,,,25:19:12,25:20:00,25:21:00,25:21:52,,,25:13:00,25:14:36,25:16:29,,25:04:38,25:06:00,25:07:45,25:09:48,25:10:35,,,25:11:37,25:09:00,,,24:51:00
113358203237596501,,,,,24:25:00,,24:29:37,,,,,,24:41:12,24:23:50,24:26:24,,,,,24:30:45,24:31:50,24:33:00,24:23:00,24:25:29,,24:27:14,24:27:54,,,,,24:29:02,24:36:16,,,,24:38:56,,,,,,24:35:31,24:34:35,,,24:37:00,24:42:00,24:43:00
113358204237596501,,,,,25:06:00,,25:10:37,,,,,,25:22:12,25:04:50,25:07:24,,,,,25:11:45,25:12:50,25:14:00,25:04:00,25:06:29,,25:08:14,25:08:54,,,,,25:10:02,25:17:16,,,,25:19:56,,,,,,25:16:31,25:15:35,,,25:18:00,25:23:00,25:24:00
113358205237596501,,,,,25:36:00,,25:40:37,,,,,,25:52:12,25:34:50,25:37:24,,,,,25:41:45,25:42:50,25:44:00,25:34:00,25:36:29,,25:38:14,25:38:54,,,,,25:40:02,25:47:16,,,,25:49:56,,,,,,25:46:31,25:45:35,,,25:48:00,25:53:00,25:54:00
113358206237596501,,,,,26:06:00,,26:10:37,,,,,,26:22:12,26:04:50,26:07:24,,,,,26:11:45,26:12:50,26:14:00,26:04:00,26:06:29,,26:08:14,26:08:54,,,,,26:10:02,26:17:16,,,,26:19:56,,,,,,26:16:31,26:15:35,,,26:18:00,26:23:00,26:24:00
113358207237596501,,,,,26:36:00,,26:40:37,,,,,,26:52:12,26:34:50,26:37:24,,,,,26:41:45,26:42:50,26:44:00,26:34:00,26:36:29,,26:38:14,26:38:54,,,,,26:40:02,26:47:16,,,,26:49:56,,,,,,26:46:31,26:45:35,,,26:48:00,26:53:00,26:54:00
113358261237597001,,,,,24:25:00,,24:29:37,,,,,,24:41:12,24:23:50,24:26:24,,,,,24:30:45,24:31:50,24:33:00,24:23:00,24:25:29,,24:27:14,24:27:54,,,,,24:29:02,24:36:16,,,,24:38:56,,,,,,24:35:31,24:34:35,,,24:37:00,24:42:00,24:43:00
113358262237597001,,,,,25:06:00,,25:10:37,,,,,,25:22:12,25:04:50,25:07:24,,,,,25:11:45,25:12:50,25:14:00,25:04:00,25:06:29,,25:08:14,25:08:54,,,,,25:10:02,25:17:16,,,,25:19:56,,,,,,25:16:31,25:15:35,,,25:18:00,25:23:00,25:24:00
113358263237597001,,,,,25:36:00,,25:40:37,,,,,,25:52:12,25:34:50,25:37:24,,,,,25:41:45,25:42:50,25:44:00,25:34:00,25:36:29,,25:38:14,25:38:54,,,,,25:40:02,25:47:16,,,,25:49:56,,,,,,25:46:31,25:45:35,,,25:48:00,25:53:00,25:54:00
113358264237597001,,,,,26:06:00,,26:10:37,,,,,,26:22:12,26:04:50,26:07:24,,,,,26:11:45,26:12:50,26:14:00,26:04:00,26:06:29,,26:08:14,26:08:54,,,,,26:10:02,26:17:16,,,,26:19:56,,,,,,26:16:31,26:15:35,,,26:18:00,26:23:00,26:24:00
113358265237597001,,,,,26:36:00,,26:40:37,,,,,,26:52:12,26:34:50,26:37:24,,,,,26:41:45,26:42:50,26:44:00,26:34:00,26:36:29,,26:38:14,26:38:54,,,,,26:40:02,26:47:16,,,,26:49:56,,,,,,26:46:31,26:45:35,,,26:48:00,26:53:00,26:54:00
113358266237597001,24:59:04,25:02:11,25:03:14,25:01:05,,24:55:00,,25:17:41,24:52:15,24:54:00,24:57:00,24:53:00,,,,25:23:36,25:24:11,25:25:17,25:26:00,,,,25:27:00,,25:22:47,,,25:19:12,25:20:00,25:21:00,25:21:52,,,25:13:00,25:14:36,25:16:29,,25:04:38,25:06:00,25:07:45,25:09:48,25:10:35,,,25:11:37,25:09:00,,,24:51:00
