trip_id,1063,1128,1134,1135,1136,1156,1157,1158,1271B,1376B,1416,1417B,1500,1544,1545,1546,1548B,1706,1726,1728,1769,1859,1874,1875,1983,2177,2212,2283,2287,2301,2303,2578,2595,2681,2682,3158B,3160,3399,3567,3620B,3623B,3921,4952,6353,6447
113358188237596501,25:38:42,25:41:16,25:56:11,25:57:31,25:58:50,,,,,25:40:22,25:53:55,,26:08:00,26:02:00,26:03:32,26:04:50,25:55:00,25:49:00,25:44:00,25:50:27,,,,,,,25:35:00,26:01:00,,25:32:15,25:34:00,25:37:00,25:33:00,25:46:43,,25:52:47,25:51:46,,,25:48:00,,,25:46:00,,25:31:00
113358189237596501,,,,,,25:23:28,25:24:37,25:25:50,25:27:43,,,25:26:19,25:16:00,,,,,,,,25:30:26,25:16:53,25:18:42,25:19:51,25:31:20,25:35:00,,,25:22:00,,,,,,25:32:39,,,25:27:00,25:39:40,,25:32:00,25:29:00,,25:37:13,25:42:00
113358193237596501,25:08:42,25:11:16,25:26:11,25:27:31,25:28:50,,,,,25:10:22,25:23:55,,25:38:00,25:32:00,25:33:32,25:34:50,25:25:00,25:19:00,25:14:00,25:20:27,,,,,,,25:05:00,25:31:00,,25:02:15,25:04:00,25:07:00,25:03:00,25:16:43,,25:22:47,25:21:46,,,25:18:00,,,25:16:00,,25:01:00
113358194237596501,26:08:42,26:11:16,26:26:11,26:27:31,26:28:50,,,,,26:10:22,26:23:55,,26:38:00,26:32:00,26:33:32,26:34:50,26:25:00,26:19:00,26:14:00,26:20:27,,,,,,,26:05:00,26:31:00,,26:02:15,26:04:00,26:07:00,26:03:00,26:16:43,,26:22:47,26:21:46,,,26:18:00,,,26:16:00,,26:01:00
113358195237596501,26:38:42,26:41:16,26:56:11,26:57:31,26:58:50,,,,,26:40:22,26:53:55,,27:08:00,27:02:00,27:03:32,27:04:50,26:55:00,26:49:00,26:44:00,26:50:27,,,,,,,26:35:00,27:01:00,,26:32:15,26:34:00,26:37:00,26:33:00,26:46:43,,26:52:47,26:51:46,,,26:48:00,,,26:46:00,,26:31:00
113358196237596501,27:08:42,27:11:16,27:26:11,27:27:31,27:28:50,,,,,27:10:22,27:23:55,,27:38:00,27:32:00,27:33:32,27:34:50,27:25:00,27:19:00,27:14:00,27:20:27,,,,,,,27:05:00,27:31:00,,27:02:15,27:04:00,27:07:00,27:03:00,27:16:43,,27:22:47,27:21:46,,,27:18:00,,,27:16:00,,27:01:00
113358197237596501,,,,,,24:53:28,24:54:37,24:55:50,24:57:43,,,24:56:19,,,,,,,,,25:00:26,,,,25:01:20,25:05:00,,,24:52:00,,,,,,25:02:39,,,24:57:00,25:09:40,,25:02:00,24:59:00,,25:07:13,25:12:00
113358199237596501,,,,,,24:34:28,24:35:37,24:36:50,24:38:43,,,24:37:19,,,,,,,,,24:41:26,,,,24:42:20,24:46:00,,,24:33:00,,,,,,24:43:39,,,24:38:00,24:50:40,,24:43:00,24:40:00,,24:48:13,24:53:00
113358200237596501,,,,,,25:54:28,25:55:37,25:56:50,25:58:43,,,25:57:19,25:47:00,,,,,,,,26:01:26,25:47:53,25:49:42,25:50:51,26:02:20,26:06:00,,,25:53:00,,,,,,26:03:39,,,25:58:00,26:10:40,,26:03:00,26:00:00,,26:08:13,26:13:00
113358201237596501,,,,,,26:24:28,26:25:37,26:26:50,26:28:43,,,26:27:19,26:17:00,,,,,,,,26:31:26,26:17:53,26:19:42,26:20:51,26:32:20,26:36:00,,,26:23:00,,,,,,26:33:39,,,26:28:00,26:40:40,,26:33:00,26:30:00,,26:38:13,26:43:00
113358267237597001,25:08:42,25:11:16,25:26:11,25:27:31,25:28:50,,,,,25:10:22,25:23:55,,25:38:00,25:32:00,25:33:32,25:34:50,25:25:00,25:19:00,25:14:00,25:20:27,,,,,,,25:05:00,25:31:00,,25:02:15,25:04:00,25:07:00,25:03:00,25:16:43,,25:22:47,25:21:46,,,25:18:00,,,25:16:00,,25:01:00
113358269237597001,25:38:42,25:41:16,25:56:11,25:57:31,25:58:50,,,,,25:40:22,25:53:55,,26:08:00,26:02:00,26:03:32,26:04:50,25:55:00,25:49:00,25:44:00,25:50:27,,,,,,,25:35:00,26:01:00,,25:32:15,25:34:00,25:37:00,25:33:00,25:46:43,,25:52:47,25:51:46,,,25:48:00,,,25:46:00,,25:31:00
113358271237597001,26:08:42,26:11:16,26:26:11,26:27:31,26:28:50,,,,,26:10:22,26:23:55,,26:38:00,26:32:00,26:33:32,26:34:50,26:25:00,26:19:00,26:14:00,26:20:27,,,,,,,26:05:00,26:31:00,,26:02:15,26:04:00,26:07:00,26:03:00,26:16:43,,26:22:47,26:21:46,,,26:18:00,,,26:16:00,,26:01:00
113358273237597001,26:38:42,26:41:16,26:56:11,26:57:31,26:58:50,,,,,26:40:22,26:53:55,,27:08:00,27:02:00,27:03:32,27:04:50,26:55:00,26:49:00,26:44:00,26:50:27,,,,,,,26:35:00,27:01:00,,26:32:15,26:34:00,26:37:00,26:33:00,26:46:43,,26:52:47,26:51:46,,,26:48:00,,,26:46:00,,26:31:00
113358275237597001,27:08:42,27:11:16,27:26:11,27:27:31,27:28:50,,,,,27:10:22,27:23:55,,27:38:00,27:32:00,27:33:32,27:34:50,27:25:00,27:19:00,27:14:00,27:20:27,,,,,,,27:05:00,27:31:00,,27:02:15,27:04:00,27:07:00,27:03:00,27:16:43,,27:22:47,27:21:46,,,27:18:00,,,27:16:00,,27:01:00
113358276237597001,,,,,,24:53:28,24:54:37,24:55:50,24:57:43,,,24:56:19,,,,,,,,,25:00:26,,,,25:01:20,25:05:00,,,24:52:00,,,,,,25:02:39,,,24:57:00,25:09:40,,25:02:00,24:59:00,,25:07:13,25:12:00
113358277237597001,,,,,,24:34:28,24:35:37,24:36:50,24:38:43,,,24:37:19,,,,,,,,,24:41:26,,,,24:42:20,24:46:00,,,24:33:00,,,,,,24:43:39,,,24:38:00,24:50:40,,24:43:00,24:40:00,,24:48:13,24:53:00
113358278237597001,,,,,,26:24:28,26:25:37,26:26:50,26:28:43,,,26:27:19,26:17:00,,,,,,,,26:31:26,26:17:53,26:19:42,26:20:51,26:32:20,26:36:00,,,26:23:00,,,,,,26:33:39,,,26:28:00,26:40:40,,26:33:00,26:30:00,,26:38:13,26:43:00
