trip_id,1063,1128,1129,1273,1376B,1382,1386,1402B,1403,1419,1508,1509,1510,1516,1518,1519,1520,1521,1522,1529,1557,1558,1559,1560,1561,1563,1569B,1570,1571,1578,1584,1585,1586,1587,1639,1640B,1641,2212,2301,2303,2578,2595,2920,3062,3216,3217,3218,3219,3251,3353,3354,3358,3359,3707,3899,3910,6355,6356,6442,6447,6451,6454
113358716237601501,24:50:04,24:53:11,24:54:14,25:03:00,24:52:05,,25:17:00,25:04:04,25:06:02,25:05:27,24:59:00,25:00:08,25:00:55,25:08:11,25:10:18,25:11:32,25:12:27,25:13:00,25:14:00,25:16:02,,,,,,,,,,,25:18:56,25:20:11,25:22:09,25:23:00,,,,24:46:00,24:43:15,24:45:00,24:48:00,24:44:00,,,,,,,25:07:18,24:57:36,24:58:33,,,,25:14:55,,24:55:38,24:57:00,,24:42:00,25:09:00,
113358717237601501,25:10:04,25:13:11,25:14:14,25:23:00,25:12:05,,25:37:00,25:24:04,25:26:02,25:25:27,25:19:00,25:20:08,25:20:55,25:28:11,25:30:18,25:31:32,25:32:27,25:33:00,25:34:00,25:36:02,,,,,,,,,,,25:38:56,25:40:11,25:42:09,25:43:00,,,,25:06:00,25:03:15,25:05:00,25:08:00,25:04:00,,,,,,,25:27:18,25:17:36,25:18:33,,,,25:34:55,,25:15:38,25:17:00,,25:02:00,25:29:00,
113358718237601501,25:30:04,25:33:11,25:34:14,25:43:00,25:32:05,,25:57:00,25:44:04,25:46:02,25:45:27,25:39:00,25:40:08,25:40:55,25:48:11,25:50:18,25:51:32,25:52:27,25:53:00,25:54:00,25:56:02,,,,,,,,,,,25:58:56,26:00:11,26:02:09,26:03:00,,,,25:26:00,25:23:15,25:25:00,25:28:00,25:24:00,,,,,,,25:47:18,25:37:36,25:38:33,,,,25:54:55,,25:35:38,25:37:00,,25:22:00,25:49:00,
113358719237601501,25:50:04,25:53:11,25:54:14,26:03:00,25:52:05,,26:17:00,26:04:04,26:06:02,26:05:27,25:59:00,26:00:08,26:00:55,26:08:11,26:10:18,26:11:32,26:12:27,26:13:00,26:14:00,26:16:02,,,,,,,,,,,26:18:56,26:20:11,26:22:09,26:23:00,,,,25:46:00,25:43:15,25:45:00,25:48:00,25:44:00,,,,,,,26:07:18,25:57:36,25:58:33,,,,26:14:55,,25:55:38,25:57:00,,25:42:00,26:09:00,
113358720237601501,26:10:04,26:13:11,26:14:14,26:23:00,26:12:05,,26:37:00,26:24:04,26:26:02,26:25:27,26:19:00,26:20:08,26:20:55,26:28:11,26:30:18,26:31:32,26:32:27,26:33:00,26:34:00,26:36:02,,,,,,,,,,,26:38:56,26:40:11,26:42:09,26:43:00,,,,26:06:00,26:03:15,26:05:00,26:08:00,26:04:00,,,,,,,26:27:18,26:17:36,26:18:33,,,,26:34:55,,26:15:38,26:17:00,,26:02:00,26:29:00,
113358721237601501,26:30:04,26:33:11,26:34:14,26:43:00,26:32:05,,26:57:00,26:44:04,26:46:02,26:45:27,26:39:00,26:40:08,26:40:55,26:48:11,26:50:18,26:51:32,26:52:27,26:53:00,26:54:00,26:56:02,,,,,,,,,,,26:58:56,27:00:11,27:02:09,27:03:00,,,,26:26:00,26:23:15,26:25:00,26:28:00,26:24:00,,,,,,,26:47:18,26:37:36,26:38:33,,,,26:54:55,,26:35:38,26:37:00,,26:22:00,26:49:00,
113358722237601501,26:50:04,26:53:11,26:54:14,27:03:00,26:52:05,,27:17:00,27:04:04,27:06:02,27:05:27,26:59:00,27:00:08,27:00:55,27:08:11,27:10:18,27:11:32,27:12:27,27:13:00,27:14:00,27:16:02,,,,,,,,,,,27:18:56,27:20:11,27:22:09,27:23:00,,,,26:46:00,26:43:15,26:45:00,26:48:00,26:44:00,,,,,,,27:07:18,26:57:36,26:58:33,,,,27:14:55,,26:55:38,26:57:00,,26:42:00,27:09:00,
113358723237601501,27:10:04,27:13:11,27:14:14,27:23:00,27:12:05,,27:37:00,27:24:04,27:26:02,27:25:27,27:19:00,27:20:08,27:20:55,27:28:11,27:30:18,27:31:32,27:32:27,27:33:00,27:34:00,27:36:02,,,,,,,,,,,27:38:56,27:40:11,27:42:09,27:43:00,,,,27:06:00,27:03:15,27:05:00,27:08:00,27:04:00,,,,,,,27:27:18,27:17:36,27:18:33,,,,27:34:55,,27:15:38,27:17:00,,27:02:00,27:29:00,
113358724237601501,,,,,,24:31:00,,,,,,,,,,,,,,,24:34:00,24:34:55,24:35:44,24:36:08,24:37:23,24:39:40,24:45:55,24:46:48,24:48:00,24:32:13,,,,24:26:00,24:27:20,24:28:35,24:29:25,,,,,,24:44:00,24:52:00,24:40:23,24:42:21,24:43:08,24:44:44,,,,24:49:29,24:51:05,24:41:23,,24:33:06,,,24:53:00,24:54:00,,24:39:00
113358725237601501,,,,,,24:51:00,,,,,,,,,,,,,,,24:54:00,24:54:55,24:55:44,24:56:08,24:57:23,24:59:40,25:05:55,25:06:48,25:08:00,24:52:13,,,,24:46:00,24:47:20,24:48:35,24:49:25,,,,,,25:04:00,25:12:00,25:00:23,25:02:21,25:03:08,25:04:44,,,,25:09:29,25:11:05,25:01:23,,24:53:06,,,25:13:00,25:14:00,,24:59:00
