trip_id,1063,1128,1376B,1453,1455,1726,1906,1909,1981,1983,2177,2212,2301,2303,2578,2595,2681,2682,3514,3558,3567,3620B,3623B,4303,4304,4305,4306,4307,4308,4309,4310,4311,4313,4347,4348,4349,4351,4355,4357,4358,4359,4360,4362,4363,4364,4365,4366,4952,6353,6443
113359062237604501,24:47:42,24:50:16,24:49:22,25:14:28,,24:53:00,24:58:41,25:00:00,,,,24:44:00,24:41:17,24:43:00,24:46:00,24:42:00,24:55:43,,,25:08:00,,24:57:00,,25:01:27,25:02:43,25:04:13,25:05:25,25:07:06,25:09:41,25:10:35,25:12:00,25:13:29,25:15:00,25:15:56,,25:17:00,,,,,,,,,,,,24:55:00,,24:40:00
113359064237604501,25:07:42,25:10:16,25:09:22,25:34:28,,25:13:00,25:18:41,25:20:00,,,,25:04:00,25:01:17,25:03:00,25:06:00,25:02:00,25:15:43,,,25:28:00,,25:17:00,,25:21:27,25:22:43,25:24:13,25:25:25,25:27:06,25:29:41,25:30:35,25:32:00,25:33:29,25:35:00,25:35:56,,25:37:00,,,,,,,,,,,,25:15:00,,25:00:00
113359066237604501,25:27:42,25:30:16,25:29:22,25:54:28,,25:33:00,25:38:41,25:40:00,,,,25:24:00,25:21:17,25:23:00,25:26:00,25:22:00,25:35:43,,,25:48:00,,25:37:00,,25:41:27,25:42:43,25:44:13,25:45:25,25:47:06,25:49:41,25:50:35,25:52:00,25:53:29,25:55:00,25:55:56,,25:57:00,,,,,,,,,,,,25:35:00,,25:20:00
113359068237604501,25:47:42,25:50:16,25:49:22,26:14:28,,25:53:00,25:58:41,26:00:00,,,,25:44:00,25:41:17,25:43:00,25:46:00,25:42:00,25:55:43,,,26:08:00,,25:57:00,,26:01:27,26:02:43,26:04:13,26:05:25,26:07:06,26:09:41,26:10:35,26:12:00,26:13:29,26:15:00,26:15:56,,26:17:00,,,,,,,,,,,,25:55:00,,25:40:00
113359070237604501,26:07:42,26:10:16,26:09:22,26:34:28,,26:13:00,26:18:41,26:20:00,,,,26:04:00,26:01:17,26:03:00,26:06:00,26:02:00,26:15:43,,,26:28:00,,26:17:00,,26:21:27,26:22:43,26:24:13,26:25:25,26:27:06,26:29:41,26:30:35,26:32:00,26:33:29,26:35:00,26:35:56,,26:37:00,,,,,,,,,,,,26:15:00,,26:00:00
113359072237604501,26:27:42,26:30:16,26:29:22,26:54:28,,26:33:00,26:38:41,26:40:00,,,,26:24:00,26:21:17,26:23:00,26:26:00,26:22:00,26:35:43,,,26:48:00,,26:37:00,,26:41:27,26:42:43,26:44:13,26:45:25,26:47:06,26:49:41,26:50:35,26:52:00,26:53:29,26:55:00,26:55:56,,26:57:00,,,,,,,,,,,,26:35:00,,26:20:00
113359074237604501,26:47:42,26:50:16,26:49:22,27:14:28,,26:53:00,26:58:41,27:00:00,,,,26:44:00,26:41:17,26:43:00,26:46:00,26:42:00,26:55:43,,,27:08:00,,26:57:00,,27:01:27,27:02:43,27:04:13,27:05:25,27:07:06,27:09:41,27:10:35,27:12:00,27:13:29,27:15:00,27:15:56,,27:17:00,,,,,,,,,,,,26:55:00,,26:40:00
113359076237604501,27:07:42,27:10:16,27:09:22,27:34:28,,27:13:00,27:18:41,27:20:00,,,,27:04:00,27:01:17,27:03:00,27:06:00,27:02:00,27:15:43,,,27:28:00,,27:17:00,,27:21:27,27:22:43,27:24:13,27:25:25,27:27:06,27:29:41,27:30:35,27:32:00,27:33:29,27:35:00,27:35:56,,27:37:00,,,,,,,,,,,,27:15:00,,27:00:00
113359077237604501,27:17:42,27:20:16,27:19:22,,,27:23:00,27:28:41,27:30:00,,,,27:14:00,27:11:17,27:13:00,27:16:00,27:12:00,27:25:43,,,27:38:00,,27:27:00,,27:31:27,27:32:43,27:34:13,27:35:25,27:37:06,,,,,,,,,,,,,,,,,,,,27:25:00,,27:10:00
113359078237604501,,,,23:58:28,,,,,,,,,,,,,,,,23:52:00,,,,,,,,,23:53:41,23:54:35,23:56:00,23:57:29,23:59:00,23:59:56,,24:01:00,,,,,,,,,,,,,,
