trip_id,1063,1128,1250,1251,1376B,1726,1794,1903,1912,1976,1977,1986,2002,2010,2122,2123,2124,2125,2131,2132,2133,2134,2148,2150,2177,2212,2301,2303,2578,2595,2846,2847,2928,2963,2964B,2967B,3347,3506,3518B,3519,3567,3573,4705,4804B,4853,4854C,4857B,5032B,5053B,5611,5612,6353,6406,6408,6453,6931B,6956B
113335668237520001,26:34:24,26:38:00,,26:59:47,26:36:44,26:41:28,,26:49:02,26:49:55,,,,,27:05:19,26:55:00,26:56:55,26:58:11,26:58:42,,,,,27:08:00,,,26:30:00,26:27:09,26:29:00,26:32:00,26:28:00,26:56:08,,26:45:55,,,,26:26:00,26:44:59,26:44:00,26:48:00,,,26:51:41,,27:02:30,27:01:04,,27:06:25,,26:47:14,,,,26:53:19,,27:04:00,
113335669237520001,26:04:24,26:08:00,,26:29:47,26:06:44,26:11:28,,26:19:02,26:19:55,,,,,26:35:19,26:25:00,26:26:55,26:28:11,26:28:42,,,,,26:38:00,,,26:00:00,25:57:09,25:59:00,26:02:00,25:58:00,26:26:08,,26:15:55,,,,25:56:00,26:14:59,26:14:00,26:18:00,,,26:21:41,,26:32:30,26:31:04,,26:36:25,,26:17:14,,,,26:23:19,,26:34:00,
113335672237520001,,,25:59:36,,,,26:24:00,,,26:08:03,26:08:55,26:09:57,25:54:46,,,,,,26:00:42,26:01:12,26:02:13,26:04:00,,25:53:00,26:17:00,,,,,,,26:03:15,,26:13:00,26:13:58,26:15:00,,,,,26:21:48,26:11:00,,25:57:20,,,25:58:29,,25:53:58,,26:11:37,26:19:17,26:05:42,,26:06:50,,25:56:00
113335677237520001,25:04:24,25:08:00,,25:29:47,25:06:44,25:11:28,,25:19:02,25:19:55,,,,,25:35:19,25:25:00,25:26:55,25:28:11,25:28:42,,,,,25:38:00,,,25:00:00,24:57:09,24:59:00,25:02:00,24:58:00,25:26:08,,25:15:55,,,,24:56:00,25:14:59,25:14:00,25:18:00,,,25:21:41,,25:32:30,25:31:04,,25:36:25,,25:17:14,,,,25:23:19,,25:34:00,
113335682237520001,,,26:29:36,,,,26:54:00,,,26:38:03,26:38:55,26:39:57,26:24:46,,,,,,26:30:42,26:31:12,26:32:13,26:34:00,,26:23:00,26:47:00,,,,,,,26:33:15,,26:43:00,26:43:58,26:45:00,,,,,26:51:48,26:41:00,,26:27:20,,,26:28:29,,26:23:58,,26:41:37,26:49:17,26:35:42,,26:36:50,,26:26:00
113335685237520001,25:34:24,25:38:00,,25:59:47,25:36:44,25:41:28,,25:49:02,25:49:55,,,,,26:05:19,25:55:00,25:56:55,25:58:11,25:58:42,,,,,26:08:00,,,25:30:00,25:27:09,25:29:00,25:32:00,25:28:00,25:56:08,,25:45:55,,,,25:26:00,25:44:59,25:44:00,25:48:00,,,25:51:41,,26:02:30,26:01:04,,26:06:25,,25:47:14,,,,25:53:19,,26:04:00,
113335691237520001,,,24:59:36,,,,25:24:00,,,25:08:03,25:08:55,25:09:57,24:54:46,,,,,,25:00:42,25:01:12,25:02:13,25:04:00,,24:53:00,25:17:00,,,,,,,25:03:15,,25:13:00,25:13:58,25:15:00,,,,,25:21:48,25:11:00,,24:57:20,,,24:58:29,,24:53:58,,25:11:37,25:19:17,25:05:42,,25:06:50,,24:56:00
113335696237520001,27:04:24,27:08:00,,27:29:47,27:06:44,27:11:28,,27:19:02,27:19:55,,,,,27:35:19,27:25:00,27:26:55,27:28:11,27:28:42,,,,,27:38:00,,,27:00:00,26:57:09,26:59:00,27:02:00,26:58:00,27:26:08,,27:15:55,,,,26:56:00,27:14:59,27:14:00,27:18:00,,,27:21:41,,27:32:30,27:31:04,,27:36:25,,27:17:14,,,,27:23:19,,27:34:00,
113335699237520001,,,25:29:36,,,,25:54:00,,,25:38:03,25:38:55,25:39:57,25:24:46,,,,,,25:30:42,25:31:12,25:32:13,25:34:00,,25:23:00,25:47:00,,,,,,,25:33:15,,25:43:00,25:43:58,25:45:00,,,,,25:51:48,25:41:00,,25:27:20,,,25:28:29,,25:23:58,,25:41:37,25:49:17,25:35:42,,25:36:50,,25:26:00
113335701237520001,24:34:24,24:38:00,,24:59:47,24:36:44,24:41:28,,24:49:02,24:49:55,,,,,25:05:19,24:55:00,24:56:55,24:58:11,24:58:42,,,,,25:08:00,,,24:30:00,24:27:09,24:29:00,24:32:00,24:28:00,24:56:08,,24:45:55,,,,24:26:00,24:44:59,24:44:00,24:48:00,,,24:51:41,,25:02:30,25:01:04,,25:06:25,,24:47:14,,,,24:53:19,,25:04:00,
113335994237521501,,,24:59:36,,,,25:24:00,,,25:08:03,25:08:55,25:09:57,24:54:46,,,,,,25:00:42,25:01:12,25:02:13,25:04:00,,24:53:00,25:17:00,,,,,,,25:03:15,,25:13:00,25:13:58,25:15:00,,,,,25:21:48,25:11:00,,24:57:20,,,24:58:29,,24:53:58,,25:11:37,25:19:17,25:05:42,,25:06:50,,24:56:00
113335997237521501,24:34:24,24:38:00,,24:59:47,24:36:44,24:41:28,,24:49:02,24:49:55,,,,,25:05:19,24:55:00,24:56:55,24:58:11,24:58:42,,,,,25:08:00,,,24:30:00,24:27:09,24:29:00,24:32:00,24:28:00,24:56:08,,24:45:55,,,,24:26:00,24:44:59,24:44:00,24:48:00,,,24:51:41,,25:02:30,25:01:04,,25:06:25,,24:47:14,,,,24:53:19,,25:04:00,
113335999237521501,25:34:24,25:38:00,,25:59:47,25:36:44,25:41:28,,25:49:02,25:49:55,,,,,26:05:19,25:55:00,25:56:55,25:58:11,25:58:42,,,,,26:08:00,,,25:30:00,25:27:09,25:29:00,25:32:00,25:28:00,25:56:08,,25:45:55,,,,25:26:00,25:44:59,25:44:00,25:48:00,,,25:51:41,,26:02:30,26:01:04,,26:06:25,,25:47:14,,,,25:53:19,,26:04:00,
113336000237521501,25:04:24,25:08:00,,25:29:47,25:06:44,25:11:28,,25:19:02,25:19:55,,,,,25:35:19,25:25:00,25:26:55,25:28:11,25:28:42,,,,,25:38:00,,,25:00:00,24:57:09,24:59:00,25:02:00,24:58:00,25:26:08,,25:15:55,,,,24:56:00,25:14:59,25:14:00,25:18:00,,,25:21:41,,25:32:30,25:31:04,,25:36:25,,25:17:14,,,,25:23:19,,25:34:00,
113336001237521501,,,25:59:36,,,,26:24:00,,,26:08:03,26:08:55,26:09:57,25:54:46,,,,,,26:00:42,26:01:12,26:02:13,26:04:00,,25:53:00,26:17:00,,,,,,,26:03:15,,26:13:00,26:13:58,26:15:00,,,,,26:21:48,26:11:00,,25:57:20,,,25:58:29,,25:53:58,,26:11:37,26:19:17,26:05:42,,26:06:50,,25:56:00
113336003237521501,,,26:29:36,,,,26:54:00,,,26:38:03,26:38:55,26:39:57,26:24:46,,,,,,26:30:42,26:31:12,26:32:13,26:34:00,,26:23:00,26:47:00,,,,,,,26:33:15,,26:43:00,26:43:58,26:45:00,,,,,26:51:48,26:41:00,,26:27:20,,,26:28:29,,26:23:58,,26:41:37,26:49:17,26:35:42,,26:36:50,,26:26:00
113336006237521501,27:04:24,27:08:00,,27:29:47,27:06:44,27:11:28,,27:19:02,27:19:55,,,,,27:35:19,27:25:00,27:26:55,27:28:11,27:28:42,,,,,27:38:00,,,27:00:00,26:57:09,26:59:00,27:02:00,26:58:00,27:26:08,,27:15:55,,,,26:56:00,27:14:59,27:14:00,27:18:00,,,27:21:41,,27:32:30,27:31:04,,27:36:25,,27:17:14,,,,27:23:19,,27:34:00,
113336008237521501,,,25:29:36,,,,25:54:00,,,25:38:03,25:38:55,25:39:57,25:24:46,,,,,,25:30:42,25:31:12,25:32:13,25:34:00,,25:23:00,25:47:00,,,,,,,25:33:15,,25:43:00,25:43:58,25:45:00,,,,,25:51:48,25:41:00,,25:27:20,,,25:28:29,,25:23:58,,25:41:37,25:49:17,25:35:42,,25:36:50,,25:26:00
113336016237521501,26:04:24,26:08:00,,26:29:47,26:06:44,26:11:28,,26:19:02,26:19:55,,,,,26:35:19,26:25:00,26:26:55,26:28:11,26:28:42,,,,,26:38:00,,,26:00:00,25:57:09,25:59:00,26:02:00,25:58:00,26:26:08,,26:15:55,,,,25:56:00,26:14:59,26:14:00,26:18:00,,,26:21:41,,26:32:30,26:31:04,,26:36:25,,26:17:14,,,,26:23:19,,26:34:00,
113336025237521501,26:34:24,26:38:00,,26:59:47,26:36:44,26:41:28,,26:49:02,26:49:55,,,,,27:05:19,26:55:00,26:56:55,26:58:11,26:58:42,,,,,27:08:00,,,26:30:00,26:27:09,26:29:00,26:32:00,26:28:00,26:56:08,,26:45:55,,,,26:26:00,26:44:59,26:44:00,26:48:00,,,26:51:41,,27:02:30,27:01:04,,27:06:25,,26:47:14,,,,26:53:19,,27:04:00,
