trip_id,1063,1125,1126,1127,1128,1167,1168,1169,1229,1230,1231,1232,1239,1240,1258B,1376B,1794,1801,2212,2301,2303,2333,2334B,2402,2404,2462,2463,2465,2470,2477,2578,2595,2604,2608,2663,2665,2667,2669,3347,3567,5100B,5101B,5107B,5111B,5115,5121,5152,5161,5719,5720,5721,5722,5723B,5756,5921B
113335671237520001,,26:09:16,26:10:28,26:12:00,26:13:19,,,,,26:01:02,,25:59:52,,25:59:00,25:52:19,26:12:25,,,,,,26:06:00,,,,26:04:05,26:04:49,26:07:21,26:08:00,,,,,,25:53:50,25:55:40,25:58:15,25:54:19,26:17:00,26:15:05,26:02:00,,26:02:54,,,,25:57:00,25:57:20,,,,,,25:53:05,25:52:00
113335673237520001,26:42:50,,,,,26:43:58,26:45:42,26:47:16,26:57:31,,26:58:23,,26:59:31,,,,26:35:00,26:48:00,26:39:00,26:36:13,26:38:00,,26:51:00,26:49:09,26:52:25,,,,,27:08:00,26:41:00,26:37:00,27:00:17,27:04:53,,,,,,,,26:56:00,,26:54:36,26:53:20,27:01:10,,,27:02:00,27:03:19,27:05:22,27:06:08,27:07:00,,
113335674237520001,,25:39:16,25:40:28,25:42:00,25:43:19,,,,,25:31:02,,25:29:52,,25:29:00,25:22:19,25:42:25,,,,,,25:36:00,,,,25:34:05,25:34:49,25:37:21,25:38:00,,,,,,25:23:50,25:25:40,25:28:15,25:24:19,25:47:00,25:45:05,25:32:00,,25:32:54,,,,25:27:00,25:27:20,,,,,,25:23:05,25:22:00
113335678237520001,25:12:50,,,,,25:13:58,25:15:42,25:17:16,25:27:31,,25:28:23,,25:29:31,,,,25:05:00,25:18:00,25:09:00,25:06:13,25:08:00,,25:21:00,25:19:09,25:22:25,,,,,25:38:00,25:11:00,25:07:00,25:30:17,25:34:53,,,,,,,,25:26:00,,25:24:36,25:23:20,25:31:10,,,25:32:00,25:33:19,25:35:22,25:36:08,25:37:00,,
113335679237520001,24:42:50,,,,,24:43:58,24:45:42,24:47:16,24:57:31,,24:58:23,,24:59:31,,,,24:35:00,24:48:00,24:39:00,24:36:13,24:38:00,,24:51:00,24:49:09,24:52:25,,,,,25:08:00,24:41:00,24:37:00,25:00:17,25:04:53,,,,,,,,24:56:00,,24:54:36,24:53:20,25:01:10,,,25:02:00,25:03:19,25:05:22,25:06:08,25:07:00,,
113335680237520001,27:12:50,,,,,27:13:58,27:15:42,27:17:16,27:27:31,,27:28:23,,27:29:31,,,,27:05:00,27:18:00,27:09:00,27:06:13,27:08:00,,27:21:00,27:19:09,27:22:25,,,,,27:38:00,27:11:00,27:07:00,27:30:17,27:34:53,,,,,,,,27:26:00,,27:24:36,27:23:20,27:31:10,,,27:32:00,27:33:19,27:35:22,27:36:08,27:37:00,,
113335683237520001,,25:09:16,25:10:28,25:12:00,25:13:19,,,,,25:01:02,,24:59:52,,24:59:00,24:52:19,25:12:25,,,,,,25:06:00,,,,25:04:05,25:04:49,25:07:21,25:08:00,,,,,,24:53:50,24:55:40,24:58:15,24:54:19,25:17:00,25:15:05,25:02:00,,25:02:54,,,,24:57:00,24:57:20,,,,,,24:53:05,24:52:00
113335692237520001,,26:39:16,26:40:28,26:42:00,26:43:19,,,,,26:31:02,,26:29:52,,26:29:00,26:22:19,26:42:25,,,,,,26:36:00,,,,26:34:05,26:34:49,26:37:21,26:38:00,,,,,,26:23:50,26:25:40,26:28:15,26:24:19,26:47:00,26:45:05,26:32:00,,26:32:54,,,,26:27:00,26:27:20,,,,,,26:23:05,26:22:00
113335693237520001,25:42:50,,,,,25:43:58,25:45:42,25:47:16,25:57:31,,25:58:23,,25:59:31,,,,25:35:00,25:48:00,25:39:00,25:36:13,25:38:00,,25:51:00,25:49:09,25:52:25,,,,,26:08:00,25:41:00,25:37:00,26:00:17,26:04:53,,,,,,,,25:56:00,,25:54:36,25:53:20,26:01:10,,,26:02:00,26:03:19,26:05:22,26:06:08,26:07:00,,
113335698237520001,26:12:50,,,,,26:13:58,26:15:42,26:17:16,26:27:31,,26:28:23,,26:29:31,,,,26:05:00,26:18:00,26:09:00,26:06:13,26:08:00,,26:21:00,26:19:09,26:22:25,,,,,26:38:00,26:11:00,26:07:00,26:30:17,26:34:53,,,,,,,,26:26:00,,26:24:36,26:23:20,26:31:10,,,26:32:00,26:33:19,26:35:22,26:36:08,26:37:00,,
113335992237521501,,25:09:16,25:10:28,25:12:00,25:13:19,,,,,25:01:02,,24:59:52,,24:59:00,24:52:19,25:12:25,,,,,,25:06:00,,,,25:04:05,25:04:49,25:07:21,25:08:00,,,,,,24:53:50,24:55:40,24:58:15,24:54:19,25:17:00,25:15:05,25:02:00,,25:02:54,,,,24:57:00,24:57:20,,,,,,24:53:05,24:52:00
113335998237521501,,26:39:16,26:40:28,26:42:00,26:43:19,,,,,26:31:02,,26:29:52,,26:29:00,26:22:19,26:42:25,,,,,,26:36:00,,,,26:34:05,26:34:49,26:37:21,26:38:00,,,,,,26:23:50,26:25:40,26:28:15,26:24:19,26:47:00,26:45:05,26:32:00,,26:32:54,,,,26:27:00,26:27:20,,,,,,26:23:05,26:22:00
113336002237521501,26:42:50,,,,,26:43:58,26:45:42,26:47:16,26:57:31,,26:58:23,,26:59:31,,,,26:35:00,26:48:00,26:39:00,26:36:13,26:38:00,,26:51:00,26:49:09,26:52:25,,,,,27:08:00,26:41:00,26:37:00,27:00:17,27:04:53,,,,,,,,26:56:00,,26:54:36,26:53:20,27:01:10,,,27:02:00,27:03:19,27:05:22,27:06:08,27:07:00,,
113336005237521501,25:42:50,,,,,25:43:58,25:45:42,25:47:16,25:57:31,,25:58:23,,25:59:31,,,,25:35:00,25:48:00,25:39:00,25:36:13,25:38:00,,25:51:00,25:49:09,25:52:25,,,,,26:08:00,25:41:00,25:37:00,26:00:17,26:04:53,,,,,,,,25:56:00,,25:54:36,25:53:20,26:01:10,,,26:02:00,26:03:19,26:05:22,26:06:08,26:07:00,,
113336007237521501,26:12:50,,,,,26:13:58,26:15:42,26:17:16,26:27:31,,26:28:23,,26:29:31,,,,26:05:00,26:18:00,26:09:00,26:06:13,26:08:00,,26:21:00,26:19:09,26:22:25,,,,,26:38:00,26:11:00,26:07:00,26:30:17,26:34:53,,,,,,,,26:26:00,,26:24:36,26:23:20,26:31:10,,,26:32:00,26:33:19,26:35:22,26:36:08,26:37:00,,
113336017237521501,24:42:50,,,,,24:43:58,24:45:42,24:47:16,24:57:31,,24:58:23,,24:59:31,,,,24:35:00,24:48:00,24:39:00,24:36:13,24:38:00,,24:51:00,24:49:09,24:52:25,,,,,25:08:00,24:41:00,24:37:00,25:00:17,25:04:53,,,,,,,,24:56:00,,24:54:36,24:53:20,25:01:10,,,25:02:00,25:03:19,25:05:22,25:06:08,25:07:00,,
113336019237521501,,25:39:16,25:40:28,25:42:00,25:43:19,,,,,25:31:02,,25:29:52,,25:29:00,25:22:19,25:42:25,,,,,,25:36:00,,,,25:34:05,25:34:49,25:37:21,25:38:00,,,,,,25:23:50,25:25:40,25:28:15,25:24:19,25:47:00,25:45:05,25:32:00,,25:32:54,,,,25:27:00,25:27:20,,,,,,25:23:05,25:22:00
113336020237521501,27:12:50,,,,,27:13:58,27:15:42,27:17:16,27:27:31,,27:28:23,,27:29:31,,,,27:05:00,27:18:00,27:09:00,27:06:13,27:08:00,,27:21:00,27:19:09,27:22:25,,,,,27:38:00,27:11:00,27:07:00,27:30:17,27:34:53,,,,,,,,27:26:00,,27:24:36,27:23:20,27:31:10,,,27:32:00,27:33:19,27:35:22,27:36:08,27:37:00,,
113336024237521501,,26:09:16,26:10:28,26:12:00,26:13:19,,,,,26:01:02,,25:59:52,,25:59:00,25:52:19,26:12:25,,,,,,26:06:00,,,,26:04:05,26:04:49,26:07:21,26:08:00,,,,,,25:53:50,25:55:40,25:58:15,25:54:19,26:17:00,26:15:05,26:02:00,,26:02:54,,,,25:57:00,25:57:20,,,,,,25:53:05,25:52:00
113336027237521501,25:12:50,,,,,25:13:58,25:15:42,25:17:16,25:27:31,,25:28:23,,25:29:31,,,,25:05:00,25:18:00,25:09:00,25:06:13,25:08:00,,25:21:00,25:19:09,25:22:25,,,,,25:38:00,25:11:00,25:07:00,25:30:17,25:34:53,,,,,,,,25:26:00,,25:24:36,25:23:20,25:31:10,,,25:32:00,25:33:19,25:35:22,25:36:08,25:37:00,,
