trip_id,1063,1124,1128,1220,1221,1376B,1726,1734,1926B,1929,1931,1932,1933B,1935,1936,1937,1938,1939,1944,1953,1954,1955,1957B,1958B,1959,1961B,1962,1963,1964,1965,2165,2166,2168,2212,2301,2303,2578,2595,2950,2959,2965,3567,3624B,3625B,4952,5017,5018,5066,5067,5810,5811,5812,5813,5814,5815,5816B,5817,5853B,5854,5855,5856,5857,5858,5859,6354B,6428,6430,6445
113304490237409051,24:33:24,,24:37:00,24:50:00,,24:35:44,,24:39:51,24:58:13,25:01:50,25:04:05,25:05:09,25:05:50,25:07:51,25:08:31,25:03:08,25:11:00,25:06:48,25:09:37,,,,,,,,,,,,24:59:56,,,24:29:00,24:26:20,24:28:00,24:31:00,24:27:00,24:48:41,,,,24:43:00,24:46:57,,24:43:50,24:44:50,,,24:50:55,24:51:44,24:52:56,24:53:50,24:54:34,24:56:08,24:57:00,25:01:00,,,,,,,,24:37:49,24:46:00,,24:25:00
113304491237409051,,24:54:10,,,24:42:00,,24:51:00,,,,,,,,,,,,,24:25:11,24:26:12,24:26:53,24:28:42,24:29:15,24:30:13,24:32:16,24:33:00,24:27:46,24:34:34,24:31:19,,24:33:42,24:24:00,,,,,,,24:46:00,24:44:23,24:55:48,,,24:52:49,,,24:48:39,24:49:35,,,,,,,,,24:35:00,24:36:30,24:37:40,24:38:24,24:39:28,24:40:30,24:41:21,,,24:47:16,24:58:00
113304494237409051,25:03:24,,25:07:00,25:20:00,,25:05:44,,25:09:51,25:28:13,25:31:50,25:34:05,25:35:09,25:35:50,25:37:51,25:38:31,25:33:08,25:41:00,25:36:48,25:39:37,,,,,,,,,,,,25:29:56,,,24:59:00,24:56:20,24:58:00,25:01:00,24:57:00,25:18:41,,,,25:13:00,25:16:57,,25:13:50,25:14:50,,,25:20:55,25:21:44,25:22:56,25:23:50,25:24:34,25:26:08,25:27:00,25:31:00,,,,,,,,25:07:49,25:16:00,,24:55:00
113304495237409051,,25:24:10,,,25:12:00,,25:21:00,,,,,,,,,,,,,24:55:11,24:56:12,24:56:53,24:58:42,24:59:15,25:00:13,25:02:16,25:03:00,24:57:46,25:04:34,25:01:19,,25:03:42,24:54:00,,,,,,,25:16:00,25:14:23,25:25:48,,,25:22:49,,,25:18:39,25:19:35,,,,,,,,,25:05:00,25:06:30,25:07:40,25:08:24,25:09:28,25:10:30,25:11:21,,,25:17:16,25:28:00
113304498237409051,25:33:24,,25:37:00,25:50:00,,25:35:44,,25:39:51,25:58:13,26:01:50,26:04:05,26:05:09,26:05:50,26:07:51,26:08:31,26:03:08,26:11:00,26:06:48,26:09:37,,,,,,,,,,,,25:59:56,,,25:29:00,25:26:20,25:28:00,25:31:00,25:27:00,25:48:41,,,,25:43:00,25:46:57,,25:43:50,25:44:50,,,25:50:55,25:51:44,25:52:56,25:53:50,25:54:34,25:56:08,25:57:00,26:01:00,,,,,,,,25:37:49,25:46:00,,25:25:00
113304499237409051,,25:54:10,,,25:42:00,,25:51:00,,,,,,,,,,,,,25:25:11,25:26:12,25:26:53,25:28:42,25:29:15,25:30:13,25:32:16,25:33:00,25:27:46,25:34:34,25:31:19,,25:33:42,25:24:00,,,,,,,25:46:00,25:44:23,25:55:48,,,25:52:49,,,25:48:39,25:49:35,,,,,,,,,25:35:00,25:36:30,25:37:40,25:38:24,25:39:28,25:40:30,25:41:21,,,25:47:16,25:58:00
113304500237409051,26:03:24,,26:07:00,26:20:00,,26:05:44,,26:09:51,26:28:13,26:31:50,26:34:05,26:35:09,26:35:50,26:37:51,26:38:31,26:33:08,26:41:00,26:36:48,26:39:37,,,,,,,,,,,,26:29:56,,,25:59:00,25:56:20,25:58:00,26:01:00,25:57:00,26:18:41,,,,26:13:00,26:16:57,,26:13:50,26:14:50,,,26:20:55,26:21:44,26:22:56,26:23:50,26:24:34,26:26:08,26:27:00,26:31:00,,,,,,,,26:07:49,26:16:00,,25:55:00
113304504237409051,,26:24:10,,,26:12:00,,26:21:00,,,,,,,,,,,,,25:55:11,25:56:12,25:56:53,25:58:42,25:59:15,26:00:13,26:02:16,26:03:00,25:57:46,26:04:34,26:01:19,,26:03:42,25:54:00,,,,,,,26:16:00,26:14:23,26:25:48,,,26:22:49,,,26:18:39,26:19:35,,,,,,,,,26:05:00,26:06:30,26:07:40,26:08:24,26:09:28,26:10:30,26:11:21,,,26:17:16,26:28:00
113304506237409051,26:33:24,,26:37:00,26:50:00,,26:35:44,,26:39:51,26:58:13,27:01:50,27:04:05,27:05:09,27:05:50,27:07:51,27:08:31,27:03:08,27:11:00,27:06:48,27:09:37,,,,,,,,,,,,26:59:56,,,26:29:00,26:26:20,26:28:00,26:31:00,26:27:00,26:48:41,,,,26:43:00,26:46:57,,26:43:50,26:44:50,,,26:50:55,26:51:44,26:52:56,26:53:50,26:54:34,26:56:08,26:57:00,27:01:00,,,,,,,,26:37:49,26:46:00,,26:25:00
113304507237409051,,26:54:10,,,26:42:00,,26:51:00,,,,,,,,,,,,,26:25:11,26:26:12,26:26:53,26:28:42,26:29:15,26:30:13,26:32:16,26:33:00,26:27:46,26:34:34,26:31:19,,26:33:42,26:24:00,,,,,,,26:46:00,26:44:23,26:55:48,,,26:52:49,,,26:48:39,26:49:35,,,,,,,,,26:35:00,26:36:30,26:37:40,26:38:24,26:39:28,26:40:30,26:41:21,,,26:47:16,26:58:00
