trip_id,1063,1203,1204,1227,1260,1261,1366,1482,1489,2127,2141,2212,2215,2216,2217,2218,2220,2225,2252,2254,2256B,2257B,2259,2260,2261,2262,2264,2301,2303,2323,2373,2403,2405,2518,2535B,2578,2581,2595,2787,2840,3055,3056,3057,3066,6445,6483B,6484B,6809,6858C
113304492237409051,,,,24:45:53,25:01:04,25:02:00,,25:00:00,,,,24:42:00,24:48:50,24:50:02,24:52:00,24:53:16,24:54:40,,,,,,,,,,,24:39:20,24:41:00,24:57:01,24:58:46,24:47:35,,,24:56:00,,24:43:28,24:40:00,,,,,,,24:38:00,,,24:54:09,
113304493237409051,25:08:16,24:51:00,24:51:31,,,,,,24:52:00,,,,,,,,,,,,24:55:00,24:56:33,24:58:23,25:00:00,25:02:02,25:03:34,25:06:03,,,,,,25:04:36,24:53:13,,25:07:00,,,25:10:00,25:09:03,,,,,25:11:00,,,,24:57:15
113304496237409051,,,,25:15:53,25:31:04,25:32:00,,25:30:00,,,,25:12:00,25:18:50,25:20:02,25:22:00,25:23:16,25:24:40,,,,,,,,,,,25:09:20,25:11:00,25:27:01,25:28:46,25:17:35,,,25:26:00,,25:13:28,25:10:00,,,,,,,25:08:00,,,25:24:09,
113304497237409051,25:38:16,25:21:00,25:21:31,,,,,,25:22:00,,,,,,,,,,,,25:25:00,25:26:33,25:28:23,25:30:00,25:32:02,25:33:34,25:36:03,,,,,,25:34:36,25:23:13,,25:37:00,,,25:40:00,25:39:03,,,,,25:41:00,,,,25:27:15
113304501237409051,26:08:16,25:51:00,25:51:31,,,,,,25:52:00,,,,,,,,,,,,25:55:00,25:56:33,25:58:23,26:00:00,26:02:02,26:03:34,26:06:03,,,,,,26:04:36,25:53:13,,26:07:00,,,26:10:00,26:09:03,,,,,26:11:00,,,,25:57:15
113304502237409051,,,,25:45:53,26:01:04,26:02:00,,26:00:00,,,,25:42:00,25:48:50,25:50:02,25:52:00,25:53:16,25:54:40,,,,,,,,,,,25:39:20,25:41:00,25:57:01,25:58:46,25:47:35,,,25:56:00,,25:43:28,25:40:00,,,,,,,25:38:00,,,25:54:09,
113304503237409051,,,,26:15:53,26:31:04,26:32:00,,26:30:00,,,,26:12:00,26:18:50,26:20:02,26:22:00,26:23:16,26:24:40,,,,,,,,,,,26:09:20,26:11:00,26:27:01,26:28:46,26:17:35,,,26:26:00,,26:13:28,26:10:00,,,,,,,26:08:00,,,26:24:09,
113304505237409051,26:38:16,26:21:00,26:21:31,,,,,,26:22:00,,,,,,,,,,,,26:25:00,26:26:33,26:28:23,26:30:00,26:32:02,26:33:34,26:36:03,,,,,,26:34:36,26:23:13,,26:37:00,,,26:40:00,26:39:03,,,,,26:41:00,,,,26:27:15
113304508237409051,,,,26:45:53,27:01:04,27:02:00,,27:00:00,,,,26:42:00,26:48:50,26:50:02,26:52:00,26:53:16,26:54:40,,,,,,,,,,,26:39:20,26:41:00,26:57:01,26:58:46,26:47:35,,,26:56:00,,26:43:28,26:40:00,,,,,,,26:38:00,,,26:54:09,
113304510237409051,,,,27:15:53,27:31:04,27:32:00,,27:30:00,,,,27:12:00,27:18:50,27:20:02,27:22:00,27:23:16,27:24:40,,,,,,,,,,,27:09:20,27:11:00,27:27:01,27:28:46,27:17:35,,,27:26:00,,27:13:28,27:10:00,,,,,,,27:08:00,,,27:24:09,
113305390237410501,,,,24:45:53,25:01:04,25:02:00,,25:00:00,,,,24:42:00,24:48:50,24:50:02,24:52:00,24:53:16,24:54:40,,,,,,,,,,,24:39:20,24:41:00,24:57:01,24:58:46,24:47:35,,,24:56:00,,24:43:28,24:40:00,,,,,,,24:38:00,,,24:54:09,
113305391237410501,,,,27:15:53,27:31:04,27:32:00,,27:30:00,,,,27:12:00,27:18:50,27:20:02,27:22:00,27:23:16,27:24:40,,,,,,,,,,,27:09:20,27:11:00,27:27:01,27:28:46,27:17:35,,,27:26:00,,27:13:28,27:10:00,,,,,,,27:08:00,,,27:24:09,
113305394237410501,,,,25:15:53,25:31:04,25:32:00,,25:30:00,,,,25:12:00,25:18:50,25:20:02,25:22:00,25:23:16,25:24:40,,,,,,,,,,,25:09:20,25:11:00,25:27:01,25:28:46,25:17:35,,,25:26:00,,25:13:28,25:10:00,,,,,,,25:08:00,,,25:24:09,
113305395237410501,25:38:16,25:21:00,25:21:31,,,,,,25:22:00,,,,,,,,,,,,25:25:00,25:26:33,25:28:23,25:30:00,25:32:02,25:33:34,25:36:03,,,,,,25:34:36,25:23:13,,25:37:00,,,25:40:00,25:39:03,,,,,25:41:00,,,,25:27:15
113305398237410501,,,,25:45:53,26:01:04,26:02:00,,26:00:00,,,,25:42:00,25:48:50,25:50:02,25:52:00,25:53:16,25:54:40,,,,,,,,,,,25:39:20,25:41:00,25:57:01,25:58:46,25:47:35,,,25:56:00,,25:43:28,25:40:00,,,,,,,25:38:00,,,25:54:09,
113305399237410501,26:08:16,25:51:00,25:51:31,,,,,,25:52:00,,,,,,,,,,,,25:55:00,25:56:33,25:58:23,26:00:00,26:02:02,26:03:34,26:06:03,,,,,,26:04:36,25:53:13,,26:07:00,,,26:10:00,26:09:03,,,,,26:11:00,,,,25:57:15
113305401237410501,,,,26:15:53,26:31:04,26:32:00,,26:30:00,,,,26:12:00,26:18:50,26:20:02,26:22:00,26:23:16,26:24:40,,,,,,,,,,,26:09:20,26:11:00,26:27:01,26:28:46,26:17:35,,,26:26:00,,26:13:28,26:10:00,,,,,,,26:08:00,,,26:24:09,
113305403237410501,26:38:16,26:21:00,26:21:31,,,,,,26:22:00,,,,,,,,,,,,26:25:00,26:26:33,26:28:23,26:30:00,26:32:02,26:33:34,26:36:03,,,,,,26:34:36,26:23:13,,26:37:00,,,26:40:00,26:39:03,,,,,26:41:00,,,,26:27:15
113305406237410501,,,,26:45:53,27:01:04,27:02:00,,27:00:00,,,,26:42:00,26:48:50,26:50:02,26:52:00,26:53:16,26:54:40,,,,,,,,,,,26:39:20,26:41:00,26:57:01,26:58:46,26:47:35,,,26:56:00,,26:43:28,26:40:00,,,,,,,26:38:00,,,26:54:09,
113305414237410501,25:08:16,24:51:00,24:51:31,,,,,,24:52:00,,,,,,,,,,,,24:55:00,24:56:33,24:58:23,25:00:00,25:02:02,25:03:34,25:06:03,,,,,,25:04:36,24:53:13,,25:07:00,,,25:10:00,25:09:03,,,,,25:11:00,,,,24:57:15
113682582238891052,,,,24:45:53,25:05:04,25:06:00,,25:04:00,,24:57:16,,24:42:00,24:48:50,24:50:02,24:52:00,24:53:46,,,24:59:36,25:01:37,,,,,,,,24:39:20,24:41:00,,25:03:08,24:47:35,,,,,24:43:28,24:40:00,,,,,24:54:15,24:55:51,24:38:00,25:01:00,,,
113682583238891052,25:10:16,24:48:00,24:48:31,,,,24:51:06,,24:49:00,,24:57:30,,,,,,,24:54:39,,,,,25:00:25,25:02:00,25:04:02,25:05:34,25:08:08,,,24:51:43,,,25:06:36,24:50:02,,25:09:00,,,25:12:00,25:11:03,24:58:14,24:59:46,,,25:13:00,,24:53:00,,
113682586238891052,,,,25:15:53,25:35:04,25:36:00,,25:34:00,,25:27:16,,25:12:00,25:18:50,25:20:02,25:22:00,25:23:46,,,25:29:36,25:31:37,,,,,,,,25:09:20,25:11:00,,25:33:08,25:17:35,,,,,25:13:28,25:10:00,,,,,25:24:15,25:25:51,25:08:00,25:31:00,,,
113682587238891052,25:40:16,25:18:00,25:18:31,,,,25:21:06,,25:19:00,,25:27:30,,,,,,,25:24:39,,,,,25:30:25,25:32:00,25:34:02,25:35:34,25:38:08,,,25:21:43,,,25:36:36,25:20:02,,25:39:00,,,25:42:00,25:41:03,25:28:14,25:29:46,,,25:43:00,,25:23:00,,
113682591238891052,26:10:16,25:48:00,25:48:31,,,,25:51:06,,25:49:00,,25:57:30,,,,,,,25:54:39,,,,,26:00:25,26:02:00,26:04:02,26:05:34,26:08:08,,,25:51:43,,,26:06:36,25:50:02,,26:09:00,,,26:12:00,26:11:03,25:58:14,25:59:46,,,26:13:00,,25:53:00,,
113682592238891052,,,,25:45:53,26:05:04,26:06:00,,26:04:00,,25:57:16,,25:42:00,25:48:50,25:50:02,25:52:00,25:53:46,,,25:59:36,26:01:37,,,,,,,,25:39:20,25:41:00,,26:03:08,25:47:35,,,,,25:43:28,25:40:00,,,,,25:54:15,25:55:51,25:38:00,26:01:00,,,
113682593238891052,,,,26:15:53,26:35:04,26:36:00,,26:34:00,,26:27:16,,26:12:00,26:18:50,26:20:02,26:22:00,26:23:46,,,26:29:36,26:31:37,,,,,,,,26:09:20,26:11:00,,26:33:08,26:17:35,,,,,26:13:28,26:10:00,,,,,26:24:15,26:25:51,26:08:00,26:31:00,,,
113682595238891052,26:40:16,26:18:00,26:18:31,,,,26:21:06,,26:19:00,,26:27:30,,,,,,,26:24:39,,,,,26:30:25,26:32:00,26:34:02,26:35:34,26:38:08,,,26:21:43,,,26:36:36,26:20:02,,26:39:00,,,26:42:00,26:41:03,26:28:14,26:29:46,,,26:43:00,,26:23:00,,
113682598238891052,,,,26:45:53,27:05:04,27:06:00,,27:04:00,,26:57:16,,26:42:00,26:48:50,26:50:02,26:52:00,26:53:46,,,26:59:36,27:01:37,,,,,,,,26:39:20,26:41:00,,27:03:08,26:47:35,,,,,26:43:28,26:40:00,,,,,26:54:15,26:55:51,26:38:00,27:01:00,,,
113682600238891052,,,,27:15:53,27:35:04,27:36:00,,27:34:00,,27:27:16,,27:12:00,27:18:50,27:20:02,27:22:00,27:23:46,,,27:29:36,27:31:37,,,,,,,,27:09:20,27:11:00,,27:33:08,27:17:35,,,,,27:13:28,27:10:00,,,,,27:24:15,27:25:51,27:08:00,27:31:00,,,
113683256238895502,,,,24:45:53,25:05:04,25:06:00,,25:04:00,,24:57:16,,24:42:00,24:48:50,24:50:02,24:52:00,24:53:46,,,24:59:36,25:01:37,,,,,,,,24:39:20,24:41:00,,25:03:08,24:47:35,,,,,24:43:28,24:40:00,,,,,24:54:15,24:55:51,24:38:00,25:01:00,,,
113683257238895502,25:10:16,24:48:00,24:48:31,,,,24:51:06,,24:49:00,,24:57:30,,,,,,,24:54:39,,,,,25:00:25,25:02:00,25:04:02,25:05:34,25:08:08,,,24:51:43,,,25:06:36,24:50:02,,25:09:00,,,25:12:00,25:11:03,24:58:14,24:59:46,,,25:13:00,,24:53:00,,
113683260238895502,25:40:16,25:18:00,25:18:31,,,,25:21:06,,25:19:00,,25:27:30,,,,,,,25:24:39,,,,,25:30:25,25:32:00,25:34:02,25:35:34,25:38:08,,,25:21:43,,,25:36:36,25:20:02,,25:39:00,,,25:42:00,25:41:03,25:28:14,25:29:46,,,25:43:00,,25:23:00,,
113683262238895502,,,,25:45:53,26:05:04,26:06:00,,26:04:00,,25:57:16,,25:42:00,25:48:50,25:50:02,25:52:00,25:53:46,,,25:59:36,26:01:37,,,,,,,,25:39:20,25:41:00,,26:03:08,25:47:35,,,,,25:43:28,25:40:00,,,,,25:54:15,25:55:51,25:38:00,26:01:00,,,
113683263238895502,26:10:16,25:48:00,25:48:31,,,,25:51:06,,25:49:00,,25:57:30,,,,,,,25:54:39,,,,,26:00:25,26:02:00,26:04:02,26:05:34,26:08:08,,,25:51:43,,,26:06:36,25:50:02,,26:09:00,,,26:12:00,26:11:03,25:58:14,25:59:46,,,26:13:00,,25:53:00,,
