trip_id,1063,1094,1099,1108,1112,1114B,1115,1116,1179,1180,1183,1195,1196,1199,1202,1236,1237,1244,1245,1303,1304,1306,1307,1313,1314,1794,2212,2301,2303,2578,2595,2787,2840,2845,3009,3221,3222,3260,3261,3320B,4002B,4059,4111,4152,4153,5102,5105,5168,5174,6471
113335259237518001,25:14:16,24:56:59,24:50:58,24:57:55,25:02:00,25:03:33,25:04:14,24:53:00,,,,,,,,,,,,,24:59:00,24:55:48,,25:00:01,25:00:52,25:17:00,25:11:00,,,25:13:00,,25:16:00,25:15:03,24:49:00,25:06:11,,,25:08:00,25:09:14,,24:50:02,,,,,24:53:57,24:54:58,,,25:05:05
113335260237518001,,,,,,,,,24:44:58,24:45:36,24:47:09,24:59:00,25:00:59,24:52:43,24:42:35,24:53:52,24:40:00,24:41:12,24:38:39,24:49:39,,,24:55:24,,,24:30:00,,24:31:13,24:33:00,,24:32:00,,,25:03:00,,24:35:36,24:37:00,,,24:34:20,,25:02:07,24:44:00,24:48:13,24:51:00,,,24:56:18,24:57:45,
113335261237518001,25:44:16,25:26:59,25:20:58,25:27:55,25:32:00,25:33:33,25:34:14,25:23:00,,,,,,,,,,,,,25:29:00,25:25:48,,25:30:01,25:30:52,25:47:00,25:41:00,,,25:43:00,,25:46:00,25:45:03,25:19:00,25:36:11,,,25:38:00,25:39:14,,25:20:02,,,,,25:23:57,25:24:58,,,25:35:05
113335265237518001,,,,,,,,,26:14:58,26:15:36,26:17:09,26:29:00,26:30:59,26:22:43,26:12:35,26:23:52,26:10:00,26:11:12,26:08:39,26:19:39,,,26:25:24,,,26:00:00,,26:01:13,26:03:00,,26:02:00,,,26:33:00,,26:05:36,26:07:00,,,26:04:20,,26:32:07,26:14:00,26:18:13,26:21:00,,,26:26:18,26:27:45,
113335266237518001,26:44:16,26:26:59,26:20:58,26:27:55,26:32:00,26:33:33,26:34:14,26:23:00,,,,,,,,,,,,,26:29:00,26:25:48,,26:30:01,26:30:52,26:47:00,26:41:00,,,26:43:00,,26:46:00,26:45:03,26:19:00,26:36:11,,,26:38:00,26:39:14,,26:20:02,,,,,26:23:57,26:24:58,,,26:35:05
113335267237518001,,,,,,,,,27:14:58,27:15:36,27:17:09,27:29:00,27:30:59,27:22:43,27:12:35,27:23:52,27:10:00,27:11:12,27:08:39,27:19:39,,,27:25:24,,,27:00:00,,27:01:13,27:03:00,,27:02:00,,,27:33:00,,27:05:36,27:07:00,,,27:04:20,,27:32:07,27:14:00,27:18:13,27:21:00,,,27:26:18,27:27:45,
113335269237518001,,,,,,,,,25:44:58,25:45:36,25:47:09,25:59:00,26:00:59,25:52:43,25:42:35,25:53:52,25:40:00,25:41:12,25:38:39,25:49:39,,,25:55:24,,,25:30:00,,25:31:13,25:33:00,,25:32:00,,,26:03:00,,25:35:36,25:37:00,,,25:34:20,,26:02:07,25:44:00,25:48:13,25:51:00,,,25:56:18,25:57:45,
113335271237518001,,,,,,,,,25:14:58,25:15:36,25:17:09,25:29:00,25:30:59,25:22:43,25:12:35,25:23:52,25:10:00,25:11:12,25:08:39,25:19:39,,,25:25:24,,,25:00:00,,25:01:13,25:03:00,,25:02:00,,,25:33:00,,25:05:36,25:07:00,,,25:04:20,,25:32:07,25:14:00,25:18:13,25:21:00,,,25:26:18,25:27:45,
113335272237518001,26:14:16,25:56:59,25:50:58,25:57:55,26:02:00,26:03:33,26:04:14,25:53:00,,,,,,,,,,,,,25:59:00,25:55:48,,26:00:01,26:00:52,26:17:00,26:11:00,,,26:13:00,,26:16:00,26:15:03,25:49:00,26:06:11,,,26:08:00,26:09:14,,25:50:02,,,,,25:53:57,25:54:58,,,26:05:05
113335274237518001,,,,,,,,,26:44:58,26:45:36,26:47:09,26:59:00,27:00:59,26:52:43,26:42:35,26:53:52,26:40:00,26:41:12,26:38:39,26:49:39,,,26:55:24,,,26:30:00,,26:31:13,26:33:00,,26:32:00,,,27:03:00,,26:35:36,26:37:00,,,26:34:20,,27:02:07,26:44:00,26:48:13,26:51:00,,,26:56:18,26:57:45,
