trip_id,1901,2088,2089,2207,2209,2221,2267,2269,2271,2301,2537,2543,2587,2595,2833,2835,2843,2844,3347,4123,4124,4131B,4132B,4229,4230,4232,4264B,4265,4274,4276,4277,4956,4957,6097B,6123,6174B,6481,6482,9025
113227730237120501,,24:44:57,,,,,24:39:12,24:41:59,24:44:02,24:37:09,24:47:17,,24:42:39,24:38:00,24:40:51,,24:48:30,,24:36:00,24:52:12,,,24:53:00,,,,,25:01:00,24:54:45,24:57:00,24:58:23,24:55:27,,,,24:50:17,,24:59:38,
113227731237120501,25:07:00,,25:00:47,25:01:46,25:04:03,25:08:55,,,,,,24:58:00,,,,25:04:44,,24:56:50,25:11:00,,24:53:38,24:53:00,,24:48:36,24:50:00,24:51:42,24:46:00,,,,,,24:51:07,24:55:22,24:59:03,,24:47:24,,25:03:00
113227732237120501,,25:14:57,,,,,25:09:12,25:11:59,25:14:02,25:07:09,25:17:17,,25:12:39,25:08:00,25:10:51,,25:18:30,,25:06:00,25:22:12,,,25:23:00,,,,,25:31:00,25:24:45,25:27:00,25:28:23,25:25:27,,,,25:20:17,,25:29:38,
113227733237120501,,25:44:57,,,,,25:39:12,25:41:59,25:44:02,25:37:09,25:47:17,,25:42:39,25:38:00,25:40:51,,25:48:30,,25:36:00,25:52:12,,,25:53:00,,,,,26:01:00,25:54:45,25:57:00,25:58:23,25:55:27,,,,25:50:17,,25:59:38,
113227734237120501,25:37:00,,25:30:47,25:31:46,25:34:03,25:38:55,,,,,,25:28:00,,,,25:34:44,,25:26:50,25:41:00,,25:23:38,25:23:00,,25:18:36,25:20:00,25:21:42,25:16:00,,,,,,25:21:07,25:25:22,25:29:03,,25:17:24,,25:33:00
113227735237120501,26:07:00,,26:00:47,26:01:46,26:04:03,26:08:55,,,,,,25:58:00,,,,26:04:44,,25:56:50,26:11:00,,25:53:38,25:53:00,,25:48:36,25:50:00,25:51:42,25:46:00,,,,,,25:51:07,25:55:22,25:59:03,,25:47:24,,26:03:00
113227736237120501,,26:14:57,,,,,26:09:12,26:11:59,26:14:02,26:07:09,26:17:17,,26:12:39,26:08:00,26:10:51,,26:18:30,,26:06:00,26:22:12,,,26:23:00,,,,,26:31:00,26:24:45,26:27:00,26:28:23,26:25:27,,,,26:20:17,,26:29:38,
113227737237120501,26:37:00,,26:30:47,26:31:46,26:34:03,26:38:55,,,,,,26:28:00,,,,26:34:44,,26:26:50,26:41:00,,26:23:38,26:23:00,,26:18:36,26:20:00,26:21:42,26:16:00,,,,,,26:21:07,26:25:22,26:29:03,,26:17:24,,26:33:00
113227741237120501,,26:44:57,,,,,26:39:12,26:41:59,26:44:02,26:37:09,26:47:17,,26:42:39,26:38:00,26:40:51,,26:48:30,,26:36:00,26:52:12,,,26:53:00,,,,,27:01:00,26:54:45,26:57:00,26:58:23,26:55:27,,,,26:50:17,,26:59:38,
113227742237120501,,27:14:57,,,,,27:09:12,27:11:59,27:14:02,27:07:09,27:17:17,,27:12:39,27:08:00,27:10:51,,27:18:30,,27:06:00,27:22:12,,,27:23:00,,,,,27:31:00,27:24:45,27:27:00,27:28:23,27:25:27,,,,27:20:17,,27:29:38,
113227753237121001,,24:44:57,,,,,24:39:12,24:41:59,24:44:02,24:37:09,24:47:17,,24:42:39,24:38:00,24:40:51,,24:48:30,,24:36:00,24:52:12,,,24:53:00,,,,,25:01:00,24:54:45,24:57:00,24:58:23,24:55:27,,,,24:50:17,,24:59:38,
113227754237121001,25:37:00,,25:30:47,25:31:46,25:34:03,25:38:55,,,,,,25:28:00,,,,25:34:44,,25:26:50,25:41:00,,25:23:38,25:23:00,,25:18:36,25:20:00,25:21:42,25:16:00,,,,,,25:21:07,25:25:22,25:29:03,,25:17:24,,25:33:00
113227756237121001,25:07:00,,25:00:47,25:01:46,25:04:03,25:08:55,,,,,,24:58:00,,,,25:04:44,,24:56:50,25:11:00,,24:53:38,24:53:00,,24:48:36,24:50:00,24:51:42,24:46:00,,,,,,24:51:07,24:55:22,24:59:03,,24:47:24,,25:03:00
113227757237121001,,26:14:57,,,,,26:09:12,26:11:59,26:14:02,26:07:09,26:17:17,,26:12:39,26:08:00,26:10:51,,26:18:30,,26:06:00,26:22:12,,,26:23:00,,,,,26:31:00,26:24:45,26:27:00,26:28:23,26:25:27,,,,26:20:17,,26:29:38,
113227758237121001,,26:44:57,,,,,26:39:12,26:41:59,26:44:02,26:37:09,26:47:17,,26:42:39,26:38:00,26:40:51,,26:48:30,,26:36:00,26:52:12,,,26:53:00,,,,,27:01:00,26:54:45,26:57:00,26:58:23,26:55:27,,,,26:50:17,,26:59:38,
113227759237121001,,27:14:57,,,,,27:09:12,27:11:59,27:14:02,27:07:09,27:17:17,,27:12:39,27:08:00,27:10:51,,27:18:30,,27:06:00,27:22:12,,,27:23:00,,,,,27:31:00,27:24:45,27:27:00,27:28:23,27:25:27,,,,27:20:17,,27:29:38,
113227760237121001,,25:14:57,,,,,25:09:12,25:11:59,25:14:02,25:07:09,25:17:17,,25:12:39,25:08:00,25:10:51,,25:18:30,,25:06:00,25:22:12,,,25:23:00,,,,,25:31:00,25:24:45,25:27:00,25:28:23,25:25:27,,,,25:20:17,,25:29:38,
113227761237121001,26:07:00,,26:00:47,26:01:46,26:04:03,26:08:55,,,,,,25:58:00,,,,26:04:44,,25:56:50,26:11:00,,25:53:38,25:53:00,,25:48:36,25:50:00,25:51:42,25:46:00,,,,,,25:51:07,25:55:22,25:59:03,,25:47:24,,26:03:00
113227763237121001,,25:44:57,,,,,25:39:12,25:41:59,25:44:02,25:37:09,25:47:17,,25:42:39,25:38:00,25:40:51,,25:48:30,,25:36:00,25:52:12,,,25:53:00,,,,,26:01:00,25:54:45,25:57:00,25:58:23,25:55:27,,,,25:50:17,,25:59:38,
