trip_id,1662,1664,2127,2141,2218,2225,2252,2254,2259,2260,2683,2684,2685,3055,3056,3057,3066,3608B,3609,3612,3613,6483B,6484B,6792,6799,6808B,6811B,6856B,6860B,7568
113704661238965001,07:44:00,,,07:34:00,,07:30:12,,,07:37:53,07:40:00,07:20:00,,07:26:00,07:34:58,07:37:01,,,,,07:20:26,07:21:38,,07:28:00,,07:23:00,,,07:24:23,07:41:57,
113704662238965001,,07:51:00,08:00:46,,07:56:47,,08:03:25,08:06:00,,,,08:11:00,,,,07:57:20,07:59:09,08:09:58,08:10:26,,,08:05:00,,08:09:00,,07:52:55,08:07:46,,,07:55:00
113704664238965001,,09:06:00,09:15:46,,09:11:47,,09:18:25,09:21:00,,,,09:26:00,,,,09:12:20,09:14:09,09:24:58,09:25:26,,,09:20:00,,09:24:00,,09:07:55,09:22:46,,,09:10:00
113704665238965001,08:59:00,,,08:48:00,,08:42:57,,,08:52:31,08:55:00,08:32:00,,08:38:00,08:49:07,08:51:31,,,,,08:32:26,08:33:38,,08:40:00,,08:35:00,,,08:36:23,08:56:57,
113704668238965001,10:09:00,,,10:00:00,,09:56:12,,,10:03:14,10:05:00,09:47:00,,09:52:00,10:00:48,10:02:31,,,,,09:47:17,09:48:05,,09:54:00,,09:49:00,,,09:50:23,10:06:57,
113704670238965001,,05:27:00,05:33:28,,05:31:04,,05:35:03,05:37:00,,,,05:42:00,,,,05:31:24,05:32:29,05:40:58,05:41:26,,,05:36:00,,05:40:00,,05:28:26,05:38:46,,,05:30:00
113704673238965001,,08:51:00,09:00:46,,08:56:47,,09:03:25,09:06:00,,,,09:11:00,,,,08:57:20,08:59:09,09:09:58,09:10:26,,,09:05:00,,09:09:00,,08:52:55,09:07:46,,,08:55:00
113704674238965001,,10:02:00,10:11:46,,10:07:47,,10:14:25,10:17:00,,,,10:22:00,,,,10:08:20,10:10:09,10:20:58,10:21:26,,,10:16:00,,10:20:00,,10:03:55,10:18:46,,,10:06:00
113704675238965001,,11:13:00,11:22:46,,11:18:47,,11:25:25,11:28:00,,,,11:33:00,,,,11:19:20,11:21:09,11:31:58,11:32:26,,,11:27:00,,11:31:00,,11:14:55,11:29:46,,,11:17:00
113704676238965001,,10:17:00,10:26:46,,10:22:47,,10:29:25,10:32:00,,,,10:37:00,,,,10:23:20,10:25:09,10:35:58,10:36:26,,,10:31:00,,10:35:00,,10:18:55,10:33:46,,,10:21:00
113704677238965001,,11:29:00,11:38:46,,11:34:47,,11:41:25,11:44:00,,,,11:49:00,,,,11:35:20,11:37:09,11:47:58,11:48:26,,,11:43:00,,11:47:00,,11:30:55,11:45:46,,,11:33:00
113704678238965001,06:19:00,,,06:12:00,,06:08:50,,,06:14:35,06:16:00,06:02:00,,06:06:00,06:12:38,06:14:01,,,,,06:02:17,06:03:05,,06:07:00,,06:04:00,,,06:04:55,06:17:27,
113704679238965001,07:29:00,,,07:19:00,,07:15:12,,,07:22:53,07:25:00,07:05:00,,07:11:00,07:19:58,07:22:01,,,,,07:05:26,07:06:38,,07:13:00,,07:08:00,,,07:09:23,07:26:57,
113704680238965001,08:44:00,,,08:33:00,,08:27:57,,,08:37:31,08:40:00,08:17:00,,08:23:00,08:34:07,08:36:31,,,,,08:17:26,08:18:38,,08:25:00,,08:20:00,,,08:21:23,08:41:57,
113704686238965001,,07:36:00,07:45:46,,07:41:47,,07:48:25,07:51:00,,,,07:56:00,,,,07:42:20,07:44:09,07:54:58,07:55:26,,,07:50:00,,07:54:00,,07:37:55,07:52:46,,,07:40:00
113704687238965001,,06:27:00,06:34:02,,06:31:15,,06:35:54,06:38:00,,,,06:43:00,,,,06:31:38,06:32:54,06:41:58,06:42:26,,,06:37:00,,06:41:00,,06:28:26,06:39:46,,,06:30:00
113704690238965001,09:55:00,,,09:46:00,,09:42:12,,,09:49:14,09:51:00,09:33:00,,09:38:00,09:46:48,09:48:31,,,,,09:33:17,09:34:05,,09:40:00,,09:35:00,,,09:36:23,09:52:57,
113704691238965001,11:05:00,,,10:56:00,,10:52:12,,,10:59:14,11:01:00,10:43:00,,10:48:00,10:56:48,10:58:31,,,,,10:43:17,10:44:05,,10:50:00,,10:45:00,,,10:46:23,11:02:57,
113704692238965001,11:21:00,,,11:12:00,,11:08:12,,,11:15:14,11:17:00,10:59:00,,11:04:00,11:12:48,11:14:31,,,,,10:59:17,11:00:05,,11:06:00,,11:01:00,,,11:02:23,11:18:57,
113704700238965001,12:17:00,,,12:08:00,,12:04:12,,,12:11:14,12:13:00,11:55:00,,12:00:00,12:08:48,12:10:31,,,,,11:55:17,11:56:05,,12:02:00,,11:57:00,,,11:58:23,12:14:57,
113704701238965001,,12:25:00,12:34:46,,12:30:47,,12:37:25,12:40:00,,,,12:45:00,,,,12:31:20,12:33:09,12:43:58,12:44:26,,,12:39:00,,12:43:00,,12:26:55,12:41:46,,,12:29:00
113704702238965001,12:33:00,,,12:24:00,,12:20:12,,,12:27:14,12:29:00,12:11:00,,12:16:00,12:24:48,12:26:31,,,,,12:11:17,12:12:05,,12:18:00,,12:13:00,,,12:14:23,12:30:57,
113704705238965001,,12:41:00,12:50:46,,12:46:47,,12:53:25,12:56:00,,,,13:01:00,,,,12:47:20,12:49:09,12:59:58,13:00:26,,,12:55:00,,12:59:00,,12:42:55,12:57:46,,,12:45:00
113704709238965001,13:29:00,,,13:20:00,,13:16:12,,,13:23:14,13:25:00,13:07:00,,13:12:00,13:20:48,13:22:31,,,,,13:07:17,13:08:05,,13:14:00,,13:09:00,,,13:10:23,13:26:57,
113704710238965001,13:45:00,,,13:36:00,,13:32:12,,,13:39:14,13:41:00,13:23:00,,13:28:00,13:36:48,13:38:31,,,,,13:23:17,13:24:05,,13:30:00,,13:25:00,,,13:26:23,13:42:57,
113704711238965001,,13:37:00,13:46:46,,13:42:47,,13:49:25,13:52:00,,,,13:57:00,,,,13:43:20,13:45:09,13:55:58,13:56:26,,,13:51:00,,13:55:00,,13:38:55,13:53:46,,,13:41:00
113704712238965001,,13:53:00,14:02:46,,13:58:47,,14:05:25,14:08:00,,,,14:13:00,,,,13:59:20,14:01:09,14:11:58,14:12:26,,,14:07:00,,14:11:00,,13:54:55,14:09:46,,,13:57:00
113704716238965001,,14:49:00,14:58:46,,14:54:47,,15:01:25,15:04:00,,,,15:09:00,,,,14:55:20,14:57:09,15:07:58,15:08:26,,,15:03:00,,15:07:00,,14:50:55,15:05:46,,,14:53:00
113704718238965001,14:41:00,,,14:31:00,,14:27:12,,,14:34:53,14:37:00,14:18:00,,14:23:00,14:31:58,14:34:01,,,,,14:18:17,14:19:05,,14:25:00,,14:20:00,,,14:21:23,14:38:57,
113704719238965001,14:57:00,,,14:47:00,,14:43:12,,,14:50:53,14:53:00,14:34:00,,14:39:00,14:47:58,14:50:01,,,,,14:34:17,14:35:05,,14:41:00,,14:36:00,,,14:37:23,14:54:57,
113704723238965001,,05:59:00,06:05:28,,06:03:04,,06:07:03,06:09:00,,,,06:14:00,,,,06:03:24,06:04:29,06:12:58,06:13:26,,,06:08:00,,06:12:00,,06:00:26,06:10:46,,,06:02:00
113704725238965001,,08:14:00,08:23:46,,08:19:47,,08:26:25,08:29:00,,,,08:34:00,,,,08:20:20,08:22:09,08:32:58,08:33:26,,,08:28:00,,08:32:00,,08:15:55,08:30:46,,,08:18:00
113704726238965001,,09:27:00,09:36:46,,09:32:47,,09:39:25,09:42:00,,,,09:47:00,,,,09:33:20,09:35:09,09:45:58,09:46:26,,,09:41:00,,09:45:00,,09:28:55,09:43:46,,,09:31:00
113704727238965001,,10:41:00,10:50:46,,10:46:47,,10:53:25,10:56:00,,,,11:01:00,,,,10:47:20,10:49:09,10:59:58,11:00:26,,,10:55:00,,10:59:00,,10:42:55,10:57:46,,,10:45:00
113704728238965001,,11:53:00,12:02:46,,11:58:47,,12:05:25,12:08:00,,,,12:13:00,,,,11:59:20,12:01:09,12:11:58,12:12:26,,,12:07:00,,12:11:00,,11:54:55,12:09:46,,,11:57:00
113704729238965001,,13:05:00,13:14:46,,13:10:47,,13:17:25,13:20:00,,,,13:25:00,,,,13:11:20,13:13:09,13:23:58,13:24:26,,,13:19:00,,13:23:00,,13:06:55,13:21:46,,,13:09:00
113704730238965001,,14:17:00,14:26:46,,14:22:47,,14:29:25,14:32:00,,,,14:37:00,,,,14:23:20,14:25:09,14:35:58,14:36:26,,,14:31:00,,14:35:00,,14:18:55,14:33:46,,,14:21:00
113704731238965001,,15:04:00,15:15:21,,15:10:58,,15:18:16,15:21:00,,,,15:26:00,,,,15:11:34,15:13:34,15:24:58,15:25:26,,,15:20:00,,15:24:00,,15:06:24,15:22:46,,,15:09:00
113704732238965001,,15:27:00,15:38:55,,15:34:09,,15:42:06,15:45:00,,,,15:50:00,,,,15:34:48,15:36:59,15:48:58,15:49:26,,,15:44:00,,15:48:00,,15:29:24,15:46:46,,,15:32:00
113704733238965001,06:51:00,,,06:42:00,,06:38:50,,,06:45:14,06:47:00,06:32:00,,06:36:00,06:42:48,06:44:31,,,,,06:32:17,06:33:05,,06:37:00,,06:34:00,,,06:34:55,06:48:57,
113704734238965001,08:06:00,,,07:56:00,,07:51:35,,,07:59:53,08:02:00,07:41:00,,07:47:00,07:56:58,07:59:01,,,,,07:41:26,07:42:38,,07:49:00,,07:44:00,,,07:45:23,08:03:57,
113704740238965001,,06:59:00,07:06:37,,07:03:26,,07:08:44,07:11:00,,,,07:16:00,,,,07:03:52,07:05:19,07:14:58,07:15:26,,,07:10:00,,07:14:00,,07:00:26,07:12:46,,,07:02:00
113704750238965001,09:20:00,,,09:10:00,,09:05:35,,,09:13:53,09:16:00,08:55:00,,09:01:00,09:10:58,09:13:01,,,,,08:55:26,08:56:38,,09:03:00,,08:58:00,,,08:59:23,09:17:57,
113704751238965001,10:33:00,,,10:24:00,,10:20:12,,,10:27:14,10:29:00,10:11:00,,10:16:00,10:24:48,10:26:31,,,,,10:11:17,10:12:05,,10:18:00,,10:13:00,,,10:14:23,10:30:57,
113704752238965001,11:45:00,,,11:36:00,,11:32:12,,,11:39:14,11:41:00,11:23:00,,11:28:00,11:36:48,11:38:31,,,,,11:23:17,11:24:05,,11:30:00,,11:25:00,,,11:26:23,11:42:57,
113704753238965001,12:57:00,,,12:48:00,,12:44:12,,,12:51:14,12:53:00,12:35:00,,12:40:00,12:48:48,12:50:31,,,,,12:35:17,12:36:05,,12:42:00,,12:37:00,,,12:38:23,12:54:57,
113704754238965001,14:09:00,,,14:00:00,,13:56:12,,,14:03:14,14:05:00,13:47:00,,13:52:00,14:00:48,14:02:31,,,,,13:47:17,13:48:05,,13:54:00,,13:49:00,,,13:50:23,14:06:57,
113704755238965001,15:20:00,,,15:10:00,,15:05:35,,,15:13:53,15:16:00,14:56:00,,15:01:00,15:10:58,15:13:01,,,,,14:56:17,14:57:05,,15:03:00,,14:58:00,,,14:59:23,15:17:57,
113704756238965001,15:57:00,,,15:47:00,,15:42:35,,,15:50:53,15:53:00,15:33:00,,15:38:00,15:47:58,15:50:01,,,,,15:33:17,15:34:05,,15:40:00,,15:35:00,,,15:36:23,15:54:57,
113704757238965001,16:12:00,,,16:01:00,,15:56:35,,,16:05:31,16:08:00,15:47:00,,15:52:00,16:02:07,16:04:31,,,,,15:47:17,15:48:05,,15:54:00,,15:49:00,,,15:50:23,16:09:57,
113704762238965001,,16:19:00,16:31:55,,16:27:09,,16:35:06,16:38:00,,,,16:43:00,,,,16:27:48,16:29:59,16:41:58,16:42:26,,,16:37:00,,16:41:00,,16:21:52,16:39:46,,,16:25:00
113704763238965001,,16:04:00,16:16:55,,16:12:09,,16:20:06,16:23:00,,,,16:28:00,,,,16:12:48,16:14:59,16:26:58,16:27:26,,,16:22:00,,16:26:00,,16:06:52,16:24:46,,,16:10:00
113704764238965001,,16:34:00,16:46:55,,16:42:09,,16:50:06,16:53:00,,,,16:58:00,,,,16:42:48,16:44:59,16:56:58,16:57:26,,,16:52:00,,16:56:00,,16:36:52,16:54:46,,,16:40:00
113704765238965001,,16:49:00,17:01:55,,16:57:09,,17:05:06,17:08:00,,,,17:13:00,,,,16:57:48,16:59:59,17:11:58,17:12:26,,,17:07:00,,17:11:00,,16:51:52,17:09:46,,,16:55:00
113704772238965001,16:27:00,,,16:16:00,,16:11:35,,,16:20:31,16:23:00,16:01:00,,16:07:00,16:17:07,16:19:31,,,,,16:01:26,16:02:38,,16:09:00,,16:04:00,,,16:05:23,16:24:57,
113704773238965001,16:42:00,,,16:31:00,,16:26:35,,,16:35:31,16:38:00,16:16:00,,16:22:00,16:32:07,16:34:31,,,,,16:16:26,16:17:38,,16:24:00,,16:19:00,,,16:20:23,16:39:57,
113704774238965001,17:19:00,,,17:08:00,,17:02:57,,,17:12:31,17:15:00,16:52:00,,16:58:00,17:09:07,17:11:31,,,,,16:52:26,16:53:38,,17:00:00,,16:55:00,,,16:56:23,17:16:57,
113704778238965001,17:34:00,,,17:23:00,,17:17:57,,,17:27:31,17:30:00,17:07:00,,17:13:00,17:24:07,17:26:31,,,,,17:07:26,17:08:38,,17:15:00,,17:10:00,,,17:11:23,17:31:57,
113704779238965001,17:49:00,,,17:38:00,,17:32:57,,,17:42:31,17:45:00,17:22:00,,17:28:00,17:39:07,17:41:31,,,,,17:22:26,17:23:38,,17:30:00,,17:25:00,,,17:26:23,17:46:57,
113704780238965001,,17:27:00,17:39:55,,17:35:09,,17:43:06,17:46:00,,,,17:51:00,,,,17:35:48,17:37:59,17:49:58,17:50:26,,,17:45:00,,17:49:00,,17:29:52,17:47:46,,,17:33:00
113704782238965001,18:04:00,,,17:53:00,,17:47:57,,,17:57:31,18:00:00,17:37:00,,17:43:00,17:54:07,17:56:31,,,,,17:37:26,17:38:38,,17:45:00,,17:40:00,,,17:41:23,18:01:57,
113704783238965001,,17:42:00,17:54:55,,17:50:09,,17:58:06,18:01:00,,,,18:06:00,,,,17:50:48,17:52:59,18:04:58,18:05:26,,,18:00:00,,18:04:00,,17:44:52,18:02:46,,,17:48:00
113704784238965001,,17:57:00,18:09:55,,18:05:09,,18:13:06,18:16:00,,,,18:21:00,,,,18:05:48,18:07:59,18:19:58,18:20:26,,,18:15:00,,18:19:00,,17:59:52,18:17:46,,,18:03:00
113704788238965001,,18:12:00,18:24:55,,18:20:09,,18:28:06,18:31:00,,,,18:36:00,,,,18:20:48,18:22:59,18:34:58,18:35:26,,,18:30:00,,18:34:00,,18:14:52,18:32:46,,,18:18:00
113704792238965001,18:42:00,,,18:32:00,,18:27:35,,,18:35:53,18:38:00,18:18:00,,18:23:00,18:32:58,18:35:01,,,,,18:18:17,18:19:05,,18:25:00,,18:20:00,,,18:21:23,18:39:57,
113704793238965001,19:19:00,,,19:11:00,,19:07:12,,,19:14:14,19:16:00,18:59:00,,19:04:00,19:11:48,19:13:31,,,,,18:59:17,19:00:05,,19:05:00,,19:01:00,,,19:02:23,19:17:27,
113704794238965001,,18:49:00,19:00:21,,18:55:58,,19:03:16,19:06:00,,,,19:11:00,,,,18:56:34,18:58:34,19:09:58,19:10:26,,,19:05:00,,19:09:00,,18:51:24,19:07:46,,,18:54:00
113704795238965001,,19:12:00,19:22:46,,19:18:47,,19:25:25,19:28:00,,,,19:33:00,,,,19:19:20,19:21:09,19:31:58,19:32:26,,,19:27:00,,19:31:00,,19:14:24,19:29:46,,,19:17:00
113704796238965001,19:04:00,,,18:56:00,,18:52:12,,,18:59:14,19:01:00,18:43:00,,18:48:00,18:56:48,18:58:31,,,,,18:43:17,18:44:05,,18:50:00,,18:45:00,,,18:46:23,19:02:27,
113704800238965001,19:49:00,,,19:41:00,,19:37:12,,,19:44:14,19:46:00,19:29:00,,19:34:00,19:41:48,19:43:31,,,,,19:29:17,19:30:05,,19:35:00,,19:31:00,,,19:32:23,19:47:27,
113704801238965001,,19:26:00,19:35:37,,19:32:26,,19:37:44,19:40:00,,,,19:45:00,,,,19:32:52,19:34:19,19:43:58,19:44:26,,,19:39:00,,19:43:00,,19:28:24,19:41:46,,,19:31:00
113704805238965001,20:11:00,,,20:03:00,,19:59:12,,,20:06:14,20:08:00,19:51:00,,19:56:00,20:03:48,20:05:31,,,,,19:51:17,19:52:05,,19:57:00,,19:53:00,,,19:54:23,20:09:27,
113704806238965001,,19:57:00,20:06:02,,20:03:15,,20:07:54,20:10:00,,,,20:15:00,,,,20:03:38,20:04:54,20:13:58,20:14:26,,,20:09:00,,20:13:00,,19:59:24,20:11:46,,,20:02:00
113704807238965001,20:26:00,,,20:18:00,,20:14:12,,,20:21:14,20:23:00,20:06:00,,20:11:00,20:18:48,20:20:31,,,,,20:06:17,20:07:05,,20:12:00,,20:08:00,,,20:09:23,20:24:27,
113704812238965001,20:57:00,,,20:49:00,,20:45:50,,,20:52:14,20:54:00,20:38:00,,20:43:00,20:49:48,20:51:31,,,,,20:38:17,20:39:05,,20:44:00,,20:40:00,,,20:41:23,20:55:27,
113704814238965001,,20:19:00,20:27:02,,20:24:15,,20:28:54,20:31:00,,,,20:36:00,,,,20:24:38,20:25:54,20:34:58,20:35:26,,,20:30:00,,20:34:00,,20:20:55,20:32:46,,,20:23:00
113704815238965001,,20:33:00,20:41:02,,20:38:15,,20:42:54,20:45:00,,,,20:50:00,,,,20:38:38,20:39:54,20:48:58,20:49:26,,,20:44:00,,20:48:00,,20:34:55,20:46:46,,,20:37:00
113704820238965001,21:40:00,,,21:33:00,,21:29:50,,,21:35:35,21:37:00,21:23:00,,21:27:00,21:33:38,21:35:01,,,,,21:23:17,21:24:05,,21:28:00,,21:25:00,,,21:25:55,21:38:27,
113704821238965001,,21:47:00,21:53:28,,21:51:04,,21:55:03,21:57:00,,,,22:02:00,,,,21:51:24,21:52:29,22:00:58,22:01:26,,,21:56:00,,22:00:00,,21:48:26,21:58:46,,,21:50:00
113704822238965001,22:36:00,,,22:29:00,,22:25:50,,,22:31:35,22:33:00,22:19:00,,22:23:00,22:29:38,22:31:01,,,,,22:19:17,22:20:05,,22:24:00,,22:21:00,,,22:21:55,22:34:27,
113712724239003001,20:19:00,,,20:11:00,,20:07:12,,,20:14:14,20:16:00,19:59:00,,20:04:00,20:11:48,20:13:31,,,,,19:59:17,20:00:05,,20:05:00,,20:01:00,,,20:02:23,20:17:27,
113712725239003001,25:20:00,,,25:13:00,,25:09:50,,,25:15:35,25:17:00,25:03:00,,25:07:00,25:13:38,25:15:01,,,,,25:03:17,25:04:05,,25:08:00,,25:05:00,,,25:05:55,25:18:27,
113712728239003001,25:06:00,,,24:59:00,,24:55:50,,,25:01:35,25:03:00,24:49:00,,24:53:00,24:59:38,25:01:01,,,,,24:49:17,24:50:05,,24:54:00,,24:51:00,,,24:51:55,25:04:27,
113712729239003001,,20:11:00,20:19:02,,20:16:15,,20:20:54,20:23:00,,,,20:28:00,,,,20:16:38,20:17:54,20:26:58,20:27:26,,,20:22:00,,20:26:00,,20:12:55,20:24:46,,,20:15:00
113712730239003001,,20:57:00,21:04:28,,21:02:04,,21:06:03,21:08:00,,,,21:13:00,,,,21:02:24,21:03:29,21:11:58,21:12:26,,,21:07:00,,21:11:00,,20:58:55,21:09:46,,,21:01:00
113712731239003001,21:28:00,,,21:21:00,,21:17:50,,,21:23:35,21:25:00,21:11:00,,21:15:00,21:21:38,21:23:01,,,,,21:11:17,21:12:05,,21:16:00,,21:13:00,,,21:13:55,21:26:27,
113712732239003001,,21:22:00,21:28:28,,21:26:04,,21:30:03,21:32:00,,,,21:37:00,,,,21:26:24,21:27:29,21:35:58,21:36:26,,,21:31:00,,21:35:00,,21:23:26,21:33:46,,,21:25:00
113712733239003001,,24:45:00,24:51:28,,24:49:04,,24:53:03,24:55:00,,,,25:00:00,,,,24:49:24,24:50:29,24:58:58,24:59:26,,,24:54:00,,24:58:00,,24:46:26,24:56:46,,,24:48:00
113712734239003001,24:52:00,,,24:45:00,,24:41:50,,,24:47:35,24:49:00,24:35:00,,24:39:00,24:45:38,24:47:01,,,,,24:35:17,24:36:05,,24:40:00,,24:37:00,,,24:37:55,24:50:27,
113712737239003001,,24:15:00,24:21:28,,24:19:04,,24:23:03,24:25:00,,,,24:30:00,,,,24:19:24,24:20:29,24:28:58,24:29:26,,,24:24:00,,24:28:00,,24:16:26,24:26:46,,,24:18:00
113712738239003001,,24:31:00,24:37:28,,24:35:04,,24:39:03,24:41:00,,,,24:46:00,,,,24:35:24,24:36:29,24:44:58,24:45:26,,,24:40:00,,24:44:00,,24:32:26,24:42:46,,,24:34:00
113712740239003001,24:24:00,,,24:17:00,,24:13:50,,,24:19:35,24:21:00,24:07:00,,24:11:00,24:17:38,24:19:01,,,,,24:07:17,24:08:05,,24:12:00,,24:09:00,,,24:09:55,24:22:27,
113712741239003001,,23:30:00,23:36:28,,23:34:04,,23:38:03,23:40:00,,,,23:45:00,,,,23:34:24,23:35:29,23:43:58,23:44:26,,,23:39:00,,23:43:00,,23:31:26,23:41:46,,,23:33:00
