trip_id,1229,1231,1232,1239,1240,1411,1413,1414,1790,2604,2608,2663,2667,2669,2735,2736,5101B,5111B,5121,5721,7360,7903
113713468239004002,09:46:14,09:47:16,,09:48:38,,09:55:00,,,,09:49:33,09:57:56,,,,,,09:44:24,,09:50:38,09:59:00,09:44:00,
113713471239004002,,,10:26:43,,10:25:21,,10:18:00,10:22:44,10:14:00,,,10:15:00,10:24:11,10:16:03,10:28:15,10:29:30,,10:32:51,,,10:34:00,10:30:54
113713472239004002,,,10:21:43,,10:20:21,,10:13:00,10:17:44,10:09:00,,,10:10:00,10:19:11,10:11:03,10:23:15,10:24:30,,10:27:51,,,10:29:00,10:25:54
113713473239004002,,,11:21:43,,11:20:21,,11:13:00,11:17:44,11:09:00,,,11:10:00,11:19:11,11:11:03,11:23:15,11:24:30,,11:27:51,,,11:29:00,11:25:54
113713474239004002,,,10:11:43,,10:10:21,,10:03:00,10:07:44,09:59:00,,,10:00:00,10:09:11,10:01:03,10:13:15,10:14:30,,10:17:51,,,10:19:00,10:15:54
113713475239004002,,,10:31:43,,10:30:21,,10:23:00,10:27:44,10:19:00,,,10:20:00,10:29:11,10:21:03,10:33:15,10:34:30,,10:37:51,,,10:39:00,10:35:54
113713476239004002,,,11:06:43,,11:05:21,,10:58:00,11:02:44,10:54:00,,,10:55:00,11:04:11,10:56:03,11:08:15,11:09:30,,11:12:51,,,11:14:00,11:10:54
113713477239004002,,,11:16:43,,11:15:21,,11:08:00,11:12:44,11:04:00,,,11:05:00,11:14:11,11:06:03,11:18:15,11:19:30,,11:22:51,,,11:24:00,11:20:54
113713478239004002,,,11:26:43,,11:25:21,,11:18:00,11:22:44,11:14:00,,,11:15:00,11:24:11,11:16:03,11:28:15,11:29:30,,11:32:51,,,11:34:00,11:30:54
113713479239004002,10:41:14,10:42:16,,10:43:38,,10:50:00,,,,10:44:33,10:52:56,,,,,,10:39:24,,10:45:38,10:54:00,10:39:00,
113713480239004002,09:51:14,09:52:16,,09:53:38,,10:00:00,,,,09:54:33,10:02:56,,,,,,09:49:24,,09:55:38,10:04:00,09:49:00,
113713481239004002,09:56:14,09:57:16,,09:58:38,,10:05:00,,,,09:59:33,10:07:56,,,,,,09:54:24,,10:00:38,10:09:00,09:54:00,
113713482239004002,10:31:14,10:32:16,,10:33:38,,10:40:00,,,,10:34:33,10:42:56,,,,,,10:29:24,,10:35:38,10:44:00,10:29:00,
113713483239004002,10:51:14,10:52:16,,10:53:38,,11:00:00,,,,10:54:33,11:02:56,,,,,,10:49:24,,10:55:38,11:04:00,10:49:00,
113713484239004002,10:46:14,10:47:16,,10:48:38,,10:55:00,,,,10:49:33,10:57:56,,,,,,10:44:24,,10:50:38,10:59:00,10:44:00,
113713485239004002,11:26:14,11:27:16,,11:28:38,,11:35:00,,,,11:29:33,11:37:56,,,,,,11:24:24,,11:30:38,11:39:00,11:24:00,
113713496239004002,13:41:14,13:42:16,,13:43:38,,13:50:00,,,,13:44:33,13:52:56,,,,,,13:39:24,,13:45:38,13:54:00,13:39:00,
113713497239004002,14:11:14,14:12:16,,14:13:38,,14:20:00,,,,14:14:33,14:22:56,,,,,,14:09:24,,14:15:38,14:24:00,14:09:00,
113713498239004002,13:31:14,13:32:16,,13:33:38,,13:40:00,,,,13:34:33,13:42:56,,,,,,13:29:24,,13:35:38,13:44:00,13:29:00,
113713499239004002,13:26:14,13:27:16,,13:28:38,,13:35:00,,,,13:29:33,13:37:56,,,,,,13:24:24,,13:30:38,13:39:00,13:24:00,
113713500239004002,13:21:14,13:22:16,,13:23:38,,13:30:00,,,,13:24:33,13:32:56,,,,,,13:19:24,,13:25:38,13:34:00,13:19:00,
113713501239004002,14:21:14,14:22:16,,14:23:38,,14:30:00,,,,14:24:33,14:32:56,,,,,,14:19:24,,14:25:38,14:34:00,14:19:00,
113713502239004002,13:36:14,13:37:16,,13:38:38,,13:45:00,,,,13:39:33,13:47:56,,,,,,13:34:24,,13:40:38,13:49:00,13:34:00,
113713503239004002,14:36:14,14:37:16,,14:38:38,,14:45:00,,,,14:39:33,14:47:56,,,,,,14:34:24,,14:40:38,14:49:00,14:34:00,
113713504239004002,14:26:14,14:27:16,,14:28:38,,14:35:00,,,,14:29:33,14:37:56,,,,,,14:24:24,,14:30:38,14:39:00,14:24:00,
113713505239004002,14:31:14,14:32:16,,14:33:38,,14:40:00,,,,14:34:33,14:42:56,,,,,,14:29:24,,14:35:38,14:44:00,14:29:00,
113713506239004002,14:16:14,14:17:16,,14:18:38,,14:25:00,,,,14:19:33,14:27:56,,,,,,14:14:24,,14:20:38,14:29:00,14:14:00,
113713507239004002,15:09:26,15:10:34,,15:12:03,,15:19:00,,,,15:13:04,15:23:23,,,,,,15:07:26,,15:14:14,15:25:00,15:07:00,
113713508239004002,15:04:26,15:05:34,,15:07:03,,15:14:00,,,,15:08:04,15:18:23,,,,,,15:02:26,,15:09:14,15:20:00,15:02:00,
113713509239004002,15:14:26,15:15:34,,15:17:03,,15:24:00,,,,15:18:04,15:28:23,,,,,,15:12:26,,15:19:14,15:30:00,15:12:00,
113713510239004002,15:19:26,15:20:34,,15:22:03,,15:29:00,,,,15:23:04,15:33:23,,,,,,15:17:26,,15:24:14,15:35:00,15:17:00,
113713511239004002,,,11:11:43,,11:10:21,,11:03:00,11:07:44,10:59:00,,,11:00:00,11:09:11,11:01:03,11:13:15,11:14:30,,11:17:51,,,11:19:00,11:15:54
113713512239004002,,,10:36:43,,10:35:21,,10:28:00,10:32:44,10:24:00,,,10:25:00,10:34:11,10:26:03,10:38:15,10:39:30,,10:42:51,,,10:44:00,10:40:54
113713513239004002,,,10:16:43,,10:15:21,,10:08:00,10:12:44,10:04:00,,,10:05:00,10:14:11,10:06:03,10:18:15,10:19:30,,10:22:51,,,10:24:00,10:20:54
113713514239004002,,,11:31:43,,11:30:21,,11:23:00,11:27:44,11:19:00,,,11:20:00,11:29:11,11:21:03,11:33:15,11:34:30,,11:37:51,,,11:39:00,11:35:54
113713515239004002,,,13:06:43,,13:05:21,,12:58:00,13:02:44,12:54:00,,,12:55:00,13:04:11,12:56:03,13:08:15,13:09:30,,13:12:51,,,13:14:00,13:10:54
113713516239004002,,,13:21:43,,13:20:21,,13:13:00,13:17:44,13:09:00,,,13:10:00,13:19:11,13:11:03,13:23:15,13:24:30,,13:27:51,,,13:29:00,13:25:54
113713517239004002,,,13:16:43,,13:15:21,,13:08:00,13:12:44,13:04:00,,,13:05:00,13:14:11,13:06:03,13:18:15,13:19:30,,13:22:51,,,13:24:00,13:20:54
113713518239004002,,,12:26:43,,12:25:21,,12:18:00,12:22:44,12:14:00,,,12:15:00,12:24:11,12:16:03,12:28:15,12:29:30,,12:32:51,,,12:34:00,12:30:54
113713519239004002,,,12:56:43,,12:55:21,,12:48:00,12:52:44,12:44:00,,,12:45:00,12:54:11,12:46:03,12:58:15,12:59:30,,13:02:51,,,13:04:00,13:00:54
113713520239004002,,,12:21:43,,12:20:21,,12:13:00,12:17:44,12:09:00,,,12:10:00,12:19:11,12:11:03,12:23:15,12:24:30,,12:27:51,,,12:29:00,12:25:54
113713521239004002,,,13:01:43,,13:00:21,,12:53:00,12:57:44,12:49:00,,,12:50:00,12:59:11,12:51:03,13:03:15,13:04:30,,13:07:51,,,13:09:00,13:05:54
113713522239004002,,,12:16:43,,12:15:21,,12:08:00,12:12:44,12:04:00,,,12:05:00,12:14:11,12:06:03,12:18:15,12:19:30,,12:22:51,,,12:24:00,12:20:54
113713523239004002,,,12:06:43,,12:05:21,,11:58:00,12:02:44,11:54:00,,,11:55:00,12:04:11,11:56:03,12:08:15,12:09:30,,12:12:51,,,12:14:00,12:10:54
113713524239004002,,,12:11:43,,12:10:21,,12:03:00,12:07:44,11:59:00,,,12:00:00,12:09:11,12:01:03,12:13:15,12:14:30,,12:17:51,,,12:19:00,12:15:54
113713525239004002,,,12:01:43,,12:00:21,,11:53:00,11:57:44,11:49:00,,,11:50:00,11:59:11,11:51:03,12:03:15,12:04:30,,12:07:51,,,12:09:00,12:05:54
113713526239004002,,,13:11:43,,13:10:21,,13:03:00,13:07:44,12:59:00,,,13:00:00,13:09:11,13:01:03,13:13:15,13:14:30,,13:17:51,,,13:19:00,13:15:54
113713527239004002,,,14:06:43,,14:05:21,,13:58:00,14:02:44,13:54:00,,,13:55:00,14:04:11,13:56:03,14:08:15,14:09:30,,14:12:51,,,14:14:00,14:10:54
113713528239004002,,,13:56:43,,13:55:21,,13:48:00,13:52:44,13:44:00,,,13:45:00,13:54:11,13:46:03,13:58:15,13:59:30,,14:02:51,,,14:04:00,14:00:54
113713529239004002,,,14:16:43,,14:15:21,,14:08:00,14:12:44,14:04:00,,,14:05:00,14:14:11,14:06:03,14:18:15,14:19:30,,14:22:51,,,14:24:00,14:20:54
113713530239004002,,,15:13:21,,15:11:44,,15:03:00,15:08:37,14:59:00,,,15:00:00,15:10:20,15:01:03,15:15:11,15:16:40,,15:20:39,,,15:22:00,15:18:20
113713531239004002,,,14:01:43,,14:00:21,,13:53:00,13:57:44,13:49:00,,,13:50:00,13:59:11,13:51:03,14:03:15,14:04:30,,14:07:51,,,14:09:00,14:05:54
113713532239004002,,,14:11:43,,14:10:21,,14:03:00,14:07:44,13:59:00,,,14:00:00,14:09:11,14:01:03,14:13:15,14:14:30,,14:17:51,,,14:19:00,14:15:54
113713533239004002,,,13:51:43,,13:50:21,,13:43:00,13:47:44,13:39:00,,,13:40:00,13:49:11,13:41:03,13:53:15,13:54:30,,13:57:51,,,13:59:00,13:55:54
113713534239004002,,,14:46:43,,14:45:21,,14:38:00,14:42:44,14:34:00,,,14:35:00,14:44:11,14:36:03,14:48:15,14:49:30,,14:52:51,,,14:54:00,14:50:54
113713535239004002,,,14:56:43,,14:55:21,,14:48:00,14:52:44,14:44:00,,,14:45:00,14:54:11,14:46:03,14:58:15,14:59:30,,15:02:51,,,15:04:00,15:00:54
113713536239004002,,,14:51:43,,14:50:21,,14:43:00,14:47:44,14:39:00,,,14:40:00,14:49:11,14:41:03,14:53:15,14:54:30,,14:57:51,,,14:59:00,14:55:54
113713537239004002,,,15:01:43,,15:00:21,,14:53:00,14:57:44,14:49:00,,,14:50:00,14:59:11,14:51:03,15:03:15,15:04:30,,15:07:51,,,15:09:00,15:05:54
113713538239004002,,,15:06:43,,15:05:21,,14:58:00,15:02:44,14:54:00,,,14:55:00,15:04:11,14:56:03,15:08:15,15:09:30,,15:12:51,,,15:14:00,15:10:54
113713539239004002,10:01:14,10:02:16,,10:03:38,,10:10:00,,,,10:04:33,10:12:56,,,,,,09:59:24,,10:05:38,10:14:00,09:59:00,
113713540239004002,10:36:14,10:37:16,,10:38:38,,10:45:00,,,,10:39:33,10:47:56,,,,,,10:34:24,,10:40:38,10:49:00,10:34:00,
113713541239004002,11:51:14,11:52:16,,11:53:38,,12:00:00,,,,11:54:33,12:02:56,,,,,,11:49:24,,11:55:38,12:04:00,11:49:00,
113713542239004002,11:36:14,11:37:16,,11:38:38,,11:45:00,,,,11:39:33,11:47:56,,,,,,11:34:24,,11:40:38,11:49:00,11:34:00,
113713543239004002,11:46:14,11:47:16,,11:48:38,,11:55:00,,,,11:49:33,11:57:56,,,,,,11:44:24,,11:50:38,11:59:00,11:44:00,
113713544239004002,11:31:14,11:32:16,,11:33:38,,11:40:00,,,,11:34:33,11:42:56,,,,,,11:29:24,,11:35:38,11:44:00,11:29:00,
113713545239004002,12:36:14,12:37:16,,12:38:38,,12:45:00,,,,12:39:33,12:47:56,,,,,,12:34:24,,12:40:38,12:49:00,12:34:00,
113713546239004002,11:41:14,11:42:16,,11:43:38,,11:50:00,,,,11:44:33,11:52:56,,,,,,11:39:24,,11:45:38,11:54:00,11:39:00,
113713547239004002,10:56:14,10:57:16,,10:58:38,,11:05:00,,,,10:59:33,11:07:56,,,,,,10:54:24,,11:00:38,11:09:00,10:54:00,
113713548239004002,12:21:14,12:22:16,,12:23:38,,12:30:00,,,,12:24:33,12:32:56,,,,,,12:19:24,,12:25:38,12:34:00,12:19:00,
113713549239004002,12:26:14,12:27:16,,12:28:38,,12:35:00,,,,12:29:33,12:37:56,,,,,,12:24:24,,12:30:38,12:39:00,12:24:00,
113713550239004002,12:46:14,12:47:16,,12:48:38,,12:55:00,,,,12:49:33,12:57:56,,,,,,12:44:24,,12:50:38,12:59:00,12:44:00,
113713551239004002,12:31:14,12:32:16,,12:33:38,,12:40:00,,,,12:34:33,12:42:56,,,,,,12:29:24,,12:35:38,12:44:00,12:29:00,
113713552239004002,13:16:14,13:17:16,,13:18:38,,13:25:00,,,,13:19:33,13:27:56,,,,,,13:14:24,,13:20:38,13:29:00,13:14:00,
