trip_id,1382,1585,1586,1587,1639,1640B,2913,7831,7832
113643490238752500,05:23:00,,,,05:18:52,05:20:17,05:18:00,,05:15:00
113643491238752500,05:33:00,,,,05:28:52,05:30:17,05:28:00,,05:25:00
113643492238752500,05:43:00,,,,05:38:52,05:40:17,05:38:00,,05:35:00
113643493238752500,05:53:00,,,,05:48:52,05:50:17,05:48:00,,05:45:00
113643494238752500,06:03:00,,,,05:58:52,06:00:17,05:58:00,,05:55:00
113643495238752500,06:13:00,,,,06:08:52,06:10:17,06:08:00,,06:05:00
113643496238752500,06:23:00,,,,06:18:52,06:20:17,06:18:00,,06:15:00
113643497238752500,06:33:00,,,,06:28:52,06:30:17,06:28:00,,06:25:00
113643498238752500,06:43:00,,,,06:38:52,06:40:17,06:38:00,,06:35:00
113643499238752500,06:53:00,,,,06:48:52,06:50:17,06:48:00,,06:45:00
113643500238752500,07:03:00,,,,06:58:52,07:00:17,06:58:00,,06:55:00
113643501238752500,07:13:00,,,,07:08:52,07:10:17,07:08:00,,07:05:00
113643502238752500,07:21:00,,,,07:16:52,07:18:17,07:16:00,,07:13:00
113643503238752500,07:28:00,,,,07:23:52,07:25:17,07:23:00,,07:20:00
113643504238752500,07:35:00,,,,07:30:52,07:32:17,07:30:00,,07:27:00
113643505238752500,07:43:00,,,,07:38:52,07:40:17,07:38:00,,07:35:00
113643506238752500,07:50:00,,,,07:45:52,07:47:17,07:45:00,,07:42:00
113643507238752500,07:58:00,,,,07:53:52,07:55:17,07:53:00,,07:50:00
113643508238752500,08:06:00,,,,08:01:02,08:02:44,08:00:00,,07:57:00
113643509238752500,08:16:00,,,,08:11:02,08:12:44,08:10:00,,08:06:00
113643510238752500,20:11:00,,,,20:06:52,20:08:17,20:06:00,,20:03:00
113643511238752500,20:16:00,,,,20:11:52,20:13:17,20:11:00,,20:08:00
113643512238752500,20:21:00,,,,20:16:52,20:18:17,20:16:00,,20:13:00
113643513238752500,20:26:00,,,,20:21:52,20:23:17,20:21:00,,20:18:00
113643514238752500,20:31:00,,,,20:26:52,20:28:17,20:26:00,,20:23:00
113643515238752500,20:36:00,,,,20:31:52,20:33:17,20:31:00,,20:28:00
113643516238752500,20:41:00,,,,20:36:52,20:38:17,20:36:00,,20:33:00
113643517238752500,20:46:00,,,,20:41:52,20:43:17,20:41:00,,20:38:00
113643518238752500,20:51:00,,,,20:46:52,20:48:17,20:46:00,,20:43:00
113643519238752500,20:56:00,,,,20:51:52,20:53:17,20:51:00,,20:48:00
113643520238752500,21:01:00,,,,20:56:52,20:58:17,20:56:00,,20:53:00
113643521238752500,21:06:00,,,,21:01:52,21:03:17,21:01:00,,20:58:00
113643522238752500,21:11:00,,,,21:06:52,21:08:17,21:06:00,,21:03:00
113643523238752500,21:16:00,,,,21:11:52,21:13:17,21:11:00,,21:08:00
113643524238752500,21:21:00,,,,21:16:52,21:18:17,21:16:00,,21:13:00
113643525238752500,21:26:00,,,,21:21:52,21:23:17,21:21:00,,21:18:00
113643526238752500,21:31:00,,,,21:26:52,21:28:17,21:26:00,,21:23:00
113643527238752500,21:36:00,,,,21:31:52,21:33:17,21:31:00,,21:28:00
113643528238752500,21:41:00,,,,21:36:52,21:38:17,21:36:00,,21:33:00
113643529238752500,21:46:00,,,,21:41:52,21:43:17,21:41:00,,21:38:00
113643530238752500,21:51:00,,,,21:46:52,21:48:17,21:46:00,,21:43:00
113643531238752500,21:56:00,,,,21:51:52,21:53:17,21:51:00,,21:48:00
113643532238752500,22:01:00,,,,21:56:52,21:58:17,21:56:00,,21:53:00
113643533238752500,22:06:00,,,,22:01:52,22:03:17,22:01:00,,21:58:00
113643534238752500,22:11:00,,,,22:06:52,22:08:17,22:06:00,,22:03:00
113643535238752500,22:16:00,,,,22:11:52,22:13:17,22:11:00,,22:08:00
113643536238752500,22:21:00,,,,22:16:52,22:18:17,22:16:00,,22:13:00
113643537238752500,22:26:00,,,,22:21:52,22:23:17,22:21:00,,22:18:00
113643538238752500,22:31:00,,,,22:26:52,22:28:17,22:26:00,,22:23:00
113643539238752500,22:36:00,,,,22:31:52,22:33:17,22:31:00,,22:28:00
113643540238752500,22:41:00,,,,22:36:52,22:38:17,22:36:00,,22:33:00
113643541238752500,22:46:00,,,,22:41:52,22:43:17,22:41:00,,22:38:00
113643542238752500,22:51:00,,,,22:46:52,22:48:17,22:46:00,,22:43:00
113643543238752500,22:56:00,,,,22:51:52,22:53:17,22:51:00,,22:48:00
113643544238752500,23:01:00,,,,22:56:52,22:58:17,22:56:00,,22:53:00
113643545238752500,23:06:00,,,,23:01:52,23:03:17,23:01:00,,22:58:00
113643546238752500,23:11:00,,,,23:06:52,23:08:17,23:06:00,,23:03:00
113643547238752500,23:16:00,,,,23:11:52,23:13:17,23:11:00,,23:08:00
113643548238752500,23:21:00,,,,23:16:52,23:18:17,23:16:00,,23:13:00
113643549238752500,23:26:00,,,,23:21:52,23:23:17,23:21:00,,23:18:00
113643550238752500,23:31:00,,,,23:26:52,23:28:17,23:26:00,,23:23:00
113643551238752500,23:36:00,,,,23:31:52,23:33:17,23:31:00,,23:28:00
113643552238752500,23:41:00,,,,23:36:52,23:38:17,23:36:00,,23:33:00
113643553238752500,23:46:00,,,,23:41:52,23:43:17,23:41:00,,23:38:00
113643554238752500,23:51:00,,,,23:46:52,23:48:17,23:46:00,,23:43:00
113643555238752500,23:56:00,,,,23:51:52,23:53:17,23:51:00,,23:48:00
113643556238752500,24:01:00,,,,23:56:52,23:58:17,23:56:00,,23:53:00
113643557238752500,24:06:00,,,,24:01:52,24:03:17,24:01:00,,23:58:00
113643558238752500,24:11:00,,,,24:06:52,24:08:17,24:06:00,,24:03:00
113643559238752500,24:16:00,,,,24:11:52,24:13:17,24:11:00,,24:08:00
113643560238752500,24:21:00,,,,24:16:52,24:18:17,24:16:00,,24:13:00
113643561238752500,05:28:00,05:31:12,05:33:10,05:34:00,,,,05:37:00,
113643562238752500,05:38:00,05:41:12,05:43:10,05:44:00,,,,05:47:00,
113643563238752500,05:48:00,05:51:12,05:53:10,05:54:00,,,,05:57:00,
113643564238752500,05:58:00,06:01:12,06:03:10,06:04:00,,,,06:07:00,
113643565238752500,06:08:00,06:11:12,06:13:10,06:14:00,,,,06:17:00,
113643566238752500,06:18:00,06:21:12,06:23:10,06:24:00,,,,06:27:00,
113643567238752500,06:28:00,06:31:12,06:33:10,06:34:00,,,,06:37:00,
113643568238752500,06:38:00,06:41:12,06:43:10,06:44:00,,,,06:47:00,
113643569238752500,06:48:00,06:51:12,06:53:10,06:54:00,,,,06:57:00,
113643570238752500,06:58:00,07:01:12,07:03:10,07:04:00,,,,07:07:00,
113643571238752500,07:08:00,07:11:12,07:13:10,07:14:00,,,,07:17:00,
113643572238752500,07:18:00,07:21:12,07:23:10,07:24:00,,,,07:27:00,
113643573238752500,07:26:00,07:29:12,07:31:10,07:32:00,,,,07:35:00,
113643574238752500,07:33:00,07:36:12,07:38:10,07:39:00,,,,07:42:00,
113643575238752500,07:41:00,07:44:12,07:46:10,07:47:00,,,,07:50:00,
113643576238752500,07:48:00,07:51:12,07:53:10,07:54:00,,,,07:57:00,
113643577238752500,07:56:00,07:59:12,08:01:10,08:02:00,,,,08:06:00,
113643578238752500,08:03:00,08:06:12,08:08:10,08:09:00,,,,08:13:00,
113643579238752500,20:06:00,20:09:12,20:11:10,20:12:00,,,,20:16:00,
113643580238752500,20:11:00,20:14:12,20:16:10,20:17:00,,,,20:21:00,
113643581238752500,20:16:00,20:19:12,20:21:10,20:22:00,,,,20:26:00,
113643582238752500,20:21:00,20:24:12,20:26:10,20:27:00,,,,20:31:00,
113643583238752500,20:26:00,20:29:12,20:31:10,20:32:00,,,,20:36:00,
113643584238752500,20:31:00,20:34:12,20:36:10,20:37:00,,,,20:41:00,
113643585238752500,20:36:00,20:39:12,20:41:10,20:42:00,,,,20:46:00,
113643586238752500,20:41:00,20:44:12,20:46:10,20:47:00,,,,20:51:00,
113643587238752500,20:46:00,20:49:12,20:51:10,20:52:00,,,,20:56:00,
113643588238752500,20:51:00,20:54:12,20:56:10,20:57:00,,,,21:01:00,
113643589238752500,20:56:00,20:59:12,21:01:10,21:02:00,,,,21:06:00,
113643590238752500,21:01:00,21:04:12,21:06:10,21:07:00,,,,21:11:00,
113643591238752500,21:06:00,21:09:12,21:11:10,21:12:00,,,,21:16:00,
113643592238752500,21:11:00,21:14:12,21:16:10,21:17:00,,,,21:21:00,
113643593238752500,21:16:00,21:19:12,21:21:10,21:22:00,,,,21:26:00,
113643594238752500,21:21:00,21:24:12,21:26:10,21:27:00,,,,21:31:00,
113643595238752500,21:26:00,21:29:12,21:31:10,21:32:00,,,,21:36:00,
113643596238752500,21:31:00,21:34:12,21:36:10,21:37:00,,,,21:41:00,
113643597238752500,21:36:00,21:39:12,21:41:10,21:42:00,,,,21:46:00,
113643598238752500,21:41:00,21:44:12,21:46:10,21:47:00,,,,21:51:00,
113643599238752500,21:46:00,21:49:12,21:51:10,21:52:00,,,,21:56:00,
113643600238752500,21:51:00,21:54:12,21:56:10,21:57:00,,,,22:01:00,
113643601238752500,21:56:00,21:59:12,22:01:10,22:02:00,,,,22:06:00,
113643602238752500,22:01:00,22:04:12,22:06:10,22:07:00,,,,22:11:00,
113643603238752500,22:06:00,22:09:12,22:11:10,22:12:00,,,,22:16:00,
113643604238752500,22:11:00,22:14:12,22:16:10,22:17:00,,,,22:21:00,
113643605238752500,22:16:00,22:19:12,22:21:10,22:22:00,,,,22:26:00,
113643606238752500,22:21:00,22:24:12,22:26:10,22:27:00,,,,22:31:00,
113643607238752500,22:26:00,22:29:12,22:31:10,22:32:00,,,,22:36:00,
113643608238752500,22:31:00,22:34:12,22:36:10,22:37:00,,,,22:41:00,
113643609238752500,22:36:00,22:39:12,22:41:10,22:42:00,,,,22:46:00,
113643610238752500,22:41:00,22:44:12,22:46:10,22:47:00,,,,22:51:00,
113643611238752500,22:46:00,22:49:12,22:51:10,22:52:00,,,,22:56:00,
113643612238752500,22:51:00,22:54:12,22:56:10,22:57:00,,,,23:01:00,
113643613238752500,22:56:00,22:59:12,23:01:10,23:02:00,,,,23:05:00,
113643614238752500,23:01:00,23:04:12,23:06:10,23:07:00,,,,23:10:00,
113643615238752500,23:06:00,23:09:12,23:11:10,23:12:00,,,,23:15:00,
113643616238752500,23:11:00,23:14:12,23:16:10,23:17:00,,,,23:20:00,
113643617238752500,23:16:00,23:19:12,23:21:10,23:22:00,,,,23:25:00,
113643618238752500,23:21:00,23:24:12,23:26:10,23:27:00,,,,23:30:00,
113643619238752500,23:26:00,23:29:12,23:31:10,23:32:00,,,,23:35:00,
113643620238752500,23:31:00,23:34:12,23:36:10,23:37:00,,,,23:40:00,
113643621238752500,23:36:00,23:39:12,23:41:10,23:42:00,,,,23:45:00,
113643622238752500,23:41:00,23:44:12,23:46:10,23:47:00,,,,23:50:00,
113643623238752500,23:46:00,23:49:12,23:51:10,23:52:00,,,,23:55:00,
113643624238752500,23:51:00,23:54:12,23:56:10,23:57:00,,,,24:00:00,
113643625238752500,23:56:00,23:59:12,24:01:10,24:02:00,,,,24:05:00,
113643626238752500,24:01:00,24:04:12,24:06:10,24:07:00,,,,24:10:00,
113643627238752500,24:06:00,24:09:12,24:11:10,24:12:00,,,,24:15:00,
113643628238752500,24:11:00,24:14:12,24:16:10,24:17:00,,,,24:20:00,
113643629238752500,24:16:00,24:19:12,24:21:10,24:22:00,,,,24:25:00,
113643630238752500,24:21:00,24:24:12,24:26:10,24:27:00,,,,24:30:00,
113643631238752500,24:26:00,24:29:12,24:31:10,24:32:00,,,,24:35:00,
113643632238752500,24:31:00,24:34:12,24:36:10,24:37:00,,,,24:40:00,
113643633238752500,24:38:00,24:41:12,24:43:10,24:44:00,,,,24:47:00,
113643634238752500,24:26:00,,,,24:21:52,24:23:17,24:21:00,,24:18:00
113643635238752500,24:31:00,,,,24:26:52,24:28:17,24:26:00,,24:23:00
113643636238752500,08:31:00,08:34:12,08:36:10,08:37:00,,,,08:41:00,
113643637238752500,08:36:00,08:39:12,08:41:10,08:42:00,,,,08:46:00,
113643638238752500,08:41:00,08:44:12,08:46:10,08:47:00,,,,08:51:00,
113643639238752500,08:46:00,08:49:12,08:51:10,08:52:00,,,,08:56:00,
113643640238752500,08:51:00,08:54:12,08:56:10,08:57:00,,,,09:01:00,
113643641238752500,08:56:00,08:59:12,09:01:10,09:02:00,,,,09:06:00,
113643642238752500,09:01:00,09:04:12,09:06:10,09:07:00,,,,09:11:00,
113643643238752500,09:06:00,09:09:12,09:11:10,09:12:00,,,,09:16:00,
113643644238752500,09:11:00,09:14:12,09:16:10,09:17:00,,,,09:21:00,
113643645238752500,09:16:00,09:19:12,09:21:10,09:22:00,,,,09:26:00,
113643646238752500,09:21:00,09:24:12,09:26:10,09:27:00,,,,09:31:00,
113643647238752500,09:26:00,09:29:12,09:31:10,09:32:00,,,,09:36:00,
113643648238752500,09:31:00,09:34:12,09:36:10,09:37:00,,,,09:41:00,
113643649238752500,09:36:00,09:39:12,09:41:10,09:42:00,,,,09:46:00,
113643650238752500,09:41:00,09:44:12,09:46:10,09:47:00,,,,09:51:00,
113643651238752500,09:46:00,09:49:12,09:51:10,09:52:00,,,,09:56:00,
113643652238752500,09:51:00,09:54:12,09:56:10,09:57:00,,,,10:01:00,
113643653238752500,09:56:00,09:59:12,10:01:10,10:02:00,,,,10:06:00,
113643654238752500,10:01:00,10:04:12,10:06:10,10:07:00,,,,10:11:00,
